Datetime,Open,High,Low,Close,Volume
2023-12-20,23.5,23.56,22.86,23.02,974430
2023-12-21,23.02,23.28,22.64,23.15,526660
2023-12-22,23.3,23.34,23.13,23.25,98150
2023-12-26,23.1,23.51,23.1,23.51,374210
2023-12-27,23.61,23.7,23.51,23.66,221460
2023-12-28,23.75,25.05,23.52,23.91,1129090
2023-12-29,23.91,23.97,23.76,23.92,1387000
2024-01-01,23.92,24.03,23.44,23.97,138090
2024-01-02,23.92,24.02,23.79,23.99,577060
2024-01-03,23.99,24.1,23.88,24.08,58050
2024-01-04,24.13,24.3,24.03,24.21,730770
2024-01-05,24.21,24.35,24.15,24.23,851110
2024-01-08,24.45,24.45,24.02,24.07,840670
2024-01-09,24.1,24.26,23.75,24.1,315830
2024-01-10,24.1,24.13,23.9,24.02,308060
2024-01-11,24.23,24.23,24.05,24.16,486620
2024-01-12,24.16,24.38,24.09,24.34,562710
2024-01-15,24.34,24.55,24.27,24.5,367360
2024-01-16,24.7,24.7,24.16,24.49,338940
2024-01-17,24.35,24.44,24.21,24.26,576330
2024-01-18,24.14,24.28,23.88,24.21,714330
2024-01-19,24.21,24.61,24.2,24.59,1456820
2024-01-20,24.8,24.8,24.5,24.58,436410
2024-01-23,24.6,24.72,24.2,24.23,829110
2024-01-24,24.7,24.71,24.06,24.59,648210
2024-01-25,24.56,24.69,24.41,24.53,677970
2024-01-29,24.53,24.99,24.5,24.93,283400
2024-01-30,24.98,25.03,24.68,24.72,530220
2024-01-31,24.72,25.03,24.63,24.92,210400
2024-02-01,24.95,25.1,24.82,24.89,2134600
2024-02-02,24.89,25.29,24.75,25.21,447990
2024-02-05,25.21,25.43,25.15,25.24,1188440
2024-02-06,25.24,25.8,25.18,25.62,891110
2024-02-07,25.62,25.83,25.56,25.71,348910
2024-02-08,25.8,25.83,25.53,25.59,894230
2024-02-09,25.59,25.79,25.34,25.64,533440
2024-02-12,25.64,26.27,25.39,25.41,6454810
2024-02-13,26.17,26.17,25.41,25.62,932670
2024-02-14,26.0,26.0,25.4,25.84,288600
2024-02-15,26.0,26.11,25.54,26.08,759830
2024-02-16,26.08,26.34,25.82,26.31,342770
2024-02-19,26.31,26.55,26.31,26.42,183620
2024-02-20,26.65,26.65,26.22,26.37,1287710
2024-02-21,26.37,26.6,26.16,26.26,462740
2024-02-22,26.3,26.52,26.02,26.5,532510
2024-02-23,26.5,26.59,26.42,26.5,308860
2024-02-26,26.5,26.72,26.25,26.39,482570
2024-02-27,26.4,26.5,26.3,26.42,56650
2024-02-28,26.42,26.5,26.07,26.1,826820
2024-02-29,26.33,26.33,25.96,26.23,308740
2024-03-01,26.5,26.6,26.23,26.55,387190
2024-03-02,26.85,26.85,26.54,26.62,91760
2024-03-04,26.62,26.85,26.22,26.73,395140
2024-03-05,26.92,26.95,26.63,26.8,1443480
2024-03-06,26.8,26.95,26.58,26.89,1084270
2024-03-07,26.89,27.1,26.88,26.99,596790
2024-03-11,26.99,27.13,26.8,26.9,1404970
2024-03-12,27.71,27.71,26.62,26.67,1447870
2024-03-13,26.75,26.75,25.94,26.0,1151850
2024-03-14,26.2,26.64,25.93,26.44,2593120
2024-03-15,26.44,26.79,25.99,26.31,1609240
2024-03-18,26.3,26.47,26.17,26.29,1454350
2024-03-19,26.27,26.29,25.88,25.95,1155650
2024-03-20,26.0,26.09,25.78,26.05,1721110
2024-03-21,26.33,26.5,26.05,26.37,1945490
2024-03-22,26.37,26.65,26.26,26.59,790510
2024-03-26,26.59,26.88,26.42,26.68,870600
2024-03-27,26.68,26.9,26.62,26.72,940610
2024-03-28,26.72,27.15,26.65,27.03,825910
2024-04-01,27.03,27.44,27.03,27.08,504400
2024-04-02,27.27,27.27,27.0,27.17,157380
2024-04-03,27.39,27.4,27.02,27.08,1069050
2024-04-04,27.08,27.24,26.82,26.99,2206200
2024-04-05,26.9,26.99,26.8,26.93,2152830
2024-04-08,26.93,27.49,26.92,27.03,781720
2024-04-09,27.03,27.28,26.81,26.93,1176540
2024-04-10,26.94,27.19,26.92,27.07,1365470
2024-04-12,27.07,27.26,26.71,26.76,1335980
2024-04-15,26.75,26.85,26.21,26.54,4064110
2024-04-16,265.35,266.47,264.14,265.93,155449
2024-04-18,273.9,273.9,260.86,263.45,150250
2024-04-19,26.29,26.41,25.98,26.36,1803640
2024-04-22,27.15,27.15,26.45,26.67,2084370
2024-04-23,26.87,26.87,26.6,26.72,877830
2024-04-24,26.97,26.97,26.72,26.77,1130230
2024-04-25,26.76,27.08,26.67,27.06,655440
2024-04-26,27.0,27.3,26.94,27.09,921660
2024-04-29,27.09,27.48,26.51,27.29,785120
2024-04-30,27.4,27.81,27.12,27.21,615100
2024-05-02,26.71,27.45,26.71,27.37,696890
2024-05-03,27.35,27.5,27.13,27.35,919570
2024-05-06,27.35,27.7,27.02,27.37,1092680
2024-05-07,27.37,27.43,26.84,27.04,1900010
2024-05-08,27.04,27.25,26.8,27.19,1059840
2024-05-09,26.95,27.2,26.64,26.71,1477530
2024-05-10,32.0,32.45,26.74,27.09,1330813
2024-05-13,27.78,27.78,26.71,27.13,1086189
2024-05-14,27.2,27.3,27.02,27.25,831365
2024-05-15,27.24,27.48,27.19,27.27,930064
2024-05-16,27.57,27.57,27.05,27.41,1296047
2024-05-17,27.5,27.75,27.26,27.64,427170
2024-05-18,27.64,27.84,27.09,27.71,81744
2024-05-21,28.2,28.55,27.27,27.71,1541416
2024-05-22,28.07,28.07,27.39,27.75,2450822
2024-05-23,28.6,28.6,27.46,28.08,820586
2024-05-24,28.09,28.25,27.85,28.06,16294408
2024-05-27,28.28,28.28,27.91,27.95,1376491
2024-05-28,28.25,28.25,27.8,27.89,1169003
2024-05-29,27.88,27.89,27.6,27.75,1018441
2024-05-30,27.76,27.85,27.23,27.35,1502440
2024-05-31,27.35,27.89,27.11,27.29,1954048
2024-06-03,27.54,28.21,27.54,28.04,1899194
2024-06-04,28.9,28.9,26.58,27.58,1580001
2024-06-05,27.53,27.97,26.0,27.55,2679943
2024-06-06,27.81,27.87,27.21,27.73,1293920
2024-06-07,27.73,28.18,27.56,28.13,1989396
2024-06-10,28.4,28.4,28.14,28.28,594706
2024-06-11,28.44,28.58,28.19,28.43,1256971
2024-06-12,28.55,28.63,28.44,28.55,898220
2024-06-13,28.59,28.69,28.5,28.64,1620518
2024-06-14,29.5,29.5,28.64,28.81,929665
2024-06-18,28.99,29.37,28.7,28.81,1085692
2024-06-19,29.05,29.24,28.43,28.46,1575815
2024-06-20,28.57,29.03,28.26,28.45,7763684
2024-06-21,28.45,28.64,28.26,28.32,1437324
2024-06-24,28.26,28.56,28.07,28.47,958726
2024-06-25,28.46,28.58,28.38,28.47,3159054
2024-06-26,28.47,28.68,28.35,28.62,1823028
2024-06-27,28.62,28.75,28.45,28.71,2124279
2024-06-28,29.55,29.55,28.6,28.84,479429
2024-07-01,28.84,29.12,28.7,28.9,7836281
2024-07-02,29.0,29.1,28.61,28.91,528662
2024-07-03,28.5,29.09,28.3,28.93,3948069
2024-07-04,28.93,29.24,28.93,29.11,1255983
2024-07-05,29.11,29.4,29.11,29.35,736996
2024-07-08,29.5,29.5,29.28,29.35,833480
2024-07-09,29.5,29.7,29.38,29.6,2869015
2024-07-10,29.73,29.8,29.3,29.76,1378550
2024-07-11,29.79,29.95,29.61,29.71,2110258
2024-07-12,29.71,29.95,29.65,29.66,579128
2024-07-15,29.71,29.94,29.71,29.89,721143
2024-07-16,29.94,30.14,29.88,29.92,472845
2024-07-18,29.95,30.29,29.71,30.02,2000687
2024-07-19,30.3,30.3,29.5,29.55,4505307
2024-07-22,28.65,29.95,28.65,29.68,5628990
2024-07-23,29.91,30.12,29.13,29.82,2455202
2024-07-24,29.69,29.95,29.68,29.81,853000
2024-07-25,29.72,29.92,29.39,29.88,992152
2024-07-26,29.87,30.32,29.85,30.28,655790
2024-07-29,30.28,30.66,30.28,30.43,743690
2024-07-30,30.9,30.9,30.43,30.47,778758
2024-07-31,30.47,30.7,30.47,30.62,549847
2024-08-01,30.62,30.97,30.62,30.8,1950436
2024-08-02,30.8,30.8,30.13,30.43,1241196
2024-08-05,30.4,30.4,29.57,29.89,1863839
2024-08-06,30.5,30.5,29.49,29.67,1707304
2024-08-07,30.55,30.55,29.96,30.22,2145807
2024-08-08,30.22,30.6,30.04,30.27,1680403
2024-08-09,30.41,30.89,30.21,30.34,650090
2024-08-12,30.33,30.7,30.04,30.36,1423787
2024-08-13,30.35,30.4,30.05,30.11,3672436
2024-08-14,30.5,30.5,29.93,30.06,8988186
2024-08-16,30.95,30.98,29.91,30.44,3925345
2024-08-19,30.44,30.84,30.35,30.4,2858107
2024-08-20,30.47,30.59,30.37,30.54,4172821
2024-08-21,31.45,31.45,30.47,30.61,2457744
2024-08-22,30.5,30.89,30.47,30.79,2388303
2024-08-23,31.19,31.19,30.72,30.84,1286336
2024-08-26,30.83,31.04,30.75,30.98,791376
2024-08-27,30.98,31.08,30.91,30.97,2099954
2024-08-28,30.97,31.09,30.66,30.98,2474022
2024-08-29,30.95,31.1,30.83,31.06,2022019
2024-08-30,31.05,31.32,30.91,31.28,3119159
2024-09-02,31.49,31.49,31.17,31.24,1213661
2024-09-03,31.64,31.64,30.84,31.25,942135
2024-09-04,31.15,31.31,30.85,31.28,1074259
2024-09-05,31.27,31.49,31.15,31.19,1344353
2024-09-06,31.4,31.4,30.78,30.84,1649640
2024-09-09,31.75,31.75,30.53,30.85,1263062
2024-09-10,31.35,31.35,30.85,30.98,944218
2024-09-11,30.97,31.12,30.71,30.81,759303
2024-09-12,31.32,31.32,30.75,31.24,6866927
