Datetime,Open,High,Low,Close,Volume
2011-06-01,75.52,76.93,74.79,75.0,9424
2011-06-02,76.5,76.5,72.87,73.42,2178
2011-06-03,73.59,75.99,71.37,72.23,4417
2011-06-06,73.08,73.94,71.24,72.78,2693
2011-06-07,73.29,74.92,72.65,74.41,5848
2011-06-08,74.36,75.9,73.94,74.92,6397
2011-06-09,80.0,80.0,71.1,71.6,37204
2011-06-10,72.45,73.5,68.9,69.8,12425
2011-06-13,69.0,71.4,66.0,67.2,6080
2011-06-14,67.0,68.0,63.6,65.9,10162
2011-06-15,66.5,66.5,64.5,65.45,4409
2011-06-16,64.0,65.4,62.1,64.1,4186
2011-06-17,64.25,66.0,63.2,63.7,9776
2011-06-20,62.6,63.5,61.9,62.85,6800
2011-06-21,62.1,63.6,62.1,63.5,3697
2011-06-22,62.8,63.45,62.0,62.05,4347
2011-06-23,61.2,62.9,61.2,62.35,681
2011-06-24,61.3,62.5,61.2,62.0,6733
2011-06-27,61.95,62.0,61.4,61.95,25543
2011-06-28,62.5,63.85,61.5,62.8,7823
2011-06-29,62.6,64.5,62.5,63.85,1471
2011-06-30,64.0,68.95,64.0,64.65,4110
2011-07-01,66.4,69.5,65.6,69.25,19270
2011-07-04,68.25,68.25,66.4,66.75,3607
2011-07-05,67.9,67.9,66.5,67.0,1792
2011-07-06,67.2,68.0,66.55,67.4,3610
2011-07-07,68.5,68.5,66.85,67.25,1935
2011-07-08,73.05,73.05,64.2,69.75,29264
2011-07-11,69.05,72.1,69.05,69.75,6369
2011-07-12,71.6,71.6,67.1,67.25,1822
2011-07-13,68.85,72.5,68.75,70.25,27383
2011-07-14,67.4,76.0,67.4,74.65,249475
2011-07-15,75.7,79.2,73.0,74.3,233797
2011-07-18,73.9,73.9,68.1,68.85,33431
2011-07-19,67.55,69.95,67.55,68.3,8668
2011-07-20,68.0,68.7,66.3,67.0,7174
2011-07-21,65.9,67.35,65.0,65.3,4112
2011-07-22,64.55,65.8,63.7,64.6,4508
2011-07-25,62.15,65.4,62.15,63.6,14805
2011-07-26,63.6,64.0,62.85,62.9,4033
2011-07-27,64.9,64.9,62.15,63.5,5799
2011-07-28,62.0,63.15,62.0,62.1,4254
2011-07-29,61.2,62.5,60.55,61.0,8077
2011-08-01,61.3,62.5,61.0,61.45,4771
2011-08-02,60.2,61.3,58.3,59.1,7785
2011-08-03,65.75,65.75,57.2,58.45,3476
2011-08-04,57.1,62.3,57.1,60.45,5052
2011-08-05,56.1,60.5,56.1,57.7,4477
2011-08-08,55.2,59.3,55.2,57.15,3449
2011-08-09,52.2,56.95,52.2,55.05,4034
2011-08-10,56.0,58.8,55.2,55.6,3260
2011-08-11,54.0,56.35,53.0,55.5,2739
2011-08-12,54.0,55.65,53.15,53.5,3329
2011-08-16,53.2,55.5,52.6,53.0,2347
2011-08-17,52.15,53.95,52.15,52.3,1455
2011-08-18,50.25,52.65,50.0,50.5,4140
2011-08-19,52.0,52.0,48.5,49.75,1425
2011-08-22,50.0,53.5,50.0,51.05,1493
2011-08-23,52.5,52.9,51.0,51.85,2039
2011-08-24,52.8,52.8,50.35,50.75,1564
2011-08-25,50.1,52.3,50.1,50.35,2530
2011-08-26,48.1,51.65,48.1,49.35,4090
2011-08-29,48.0,54.8,48.0,50.55,1029
2011-08-30,54.7,54.7,50.25,52.95,3496
2011-09-02,52.0,58.4,51.7,52.65,2259
2011-09-05,50.05,52.1,50.05,51.5,315
2011-09-06,51.1,52.8,50.65,52.5,1230
2011-09-07,51.0,55.0,51.0,54.0,4862
2011-09-08,54.0,54.0,52.75,53.65,939
2011-09-09,54.0,54.4,51.0,53.05,1231
2011-09-12,52.1,53.0,52.0,52.5,566
2011-09-13,52.55,54.0,52.35,52.35,533
2011-09-14,52.5,52.5,51.75,52.15,370
2011-09-15,52.35,55.55,52.35,54.55,3066
2011-09-16,53.95,56.2,53.55,54.5,3109
2011-09-19,53.7,56.0,53.7,55.8,1927
2011-09-20,55.5,56.2,54.4,55.9,1174
2011-09-21,54.0,56.5,53.55,54.8,4811
2011-09-22,53.0,56.5,52.85,54.05,1708
2011-09-23,51.6,54.75,51.05,52.3,2435
2011-09-26,53.5,54.5,50.15,52.45,2021
2011-09-27,53.85,53.95,50.7,52.5,3118
2011-09-28,51.0,53.5,51.0,52.9,584
2011-09-29,52.0,52.0,48.65,50.45,2039
2011-09-30,50.1,52.5,50.1,50.7,1583
2011-10-03,48.1,51.95,48.1,48.8,3628
2011-10-04,47.05,50.9,47.05,49.2,2518
2011-10-05,48.5,50.65,46.35,48.2,2514
2011-10-07,47.3,51.5,47.3,50.95,3173
2011-10-10,49.5,50.3,49.5,50.3,53
2011-10-11,52.8,53.0,50.25,52.8,1268
2011-10-12,46.6,52.6,46.6,52.05,1358
2011-10-13,51.3,52.6,51.25,51.5,2084
2011-10-14,51.05,53.1,51.05,52.7,620
2011-10-17,51.5,54.0,51.5,53.75,1248
2011-10-18,52.0,52.5,50.1,52.35,7842
2011-10-19,50.0,51.95,49.15,49.75,14442
2011-10-20,50.0,50.0,50.0,50.0,250
2011-10-21,47.6,51.0,47.6,49.3,514
2011-10-24,50.5,51.45,49.4,49.95,2377
2011-10-25,49.2,49.55,49.2,49.55,164
2011-10-26,45.0,53.3,44.0,51.75,620
2011-10-28,50.0,52.3,50.0,50.6,6508
2011-10-31,51.6,51.9,51.05,51.85,1476
2011-11-01,51.85,52.0,50.25,51.0,899
2011-11-02,51.95,51.95,51.95,51.95,100
2011-11-03,51.0,51.0,50.95,51.0,123
2011-11-04,51.9,55.0,51.0,53.05,3701
2011-11-08,52.25,52.4,51.0,52.0,6834
2011-11-09,51.1,52.7,50.0,50.9,2089
2011-11-11,50.2,51.4,49.15,49.25,2996
2011-11-14,50.5,51.45,49.15,49.15,1020
2011-11-15,53.2,53.2,46.05,46.85,1417
2011-11-16,45.3,49.0,45.05,45.1,515
2011-11-17,44.0,44.15,42.6,42.8,3135
2011-11-18,41.5,45.45,41.5,42.9,4151
2011-11-21,41.0,44.5,38.55,42.15,3443
2011-11-22,43.8,44.5,43.8,44.5,2024
2011-11-23,43.0,44.0,40.6,42.2,1460
2011-11-24,41.95,42.1,40.7,41.25,904
2011-11-25,41.45,42.05,41.0,42.05,780
2011-11-28,42.05,44.5,42.0,42.4,2778
2011-11-29,41.85,43.95,40.85,43.7,52861
2011-11-30,42.5,43.1,42.3,42.55,393
2011-12-01,42.4,45.6,42.3,44.2,1840
2011-12-02,45.5,45.65,43.25,43.7,1429
2011-12-05,44.1,44.9,42.7,43.55,1229
2011-12-07,43.8,46.0,43.8,45.35,4308
2011-12-08,44.0,45.7,43.6,44.65,2956
2011-12-09,44.5,45.0,43.0,44.1,1693
2011-12-12,45.0,45.0,43.25,43.25,1713
2011-12-13,42.0,43.8,41.0,41.85,328
2011-12-14,41.1,44.95,41.1,42.15,4536
2011-12-15,41.0,43.65,40.55,41.0,2972
2011-12-16,42.5,42.5,40.65,41.0,1013
2011-12-19,41.1,41.1,39.6,40.85,1973
2011-12-20,40.05,40.15,38.6,39.9,1678
2011-12-21,40.0,40.0,38.5,38.65,4197
2011-12-22,39.0,41.95,38.5,40.15,1145
2011-12-23,40.4,40.4,40.0,40.0,3476
2011-12-26,40.0,41.0,39.6,40.5,1943
2011-12-27,41.45,41.9,41.0,41.45,470
2011-12-28,40.3,42.8,40.15,42.8,534
2011-12-29,42.0,42.7,40.6,42.15,5071
2011-12-30,41.0,41.5,38.75,40.25,2882
2012-01-02,40.0,43.1,40.0,41.8,6
2012-01-03,41.0,44.8,41.0,43.95,2305
2012-01-04,44.0,47.0,43.25,46.1,6303
2012-01-05,46.05,46.5,46.0,46.45,1105
2012-01-06,46.05,46.9,46.0,46.0,728
2012-01-07,46.1,49.9,46.0,49.1,276
2012-01-09,49.0,49.95,47.05,47.3,342
2012-01-10,46.0,49.4,46.0,48.65,5516
2012-01-11,48.0,49.75,46.05,47.75,685
2012-01-12,49.65,49.7,49.1,49.3,713
2012-01-13,50.0,54.0,49.0,49.55,3271
2012-01-16,45.15,50.75,45.15,48.1,1523
2012-01-17,47.0,47.95,45.0,47.55,1511
2012-01-18,46.55,49.0,45.45,47.15,5070
2012-01-19,47.15,47.6,47.1,47.55,794
2012-01-20,49.75,49.75,47.2,48.3,201
2012-01-23,47.5,50.5,47.0,47.5,654
2012-01-24,47.0,49.0,45.05,46.25,6229
2012-01-25,47.8,47.8,45.65,46.35,468
2012-01-27,46.5,48.0,46.5,47.95,1029
2012-01-30,47.0,48.0,44.85,46.8,700
2012-01-31,46.5,48.7,46.3,46.65,1407
2012-02-01,47.9,47.95,46.45,47.05,1098
2012-02-02,48.1,50.95,47.55,49.9,4105
2012-02-03,49.5,55.0,49.0,53.75,15900
2012-02-06,55.7,55.7,52.05,52.4,14878
2012-02-07,52.2,53.25,51.1,52.8,4011
2012-02-08,52.0,53.45,51.3,51.5,3066
2012-02-09,52.0,53.6,51.15,52.7,2960
2012-02-10,52.0,53.6,51.65,52.35,2609
2012-02-13,52.45,53.4,51.55,53.05,11899
2012-02-14,52.4,53.3,51.5,52.45,931
2012-02-15,53.3,53.9,52.0,53.0,3224
2012-02-16,54.0,56.05,52.4,54.8,5139
2012-02-17,55.95,59.0,55.0,57.7,24728
2012-02-21,57.0,59.7,55.05,58.0,21271
2012-02-22,57.25,58.05,56.1,56.55,15365
2012-02-23,57.0,63.85,56.0,61.1,411929
2012-02-24,62.2,64.0,59.15,60.25,57877
2012-02-27,60.3,60.3,53.05,54.35,21715
2012-02-28,53.0,56.65,53.0,55.15,5035
2012-02-29,54.25,56.15,53.7,54.65,6904
2012-03-01,54.0,56.0,52.1,53.25,13866
2012-03-02,53.1,55.0,52.05,52.65,4504
2012-03-03,52.85,54.4,52.85,53.35,1421
2012-03-05,54.0,54.85,52.65,52.8,4676
2012-03-06,52.0,53.8,51.1,52.05,5272
2012-03-07,50.3,56.0,49.2,49.5,8044
2012-03-09,49.7,50.9,49.0,50.3,4996
2012-03-12,50.1,52.4,48.55,51.6,5489
2012-03-13,50.5,52.9,50.25,51.1,5841
2012-03-14,50.15,53.25,50.15,52.1,7828
2012-03-15,50.65,52.65,50.25,50.8,2645
2012-03-16,49.45,52.4,49.45,50.45,1669
2012-03-19,49.45,53.9,49.05,50.05,4739
2012-03-20,49.6,51.85,48.05,48.6,5292
2012-03-21,49.3,49.3,48.05,49.0,2860
2012-03-22,50.55,50.55,47.05,47.55,3211
2012-03-23,46.4,49.8,46.4,47.6,1283
2012-03-26,48.0,48.0,46.6,46.65,3961
2012-03-27,47.0,48.75,46.1,46.8,4931
