Datetime,Open,High,Low,Close,Volume
2011-06-01,48.63,49.57,48.53,49.02,9211
2011-06-02,48.68,48.68,47.14,47.59,7078
2011-06-03,48.48,48.48,47.19,47.78,2847
2011-06-06,48.08,48.63,47.04,47.29,3291
2011-06-07,47.24,47.88,46.94,47.19,7105
2011-06-08,46.64,49.02,46.64,46.94,6105
2011-06-09,46.64,48.13,46.64,47.19,5785
2011-06-10,45.7,47.98,45.7,46.79,3171
2011-06-13,46.64,47.34,46.25,46.54,7290
2011-06-14,46.64,47.54,45.85,46.35,5299
2011-06-15,47.44,47.44,46.15,46.2,5221
2011-06-16,46.2,47.14,45.65,46.15,11975
2011-06-17,46.64,46.64,44.41,44.91,15590
2011-06-20,45.2,47.04,43.12,43.77,16621
2011-06-21,44.66,44.66,41.68,42.23,8379
2011-06-22,42.67,42.67,38.95,39.55,20190
2011-06-23,42.18,42.18,38.6,39.7,6897
2011-06-24,40.14,41.48,39.4,41.14,14064
2011-06-27,39.7,41.43,39.7,40.39,17079
2011-06-28,41.18,41.23,40.49,40.54,9738
2011-06-29,41.63,41.63,38.7,40.64,7855
2011-06-30,41.48,41.48,40.19,40.44,5720
2011-07-01,41.33,41.48,39.89,40.69,6743
2011-07-04,40.69,41.23,39.8,39.8,43413
2011-07-05,40.19,43.32,40.19,41.58,46400
2011-07-06,41.38,42.87,41.28,42.67,22086
2011-07-07,43.07,45.15,42.38,42.77,57256
2011-07-08,44.26,44.26,42.18,42.38,4698
2011-07-11,44.21,44.21,40.94,41.53,9112
2011-07-12,40.84,42.08,39.75,40.29,17650
2011-07-13,41.58,42.18,40.69,40.74,12745
2011-07-14,40.09,41.38,40.09,41.04,9646
2011-07-15,41.78,42.18,40.69,41.88,16563
2011-07-18,40.69,42.23,40.69,41.48,9395
2011-07-19,41.58,41.68,40.89,41.33,12630
2011-07-20,41.78,42.38,40.74,40.84,10719
2011-07-21,40.19,41.18,40.19,40.29,8316
2011-07-22,40.19,40.34,40.19,40.19,7754
2011-07-25,40.19,40.19,39.25,39.7,22480
2011-07-26,39.4,40.79,38.7,39.45,23392
2011-07-27,40.64,40.64,38.26,38.56,45026
2011-07-28,38.06,38.7,37.31,38.16,9159
2011-07-29,37.31,39.05,37.22,37.46,7656
2011-08-01,37.71,38.7,37.22,37.41,11702
2011-08-02,37.46,37.51,35.58,36.02,8488
2011-08-03,37.22,37.22,34.73,34.93,11571
2011-08-04,34.93,36.17,34.24,34.68,10763
2011-08-05,32.8,34.24,28.09,30.76,21817
2011-08-08,29.77,30.27,28.09,29.47,21458
2011-08-09,29.62,31.76,27.69,31.06,28550
2011-08-10,32.25,34.44,31.81,34.14,139615
2011-08-11,34.14,39.7,32.25,36.97,147791
2011-08-12,37.22,38.9,35.83,36.97,24253
2011-08-16,36.72,38.21,35.93,36.27,12955
2011-08-17,35.73,36.47,33.3,33.74,36502
2011-08-18,33.74,34.39,32.75,32.9,40526
2011-08-19,31.76,33.74,30.76,31.66,48901
2011-08-22,31.76,33.2,31.11,31.81,12631
2011-08-23,33.25,33.25,31.21,32.45,111972
2011-08-24,32.1,32.95,30.81,32.4,9314
2011-08-25,32.01,33.49,31.76,32.2,8355
2011-08-26,32.75,32.75,31.46,32.5,15976
2011-08-29,33.34,33.74,32.01,33.2,5905
2011-08-30,33.0,34.14,32.95,33.74,2651
2011-09-02,32.8,34.34,32.8,33.59,4184
2011-09-05,32.85,35.13,32.55,35.08,12532
2011-09-06,34.19,36.12,34.19,35.58,7598
2011-09-07,34.73,36.72,34.73,36.22,25742
2011-09-08,36.52,37.41,35.48,36.72,12114
2011-09-09,36.67,38.21,36.67,37.61,8873
2011-09-12,36.62,37.56,35.73,36.72,14892
2011-09-13,36.77,38.06,36.72,36.72,1979
2011-09-14,36.02,37.41,36.02,36.57,1601
2011-09-15,37.22,37.22,36.22,36.27,1308
2011-09-16,35.78,37.12,35.73,36.02,2876
2011-09-19,35.28,37.22,35.28,37.07,6031
2011-09-20,37.17,37.71,36.67,37.22,2845
2011-09-21,37.46,38.46,36.82,38.11,6013
2011-09-22,37.71,38.95,36.27,37.07,8661
2011-09-23,36.22,37.71,34.98,35.78,11389
2011-09-26,35.53,37.61,35.38,35.63,17200
2011-09-27,35.73,37.51,35.73,36.12,3426
2011-09-28,35.73,37.17,35.73,36.17,5210
2011-09-29,36.17,36.17,33.79,34.73,10688
2011-09-30,34.73,35.68,34.64,34.73,7543
2011-10-03,34.24,35.23,34.24,34.64,2385
2011-10-04,34.09,35.13,34.09,34.68,3653
2011-10-05,34.39,34.98,33.25,33.49,2508
2011-10-07,33.74,34.04,32.75,33.49,3794
2011-10-10,33.84,34.64,33.54,34.09,2650
2011-10-11,33.89,35.53,33.74,33.99,6773
2011-10-12,33.74,34.64,33.49,33.94,7782
2011-10-13,35.53,35.53,33.84,34.19,18367
2011-10-14,33.84,34.19,33.25,33.64,6126
2011-10-17,33.74,34.59,33.44,33.59,3536
2011-10-18,33.3,33.74,33.0,33.3,11448
2011-10-19,33.3,34.19,33.3,33.94,2738
2011-10-20,33.49,34.73,33.34,33.99,5109
2011-10-21,33.59,34.24,33.59,33.74,1002
2011-10-24,33.54,35.03,33.25,33.44,4541
2011-10-25,33.3,34.09,33.1,33.15,4235
2011-10-26,35.48,35.48,32.85,33.49,2733
2011-10-28,33.3,35.18,33.3,33.74,3749
2011-10-31,33.64,34.98,33.64,34.34,2778
2011-11-01,33.84,34.73,33.84,34.39,389
2011-11-02,35.23,35.23,33.84,33.84,1725
2011-11-03,34.73,35.63,33.3,33.44,3425
2011-11-04,34.19,34.24,33.25,33.34,3260
2011-11-08,33.3,33.69,31.76,32.65,11303
2011-11-09,35.23,35.23,32.9,33.15,8389
2011-11-11,32.75,33.74,31.76,33.59,8396
2011-11-14,32.75,35.08,31.16,31.41,10809
2011-11-15,31.16,32.15,31.16,31.76,4344
2011-11-16,30.81,31.76,28.48,31.06,32612
2011-11-17,30.07,31.71,29.82,30.52,1596
2011-11-18,29.28,30.02,28.38,29.28,6004
2011-11-21,28.28,30.12,27.89,29.77,5679
2011-11-22,28.83,31.01,28.78,28.93,5428
2011-11-23,29.28,30.22,26.84,28.13,14256
2011-11-24,26.8,28.78,26.4,28.09,8553
2011-11-25,26.8,29.92,26.3,29.18,6682
2011-11-28,29.23,31.56,29.23,30.52,2817
2011-11-29,36.62,36.62,30.37,30.42,2219
2011-11-30,29.77,30.76,28.78,30.52,249
2011-12-01,29.77,33.34,29.77,31.16,6331
2011-12-02,31.31,31.76,30.81,31.31,2216
2011-12-05,30.27,32.05,29.57,29.77,28349
2011-12-07,29.77,32.75,29.77,32.15,7868
2011-12-08,31.26,32.25,30.76,31.01,5030
2011-12-09,31.61,32.15,30.02,31.61,4607
2011-12-12,30.81,31.71,29.87,30.22,9477
2011-12-13,29.28,31.26,28.78,30.17,1160
2011-12-14,29.42,30.72,28.28,28.33,12279
2011-12-15,28.09,28.28,27.04,27.79,10549
2011-12-16,28.33,28.33,27.04,27.49,2799
2011-12-19,26.8,26.8,24.31,25.46,15159
2011-12-20,24.81,26.45,23.07,25.01,13599
2011-12-21,24.91,25.8,23.67,24.07,13689
2011-12-22,23.42,24.51,21.58,24.07,15471
2011-12-23,24.02,24.81,21.93,22.78,15082
2011-12-26,21.93,22.83,21.44,21.78,19131
2011-12-27,21.44,23.62,21.44,23.37,12030
2011-12-28,22.83,23.67,21.93,22.08,3503
2011-12-29,22.08,22.83,21.04,21.93,9230
2011-12-30,21.34,22.92,21.34,22.43,14665
2012-01-02,23.12,26.89,23.12,26.89,22435
2012-01-03,31.76,32.25,27.94,32.25,121556
2012-01-04,32.75,33.64,30.57,32.7,61200
2012-01-05,31.76,33.05,31.01,32.3,16481
2012-01-06,31.76,33.34,31.31,32.75,7487
2012-01-07,32.1,32.95,32.05,32.75,1017
2012-01-09,31.86,31.86,30.12,30.91,8562
2012-01-10,32.05,32.05,29.87,31.31,4657
2012-01-11,30.52,33.25,30.07,31.66,6074
2012-01-12,31.26,31.71,30.91,31.11,2626
2012-01-13,31.26,32.15,30.76,31.46,8189
2012-01-16,30.76,31.51,30.76,31.36,3409
2012-01-17,30.91,32.75,30.91,32.05,5604
2012-01-18,31.26,31.76,30.91,30.91,3882
