Datetime,Open,High,Low,Close,Volume
2016-06-02,206.08,208.98,200.39,207.86,98737
2016-06-03,205.0,212.09,205.0,209.23,100209
2016-06-06,207.9,210.47,205.43,207.18,49632
2016-06-07,207.25,209.86,203.69,204.82,84071
2016-06-08,204.75,206.51,202.5,202.82,23215
2016-06-09,205.85,205.85,199.96,202.57,61116
2016-06-10,204.08,204.48,196.04,201.6,52212
2016-06-13,200.7,204.66,198.07,200.34,8743
2016-06-14,199.8,204.3,199.78,203.58,21280
2016-06-15,205.47,208.1,201.6,206.71,24257
2016-06-16,208.35,209.25,200.77,207.61,27883
2016-06-17,209.7,209.7,205.13,207.68,22316
2016-06-20,205.85,210.33,204.75,206.57,26757
2016-06-21,208.35,208.35,202.5,205.83,21903
2016-06-22,203.0,206.1,201.15,203.06,11019
2016-06-23,201.6,210.56,200.25,207.65,37513
2016-06-24,204.64,209.03,198.0,207.52,65868
2016-06-27,203.85,210.08,203.85,208.94,37076
2016-06-28,208.35,210.38,204.8,209.52,37223
2016-06-29,206.62,211.5,206.62,209.93,124411
2016-06-30,210.6,211.95,208.8,211.52,27609
2016-07-01,212.85,226.35,212.85,218.05,325033
2016-07-04,219.11,222.75,210.65,214.72,165084
2016-07-05,216.0,216.0,211.5,212.29,21564
2016-07-07,214.65,217.1,208.8,210.02,47351
2016-07-08,210.15,210.6,203.63,207.43,168231
2016-07-11,208.35,210.24,205.43,208.17,25840
2016-07-12,205.97,210.44,205.11,205.88,225936
2016-07-13,204.75,208.53,203.45,207.38,92452
2016-07-14,210.35,215.55,206.55,211.12,130535
2016-07-15,211.12,218.25,208.8,217.73,44100
2016-07-18,222.55,225.9,214.47,222.5,1053250
2016-07-19,224.55,225.56,218.75,222.5,128292
2016-07-20,220.52,234.41,220.52,233.78,296907
2016-07-21,233.78,234.0,227.25,228.67,48169
2016-07-22,229.43,230.72,223.25,224.51,27232
2016-07-25,228.94,236.21,225.02,233.66,83348
2016-07-26,235.78,237.4,230.92,233.91,50388
2016-07-27,233.93,237.53,231.75,233.24,98055
2016-07-28,233.24,234.0,231.95,233.26,252880
2016-07-29,233.26,233.33,227.25,230.4,28933
2016-08-01,227.7,227.7,219.02,222.73,378593
2016-08-02,218.7,221.38,217.15,218.21,89911
2016-08-03,218.21,222.75,216.02,217.89,67588
2016-08-04,218.32,225.0,215.55,216.23,29716
2016-08-05,215.6,218.25,215.6,217.96,23744
2016-08-08,218.25,218.7,216.14,217.82,21351
2016-08-09,220.5,220.95,216.02,217.31,17964
2016-08-10,216.07,218.18,211.5,212.83,37321
2016-08-11,211.52,216.0,211.52,215.78,16580
2016-08-12,215.55,218.68,212.02,213.53,10220
2016-08-16,211.95,216.9,211.61,215.6,43191
2016-08-17,211.75,218.52,209.25,217.87,58636
2016-08-18,217.87,220.95,216.16,218.25,126273
2016-08-19,218.23,218.25,213.77,214.58,21468
2016-08-22,219.51,224.55,216.7,218.45,267327
2016-08-23,219.6,226.55,217.13,224.01,128433
2016-08-24,223.99,225.45,221.85,224.64,55340
2016-08-25,225.0,225.43,221.4,222.1,12543
2016-08-26,224.08,224.08,214.47,215.78,68656
2016-08-29,217.91,218.5,210.31,213.05,39940
2016-08-30,211.52,215.78,211.5,213.05,15601
2016-08-31,215.08,215.71,212.18,213.84,13617
2016-09-01,213.89,216.92,213.75,215.42,61137
2016-09-02,218.0,218.03,212.27,215.51,86927
2016-09-06,217.33,217.33,212.63,213.68,14151
2016-09-07,214.2,215.78,211.64,214.25,15797
2016-09-08,212.42,216.0,212.42,213.84,12933
2016-09-09,216.81,218.25,209.5,210.8,37236
2016-09-12,209.93,209.93,203.0,205.38,340480
2016-09-14,208.13,208.13,200.86,202.68,29899
2016-09-15,203.85,205.38,198.23,199.87,137156
2016-09-16,201.83,201.83,195.75,196.83,82265
2016-09-19,194.4,198.0,194.4,195.91,1086018
2016-09-20,197.89,198.0,193.59,194.78,326411
2016-09-21,196.0,196.88,189.54,190.26,50885
2016-09-22,191.25,196.85,191.25,195.62,824442
2016-09-23,198.0,198.0,193.5,194.45,23703
2016-09-26,199.35,199.35,188.1,189.65,44153
2016-09-27,191.34,204.28,186.75,197.53,334943
2016-09-28,198.02,198.02,191.5,192.89,72319
2016-09-29,194.4,203.87,188.15,199.46,93412
2016-09-30,201.85,201.85,193.73,197.8,166895
2016-10-03,194.47,199.33,194.47,196.76,169041
2016-10-04,199.64,199.64,191.34,193.68,37663
2016-10-05,191.3,198.88,190.13,195.75,52193
