Datetime,Open,High,Low,Close,Volume
2011-06-01,561.1,561.1,559.95,561.05,442
2011-06-02,561.05,580.0,561.05,575.75,405
2011-06-03,574.5,580.05,574.5,578.15,144
2011-06-06,580.0,580.0,566.0,576.85,50
2011-06-08,580.0,589.95,570.0,570.4,295
2011-06-09,561.45,589.95,561.45,587.05,529
2011-06-10,575.35,588.0,575.35,576.3,128
2011-06-13,571.6,571.6,556.0,561.6,1404
2011-06-14,557.0,571.0,557.0,562.2,197
2011-06-15,560.0,571.0,559.05,563.75,203
2011-06-16,571.0,571.0,558.0,564.55,148
2011-06-17,556.0,572.0,555.35,561.4,101
2011-06-20,589.0,589.0,540.0,544.4,427
2011-06-21,544.1,550.0,536.0,537.6,260
2011-06-22,557.9,557.9,537.4,542.8,109
2011-06-23,543.0,550.0,536.4,539.85,711
2011-06-24,559.95,559.95,545.2,550.15,176
2011-06-27,564.95,564.95,545.45,550.05,12
2011-06-28,545.05,555.0,545.0,549.95,65
2011-06-29,564.35,572.0,560.0,566.3,1329
2011-06-30,574.9,579.0,555.0,556.75,447
2011-07-01,580.0,589.4,561.0,576.0,216
2011-07-04,576.0,594.85,575.0,593.85,827
2011-07-05,581.0,597.0,581.0,590.65,237
2011-07-06,599.75,617.0,581.6,597.15,998
2011-07-07,587.1,606.95,587.1,596.3,442
2011-07-08,600.0,608.95,596.0,605.9,1205
2011-07-11,601.35,607.0,595.0,605.95,81
2011-07-12,595.95,610.0,582.0,586.0,833
2011-07-13,596.0,606.0,596.0,603.75,309
2011-07-14,609.95,609.95,593.5,597.35,534
2011-07-15,600.0,601.0,594.6,598.0,151
2011-07-18,608.0,611.6,580.0,585.15,585
2011-07-19,595.0,605.0,590.0,600.35,926
2011-07-20,590.1,609.0,590.1,603.85,75
2011-07-21,600.0,610.0,590.5,598.6,249
2011-07-22,605.0,611.05,600.0,605.7,318
2011-07-25,614.0,615.0,600.0,600.5,513
2011-07-26,600.0,612.0,590.0,603.15,491
2011-07-27,581.3,604.0,581.3,594.85,372
2011-07-28,595.0,603.95,590.1,600.0,1546
2011-07-29,600.0,600.0,580.0,581.25,582
2011-08-01,587.0,590.0,580.3,586.85,385
2011-08-02,585.0,585.0,553.0,575.05,607
2011-08-03,568.0,570.0,551.1,556.65,678
2011-08-04,560.0,590.0,560.0,567.0,392
2011-08-05,557.4,577.0,540.0,561.2,1069
2011-08-08,551.0,556.1,530.0,533.2,1190
2011-08-09,524.25,554.0,524.25,536.95,123
2011-08-10,541.0,555.3,527.0,530.3,580
2011-08-11,530.1,544.75,517.0,524.95,975
2011-08-12,527.1,535.0,521.9,528.25,198
2011-08-16,534.15,534.15,515.0,523.3,1129
2011-08-17,521.0,521.0,510.0,510.35,634
2011-08-18,520.0,520.0,487.0,493.35,1094
2011-08-19,487.0,487.0,467.95,472.15,1416
2011-08-22,460.0,550.0,453.35,534.1,2830
2011-08-23,544.0,574.9,524.0,549.2,2962
2011-08-24,557.0,569.95,550.0,560.0,1208
2011-08-25,560.0,570.0,560.0,566.05,350
2011-08-26,560.0,573.95,560.0,560.45,257
2011-08-29,573.4,579.1,560.0,563.15,533
2011-08-30,554.0,624.9,543.05,620.1,2127
2011-09-02,620.1,629.0,620.0,626.1,325
2011-09-05,636.0,636.0,620.0,631.1,756
2011-09-06,621.2,634.95,620.0,620.65,329
2011-09-07,630.5,630.5,620.0,620.0,199
2011-09-08,644.9,644.9,620.0,621.5,95
2011-09-09,621.5,630.5,620.0,620.0,266
2011-09-12,620.0,629.95,620.0,627.7,641
2011-09-13,620.0,629.9,620.0,620.0,129
2011-09-14,624.7,639.8,620.0,631.05,416
2011-09-15,625.0,633.0,620.5,622.25,381
2011-09-16,625.0,627.0,624.0,625.7,148
2011-09-19,627.0,627.0,620.0,620.0,91
2011-09-20,624.0,625.0,622.0,622.0,69
2011-09-21,630.0,630.0,620.0,620.0,43
2011-09-22,620.0,622.0,620.0,620.35,307
2011-09-23,629.5,629.5,620.0,621.05,387
2011-09-26,620.0,620.0,600.0,610.0,3684
2011-09-27,625.0,625.0,600.0,603.0,250
2011-09-28,603.0,603.0,600.0,600.85,120
2011-09-29,624.95,624.95,600.0,600.2,414
2011-09-30,600.0,613.25,600.0,613.25,214
2011-10-03,600.0,617.45,585.2,588.85,868
2011-10-04,619.6,619.6,575.0,575.45,86
2011-10-05,576.0,610.0,570.0,575.0,1661
2011-10-07,599.85,599.85,575.0,578.35,135
2011-10-10,580.0,580.0,580.0,580.0,7
2011-10-11,590.0,590.0,575.0,588.35,331
2011-10-12,593.0,593.0,575.0,575.5,386
2011-10-13,589.85,589.9,576.15,579.75,92
2011-10-14,599.4,599.4,575.0,578.1,305
2011-10-17,599.95,599.95,575.0,575.05,1771
2011-10-18,586.0,590.0,578.05,586.45,94
2011-10-19,590.0,600.0,575.1,593.45,878
2011-10-20,580.0,595.0,580.0,586.85,172
2011-10-21,598.0,639.15,592.2,597.65,476
2011-10-24,600.0,600.0,581.3,582.55,158
2011-10-25,582.1,585.0,580.0,582.85,132
2011-10-26,609.0,609.0,575.05,591.2,40
2011-10-28,587.0,593.45,580.0,583.95,158
2011-10-31,580.7,587.0,580.05,581.7,30
2011-11-01,593.0,594.0,576.05,576.1,64
2011-11-02,582.1,591.0,581.0,589.35,14
2011-11-03,580.0,590.8,580.0,590.8,20
2011-11-04,585.15,589.45,575.3,589.05,546
2011-11-08,585.0,585.0,575.0,582.2,324
2011-11-09,580.0,591.95,576.0,576.5,88
2011-11-11,589.9,589.9,575.0,575.3,74
2011-11-14,575.05,579.4,575.0,575.0,531
2011-11-15,578.5,578.5,501.15,519.2,2108
2011-11-16,530.0,534.9,521.6,528.1,104
2011-11-17,532.0,533.0,522.05,532.55,64
2011-11-18,521.5,539.0,520.0,534.55,141
2011-11-21,524.0,524.0,510.0,512.6,512
2011-11-22,510.0,528.95,505.05,510.65,170
2011-11-23,518.85,518.9,505.0,511.05,194
2011-11-24,515.95,515.95,496.0,508.0,600
2011-11-25,505.0,515.1,501.6,515.0,31
2011-11-28,502.0,515.0,485.0,490.2,2268
2011-11-29,499.9,499.9,490.0,490.4,50297
2011-11-30,490.05,514.9,490.05,510.55,71445
2011-12-01,520.0,520.0,510.0,518.95,54
2011-12-02,521.0,521.0,502.0,504.0,108
2011-12-05,519.0,520.0,512.0,512.0,121
2011-12-07,529.8,530.0,510.0,520.85,92
2011-12-08,506.0,519.2,506.0,510.6,122
2011-12-09,501.0,518.0,501.0,510.0,249
2011-12-12,548.95,548.95,510.05,511.5,245
2011-12-13,508.0,509.0,505.0,505.0,315
2011-12-14,504.5,504.5,502.0,502.0,218
2011-12-15,500.0,515.0,500.0,515.0,182
2011-12-16,500.0,517.05,500.0,507.0,297
2011-12-19,502.0,505.0,500.0,500.1,3737
2011-12-20,500.0,547.7,500.0,505.9,238
2011-12-21,511.9,511.9,500.0,508.9,355
2011-12-22,500.0,513.5,500.0,510.0,272
2011-12-23,520.0,522.95,505.0,516.6,140
2011-12-26,502.05,505.0,502.05,505.0,33
2011-12-27,519.5,519.5,508.0,508.0,95
