Datetime,Open,High,Low,Close,Volume
2021-03-04,12.7,14.8,12.58,12.83,8315650
2021-03-05,12.94,13.23,12.0,12.19,1118750
2021-03-08,12.05,12.12,11.4,11.7,756020
2021-03-09,12.18,12.48,11.52,11.8,755550
2021-03-10,12.29,12.29,11.48,11.99,414770
2021-03-12,12.13,12.2,11.52,11.63,395300
2021-03-15,11.63,11.79,11.43,11.48,257650
2021-03-16,11.7,11.76,11.31,11.33,276830
2021-03-17,11.1,11.48,10.7,10.83,401940
2021-03-18,10.72,11.05,10.2,10.37,579110
2021-03-19,10.06,10.37,9.82,10.06,639880
2021-03-22,10.2,11.79,10.07,11.42,1228950
2021-03-23,11.52,11.99,11.23,11.42,497240
2021-03-24,11.4,11.4,10.77,10.92,229200
2021-03-25,11.04,11.04,10.33,10.44,462320
2021-03-26,10.97,10.97,10.25,10.38,213410
2021-03-30,10.91,11.3,10.45,10.64,305100
2021-03-31,10.84,10.88,10.55,10.71,192070
2021-04-01,10.61,10.98,10.6,10.67,389450
2021-04-05,10.8,10.8,9.8,10.13,872900
2021-04-06,10.28,10.6,10.21,10.36,537680
2021-04-07,10.3,10.7,10.3,10.37,220400
2021-04-08,10.31,11.97,10.31,11.73,1442570
2021-04-09,12.14,12.75,11.46,12.52,4358050
2021-04-12,12.29,12.58,10.8,10.94,3066280
2021-04-13,11.02,12.27,10.96,11.87,3979430
2021-04-15,12.0,13.0,11.68,12.65,9883310
2021-04-16,12.9,13.44,12.66,13.12,9024820
2021-04-19,12.62,12.65,11.71,12.3,1384580
2021-04-20,12.34,12.72,12.01,12.07,1230960
2021-04-22,12.08,12.44,11.6,12.19,1365740
2021-04-23,12.29,12.41,12.0,12.08,693770
2021-04-26,12.39,12.39,11.95,11.99,684200
2021-04-27,12.1,12.43,12.06,12.25,570280
2021-04-28,12.44,12.7,12.1,12.16,853060
2021-04-29,12.17,12.48,11.9,12.03,567410
2021-04-30,12.05,12.59,11.87,12.14,1732730
2021-05-03,12.14,12.9,12.01,12.56,1751960
2021-05-04,12.5,12.99,12.2,12.25,1654310
2021-05-05,12.45,12.49,12.15,12.22,509800
2021-05-06,12.36,12.8,12.03,12.6,1330000
2021-05-07,12.8,13.17,12.35,12.5,2370980
2021-05-10,12.61,14.5,12.52,14.1,6948520
2021-05-11,14.3,15.54,13.8,14.66,7062110
2021-05-12,14.87,15.16,14.11,14.38,2545100
2021-05-14,14.7,14.78,13.16,13.63,2262270
2021-05-17,13.82,14.2,13.78,14.11,761230
2021-05-18,14.13,15.1,14.03,14.66,1395430
2021-05-19,14.82,15.07,14.21,14.28,683070
2021-05-20,14.45,14.56,13.92,13.98,888510
2021-05-21,13.8,15.89,13.8,15.55,6395140
2021-05-24,16.0,16.42,15.63,16.02,5887800
2021-05-25,16.1,16.4,15.66,15.88,1405060
2021-05-26,15.96,15.96,15.28,15.46,795800
2021-05-27,15.55,15.6,14.97,15.03,1042840
2021-05-28,15.03,15.35,14.7,14.76,578730
2021-05-31,15.08,17.1,15.08,16.53,7933190
2021-06-01,16.79,17.26,15.74,16.88,3473160
2021-06-02,17.1,17.25,16.54,16.76,1119570
2021-06-03,17.11,18.5,17.01,18.13,7378870
2021-06-04,18.3,18.38,17.7,17.96,1388670
2021-06-07,18.69,18.69,17.9,18.08,1913430
2021-06-08,18.2,18.64,17.44,18.27,2509370
2021-06-09,18.6,20.1,18.4,19.04,9937490
2021-06-10,19.2,21.01,19.2,19.82,5852630
2021-06-11,20.0,20.64,19.6,19.74,2355760
2021-06-14,19.85,19.85,18.5,19.44,1596050
2021-06-15,19.5,19.62,18.51,18.74,1894400
2021-06-16,18.88,19.24,18.36,18.69,1318770
2021-06-17,18.6,22.38,18.5,21.84,13179790
2021-06-18,22.5,23.0,19.87,21.53,7984570
2021-06-21,20.9,23.51,20.57,22.97,6008220
2021-06-22,23.01,23.7,22.3,22.52,2249600
2021-06-23,22.37,23.26,22.37,22.75,1849420
2021-06-24,22.92,23.16,22.03,22.4,1546980
2021-06-25,22.46,25.9,22.41,25.45,11314620
2021-06-28,25.9,27.2,25.5,25.88,5254140
2021-06-29,25.89,26.98,25.88,26.47,1911490
2021-06-30,26.65,27.66,26.5,26.91,2580750
2021-07-01,26.99,27.9,26.61,27.61,1972320
2021-07-02,27.9,28.97,27.3,28.0,3249180
2021-07-05,28.41,28.6,25.01,26.52,2257220
2021-07-06,26.98,26.98,25.05,25.3,3125960
2021-07-07,25.49,25.92,24.31,25.32,4073570
2021-07-08,25.68,27.9,25.66,27.3,6204630
2021-07-09,28.0,28.1,26.31,26.77,2291820
2021-07-12,27.0,27.39,26.01,26.15,1560060
2021-07-13,26.6,26.79,26.0,26.12,962630
2021-07-14,26.45,26.45,25.67,25.9,884660
2021-07-15,26.19,27.44,25.9,26.89,2769690
2021-07-16,27.07,27.1,26.22,26.34,1000170
2021-07-19,25.7,27.0,25.66,26.1,1473540
2021-07-20,26.2,26.48,24.38,25.06,1577450
2021-07-22,25.89,25.89,25.06,25.24,966790
2021-07-23,25.59,25.59,24.7,24.88,724100
2021-07-26,25.6,25.6,24.5,24.83,645590
2021-07-27,24.91,26.99,24.76,26.55,2612350
2021-07-28,26.98,27.21,25.5,26.21,1965400
2021-07-29,26.49,26.91,25.51,25.72,1259820
2021-07-30,26.0,26.46,25.8,26.3,969160
2021-08-02,26.59,26.6,25.8,26.05,828270
2021-08-03,26.2,26.27,25.0,25.49,973670
2021-08-04,25.67,26.5,25.54,25.66,1840450
2021-08-05,25.9,25.9,24.4,24.83,1259890
2021-08-06,25.11,25.55,24.57,24.95,1288970
2021-08-09,25.0,27.66,25.0,27.27,6873790
2021-08-10,27.39,28.55,25.31,25.58,9234600
2021-08-11,25.55,25.55,22.4,24.06,6164250
2021-08-12,24.07,25.0,24.07,24.8,1724230
2021-08-13,24.95,25.98,23.95,24.39,1606330
2021-08-16,24.54,25.0,24.03,24.18,1322250
2021-08-17,24.2,24.73,23.24,23.68,1296660
2021-08-18,23.72,24.05,22.5,22.74,1373390
2021-08-20,22.49,23.1,21.6,22.1,2077170
2021-08-23,22.29,22.72,19.23,20.16,2458040
2021-08-24,20.5,21.85,20.2,21.4,1350270
2021-08-25,21.63,23.84,21.51,22.65,2217160
2021-08-26,22.6,23.2,22.55,22.8,1097080
2021-08-27,23.0,23.25,22.8,23.06,447970
2021-08-30,23.17,23.46,23.07,23.13,493460
2021-08-31,23.3,23.3,21.91,22.13,857140
2021-09-01,22.37,22.57,22.12,22.21,529960
2021-09-02,22.15,22.9,22.15,22.54,606500
2021-09-03,22.78,22.78,21.36,22.41,865800
2021-09-06,22.4,23.27,22.34,22.98,994600
2021-09-07,22.67,23.1,22.61,22.84,386730
2021-09-08,23.05,23.85,22.34,23.22,691380
2021-09-09,23.4,24.8,23.28,24.3,1717660
2021-09-13,24.2,24.7,23.71,24.01,881880
2021-09-14,24.16,24.78,23.9,24.01,830060
2021-09-15,24.2,24.45,24.0,24.21,693820
2021-09-16,24.48,24.62,23.81,23.99,648850
2021-09-17,24.17,24.4,23.2,23.76,777970
2021-09-20,23.49,23.58,22.6,22.94,515610
2021-09-21,23.0,23.04,21.91,22.57,697730
2021-09-22,22.6,23.49,22.5,23.24,396930
2021-09-23,23.3,23.64,22.71,22.82,508020
2021-09-24,23.11,25.68,23.01,24.42,3845690
2021-09-27,24.43,24.65,23.4,23.86,979910
2021-09-28,24.05,24.06,23.03,23.29,721020
2021-09-29,23.29,23.69,23.1,23.21,394200
2021-09-30,23.21,23.56,23.11,23.3,354120
2021-10-01,23.2,23.39,22.87,22.95,310050
2021-10-04,23.38,23.72,23.08,23.34,496070
2021-10-05,23.05,24.09,23.0,23.68,916460
2021-10-06,24.3,24.77,23.8,24.23,1339760
2021-10-07,24.5,24.79,23.92,24.05,401060
2021-10-08,24.39,25.9,24.02,25.27,2691940
2021-10-11,26.0,26.44,24.32,25.11,1556750
2021-10-12,25.08,26.4,24.69,26.12,1485740
2021-10-13,26.49,26.49,25.61,26.12,1178690
2021-10-14,26.3,26.4,25.28,25.58,884930
2021-10-18,25.74,25.96,24.46,24.86,671930
2021-10-19,24.8,25.2,23.4,23.79,798040
