Datetime,Open,High,Low,Close,Volume
2026-08-17,10178.0,10178.0,10178.0,10178.0,2
2026-08-18,10190.0,10300.0,10100.0,10205.0,50
2026-08-19,10050.0,10500.0,10000.0,10189.0,160
2026-08-20,10200.0,10250.0,10200.0,10200.0,86
2026-08-21,10245.0,10299.0,10200.0,10200.0,61
2026-08-24,10298.0,10500.0,10200.0,10336.0,170
2026-08-25,10300.0,10300.0,10201.0,10201.0,33
2026-08-26,10202.0,10333.0,10200.0,10200.0,23
2026-08-27,10275.0,10275.0,10081.0,10200.0,23
2026-08-28,10025.0,10270.0,10000.0,10122.0,167
2026-08-31,10101.0,10290.0,9965.0,10200.0,124
2026-09-01,10200.0,10349.0,10141.0,10312.0,74
2026-09-02,10201.0,10300.0,10008.0,10155.0,44
2026-09-03,10200.0,10249.0,10160.0,10200.0,96
2026-09-04,10270.0,10270.0,10200.0,10200.0,107
2026-09-07,10248.0,10399.0,10052.0,10134.0,39
2026-09-08,10120.0,10250.0,10120.0,10250.0,57
2026-09-09,10148.0,10555.0,10070.0,10520.0,279
2026-09-10,10360.0,11200.0,10205.0,10736.0,341
2026-09-11,10897.0,11100.0,10796.0,11085.0,467
2026-09-15,11199.0,11499.0,10460.0,11001.0,250
