Datetime,Open,High,Low,Close,Volume
2011-06-01,358.0,365.0,356.2,362.8,1782
2011-06-02,355.2,374.0,355.0,367.45,14065
2011-06-03,368.0,370.5,355.5,358.4,5476
2011-06-06,355.15,362.0,348.4,353.4,16066
2011-06-07,351.1,358.95,351.1,357.1,5385
2011-06-08,358.7,362.5,356.3,358.9,2992
2011-06-09,361.0,361.95,358.2,360.05,1839
2011-06-10,362.45,363.0,356.2,361.2,4042
2011-06-13,360.0,424.4,358.1,416.1,516126
2011-06-14,412.0,415.0,393.1,398.85,175876
2011-06-15,401.75,402.8,382.4,385.8,37407
2011-06-16,383.0,402.0,378.1,390.25,135282
2011-06-17,393.05,394.9,383.3,385.4,15022
2011-06-20,384.0,390.7,363.0,371.75,14749
2011-06-21,367.3,377.0,363.0,369.05,10944
2011-06-22,395.0,395.0,365.6,371.85,13828
2011-06-23,363.1,377.0,363.1,368.65,19953
2011-06-24,367.3,383.0,367.3,379.6,15427
2011-06-27,370.1,391.4,370.1,377.0,32984
2011-06-28,377.0,384.45,377.0,382.65,11516
2011-06-29,380.15,389.0,380.15,382.8,9723
2011-06-30,384.0,386.5,382.5,383.9,4023
2011-07-01,385.95,387.5,382.9,385.1,4085
2011-07-04,388.95,397.95,388.95,394.95,11874
2011-07-05,397.4,414.0,393.0,404.35,75140
2011-07-06,404.0,413.8,403.0,405.2,35982
2011-07-07,403.95,406.85,397.65,399.25,10548
2011-07-08,401.0,404.35,391.6,394.85,11521
2011-07-11,387.75,408.7,387.75,398.9,20233
2011-07-12,392.0,402.0,390.0,394.4,5152
2011-07-13,395.3,404.8,395.3,398.0,29725
2011-07-14,388.0,390.0,385.0,388.3,7864
2011-07-15,387.05,392.9,384.0,386.15,6657
2011-07-18,386.5,397.8,380.75,388.2,27577
2011-07-19,383.6,393.65,379.05,382.05,9590
2011-07-20,387.9,390.9,367.2,370.0,22907
2011-07-21,374.65,391.95,357.9,383.65,303238
2011-07-22,386.0,392.4,376.95,379.2,38224
2011-07-25,380.0,386.9,378.15,380.55,11697
2011-07-26,381.6,381.6,371.0,372.25,13158
2011-07-27,368.1,373.9,365.5,369.55,6603
2011-07-28,369.5,369.5,362.0,363.9,7871
2011-07-29,360.85,373.95,360.85,363.7,7929
2011-08-01,365.55,370.0,358.0,359.15,5797
2011-08-02,359.15,362.8,353.05,357.1,4953
2011-08-03,351.1,354.0,349.1,353.0,5758
2011-08-04,354.0,363.0,348.0,350.25,5146
2011-08-05,341.0,343.45,335.0,339.65,9953
2011-08-08,331.9,337.0,313.65,329.15,12398
2011-08-09,320.1,334.9,314.6,328.6,7175
2011-08-10,341.0,341.0,332.0,334.6,5703
2011-08-11,332.5,349.05,327.05,332.05,23038
2011-08-12,333.0,336.9,329.0,330.4,6330
2011-08-16,328.1,344.9,327.2,329.6,6043
2011-08-17,327.05,331.9,322.0,324.85,7470
2011-08-18,321.1,328.85,308.0,312.0,10067
2011-08-19,307.9,309.45,304.0,305.3,9040
2011-08-22,307.9,314.9,303.85,308.7,5218
2011-08-23,307.2,318.0,307.2,309.8,10989
2011-08-24,309.0,315.0,306.0,309.5,7082
2011-08-25,309.55,314.0,305.2,311.35,3492
2011-08-26,309.0,314.85,304.1,305.6,2894
2011-08-29,303.0,316.0,303.0,313.95,3446
2011-08-30,315.2,319.7,312.1,315.45,1611
2011-09-02,301.25,317.4,301.25,313.35,5098
2011-09-05,306.0,316.95,306.0,315.3,3579
2011-09-06,316.0,325.0,315.0,322.1,6713
2011-09-07,320.0,333.0,320.0,329.45,9689
2011-09-08,325.25,333.0,324.0,325.1,6076
2011-09-09,325.0,328.95,315.0,318.05,6123
2011-09-12,318.05,318.05,309.0,314.75,2407
2011-09-13,319.1,332.5,309.05,318.15,19195
2011-09-14,319.0,328.1,315.1,322.6,2686
2011-09-15,322.2,324.45,320.05,322.65,504
2011-09-16,320.45,332.0,320.45,330.2,5656
2011-09-19,327.0,332.0,324.05,329.0,4581
2011-09-20,323.0,338.0,323.0,330.95,8350
2011-09-21,328.1,338.95,328.1,334.8,4944
2011-09-22,329.0,330.95,320.1,321.55,7307
2011-09-23,318.55,325.0,309.95,314.05,11383
2011-09-26,311.0,317.55,307.1,311.5,6207
2011-09-27,308.7,316.25,308.7,314.45,1848
2011-09-28,312.05,317.45,308.0,309.4,4377
2011-09-29,306.0,314.0,306.0,312.5,2744
2011-09-30,301.0,319.85,298.45,313.75,6316
2011-10-03,313.75,313.75,305.6,310.65,4190
2011-10-04,308.0,313.95,306.9,310.55,3720
2011-10-05,307.0,316.0,307.0,310.25,2998
2011-10-07,310.4,318.35,310.4,315.1,1972
