Datetime,Open,High,Low,Close,Volume
2017-01-16,303.67,306.87,287.69,291.14,2387
2017-01-17,294.08,294.08,284.11,290.53,1168
2017-01-18,263.46,303.03,263.46,285.96,1191
2017-01-19,287.69,294.02,275.61,282.61,683
2017-01-20,280.02,284.43,269.98,275.13,959
2017-01-23,277.52,286.44,270.43,283.18,1137
2017-01-24,283.18,287.05,282.57,284.2,266
2017-01-25,285.13,326.69,285.13,315.88,5167
2017-01-27,319.65,326.05,310.07,315.79,1781
2017-01-30,303.16,319.65,294.05,305.14,1385
2017-01-31,303.67,315.79,296.0,300.06,1481
2017-02-01,300.48,309.43,295.68,304.5,876
2017-02-02,303.9,319.65,299.23,310.38,958
2017-02-03,302.74,316.46,302.71,315.18,1720
2017-02-06,313.23,343.56,313.23,319.46,3919
2017-02-07,326.05,326.05,313.26,315.34,678
2017-02-08,325.41,325.41,306.87,311.54,1785
2017-02-09,318.66,319.65,299.77,315.53,2596
2017-02-10,319.02,319.02,300.48,301.4,1501
2017-02-13,306.87,306.87,290.89,294.98,1082
2017-02-14,294.79,303.54,294.79,299.84,638
2017-02-15,294.08,306.84,282.57,291.59,773
2017-02-16,301.08,309.11,294.75,307.19,1439
2017-02-17,313.23,320.29,305.14,310.29,3530
2017-02-20,311.98,321.57,311.98,319.62,5993
2017-02-21,319.65,322.85,313.93,319.46,4236
2017-02-22,320.93,320.93,308.18,309.11,673
2017-02-23,307.06,311.95,299.84,309.04,947
2017-02-27,304.98,310.03,292.8,295.04,1810
2017-02-28,295.58,303.51,290.25,300.38,1893
2017-03-01,294.72,301.66,269.79,295.39,982
2017-03-02,299.8,303.67,289.61,294.43,2484
2017-03-03,291.53,303.67,291.53,299.04,1110
2017-03-06,293.44,302.62,290.98,294.85,575
2017-03-07,301.08,303.58,294.11,297.18,1265
2017-03-08,294.08,302.39,291.14,298.17,691
2017-03-09,292.29,300.44,292.26,296.19,533
2017-03-10,303.0,303.03,285.13,290.85,991
2017-03-14,292.8,303.64,285.2,287.85,2351
2017-03-15,287.69,287.69,274.9,279.06,2315
2017-03-16,281.3,286.44,267.87,281.9,6386
2017-03-17,280.62,294.08,274.9,285.84,3790
2017-03-20,285.84,287.72,276.18,283.47,11146
2017-03-21,284.52,289.32,281.94,288.97,3026
2017-03-22,288.97,289.0,283.21,284.27,1776
2017-03-23,282.83,293.44,282.57,283.53,1872
2017-03-24,283.85,287.69,283.31,285.39,3341
2017-03-27,285.13,285.71,278.45,282.03,3127
2017-03-28,284.4,287.05,261.29,275.09,8441
2017-03-29,277.46,281.23,262.76,267.42,8905
2017-03-30,267.23,276.02,261.67,272.03,2913
2017-03-31,281.94,290.89,269.85,284.72,6948
2017-04-03,290.5,290.5,277.33,281.84,3203
2017-04-05,278.74,285.39,270.01,272.99,3463
2017-04-06,271.07,272.99,262.08,265.41,6964
2017-04-07,266.59,271.67,264.67,265.98,3764
2017-04-10,265.95,265.95,255.72,258.47,5067
2017-04-11,260.81,264.35,257.61,260.87,4516
2017-04-12,262.12,262.12,257.77,258.03,2593
2017-04-13,265.92,265.92,254.45,259.37,4132
2017-04-17,259.53,262.12,228.23,259.66,3569
2017-04-18,262.12,265.92,255.76,260.33,2749
2017-04-19,258.89,278.67,257.64,271.07,6376
2017-04-20,268.51,280.4,268.51,269.85,2000
2017-04-21,269.18,274.84,260.2,262.5,1483
2017-04-24,262.12,267.71,262.12,265.06,4315
2017-04-25,268.51,272.95,256.36,262.44,5798
2017-04-26,263.04,265.28,246.77,254.51,3908
2017-04-27,264.67,264.67,241.02,249.2,12256
2017-04-28,246.13,252.85,242.46,249.01,2564
2017-05-02,257.0,257.0,244.79,245.46,1143
2017-05-03,247.99,247.99,236.61,239.07,1595
2017-05-04,239.74,258.28,236.99,256.3,9818
2017-05-05,252.56,260.84,250.67,256.91,1651
2017-05-08,252.53,255.72,249.97,251.6,1010
2017-05-09,252.4,257.0,246.13,251.89,2814
2017-05-10,251.7,262.12,250.61,256.2,3840
2017-05-11,258.28,262.12,246.9,250.0,3615
2017-05-12,248.69,258.25,244.22,255.12,5957
