Datetime,Open,High,Low,Close,Volume
2021-06-04,7.45,7.55,7.05,7.25,390160
2021-06-07,7.4,7.5,7.1,7.2,327675
2021-06-08,7.3,7.3,7.0,7.05,455701
2021-06-09,7.1,8.4,6.65,7.3,3620170
2021-06-10,7.45,8.75,7.3,8.6,4115632
2021-06-11,9.2,9.7,8.1,8.3,3957978
2021-06-14,8.4,8.6,8.0,8.4,974888
2021-06-15,8.5,8.65,8.25,8.4,513200
2021-06-16,8.55,10.05,8.4,10.05,14453128
2021-06-17,10.05,11.8,9.75,10.75,10127668
2021-06-18,11.0,11.0,9.7,9.9,3122302
2021-06-21,9.9,10.15,9.3,9.8,1069094
2021-06-22,10.0,10.35,9.8,9.95,1029925
2021-06-23,10.25,10.25,9.65,9.75,566374
2021-06-24,9.85,9.9,9.3,9.35,568707
2021-06-25,9.45,9.5,8.7,9.1,631127
2021-06-28,9.5,10.0,9.05,10.0,1394295
2021-06-29,10.15,10.7,9.8,10.15,1607732
2021-06-30,10.5,10.7,9.7,10.0,747856
2021-07-01,10.45,10.45,9.9,9.95,474026
2021-07-02,10.0,10.1,9.5,9.6,451491
2021-07-05,9.65,10.55,9.45,10.3,1304802
2021-07-06,10.4,10.4,9.8,9.9,652481
2021-07-07,9.9,9.9,9.6,9.7,293838
2021-07-08,9.6,9.9,8.85,9.4,481418
2021-07-09,9.5,9.8,9.1,9.5,405600
2021-07-12,9.8,9.8,9.3,9.35,278135
2021-07-13,9.35,9.55,9.3,9.4,243848
2021-07-14,9.4,10.3,9.25,10.1,1635026
2021-07-15,10.15,10.4,10.1,10.2,549144
2021-07-16,10.35,10.45,9.85,9.9,395365
2021-07-19,9.9,10.1,9.65,9.8,316577
2021-07-20,9.85,10.0,9.3,9.5,298069
2021-07-22,9.5,9.85,9.5,9.65,201362
2021-07-23,9.8,9.8,9.2,9.3,326992
2021-07-26,9.5,9.6,9.3,9.35,147297
2021-07-27,9.55,9.75,9.3,9.4,233255
2021-07-28,9.2,9.5,9.1,9.15,167941
2021-07-29,9.25,9.45,9.05,9.3,214995
2021-07-30,9.5,10.15,9.05,9.75,1180768
2021-08-02,10.45,10.45,9.8,10.0,462900
2021-08-03,10.1,10.1,9.5,9.65,425791
2021-08-04,9.8,9.95,9.25,9.35,373478
2021-08-05,9.45,9.45,9.1,9.35,228392
