Datetime,Open,High,Low,Close,Volume
2026-07-01,681.0,722.7,623.1,668.1,4174258
2026-07-02,680.0,734.9,680.0,734.9,1484942
2026-07-03,780.0,808.35,780.0,808.35,3220957
2026-07-06,793.0,819.5,737.0,765.9,2069250
2026-07-07,766.0,832.8,766.0,791.9,1610610
2026-07-08,783.55,849.0,777.45,821.5,1562217
2026-07-09,827.05,903.65,818.65,858.25,2222732
2026-07-10,870.0,884.7,836.5,862.1,1444566
2026-07-13,855.05,884.95,841.15,854.45,493372
2026-07-14,850.05,854.2,810.2,823.55,434765
2026-07-15,827.0,835.95,802.1,808.85,216302
