Datetime,Open,High,Low,Close,Volume
2021-06-04,22.15,22.15,20.1,20.75,1781564
2021-06-07,21.5,22.8,21.0,22.7,1002637
2021-06-08,23.8,24.95,22.85,24.8,2390117
2021-06-09,25.9,26.25,25.0,25.55,1339735
2021-06-10,26.25,28.1,26.1,28.1,731008
2021-06-11,29.4,29.5,26.7,27.05,2816410
2021-06-14,27.5,28.0,25.7,26.55,1518724
2021-06-15,26.9,27.3,25.3,26.05,725881
2021-06-16,26.9,27.0,25.0,25.15,599750
2021-06-17,24.5,25.1,24.1,24.55,427047
2021-06-18,24.6,25.45,23.35,23.95,656236
2021-06-21,23.6,25.1,23.1,25.1,573398
2021-06-22,25.45,26.35,25.15,25.55,1017360
2021-06-23,25.5,25.85,24.3,24.45,697439
2021-06-24,24.95,25.0,23.85,24.2,418542
2021-06-25,24.1,24.9,23.4,24.35,410555
2021-06-28,24.55,25.55,24.4,25.55,559984
2021-06-29,25.9,25.9,24.5,24.7,568945
2021-06-30,25.05,25.4,23.75,24.45,268671
2021-07-01,24.6,25.45,24.3,24.6,367269
2021-07-02,25.0,25.0,24.3,24.4,168777
2021-07-05,24.4,25.2,24.35,24.9,397303
2021-07-06,25.95,25.95,24.5,24.75,362043
2021-07-07,24.9,25.6,23.9,25.05,395227
2021-07-08,25.3,25.7,24.55,25.15,422765
2021-07-09,25.5,26.4,24.55,25.6,719204
2021-07-12,26.5,26.85,25.8,26.85,955055
2021-07-13,28.0,28.15,27.2,28.15,455398
2021-07-14,29.55,29.55,28.5,29.55,776612
2021-07-15,31.0,31.0,28.1,29.6,2890022
2021-07-16,29.0,31.0,28.65,30.35,1250150
2021-07-19,30.0,31.55,28.95,29.2,1315218
2021-07-20,29.8,29.8,27.75,27.75,1018059
2021-07-22,28.2,28.95,27.5,28.4,1011121
2021-07-23,28.65,29.0,27.0,27.05,872300
2021-07-26,26.2,28.0,26.2,27.35,446564
2021-07-27,28.0,28.0,26.4,26.9,503118
2021-07-28,27.45,27.5,25.65,25.9,899717
2021-07-29,26.2,27.15,26.05,26.7,912632
2021-07-30,26.7,27.15,25.45,25.65,739359
2021-08-02,25.6,26.9,25.55,26.75,1649168
2021-08-03,27.0,28.05,26.45,26.8,2527884
2021-08-04,26.8,27.25,25.65,25.85,527724
2021-08-05,25.45,26.2,24.6,24.95,707399
2021-08-06,25.05,26.3,24.55,24.95,608615
2021-08-09,25.45,25.8,22.8,23.8,551384
2021-08-10,23.8,24.45,22.2,22.75,371418
2021-08-11,22.5,24.3,21.15,23.45,774233
2021-08-12,23.45,24.5,23.0,23.9,285423
2021-08-13,23.6,24.5,22.95,23.3,231705
2021-08-16,23.5,24.3,22.2,24.1,320998
2021-08-17,24.25,24.5,23.0,23.1,197255
2021-08-18,23.0,23.6,21.6,22.4,223324
2021-08-20,22.4,22.75,21.1,21.3,306871
2021-08-23,21.7,22.35,19.5,20.45,246202
2021-08-24,20.0,22.25,20.0,22.0,198346
2021-08-25,22.95,23.05,22.25,22.7,119046
2021-08-26,23.5,23.5,20.45,20.75,699115
2021-08-27,20.65,21.5,20.65,21.35,124948
2021-08-30,22.0,23.45,21.4,23.45,402972
2021-08-31,24.8,24.8,22.2,22.65,577392
2021-09-01,22.95,24.0,22.65,23.2,266782
2021-09-02,23.6,25.5,23.2,24.6,663551
2021-09-03,24.7,25.45,24.0,24.45,183680
2021-09-06,24.5,26.25,24.45,25.15,614355
2021-09-07,25.05,27.6,25.05,26.1,1130181
2021-09-08,26.5,27.8,25.65,26.15,1127154
2021-09-09,26.0,27.4,25.95,26.9,626466
2021-09-13,27.0,29.55,26.0,29.55,3285728
2021-09-14,30.0,32.5,28.4,30.05,4064964
2021-09-15,30.0,30.95,28.55,28.65,1333661
2021-09-16,28.1,29.45,27.55,28.8,687269
2021-09-17,28.55,29.25,27.4,27.4,502695
2021-09-20,27.75,27.75,26.05,26.05,524820
2021-09-21,25.6,26.8,25.25,25.8,445031
2021-09-22,26.05,27.05,25.6,27.05,952989
2021-09-23,27.5,28.4,27.15,28.4,1447645
2021-09-24,28.95,29.3,27.3,27.55,672956
2021-09-27,28.0,28.8,27.75,28.0,643709
2021-09-28,28.4,28.4,26.6,27.0,466965
2021-09-29,27.15,27.8,25.7,26.05,791167
2021-09-30,26.3,27.35,26.3,27.35,646431
2021-10-01,28.0,28.4,27.5,27.8,580102
2021-10-04,28.5,29.15,27.75,29.15,688568
2021-10-05,29.15,30.3,28.65,28.95,948178
2021-10-06,28.9,30.35,28.75,30.35,2333903
2021-10-07,31.75,31.85,29.15,30.95,6117930
2021-10-08,30.5,32.45,30.0,32.45,2998839
2021-10-11,33.4,34.05,33.15,34.05,1947281
2021-10-12,34.9,35.75,33.75,35.75,3030522
2021-10-13,37.5,37.5,37.5,37.5,585318
2021-10-14,39.35,39.35,37.3,39.35,4821112
2021-10-18,41.3,41.3,41.3,41.3,807342
2021-10-19,43.35,43.35,39.25,42.4,7072065
2021-10-20,42.0,44.5,40.3,44.5,4080460
2021-10-21,46.7,46.7,44.5,46.7,4021515
2021-10-22,47.9,48.05,44.4,44.4,1441136
2021-10-25,42.2,43.5,42.2,42.2,726310
2021-10-26,40.1,42.2,40.1,40.1,3006989
2021-10-27,39.2,41.85,38.2,38.6,975081
2021-10-28,37.7,38.5,36.7,36.7,768673
2021-10-29,37.4,38.45,35.25,35.9,861645
2021-11-01,36.0,37.65,35.85,37.65,534970
2021-11-02,39.15,39.5,39.15,39.5,468641
2021-11-03,40.5,41.45,39.25,40.1,1595169
2021-11-04,40.95,42.1,40.65,42.1,320096
2021-11-08,44.2,44.2,43.15,44.2,1094337
2021-11-09,46.4,46.4,46.4,46.4,251590
2021-11-10,48.7,48.7,45.55,48.7,4745890
2021-11-11,50.45,50.45,46.3,46.55,3080960
2021-11-12,46.7,48.85,45.95,48.75,2038040
2021-11-15,47.75,47.9,46.35,46.35,714627
2021-11-16,44.05,46.5,44.05,44.05,2337092
2021-11-17,44.0,44.95,41.85,41.85,888531
2021-11-18,41.85,43.4,39.85,40.3,880173
2021-11-22,41.15,41.15,38.3,38.3,917970
2021-11-23,36.75,40.2,36.5,40.2,831258
2021-11-24,41.5,42.2,40.75,41.25,1397992
2021-11-25,41.35,42.4,40.05,40.65,644359
2021-11-26,40.5,40.5,38.65,38.75,684692
2021-11-29,38.75,40.4,36.85,36.85,630434
2021-11-30,36.2,38.65,36.2,38.65,743689
2021-12-01,40.55,40.55,37.85,39.55,1060475
2021-12-02,39.0,41.5,38.8,41.5,667169
2021-12-03,42.2,43.55,41.0,42.5,1295055
2021-12-06,42.7,44.6,41.95,44.3,1831842
2021-12-07,45.0,46.35,43.9,44.25,634870
2021-12-08,44.9,46.4,43.75,45.9,883021
2021-12-09,46.45,47.0,45.2,46.45,941328
2021-12-10,46.4,46.4,44.25,45.1,623280
2021-12-13,45.1,45.85,44.15,44.6,563132
2021-12-14,43.5,44.5,43.0,43.35,301555
2021-12-15,45.5,45.5,41.2,41.2,350639
2021-12-16,40.1,42.4,39.15,39.65,296167
2021-12-17,37.75,41.3,37.75,39.15,251227
2021-12-20,38.3,38.3,37.2,37.6,270390
2021-12-21,37.85,39.45,36.5,39.45,157874
2021-12-22,41.4,41.4,41.4,41.4,71200
2021-12-23,43.45,43.45,41.4,43.35,579462
2021-12-24,43.35,45.5,41.5,45.3,998059
2021-12-27,46.8,47.5,45.3,46.2,676638
2021-12-28,47.0,47.5,44.4,44.8,358613
2021-12-29,45.9,45.9,43.0,43.6,300014
2021-12-30,43.1,45.0,43.1,44.4,141789
2021-12-31,46.6,46.6,44.5,46.6,653445
2022-01-03,48.85,48.9,48.8,48.9,363392
2022-01-04,51.3,51.3,51.3,51.3,328964
2022-01-05,53.85,53.85,53.85,53.85,108044
2022-01-06,56.5,56.5,56.5,56.5,272543
2022-01-07,59.3,59.3,59.3,59.3,157827
2022-01-10,62.25,62.25,56.7,62.25,2315225
2022-01-11,64.9,65.35,62.25,65.3,1472898
2022-01-12,66.1,66.85,62.05,62.05,1043486
2022-01-13,59.05,65.15,58.95,65.15,1219545
2022-01-14,64.8,68.4,61.9,68.4,811860
2022-01-17,69.0,71.8,67.1,71.8,975707
2022-01-18,72.0,75.35,71.8,74.4,1285954
2022-01-19,76.0,78.0,74.4,77.55,781531
2022-01-20,78.9,79.0,75.0,78.05,635058
2022-01-21,76.6,77.05,74.15,74.15,585052
2022-01-24,70.45,77.85,70.45,74.65,2115190
2022-01-25,74.65,77.8,71.55,76.3,1922710
2022-01-27,72.65,76.0,72.65,74.9,916310
2022-01-28,76.0,78.6,74.2,78.6,1054871
2022-01-31,82.5,82.5,80.55,82.5,1301612
2022-02-01,85.95,86.6,84.15,86.6,1345773
2022-02-02,90.9,90.9,90.9,90.9,89118
2022-02-03,95.4,95.4,95.4,95.4,114491
2022-02-04,100.15,100.15,100.15,100.15,119182
2022-02-07,95.15,105.15,95.15,105.15,4748276
2022-02-08,110.4,110.4,102.6,110.4,1964998
2022-02-09,115.9,115.9,106.0,115.9,1461210
2022-02-10,121.65,121.65,121.65,121.65,167483
2022-02-11,125.95,127.7,117.0,127.7,1975834
2022-02-14,131.0,134.05,121.35,121.35,1595883
2022-02-15,115.3,127.2,115.3,125.65,1103476
2022-02-16,125.0,125.0,119.4,119.4,643506
2022-02-17,113.45,116.0,113.45,113.45,181712
2022-02-18,107.8,107.8,107.8,107.8,48798
2022-02-21,102.45,102.45,102.45,102.45,44118
2022-02-22,97.35,97.35,97.35,97.35,34669
2022-02-23,92.5,102.2,92.5,93.9,1365541
2022-02-24,89.25,89.25,89.25,89.25,71132
2022-02-25,84.8,93.7,84.8,92.0,1391511
2022-02-28,87.4,96.35,87.4,94.95,901400
2022-03-02,99.65,99.65,99.65,99.65,114732
2022-03-03,104.6,104.6,104.6,104.6,34871
2022-03-04,109.8,109.8,101.15,109.8,1399518
2022-03-07,106.2,107.3,104.35,104.35,167397
2022-03-08,99.15,109.0,99.15,102.9,473361
2022-03-09,102.9,105.6,99.0,101.75,272412
2022-03-10,105.0,106.8,98.5,101.65,463513
2022-03-11,99.9,106.7,98.9,106.7,498575
2022-03-14,112.0,112.0,112.0,112.0,367931
2022-03-15,116.0,116.0,106.4,106.4,421925
2022-03-16,106.4,110.0,101.6,104.65,260540
2022-03-17,106.0,108.4,101.75,105.6,190810
2022-03-21,106.0,107.75,101.0,101.55,206954
2022-03-22,99.2,102.7,98.0,98.6,159980
2022-03-23,98.0,103.5,98.0,98.75,552678
2022-03-24,98.0,99.8,95.85,96.75,207026
2022-03-25,96.7,96.7,91.95,93.75,296345
2022-03-28,93.0,98.1,90.05,90.9,223036
2022-03-29,91.0,95.4,89.45,95.4,808805
2022-03-30,98.8,100.15,96.0,100.15,352053
2022-03-31,105.15,105.15,101.1,105.15,404635
2022-04-01,109.75,109.75,101.35,105.45,473426
2022-04-04,106.4,106.4,100.6,102.7,452497
2022-04-05,102.0,104.7,99.4,103.05,473887
2022-04-06,100.0,103.4,98.3,102.25,308978
2022-04-07,98.1,103.9,97.15,97.15,750505
2022-04-08,97.0,102.0,92.3,102.0,665553
2022-04-11,99.5,106.9,99.5,104.65,582986
2022-04-12,103.05,104.5,101.0,101.3,199666
2022-04-13,101.9,104.4,100.55,102.55,158774
2022-04-18,102.0,102.0,98.0,98.95,171726
2022-04-19,98.95,100.8,94.25,95.3,268840
2022-04-20,93.65,97.3,93.5,93.95,205601
2022-04-21,95.3,98.6,93.5,98.6,233209
2022-04-22,97.9,102.0,96.1,96.45,303406
2022-04-25,94.1,94.55,91.8,93.4,238753
2022-04-26,94.7,94.9,92.0,92.25,137287
2022-04-27,93.5,95.0,90.0,93.4,256896
2022-04-28,93.0,94.7,89.55,90.15,451105
2022-04-29,86.1,92.5,86.1,88.7,111554
2022-05-02,84.3,87.0,84.3,84.3,487983
2022-05-04,80.25,83.8,80.1,80.1,219098
2022-05-05,79.0,80.0,76.1,78.05,538070
2022-05-06,74.55,75.95,74.15,74.2,316463
2022-05-09,71.05,72.7,70.5,70.5,175652
2022-05-10,67.2,71.75,67.0,67.0,229376
2022-05-11,67.0,67.0,63.65,63.65,315718
2022-05-12,60.5,62.25,60.5,60.5,71579
2022-05-13,57.5,63.5,57.5,62.85,285818
2022-05-16,64.55,65.95,60.6,63.25,379528
2022-05-17,65.0,66.4,63.5,66.4,157723
2022-05-18,68.9,69.7,67.05,69.6,459036
2022-05-19,66.6,69.3,66.15,66.15,369004
2022-05-20,63.9,69.45,63.9,67.1,164769
2022-05-23,68.4,70.45,67.15,70.1,141905
2022-05-24,70.35,71.9,66.6,66.95,77324
2022-05-25,68.25,68.25,63.65,63.65,85019
2022-05-26,64.85,66.0,60.5,65.2,99032
2022-05-27,65.0,65.0,62.2,63.85,76271
2022-05-30,67.0,67.0,65.3,67.0,304615
2022-05-31,70.35,70.35,70.35,70.35,125487
2022-06-01,73.85,73.85,71.1,73.85,449698
2022-06-02,77.5,77.5,75.5,77.5,450560
2022-06-03,81.35,81.35,78.2,80.4,445569
