Datetime,Open,High,Low,Close,Volume
2026-04-20,115.0,124.3,115.0,120.2,2397728
2026-04-21,121.7,123.0,115.6,117.7,696467
2026-04-22,117.35,122.0,114.8,120.7,708848
2026-04-23,119.35,130.0,119.0,123.9,1299408
2026-04-24,125.7,126.9,118.5,119.1,596582
2026-04-27,122.0,124.25,118.8,123.55,396044
2026-04-28,123.95,125.35,120.7,122.95,383442
2026-04-29,124.0,130.95,121.2,126.1,1011895
2026-04-30,123.5,126.0,123.15,123.95,544374
2026-05-04,126.39,128.0,119.65,120.89,438369
2026-05-05,121.4,125.0,120.18,124.22,317562
2026-05-06,125.11,126.05,122.91,124.73,222260
2026-05-07,125.0,127.0,123.87,125.08,272933
2026-05-08,124.9,127.5,120.5,120.93,628417
2026-05-11,123.44,123.44,116.25,116.76,600036
2026-05-12,117.89,117.89,114.8,116.44,523404
2026-05-13,118.17,126.99,116.77,121.05,1403715
2026-05-14,122.89,124.0,120.35,121.12,308444
2026-05-15,126.0,127.45,121.39,122.67,727223
2026-05-18,125.62,125.62,117.5,121.8,452452
2026-05-19,123.99,140.0,123.64,135.87,5585752
2026-05-20,135.9,154.7,135.9,150.54,7654925
2026-05-21,153.54,159.0,142.5,144.78,3134095
2026-05-22,145.9,146.8,140.8,142.87,1151741
2026-05-25,144.0,150.21,142.85,148.26,1258016
2026-05-26,149.79,177.91,149.5,176.86,9281769
2026-05-27,180.7,181.5,164.6,166.71,4950909
2026-05-29,166.73,169.95,160.5,162.28,1617858
2026-06-01,170.42,173.17,163.2,164.92,2055190
2026-06-02,164.53,169.25,163.74,165.8,1286393
2026-06-03,166.5,180.39,166.5,174.73,5171197
2026-06-04,175.04,176.49,167.0,168.55,1586238
2026-06-05,170.67,170.7,165.1,170.06,1605686
2026-06-08,168.01,168.01,160.0,161.55,1139866
2026-06-09,162.48,168.0,156.56,166.75,1871682
2026-06-10,169.0,174.4,156.6,158.56,2592555
2026-06-11,159.39,160.87,152.25,153.09,1179791
2026-06-12,157.29,166.0,157.25,163.75,2040097
2026-06-15,168.0,196.5,167.6,192.61,11850752
2026-06-16,192.6,205.0,188.0,201.75,7763403
2026-06-17,200.99,209.0,195.65,197.49,3920783
2026-06-18,199.18,221.27,198.5,215.78,8768481
2026-06-19,215.61,220.25,210.25,214.72,2776081
2026-06-22,217.89,235.0,217.12,227.51,5358403
2026-06-23,230.0,234.0,213.9,217.86,4358657
2026-06-24,219.0,224.56,206.37,212.18,3805254
2026-06-25,217.8,220.78,193.0,194.38,6358567
2026-06-29,194.1,199.0,188.65,195.52,2423309
2026-06-30,199.5,204.79,196.17,198.22,2469605
2026-07-01,198.22,198.84,185.4,188.91,2468679
2026-07-02,191.0,193.42,181.15,182.67,2574351
2026-07-03,184.0,198.9,182.0,195.46,3484921
2026-07-06,197.4,205.25,192.5,203.94,3494294
2026-07-07,205.0,206.5,195.17,201.91,1669956
2026-07-08,199.0,201.9,187.5,190.09,1770807
2026-07-09,192.8,207.4,192.66,205.27,3514094
2026-07-10,207.5,212.9,202.11,205.3,2917761
2026-07-13,201.0,204.4,196.0,199.32,1338155
2026-07-14,198.61,206.19,196.81,200.9,1736040
2026-07-15,201.6,205.86,198.5,200.09,1610626
2026-07-16,201.0,201.0,193.5,198.06,926426
2026-07-17,197.89,198.27,192.0,192.75,932937
2026-07-20,193.75,194.7,186.5,190.09,1157707
2026-07-21,189.81,195.68,188.5,191.52,730298
2026-07-22,192.0,193.35,185.0,185.79,914126
2026-07-23,185.51,196.89,182.6,193.93,1814269
2026-07-24,191.51,195.49,187.3,194.52,940810
2026-07-27,194.0,200.6,194.0,197.0,1053771
2026-07-28,197.0,197.9,191.5,194.83,1123744
2026-07-29,194.7,195.21,190.0,192.03,822377
2026-07-30,192.0,193.7,189.13,191.15,566081
2026-07-31,191.91,199.0,190.16,197.73,1099286
2026-08-03,199.99,205.7,198.0,204.28,1642489
2026-08-04,206.0,206.57,199.01,199.45,900326
2026-08-05,201.99,202.7,196.5,199.03,758306
2026-08-06,202.5,232.0,202.5,225.43,21194506
2026-08-07,229.69,233.0,215.0,216.22,4433488
2026-08-10,216.0,217.0,204.0,213.61,2788168
2026-08-11,214.58,225.0,214.57,221.31,3134040
2026-08-12,223.09,229.0,218.6,220.35,3120188
2026-08-13,220.35,228.0,217.14,224.82,2248733
2026-08-14,228.0,238.5,223.65,225.46,4248141
2026-08-17,225.6,243.8,220.66,239.9,3781447
2026-08-18,243.03,249.0,240.4,244.05,4205721
2026-08-19,244.9,244.95,232.1,233.21,1792043
2026-08-20,238.49,248.8,238.0,242.66,2916403
2026-08-21,243.85,250.8,236.1,245.67,3292732
