Datetime,Open,High,Low,Close,Volume
2026-08-17,35.44,36.05,35.44,36.01,42923
2026-08-18,37.9,37.9,34.5,36.96,10406
2026-08-19,36.95,38.3,35.62,37.9,31899
2026-08-20,38.66,38.9,35.11,37.18,10108
2026-08-21,37.18,37.2,36.1,36.64,3278
2026-08-24,36.5,39.98,36.5,37.18,5332
2026-08-25,37.0,37.0,35.9,36.08,8927
2026-08-26,36.08,38.93,36.0,38.01,9332
2026-08-27,37.9,37.9,36.65,37.44,4111
2026-08-28,37.24,37.25,36.06,36.95,3406
2026-08-31,36.21,37.59,35.2,36.39,6374
2026-09-01,36.0,37.8,35.66,36.1,5304
2026-09-02,36.1,36.1,34.2,35.24,5874
2026-09-03,36.0,37.6,35.22,36.0,2319
2026-09-04,36.8,36.8,34.21,35.0,23168
2026-09-07,34.6,35.7,34.6,35.57,14659
2026-09-08,35.57,36.35,34.76,35.56,9972
2026-09-09,36.72,38.0,35.6,36.89,25981
2026-09-10,37.0,42.9,36.96,40.98,209619
2026-09-11,41.38,49.17,40.11,46.08,446458
2026-09-15,47.0,47.77,42.67,45.13,112049
2026-09-16,46.59,47.0,42.0,43.47,33346
2026-09-17,44.0,49.0,44.0,47.23,56971
2026-09-18,49.0,49.0,46.11,46.72,24429
2026-09-21,46.7,47.9,44.39,46.28,6635
2026-09-22,48.59,48.59,45.1,45.56,8005
