Datetime,Open,High,Low,Close,Volume
2016-06-02,89.05,89.8,87.05,88.2,2148326
2016-06-03,88.7,89.3,86.4,86.85,1968645
2016-06-06,87.5,88.2,85.6,86.85,1946970
2016-06-07,86.95,88.9,86.95,88.65,1884277
2016-06-08,88.8,91.65,88.4,91.1,3270916
2016-06-09,91.3,92.75,90.0,92.3,3685695
2016-06-10,91.95,93.7,91.15,91.7,2595871
2016-06-13,90.8,91.8,88.5,91.15,2415989
2016-06-14,91.1,92.4,91.1,91.85,2158989
2016-06-15,92.4,94.2,91.75,92.5,3712019
2016-06-16,92.0,95.3,91.8,94.6,5080122
2016-06-17,95.1,95.95,92.65,93.8,2277454
2016-06-20,93.4,98.2,92.6,95.75,6013750
2016-06-21,96.1,97.5,94.05,94.5,4934141
2016-06-22,94.95,95.45,93.05,93.9,3626721
2016-06-23,94.0,94.6,92.85,93.75,2675848
2016-06-24,91.1,93.25,86.1,92.7,4434868
2016-06-27,92.7,94.45,91.75,93.45,2219039
2016-06-28,93.2,95.0,93.2,93.6,3744619
2016-06-29,94.05,96.75,94.0,96.35,3919367
2016-06-30,97.0,98.75,96.45,97.7,5878537
2016-07-01,97.2,99.7,97.2,99.05,6148298
2016-07-04,99.9,102.35,99.75,100.2,4794955
2016-07-05,100.25,102.0,97.4,98.55,4236340
2016-07-07,98.8,99.4,95.9,96.5,3286594
2016-07-08,97.0,98.0,95.7,97.15,1990006
2016-07-11,98.2,98.7,96.95,97.55,1982720
2016-07-12,97.8,99.7,96.1,99.25,5231664
2016-07-13,99.7,99.8,96.85,99.0,8136823
2016-07-14,98.45,101.0,97.75,99.4,2483828
2016-07-15,100.5,100.7,98.1,98.65,2406220
2016-07-18,99.0,100.35,95.85,96.35,2098377
2016-07-19,96.45,96.65,93.7,95.75,2595623
2016-07-20,95.5,97.0,95.5,96.5,2053913
2016-07-21,96.6,99.25,96.55,98.6,5545056
2016-07-22,98.7,99.45,96.85,97.85,4229004
2016-07-25,97.8,99.4,97.75,98.8,2793130
2016-07-26,99.0,101.4,98.0,98.75,2967526
2016-07-27,99.35,100.0,93.0,93.55,4909109
2016-07-28,94.5,96.0,91.3,93.9,13335759
2016-07-29,94.7,103.8,94.55,102.95,20589292
2016-08-01,103.65,107.4,103.0,104.8,15531122
2016-08-02,105.7,106.95,101.95,103.5,8585282
2016-08-03,103.75,104.65,100.5,101.4,6174173
2016-08-04,105.0,105.0,96.6,97.4,11387102
2016-08-05,98.0,99.1,96.75,98.2,3811891
2016-08-08,99.0,101.45,98.65,100.1,5399589
2016-08-09,99.8,99.8,94.5,95.8,19676082
2016-08-10,95.7,95.8,89.2,90.2,10534630
2016-08-11,90.5,91.8,87.65,89.4,6053767
2016-08-12,89.5,90.8,86.0,87.95,4695792
2016-08-16,86.6,92.0,86.6,91.35,7151754
2016-08-17,91.9,95.5,91.55,92.4,10381997
2016-08-18,93.4,96.7,93.2,96.35,10332333
2016-08-19,96.55,97.5,93.5,94.15,7531122
2016-08-22,94.15,94.15,92.25,93.05,4212173
2016-08-23,92.9,96.3,92.8,96.0,9757455
2016-08-24,96.45,98.1,96.15,97.75,6571991
2016-08-25,98.2,98.25,93.75,94.2,7591310
2016-08-26,94.85,96.9,93.35,95.55,6657173
2016-08-29,95.7,96.0,93.0,95.35,4072889
2016-08-30,95.9,97.35,94.3,97.0,3703067
2016-08-31,97.3,99.45,96.25,98.65,7581003
2016-09-01,98.3,98.35,91.85,93.0,7311532
2016-09-02,93.0,95.65,92.9,94.95,3893347
2016-09-06,94.85,96.5,94.55,96.0,3743520
2016-09-07,96.0,96.9,95.1,96.35,4717220
2016-09-08,96.35,98.3,96.35,97.55,2861442
2016-09-09,97.1,97.7,95.15,96.05,3864090
2016-09-12,94.8,94.8,91.2,91.8,5002837
2016-09-14,91.9,96.35,91.9,95.9,7018986
2016-09-15,96.0,101.05,95.6,100.45,11997992
2016-09-16,101.9,102.45,98.25,100.05,9874373
2016-09-19,100.1,102.4,99.2,101.45,5289983
2016-09-20,101.3,101.3,97.65,98.6,4740921
2016-09-21,98.7,99.9,96.85,97.85,4173540
2016-09-22,98.35,99.5,97.65,98.55,3241080
2016-09-23,99.3,100.85,98.05,99.1,3402522
2016-09-26,98.75,99.25,97.25,97.85,3604623
2016-09-27,97.85,98.9,96.1,96.6,5711654
2016-09-28,97.4,97.9,96.05,96.65,6766276
2016-09-29,97.3,97.85,88.7,89.85,8830608
2016-09-30,90.9,93.6,90.0,93.1,4023536
2016-10-03,93.8,97.95,93.5,97.2,3679275
2016-10-04,97.1,98.8,95.15,96.6,5738655
2016-10-05,96.95,98.35,95.95,97.75,2882668
2016-10-06,97.6,99.25,95.4,96.4,3565849
2016-10-07,96.95,97.0,94.8,96.0,2553596
2016-10-10,96.7,100.8,96.3,98.45,6527885
2016-10-13,98.3,98.3,92.1,93.45,10962188
2016-10-14,94.45,95.2,92.8,93.25,3179898
2016-10-17,93.45,94.4,91.05,91.7,2795541
2016-10-18,92.9,94.15,92.55,93.65,2215296
2016-10-19,94.25,95.8,94.25,94.85,3157699
2016-10-20,95.6,95.85,94.65,94.9,1967698
2016-10-21,94.95,96.65,94.55,95.85,2719751
2016-10-24,95.9,97.9,94.4,97.05,3712630
2016-10-25,97.45,100.0,95.65,99.5,6228233
2016-10-26,99.95,101.15,95.8,96.4,7236447
2016-10-27,96.45,98.3,95.15,95.45,6496944
2016-10-28,95.5,96.95,95.05,95.95,9567712
2016-10-30,95.5,100.65,95.1,100.0,4201758
2016-11-01,100.8,100.8,96.85,97.1,13033605
2016-11-02,94.85,95.15,92.7,93.0,7594576
2016-11-03,93.4,94.05,88.65,89.0,17427536
2016-11-04,89.05,90.9,85.0,87.35,17250339
2016-11-07,89.3,91.2,87.5,87.8,4401565
2016-11-08,88.2,90.5,87.3,89.45,7137123
2016-11-09,80.6,89.0,76.05,87.45,15435094
2016-11-10,89.0,93.5,89.0,92.4,9324902
2016-11-11,91.0,91.2,86.8,87.35,8641409
2016-11-15,86.5,92.0,84.05,90.55,15942356
2016-11-16,92.4,93.35,87.35,92.55,9428530
2016-11-17,92.1,92.8,90.1,91.25,4633373
2016-11-18,91.9,91.9,88.35,89.3,5215858
2016-11-21,89.8,89.8,84.2,84.75,5101280
2016-11-22,85.1,86.25,84.2,85.95,3870175
2016-11-23,86.5,86.9,83.5,84.45,7606649
2016-11-24,83.8,84.0,81.05,81.7,9729934
2016-11-25,82.85,89.0,82.3,87.8,13577652
2016-11-28,87.9,90.25,86.7,89.1,6107178
2016-11-29,88.85,89.8,87.9,88.8,2516161
2016-11-30,89.35,91.6,88.3,91.15,6011852
2016-12-01,91.0,91.5,88.05,89.65,4968544
2016-12-02,89.0,89.0,85.45,86.25,4376357
2016-12-05,86.25,86.95,84.1,85.85,3766640
2016-12-06,86.5,88.3,86.0,86.95,3498683
2016-12-07,88.0,88.25,85.5,86.15,3447200
2016-12-08,86.55,89.7,86.55,88.75,4052751
2016-12-09,89.05,90.2,88.3,89.45,3919918
2016-12-12,89.0,89.6,87.2,88.35,2960665
2016-12-13,88.0,88.1,85.8,86.3,3384578
2016-12-14,86.4,86.4,84.5,85.05,4138067
2016-12-15,84.05,85.0,83.4,83.95,6611403
2016-12-16,84.2,85.0,82.55,83.45,3376223
2016-12-19,83.45,83.9,82.3,82.65,2570706
2016-12-20,82.5,84.7,81.95,82.6,4051694
2016-12-21,83.5,84.35,83.0,84.0,2180706
2016-12-22,83.8,84.4,83.0,83.85,1938045
2016-12-23,84.6,85.2,82.95,83.3,2362954
2016-12-26,83.6,83.65,80.75,81.3,2094853
2016-12-27,81.4,83.1,81.0,82.95,3517838
2016-12-28,83.1,84.35,82.15,82.9,2631874
2016-12-29,83.1,83.9,82.5,83.15,4237517
2016-12-30,83.5,85.25,83.5,84.65,2034513
2017-01-02,85.1,85.75,83.85,84.8,2555247
2017-01-03,85.0,85.95,84.5,85.4,2435838
2017-01-04,86.05,86.25,84.4,84.8,1887454
2017-01-05,85.8,86.8,83.7,86.3,3395055
2017-01-06,87.0,87.3,85.7,86.0,2044810
2017-01-09,85.85,86.85,85.7,86.45,2678976
2017-01-10,86.4,87.25,86.1,86.9,2040164
2017-01-11,87.6,88.0,86.85,87.25,2251869
2017-01-12,87.15,87.8,86.4,87.2,1796760
2017-01-13,87.25,88.45,86.4,87.8,3245911
2017-01-16,87.5,87.75,86.5,86.9,1816580
2017-01-17,87.45,87.7,86.1,86.9,1411111
2017-01-18,86.6,87.4,85.05,85.7,3095938
2017-01-19,85.5,86.8,85.5,86.6,2354674
2017-01-20,86.05,87.5,84.5,85.05,1983778
2017-01-23,84.95,85.9,84.35,85.15,3352453
2017-01-24,85.7,86.15,85.2,85.95,2377545
2017-01-25,86.4,87.15,85.7,86.8,4936643
2017-01-27,87.0,89.0,86.85,88.4,3651177
2017-01-30,88.45,90.95,86.2,88.15,7025733
2017-01-31,85.95,87.45,83.55,83.95,7533226
2017-02-01,83.9,84.6,82.0,83.8,5333706
2017-02-02,83.8,86.5,83.55,85.1,3288092
2017-02-03,85.35,88.7,85.35,87.4,6121222
2017-02-06,87.65,89.0,87.35,87.85,2565105
2017-02-07,87.55,88.0,86.1,87.65,2207909
2017-02-08,88.35,89.5,87.2,88.5,2392240
2017-02-09,89.0,89.2,86.9,87.6,2967408
2017-02-10,87.8,88.5,87.15,87.75,1160703
2017-02-13,88.0,91.75,87.95,89.15,7055949
2017-02-14,89.45,89.45,86.6,87.6,2911980
2017-02-15,87.6,87.75,85.85,86.25,2206231
2017-02-16,86.35,88.4,85.3,88.0,2448245
2017-02-17,88.0,89.1,87.5,87.9,1528455
2017-02-20,87.8,91.2,87.65,90.7,4233013
2017-02-21,91.0,93.9,90.85,93.4,8273186
2017-02-22,94.25,95.4,93.5,94.2,7107564
2017-02-23,94.2,96.3,92.7,93.35,8090849
2017-02-27,93.4,95.8,93.3,95.5,3323466
2017-02-28,96.05,98.0,95.65,96.5,5130441
2017-03-01,97.15,97.8,95.85,97.05,7629632
2017-03-02,97.15,98.5,92.7,94.35,5199139
2017-03-03,94.4,95.7,93.0,95.2,3211302
2017-03-06,95.9,97.6,95.2,97.05,7873490
2017-03-07,97.8,100.0,97.3,99.5,8074401
2017-03-08,99.7,100.5,98.45,99.6,3529077
2017-03-09,99.7,106.7,98.9,103.55,18917765
2017-03-10,104.0,104.95,102.85,103.75,5424110
2017-03-14,106.7,107.35,104.75,106.65,3693917
2017-03-15,107.05,109.8,106.7,107.8,6946978
2017-03-16,108.65,109.0,106.1,107.6,4038574
2017-03-17,108.0,108.4,105.6,106.2,4880354
2017-03-20,106.15,107.15,104.8,105.45,4868525
2017-03-21,105.5,107.9,104.95,107.35,1989751
2017-03-22,107.25,108.45,105.5,106.25,12039678
2017-03-23,106.1,108.9,106.1,108.15,2858330
2017-03-24,109.1,109.35,106.2,107.05,5790551
2017-03-27,106.6,111.0,106.25,109.75,5946065
2017-03-28,110.1,110.9,108.2,108.7,3709403
2017-03-29,107.15,108.9,105.75,106.4,3636149
2017-03-30,106.75,111.0,105.0,108.55,12769280
2017-03-31,110.0,110.0,107.0,107.5,4243547
2017-04-03,107.5,110.0,101.3,102.8,11900931
2017-04-05,103.0,104.75,101.6,103.4,8172771
2017-04-06,103.4,104.2,102.25,103.4,2131616
2017-04-07,102.8,104.5,99.1,99.75,3559403
2017-04-10,99.75,103.25,97.85,102.15,7246422
2017-04-11,101.85,103.5,101.05,102.5,3728188
2017-04-12,102.0,103.15,100.0,100.65,3470985
2017-04-13,101.85,102.1,99.8,101.1,2119391
2017-04-17,101.1,101.6,99.9,100.25,1034504
2017-04-18,100.25,101.8,98.55,98.85,1933033
2017-04-19,99.35,101.5,98.25,98.85,1095413
2017-04-20,99.0,100.5,97.55,99.4,2762927
2017-04-21,99.9,101.2,97.6,98.95,3475482
2017-04-24,99.05,99.45,91.4,92.95,10153957
2017-04-25,94.0,96.2,93.65,95.6,4287505
2017-04-26,96.2,96.9,94.7,95.5,3994222
2017-04-27,95.45,96.35,94.25,94.75,4579873
2017-04-28,95.2,96.0,94.55,95.1,1712159
2017-05-02,95.5,96.6,94.1,95.15,2343786
2017-05-03,95.7,95.8,94.1,94.75,3220071
2017-05-04,94.8,96.45,94.4,95.5,3143776
2017-05-05,95.3,98.25,94.9,96.7,4542667
2017-05-08,96.3,97.5,96.0,96.55,1431176
2017-05-09,96.95,96.95,94.75,95.1,2172918
2017-05-10,95.6,97.0,91.6,92.2,6182955
2017-05-11,92.25,96.35,92.0,95.8,5491203
2017-05-12,96.0,98.95,95.5,97.95,6449554
2017-05-15,98.9,99.2,97.2,97.65,3776454
2017-05-16,98.0,100.75,97.55,100.0,8042569
2017-05-17,100.8,102.3,99.6,101.95,5384720
2017-05-18,100.85,101.85,98.5,100.1,5154297
2017-05-19,100.6,101.55,98.6,98.95,2635472
2017-05-22,100.3,100.8,96.4,97.55,2005033
2017-05-23,98.5,98.5,94.8,95.4,2593171
2017-05-24,94.25,96.7,88.95,91.15,7884006
2017-05-25,85.0,86.3,77.2,81.55,30715387
2017-05-26,82.0,87.8,81.55,87.1,20266117
2017-05-29,88.4,88.4,82.95,85.55,10784728
2017-05-30,85.35,86.15,84.1,85.1,4736348
2017-05-31,85.0,86.2,84.05,84.55,6457263
2017-06-01,84.5,85.4,82.25,83.5,6183857
2017-06-02,84.45,85.05,82.5,83.55,2425309
2017-06-05,84.0,84.3,83.25,83.85,1448670
2017-06-06,84.2,86.75,82.8,86.2,7551215
2017-06-07,85.95,86.25,83.9,85.15,4318417
2017-06-08,84.0,85.4,84.0,84.4,2041446
2017-06-09,84.4,84.5,82.7,83.2,2763862
2017-06-12,83.1,83.35,81.75,82.4,3073738
2017-06-13,83.0,83.65,82.05,82.75,2577008
2017-06-14,82.5,83.25,81.05,81.35,2565093
2017-06-15,81.2,81.4,80.0,80.15,4103544
2017-06-16,80.25,80.9,79.2,79.9,3278003
2017-06-19,80.05,80.65,77.8,78.75,3515996
2017-06-20,79.15,80.0,77.1,79.2,9203493
