Datetime,Open,High,Low,Close,Volume
2022-12-05,63.27,65.0,60.37,62.3,31446
2022-12-06,63.33,63.33,60.02,60.65,13074
2022-12-07,61.67,63.33,58.67,61.07,198306
2022-12-08,61.92,61.92,58.02,58.02,105549
2022-12-09,58.33,58.33,55.12,55.12,41112
2022-12-12,55.42,55.42,52.37,52.37,6906
2022-12-13,51.67,51.67,49.75,49.75,45507
2022-12-14,47.27,52.23,47.27,52.23,24912
2022-12-15,54.83,54.83,54.83,54.83,12531
2022-12-16,57.17,57.57,55.02,57.57,27501
2022-12-19,60.33,60.33,56.67,58.37,33492
2022-12-20,58.8,60.3,58.38,59.53,7866
2022-12-21,59.88,59.88,56.57,56.57,25635
2022-12-22,58.0,58.0,53.83,54.1,39945
2022-12-23,51.5,52.0,51.4,51.4,8796
2022-12-26,53.15,53.93,48.83,48.97,18066
2022-12-27,49.52,51.0,48.02,49.9,9399
2022-12-28,49.3,51.3,49.3,51.0,7968
2022-12-29,51.98,51.98,49.52,49.97,3885
2022-12-30,51.72,51.72,49.37,51.02,7560
2023-01-02,51.27,51.27,48.47,48.47,19767
2023-01-03,47.33,50.88,47.33,50.88,24567
2023-01-04,52.33,52.33,48.35,48.6,26160
2023-01-05,48.3,50.82,47.88,50.03,9318
2023-01-06,48.7,51.6,48.32,50.8,21183
2023-01-09,50.7,51.3,49.33,50.25,8673
2023-01-10,50.97,51.3,49.77,50.92,2703
2023-01-11,50.92,50.92,48.38,49.12,8721
2023-01-12,49.12,51.0,47.37,50.27,12543
2023-01-13,50.57,52.62,48.8,51.97,21594
2023-01-16,52.08,52.75,51.72,52.38,8907
2023-01-17,52.75,53.67,50.67,51.73,8223
2023-01-18,52.33,53.13,50.83,52.58,4806
2023-01-19,52.32,52.95,50.52,51.97,22347
2023-01-20,52.35,53.15,51.67,51.77,6186
2023-01-23,52.52,52.6,50.67,51.33,5667
2023-01-24,51.75,51.75,50.05,51.23,8772
2023-01-25,51.68,51.98,49.98,50.22,17049
2023-01-27,51.33,52.13,48.5,48.65,5874
2023-01-30,48.92,50.87,46.22,46.73,29361
2023-01-31,48.5,49.07,47.12,48.8,10659
2023-02-01,50.33,50.67,47.03,47.82,28935
2023-02-02,49.02,49.47,47.65,47.98,3399
2023-02-03,49.02,49.02,46.87,47.32,6108
2023-02-06,45.0,49.25,45.0,47.18,11064
2023-02-07,48.17,48.73,46.03,46.12,10524
2023-02-08,50.0,50.72,45.67,50.63,174057
2023-02-09,51.33,51.33,47.0,48.4,25659
2023-02-10,48.52,48.52,47.18,47.75,13458
2023-02-13,48.35,48.67,47.03,48.42,8007
2023-02-14,47.0,49.47,45.4,47.2,11520
2023-02-15,49.47,49.88,47.87,49.23,10392
2023-02-16,48.57,49.33,46.7,47.62,2805
2023-02-17,47.35,48.9,47.0,47.45,5652
2023-02-20,47.87,48.65,47.0,47.62,5961
2023-02-21,47.3,47.88,46.0,47.25,21309
2023-02-22,45.67,47.93,44.67,45.22,7053
2023-02-23,47.35,47.35,41.95,45.15,26211
2023-02-24,48.38,48.38,42.22,44.02,106041
2023-02-27,44.0,46.67,40.03,44.95,149058
2023-02-28,44.68,46.45,42.15,45.57,16755
2023-03-01,45.38,47.45,45.0,46.77,21225
2023-03-02,44.7,49.88,44.7,48.42,25992
2023-03-03,48.12,49.0,45.55,46.87,18270
2023-03-06,48.17,48.33,45.78,47.88,28191
2023-03-08,47.65,48.33,47.05,48.23,7830
2023-03-09,48.23,48.35,46.88,48.33,6333
2023-03-10,47.68,48.32,46.02,47.98,4779
2023-03-13,47.38,48.97,45.95,46.98,23817
2023-03-14,48.15,48.15,46.18,46.18,951
2023-03-15,47.95,48.32,45.03,45.63,8613
2023-03-16,46.73,47.13,43.75,44.63,6867
2023-03-17,44.7,45.63,43.0,44.35,6345
2023-03-20,43.0,45.97,41.67,43.45,11814
2023-03-21,43.83,45.22,42.0,43.22,15384
2023-03-22,43.3,45.33,43.03,44.42,11082
2023-03-23,45.02,47.33,42.48,46.28,16260
2023-03-24,46.02,47.22,45.15,46.83,6909
2023-03-27,45.37,46.1,43.0,43.32,14814
2023-03-28,43.35,45.95,42.78,45.4,15360
2023-03-29,44.43,45.27,43.03,44.0,12378
2023-03-31,43.35,46.63,43.33,45.2,11370
2023-04-03,45.68,46.67,44.3,45.45,13020
2023-04-05,47.0,49.98,44.37,49.78,24414
2023-04-06,49.33,52.97,49.17,49.35,41670
2023-04-10,49.18,50.68,49.05,49.9,11043
2023-04-11,49.35,50.32,47.37,49.08,11946
2023-04-12,48.7,49.67,47.33,48.27,3789
2023-04-13,48.4,49.63,47.65,48.52,7194
2023-04-17,48.3,49.32,47.37,48.7,7140
2023-04-18,47.73,48.8,47.7,47.8,7689
2023-04-19,48.4,48.95,47.58,47.73,3447
2023-04-20,48.37,49.32,47.37,47.95,6690
2023-04-21,48.5,49.62,46.72,47.85,18780
2023-04-24,47.68,49.5,45.43,47.85,13932
2023-04-25,47.67,48.98,47.35,48.0,9534
2023-04-26,47.77,49.08,47.38,49.0,3072
2023-04-27,49.28,49.3,47.55,47.58,4692
2023-04-28,48.68,48.83,47.02,47.9,6219
2023-05-02,48.3,48.67,44.82,45.92,25731
2023-05-03,46.38,47.62,45.7,46.87,15990
2023-05-04,46.2,46.97,43.4,44.85,22146
2023-05-05,45.95,46.6,44.7,46.12,7065
2023-05-08,46.25,47.67,44.82,46.73,8253
2023-05-09,46.47,46.55,44.67,45.72,9321
2023-05-10,46.57,49.17,46.03,47.23,53658
2023-05-11,48.18,49.63,47.18,48.13,43764
2023-05-12,48.68,51.17,48.33,49.03,92184
2023-05-15,49.07,58.83,49.07,58.72,145188
2023-05-16,65.0,69.67,61.78,63.07,708975
2023-05-17,61.67,61.67,55.52,56.82,99201
2023-05-18,57.33,59.77,57.33,58.45,41448
2023-05-19,58.87,59.92,55.67,57.8,63603
2023-05-22,59.17,59.17,53.32,55.2,68730
2023-05-23,55.2,58.33,55.2,57.75,20493
2023-05-24,57.77,59.17,56.67,59.05,26181
2023-05-25,58.33,61.32,58.15,59.07,29538
2023-05-26,60.02,64.78,57.73,58.23,20667
2023-05-29,59.13,59.13,56.02,56.45,13371
2023-05-30,56.68,58.33,55.68,58.15,20484
2023-05-31,57.33,58.5,55.67,56.88,51234
2023-06-01,56.7,58.18,55.03,55.97,27612
2023-06-02,57.37,57.47,55.85,56.13,11085
2023-06-05,57.65,57.65,55.67,56.0,5214
2023-06-06,56.0,56.98,55.37,55.53,12684
2023-06-07,55.95,57.63,54.98,56.95,31779
2023-06-08,56.97,57.92,55.07,55.37,38064
2023-06-09,56.63,57.32,55.65,56.42,22749
2023-06-12,57.13,57.73,55.13,56.02,21033
2023-06-13,55.53,56.63,55.37,56.12,3465
2023-06-14,56.63,56.63,54.02,55.32,32637
2023-06-15,54.93,55.8,54.18,55.15,12321
2023-06-16,55.53,55.78,54.1,54.22,5361
2023-06-19,55.0,55.12,53.33,54.5,7785
2023-06-20,54.95,54.95,52.0,52.67,32943
2023-06-21,53.32,53.32,47.78,51.88,115569
2023-06-22,50.58,52.5,50.53,51.6,18774
2023-06-23,51.67,51.83,49.35,49.97,18453
2023-06-26,49.68,50.15,48.17,48.65,8709
2023-06-27,48.63,49.17,47.53,47.97,9567
2023-06-28,56.33,57.55,49.67,51.33,412563
2023-06-30,50.9,52.05,49.37,51.55,35022
2023-07-03,50.07,53.98,50.07,52.87,17010
2023-07-04,52.62,52.95,49.82,51.07,76110
2023-07-05,52.5,52.5,48.83,49.5,31884
2023-07-06,49.98,51.07,48.67,49.12,30291
2023-07-07,49.55,50.82,48.0,48.98,36651
2023-07-10,49.63,49.75,48.7,49.15,11829
2023-07-11,50.0,50.2,48.7,49.7,7854
2023-07-12,49.97,50.15,48.7,48.97,9642
2023-07-13,49.67,49.98,48.75,49.1,8022
2023-07-14,49.15,50.0,48.42,48.8,13110
2023-07-17,48.72,49.98,48.07,48.68,9699
2023-07-18,48.8,49.95,48.42,49.12,6186
2023-07-19,49.93,49.93,49.12,49.32,3165
2023-07-20,49.83,49.83,48.45,48.55,3129
2023-07-21,48.73,49.95,47.52,48.55,18666
2023-07-24,47.77,50.65,47.75,50.37,23340
2023-07-25,50.87,51.6,49.68,51.1,23880
2023-07-26,50.02,51.63,49.65,50.57,29253
2023-07-27,50.73,52.25,50.33,51.72,14571
2023-07-28,51.62,52.8,51.47,52.07,12798
2023-07-31,52.33,53.97,51.85,52.85,26220
2023-08-01,52.7,54.13,52.67,54.02,9096
2023-08-02,55.0,55.0,53.32,54.43,29196
2023-08-03,54.87,55.85,52.67,54.77,86724
2023-08-04,56.33,56.33,52.67,53.58,138201
2023-08-07,54.58,55.32,52.72,54.83,39114
2023-08-08,54.33,55.02,53.37,53.62,34671
2023-08-09,54.35,54.55,53.03,53.4,74226
2023-08-10,53.0,54.42,51.7,53.5,39189
2023-08-11,53.98,53.98,52.42,53.4,17298
2023-08-14,52.23,53.4,50.45,51.2,38901
2023-08-16,51.22,51.45,50.17,51.18,10701
2023-08-17,50.72,50.83,49.33,49.95,54744
2023-08-18,49.6,50.48,48.47,49.1,9096
2023-08-21,50.9,55.67,49.53,50.65,138063
2023-08-22,50.98,53.0,50.75,52.58,20922
2023-08-23,52.7,53.77,52.37,52.97,10191
2023-08-24,52.77,52.93,51.48,52.62,8511
2023-08-25,52.67,52.73,50.7,50.97,4242
2023-08-28,51.05,53.33,50.95,52.02,10497
2023-08-29,51.68,52.18,50.12,52.07,5445
2023-08-30,52.4,52.48,50.02,50.65,5517
2023-08-31,50.83,52.0,50.28,51.2,102753
2023-09-01,51.22,52.67,50.05,51.3,159051
2023-09-04,52.67,52.67,49.33,50.22,43365
2023-09-05,50.52,51.93,50.18,51.42,18780
2023-09-06,51.2,52.05,51.05,51.47,6069
2023-09-07,52.48,52.48,51.53,52.1,4782
2023-09-08,52.18,52.38,50.83,51.27,11853
2023-09-11,51.78,54.27,50.12,51.3,83349
2023-09-12,51.53,51.87,48.27,48.62,28827
2023-09-13,48.25,49.93,48.13,49.28,7947
2023-09-14,51.57,51.57,49.52,50.47,4707
2023-09-15,50.15,51.33,50.0,50.12,4101
2023-09-18,49.9,50.0,49.33,49.45,3462
2023-09-20,48.72,50.92,48.7,49.88,6369
2023-09-21,49.53,50.47,49.47,49.97,4812
2023-09-22,50.67,50.67,48.45,49.15,5586
2023-09-25,49.7,50.1,48.45,48.68,10749
2023-09-26,48.87,49.43,47.6,48.32,19893
2023-09-27,48.03,48.95,47.35,47.62,9999
2023-09-28,48.35,49.22,47.85,49.13,8442
2023-09-29,49.05,50.18,48.87,49.97,5526
2023-10-03,50.13,50.62,48.87,49.75,5715
2023-10-04,49.73,50.32,49.03,49.95,12258
2023-10-05,49.93,51.3,49.93,50.57,13653
2023-10-06,51.33,51.33,49.52,51.0,11037
2023-10-09,49.5,50.97,48.52,49.42,4446
2023-10-10,49.97,50.63,48.52,48.97,7737
2023-10-11,49.42,50.83,49.42,50.52,5355
2023-10-12,50.52,50.52,49.53,50.15,2322
2023-10-13,50.58,50.58,48.45,50.02,8844
2023-10-16,51.02,51.02,49.37,49.8,4749
2023-10-17,49.33,51.82,49.33,50.95,7656
2023-10-18,49.45,51.05,49.45,50.05,3195
2023-10-19,50.33,52.83,49.83,51.18,63234
2023-10-20,52.18,52.43,50.17,50.68,7593
