Datetime,Open,High,Low,Close,Volume
2026-08-03,8.6,9.03,8.6,9.03,59
2026-08-04,9.48,9.48,9.48,9.48,22
2026-08-05,9.95,9.95,9.95,9.95,46
2026-08-06,10.44,10.44,10.44,10.44,4
2026-08-07,10.96,10.96,10.96,10.96,561
2026-08-10,11.5,11.5,11.5,11.5,347
2026-08-11,12.07,12.07,12.07,12.07,304
2026-08-12,12.07,12.07,12.07,12.07,0
2026-08-13,12.67,12.67,12.67,12.67,19
2026-08-14,13.3,13.3,13.3,13.3,98
2026-08-17,13.96,13.96,13.96,13.96,37
2026-08-18,14.65,14.65,14.65,14.65,1777
2026-08-19,15.38,15.38,15.38,15.38,321
2026-08-20,15.38,15.38,15.38,15.38,0
2026-08-21,16.14,16.14,16.14,16.14,254
