Datetime,Open,High,Low,Close,Volume
2021-06-04,68.1,70.8,66.7,70.8,4380711
2021-06-07,72.25,76.35,71.4,74.35,9819720
2021-06-08,75.7,76.3,72.4,74.1,5163964
2021-06-09,74.7,76.3,68.0,70.6,3954895
2021-06-10,71.4,75.1,71.4,73.9,3717419
2021-06-11,76.0,76.05,71.6,72.6,3316530
2021-06-14,75.7,76.0,69.15,73.55,8511913
2021-06-15,74.1,75.5,73.35,74.0,2448640
2021-06-16,74.0,74.0,70.6,72.1,2541984
2021-06-17,71.05,74.5,70.7,71.85,3251568
2021-06-18,73.3,73.7,66.55,73.1,4678814
2021-06-21,71.9,74.5,70.75,73.9,2317359
2021-06-22,75.8,75.8,74.1,74.5,3939273
2021-06-23,75.0,75.75,73.9,74.45,2423714
2021-06-24,75.0,78.0,74.3,75.1,6361275
2021-06-25,75.9,75.9,72.85,73.4,2645843
2021-06-28,73.9,75.3,72.45,72.7,2019020
2021-06-29,72.9,73.9,71.95,72.2,1269472
2021-06-30,72.6,73.4,71.8,72.35,1048072
2021-07-01,72.9,73.85,71.65,72.1,1314939
2021-07-02,74.0,75.45,73.3,74.25,3951917
2021-07-05,75.0,79.25,74.45,76.05,9912858
2021-07-06,76.3,77.2,73.5,74.0,2939306
2021-07-07,74.0,81.4,73.4,81.4,16252523
2021-07-08,82.75,84.25,77.2,78.6,8912947
2021-07-09,80.0,86.45,79.2,86.45,15505482
2021-07-12,89.75,95.05,89.25,95.05,15248643
2021-07-13,99.8,99.8,95.65,99.5,19961577
2021-07-14,99.8,100.9,94.55,94.55,6008701
2021-07-15,91.5,93.4,89.85,89.95,7216039
2021-07-16,89.75,93.25,87.3,90.65,10412497
2021-07-19,90.25,95.15,89.35,92.95,8935268
2021-07-20,94.0,94.5,88.35,88.75,6130611
2021-07-22,90.85,93.15,90.85,92.1,6794132
2021-07-23,92.6,92.85,90.1,90.65,1913881
2021-07-26,91.1,92.75,89.6,90.15,2160133
2021-07-27,90.95,91.75,88.6,89.25,1883509
2021-07-28,89.8,89.8,85.55,88.45,3030457
2021-07-29,86.7,92.85,86.7,92.6,12220041
2021-07-30,93.35,94.0,90.6,91.75,3625283
2021-08-02,93.25,96.3,93.25,96.2,9569130
2021-08-03,96.6,97.85,95.1,96.1,5539531
2021-08-04,96.5,100.0,95.6,98.7,8582112
2021-08-05,99.0,99.2,93.8,93.8,5447976
2021-08-06,94.1,94.7,88.6,90.05,8014852
2021-08-09,90.9,91.35,82.5,83.85,6135896
2021-08-10,84.5,85.75,80.0,81.8,4951104
2021-08-11,82.4,82.65,77.75,80.8,4139698
2021-08-12,80.45,85.5,80.15,84.6,3516529
2021-08-13,85.0,85.45,83.15,84.25,1957987
2021-08-16,84.95,84.95,80.0,81.6,1497563
