Datetime,Open,High,Low,Close,Volume
2021-06-04,61.88,65.0,61.75,62.2,5260482
2021-06-07,62.65,62.95,59.98,60.33,2064698
2021-06-08,60.73,61.95,57.5,61.03,5009682
2021-06-09,62.0,66.75,60.18,61.93,7193926
2021-06-10,62.7,64.75,62.53,62.83,2842812
2021-06-11,63.2,63.9,61.15,61.83,1779914
2021-06-14,62.5,62.58,58.35,60.55,2218856
2021-06-15,61.0,64.68,60.9,63.88,3819966
2021-06-16,64.5,69.35,62.5,67.58,7727598
2021-06-17,67.47,71.25,64.03,65.18,6884398
2021-06-18,65.97,70.4,58.78,69.72,9176122
2021-06-21,68.25,71.4,67.0,68.9,5101472
2021-06-22,69.25,70.72,66.63,66.97,3687166
2021-06-23,67.47,68.22,65.5,66.3,1958650
2021-06-24,66.63,67.45,65.25,65.8,1043912
2021-06-25,66.0,69.5,65.8,68.5,2507356
2021-06-28,69.0,71.0,67.65,70.4,2529548
2021-06-29,70.35,70.58,68.53,69.05,1496254
2021-06-30,69.45,70.5,67.8,68.4,1221508
2021-07-01,69.2,69.7,67.0,68.97,1512618
2021-07-02,69.83,72.63,69.0,70.9,3488216
2021-07-05,71.45,71.7,69.25,69.63,1486320
2021-07-06,69.1,70.35,63.85,66.47,2341622
2021-07-07,66.55,67.88,66.05,66.35,1829108
2021-07-08,66.25,67.47,64.3,65.13,1479394
2021-07-09,65.05,66.75,64.6,66.22,1549916
2021-07-12,66.5,68.03,65.22,65.93,1738316
2021-07-13,66.75,66.83,62.05,62.5,2518410
2021-07-14,63.0,65.5,62.13,65.03,2640894
2021-07-15,65.45,68.5,64.13,67.28,2548958
2021-07-16,67.5,72.0,66.65,70.9,6914934
2021-07-19,71.0,73.38,68.5,69.2,4829872
2021-07-20,69.95,74.95,65.4,73.08,11616706
2021-07-22,73.8,74.95,71.13,72.72,4516940
2021-07-23,73.0,73.1,69.5,70.18,1845442
2021-07-26,70.0,73.2,69.78,70.83,2020184
2021-07-27,71.2,72.4,67.5,68.88,2719486
2021-07-28,69.33,70.35,66.35,69.35,1803526
2021-07-29,69.9,71.7,69.1,69.97,1538676
2021-07-30,69.9,70.53,68.53,68.95,1173816
2021-08-02,69.38,73.4,69.08,72.75,2796414
2021-08-03,73.0,77.35,71.97,75.47,7111244
2021-08-04,76.0,76.95,71.85,72.18,2996522
2021-08-05,72.95,77.0,71.1,76.43,4109936
2021-08-06,76.78,77.4,71.65,72.58,3628720
2021-08-09,72.68,76.3,72.0,74.97,3003614
2021-08-10,74.95,76.7,71.75,73.68,2622228
2021-08-11,73.63,74.22,68.3,72.25,2568108
2021-08-12,73.25,76.47,73.0,75.65,1688610
2021-08-13,75.88,82.0,75.75,80.95,9201298
2021-08-16,81.7,91.1,79.72,89.38,13531064
2021-08-17,90.23,91.8,84.0,88.3,6199156
2021-08-18,87.93,88.45,85.05,85.68,1808472
2021-08-20,85.35,85.35,79.53,81.5,2544680
2021-08-23,83.4,83.4,72.6,75.35,3904452
2021-08-24,75.9,81.78,74.0,80.3,2620296
2021-08-25,80.3,81.65,79.0,80.2,1577550
2021-08-26,80.0,84.1,79.55,82.3,2441204
2021-08-27,82.2,83.5,80.88,81.6,1135070
2021-08-30,81.45,83.25,81.0,81.5,1094496
2021-08-31,82.0,84.35,80.2,82.25,2173020
2021-09-01,82.9,87.7,81.3,85.38,3110848
2021-09-02,85.5,86.93,84.2,85.35,1772464
2021-09-03,85.7,87.38,84.2,84.83,1396836
2021-09-06,85.2,86.0,83.55,84.13,922194
2021-09-07,84.5,87.35,82.4,84.88,1930768
2021-09-08,85.35,93.0,84.15,90.2,5845508
2021-09-09,90.15,91.48,87.78,88.85,1936646
2021-09-13,88.85,90.75,87.5,88.28,1908852
2021-09-14,88.78,89.53,87.0,88.03,1124198
2021-09-15,88.73,89.48,85.85,86.6,911752
2021-09-16,87.28,90.98,85.5,88.95,2538394
2021-09-17,89.7,90.23,85.0,86.78,1567058
2021-09-20,85.85,86.45,83.05,83.73,1184634
2021-09-21,84.08,84.7,79.05,82.93,1348194
2021-09-22,82.93,85.8,81.6,83.75,1574402
2021-09-23,86.3,87.25,85.0,86.1,1373782
2021-09-24,86.63,86.93,84.5,84.88,1028998
2021-09-27,85.0,85.7,83.1,83.48,737368
2021-09-28,83.6,85.15,82.0,83.03,667382
2021-09-29,83.7,83.98,80.55,82.2,901064
2021-09-30,81.6,84.8,81.6,83.8,701386
2021-10-01,83.45,85.93,82.55,84.18,1019660
2021-10-04,84.85,85.48,82.95,83.5,900436
2021-10-05,83.55,84.15,82.63,83.28,489768
2021-10-06,83.3,88.3,83.3,85.43,2055108
2021-10-07,86.23,87.48,85.55,86.08,602722
2021-10-08,86.53,86.78,85.63,86.18,514636
2021-10-11,85.73,90.0,85.0,85.38,1271008
2021-10-12,86.0,86.8,83.28,83.65,746804
2021-10-13,84.03,85.13,82.0,82.83,727262
2021-10-14,83.48,84.6,82.5,83.08,556614
2021-10-18,83.68,84.43,81.5,82.85,1244468
2021-10-19,83.0,83.7,75.25,78.8,1067880
2021-10-20,79.5,80.28,74.7,76.5,1217272
2021-10-21,77.8,78.65,75.3,77.03,657998
2021-10-22,77.8,79.8,74.75,76.45,674916
2021-10-25,76.03,76.4,71.13,72.0,810916
2021-10-26,72.3,79.5,72.18,78.68,1015904
2021-10-27,78.5,80.97,77.5,79.2,591660
2021-10-28,79.0,79.0,76.22,76.95,327636
2021-10-29,76.95,88.45,74.18,85.8,2808246
2021-11-01,87.45,87.45,81.65,82.18,1230154
2021-11-02,82.75,84.4,81.25,81.63,699362
2021-11-03,82.0,87.35,81.88,83.58,1436142
2021-11-04,83.93,85.0,83.75,84.25,237916
2021-11-08,84.9,86.55,83.0,84.48,637872
2021-11-09,84.73,87.0,84.03,84.9,465786
2021-11-10,84.5,86.15,83.78,84.78,535012
2021-11-11,84.95,89.75,84.93,86.73,2375184
2021-11-12,86.05,89.0,86.05,86.68,686364
2021-11-15,87.1,87.35,84.05,85.33,755770
2021-11-16,85.33,86.63,84.55,85.23,478866
2021-11-17,85.45,88.4,84.1,85.53,995634
2021-11-18,85.85,94.75,82.33,91.08,5955346
2021-11-22,92.0,98.0,88.6,96.63,7960876
2021-11-23,97.38,99.35,95.0,95.95,3383776
2021-11-24,96.1,96.63,92.48,92.68,1202368
2021-11-25,93.05,107.4,92.78,106.0,9874910
2021-11-26,103.8,109.5,100.8,103.48,6460600
2021-11-29,105.15,108.0,101.8,103.85,3054932
2021-11-30,103.5,109.4,102.75,103.48,3020300
2021-12-01,105.0,106.0,102.1,103.1,1258268
2021-12-02,103.25,104.15,100.65,101.05,921682
2021-12-03,101.48,104.4,100.73,101.28,1163698
2021-12-06,101.73,102.25,96.18,96.75,991730
2021-12-07,97.0,100.13,96.65,97.48,819538
2021-12-08,98.05,100.35,98.05,99.35,690086
2021-12-09,99.88,104.4,99.75,102.8,1157330
2021-12-10,102.75,104.4,101.05,102.65,570988
2021-12-13,103.45,103.93,99.75,100.38,677014
2021-12-14,100.25,101.73,98.5,98.9,581076
2021-12-15,99.4,99.68,96.75,97.13,691884
2021-12-16,97.65,98.4,92.58,94.03,846180
2021-12-17,94.35,94.4,88.55,89.78,1208720
2021-12-20,85.9,87.5,81.8,86.18,2003750
2021-12-21,86.15,89.38,84.08,85.23,1219880
2021-12-22,86.7,87.88,86.1,86.73,675138
2021-12-23,87.18,90.23,86.85,87.4,830456
2021-12-24,86.88,87.95,84.78,85.03,843824
2021-12-27,82.83,84.5,82.5,83.7,570938
2021-12-28,84.03,97.65,84.03,96.23,9228442
2021-12-29,96.3,96.3,92.8,93.55,1380122
2021-12-30,93.35,95.0,91.13,94.25,1424586
2021-12-31,94.78,95.2,91.75,92.15,778938
2022-01-03,93.23,97.95,93.0,95.8,1655636
2022-01-04,95.8,96.55,93.23,94.4,888908
2022-01-05,94.38,101.38,93.88,98.73,2782180
2022-01-06,97.95,98.68,95.2,95.63,885028
2022-01-07,96.38,96.83,92.25,94.05,1341088
2022-01-10,95.0,95.23,93.6,94.25,695502
2022-01-11,95.0,102.33,94.95,100.28,2942188
2022-01-12,101.5,102.38,96.6,98.68,1638648
2022-01-13,99.0,106.78,96.6,103.18,2763666
2022-01-14,102.45,105.0,101.55,101.98,1100810
2022-01-17,102.73,107.15,102.53,103.25,2170130
2022-01-18,104.08,104.35,97.5,98.5,1410406
2022-01-19,97.95,98.73,94.2,97.23,1685758
2022-01-20,97.78,99.25,96.33,97.38,954332
2022-01-21,96.08,99.58,95.2,96.93,1072336
2022-01-24,96.88,97.43,83.0,87.35,2819242
2022-01-25,86.85,89.05,83.18,87.58,1535828
2022-01-27,86.73,88.78,85.43,87.63,779866
2022-01-28,89.95,93.25,88.03,88.9,1421722
2022-01-31,90.05,92.5,88.23,89.1,674982
2022-02-01,90.33,91.85,84.0,86.03,1882012
2022-02-02,87.18,89.58,86.8,88.45,1271706
2022-02-03,89.0,89.78,87.75,88.15,470994
2022-02-04,88.73,88.75,86.5,87.08,500090
2022-02-07,87.25,88.55,85.68,86.58,546648
2022-02-08,86.75,88.13,82.5,83.88,1141134
2022-02-09,84.55,86.0,80.55,81.72,1092858
2022-02-10,82.2,85.1,81.95,84.3,807380
2022-02-11,82.65,83.5,80.85,81.18,746598
2022-02-14,77.5,79.47,75.0,75.2,1070836
2022-02-15,77.33,79.5,71.8,78.83,1273686
2022-02-16,78.97,80.35,76.33,76.58,971456
2022-02-17,76.97,78.43,74.8,75.33,558808
2022-02-18,73.28,77.58,73.28,74.58,730720
2022-02-21,76.95,76.95,72.63,74.25,780110
2022-02-22,72.38,73.05,70.83,71.58,929480
2022-02-23,72.5,77.4,72.38,73.7,770662
2022-02-24,70.0,71.72,64.03,65.6,1514468
2022-02-25,68.8,71.5,68.18,70.43,1106852
2022-02-28,70.05,74.9,68.43,74.2,841310
2022-03-02,72.93,75.3,72.28,74.15,587906
2022-03-03,74.53,76.5,73.18,74.33,568214
2022-03-04,73.6,74.47,71.22,71.58,504226
2022-03-07,72.95,72.95,68.38,71.3,820046
2022-03-08,71.5,74.88,70.25,73.7,523092
2022-03-09,73.5,76.25,73.5,75.47,699126
2022-03-10,76.58,77.85,75.18,76.35,791436
2022-03-11,76.0,80.6,75.6,79.2,1827710
2022-03-14,79.2,81.6,77.53,79.58,978818
2022-03-15,79.85,80.38,76.22,76.83,591292
2022-03-16,77.6,78.75,76.25,77.8,495220
2022-03-17,78.65,81.2,78.65,79.43,539044
2022-03-21,80.2,80.45,76.2,76.4,566500
2022-03-22,77.0,77.53,74.43,75.28,678610
2022-03-23,76.2,78.0,74.03,75.4,688702
2022-03-24,75.8,76.45,73.1,73.35,787544
2022-03-25,75.0,75.45,71.25,71.97,658802
2022-03-28,74.0,74.0,68.95,70.4,1247272
2022-03-29,70.5,71.4,69.3,70.55,946214
2022-03-30,71.25,73.85,70.97,72.47,822440
2022-03-31,72.0,74.13,71.58,71.9,651906
2022-04-01,71.65,78.7,71.55,77.6,1609670
2022-04-04,78.1,87.0,77.9,85.83,3454152
2022-04-05,86.3,90.8,83.65,88.83,2888026
2022-04-06,88.43,92.0,87.73,89.63,1788470
2022-04-07,89.0,90.35,86.25,86.78,864282
2022-04-08,87.2,88.1,85.65,87.28,683926
2022-04-11,87.0,93.43,86.98,92.7,2606604
2022-04-12,93.45,99.5,93.03,93.8,4878802
2022-04-13,96.2,96.65,93.0,94.3,1273264
2022-04-18,93.93,99.9,91.75,97.08,2480920
2022-04-19,97.9,99.08,93.7,95.53,1445622
2022-04-20,96.03,97.68,92.5,93.75,925154
2022-04-21,94.48,97.0,93.98,95.25,759936
2022-04-22,93.5,95.98,92.5,93.2,611570
2022-04-25,92.9,97.2,91.53,94.48,999938
2022-04-26,95.0,98.33,92.78,93.38,1088410
2022-04-27,93.0,93.85,89.4,90.48,648456
2022-04-28,91.0,92.35,88.83,90.4,525238
2022-04-29,90.5,96.95,90.5,94.1,1658538
2022-05-02,93.55,95.48,91.28,93.03,922844
2022-05-04,96.33,97.35,90.28,90.9,1247556
2022-05-05,92.0,92.75,83.63,86.23,1097136
2022-05-06,83.63,87.88,83.5,86.5,1046854
2022-05-09,86.25,86.25,78.68,84.58,998572
2022-05-10,84.6,87.15,82.78,83.8,465426
2022-05-11,83.4,89.5,79.25,88.6,3202840
2022-05-12,87.45,92.4,85.1,90.6,1647860
2022-05-13,91.08,97.0,89.93,92.3,1587124
2022-05-16,92.95,96.0,90.18,92.65,1078402
2022-05-17,93.13,97.5,92.55,96.73,1232350
2022-05-18,97.48,101.35,93.68,98.98,2999996
2022-05-19,96.0,98.0,94.08,95.38,1250778
2022-05-20,97.5,104.63,97.5,102.33,4040792
2022-05-23,103.0,106.2,98.0,98.98,1846110
2022-05-24,99.75,99.98,96.78,98.55,795538
2022-05-25,99.0,102.25,95.03,96.0,1447166
2022-05-26,95.65,97.48,90.35,95.2,1321798
2022-05-27,96.28,97.93,94.53,96.03,562730
2022-05-30,99.0,101.65,97.0,99.53,1214666
2022-05-31,99.43,102.75,98.0,98.3,830718
2022-06-01,99.08,103.5,98.63,101.45,1220240
2022-06-02,102.0,115.85,101.68,114.63,10851390
2022-06-03,116.0,117.5,112.5,115.15,5479114
2022-06-06,116.85,134.65,115.58,125.3,18483008
2022-06-07,124.45,134.95,121.85,130.88,7755464
2022-06-08,130.78,132.18,122.65,125.28,1806768
2022-06-09,125.13,128.3,121.5,125.68,1114614
2022-06-10,124.0,126.85,123.05,124.63,564608
2022-06-13,122.48,129.95,118.28,122.58,1445622
2022-06-14,123.0,123.95,116.85,118.63,1020620
2022-06-15,119.45,132.95,118.0,127.65,4118802
2022-06-16,129.65,134.4,119.5,122.43,3283352
2022-06-17,121.93,134.38,121.25,129.75,4477432
2022-06-20,131.25,132.3,116.5,122.58,3253692
2022-06-21,124.0,130.98,123.45,129.65,2622256
2022-06-22,129.75,137.48,128.55,134.82,8045594
2022-06-23,135.75,144.95,135.65,138.68,8335430
2022-06-24,141.0,142.15,133.3,134.55,2728208
2022-06-27,136.7,138.9,129.65,130.73,2282862
2022-06-28,131.03,135.55,127.8,134.48,2712712
2022-06-29,133.95,136.45,130.63,131.28,1148742
2022-06-30,132.1,135.5,129.63,130.57,1580516
2022-07-01,130.75,131.85,127.0,130.57,1123882
2022-07-04,130.6,134.4,129.4,132.07,1057266
2022-07-05,133.3,139.2,133.25,135.75,2238034
2022-07-06,136.15,146.98,134.05,145.53,6204512
2022-07-07,145.73,149.85,143.18,148.9,4713796
2022-07-08,149.98,151.5,146.48,147.25,1701124
2022-07-11,147.0,160.85,143.75,159.23,7182836
2022-07-12,158.38,162.5,157.3,160.85,3172070
2022-07-13,160.95,161.68,153.6,154.5,1575462
2022-07-14,155.0,156.3,150.15,152.43,1782706
2022-07-15,153.73,156.45,152.4,155.1,1453288
2022-07-18,156.75,161.1,156.03,159.8,2178408
2022-07-19,159.73,167.5,158.98,165.68,3302560
2022-07-20,167.25,174.23,162.55,165.8,4627468
2022-07-21,166.5,168.45,151.1,156.9,5460916
2022-07-22,157.65,166.4,155.7,164.95,3997344
2022-07-25,165.95,196.98,165.05,188.75,16999584
2022-07-26,186.0,195.85,183.18,185.08,7488270
2022-07-27,185.45,188.98,182.05,185.73,1535980
2022-07-28,186.0,186.9,180.5,181.23,948512
2022-07-29,182.15,186.0,180.25,181.1,850132
2022-08-01,181.25,182.28,176.2,176.83,828796
2022-08-02,177.5,182.15,172.23,177.6,1453218
2022-08-03,178.9,180.95,167.78,169.18,1496222
2022-08-04,169.95,173.65,165.98,172.35,1252034
2022-08-05,173.5,176.1,170.0,171.68,489208
2022-08-08,173.45,179.0,171.7,175.1,785704
2022-08-10,176.48,177.48,172.75,173.83,539016
2022-08-11,174.5,178.43,172.03,172.48,495970
2022-08-12,173.0,173.75,169.1,170.4,424786
2022-08-16,171.0,173.95,170.0,171.13,503054
2022-08-17,172.88,180.48,171.0,178.35,1533000
2022-08-18,180.05,186.98,175.0,180.48,1413054
2022-08-19,181.55,182.33,172.5,173.2,633892
2022-08-22,171.75,173.35,166.45,171.43,554434
2022-08-23,171.43,175.65,169.53,172.65,380848
2022-08-24,173.2,179.35,172.78,175.93,411246
2022-08-25,176.5,180.93,174.05,175.85,527032
2022-08-26,177.5,188.95,177.0,187.15,2968074
2022-08-29,180.15,188.38,177.0,183.25,1083168
2022-08-30,184.88,197.45,184.88,187.68,2286726
2022-09-01,187.45,191.0,183.53,185.98,666134
2022-09-02,187.18,187.5,180.0,181.63,606698
2022-09-05,182.5,184.25,178.05,180.48,472372
2022-09-06,182.25,188.73,180.1,184.5,820218
2022-09-07,183.95,191.85,182.53,187.18,767030
2022-09-08,190.0,190.88,186.23,188.08,375658
2022-09-09,189.58,196.2,186.5,188.05,1369040
2022-09-12,188.05,191.38,184.63,185.75,618446
2022-09-13,186.43,193.78,185.35,189.9,1102312
2022-09-14,187.5,207.8,185.0,196.88,4252588
2022-09-15,198.45,199.8,190.55,194.73,1230200
2022-09-16,194.45,196.28,187.5,192.98,1128674
2022-09-19,194.33,199.75,190.75,193.0,946802
2022-09-20,195.5,197.48,191.58,192.28,429286
2022-09-21,192.28,194.0,187.5,188.08,476378
2022-09-22,188.0,188.53,180.05,183.83,615572
2022-09-23,181.18,185.25,171.73,174.93,991776
2022-09-26,171.25,173.2,159.0,164.05,979382
2022-09-27,163.5,168.55,163.48,164.83,410598
2022-09-28,164.8,170.5,162.4,164.93,566586
2022-09-29,166.5,170.58,163.5,166.85,461862
2022-09-30,167.35,172.25,164.65,170.95,377694
2022-10-03,170.0,173.0,164.53,166.53,455122
2022-10-04,169.4,173.55,167.55,169.75,530714
2022-10-06,172.0,172.0,166.75,167.73,436480
2022-10-07,168.73,170.85,162.75,169.65,528100
2022-10-10,166.13,170.55,166.13,168.45,224696
2022-10-11,169.6,172.5,163.55,165.7,340736
2022-10-12,167.4,169.4,165.08,166.4,204716
2022-10-13,166.95,167.78,164.0,165.5,188430
2022-10-14,168.5,169.55,163.1,164.98,204664
2022-10-17,164.45,169.2,158.7,167.65,324894
2022-10-18,168.75,180.0,168.5,178.85,1271900
2022-10-19,181.7,184.5,178.55,179.9,551722
2022-10-20,179.2,188.38,175.6,186.43,554564
2022-10-21,187.93,189.5,180.5,181.58,403498
2022-10-24,183.88,185.55,182.68,184.38,171366
2022-10-25,185.95,188.4,183.0,185.1,359502
2022-10-27,187.35,187.4,180.4,183.55,251664
2022-10-28,184.5,187.48,183.15,186.23,311630
2022-10-31,186.5,195.0,186.5,188.55,708490
2022-11-01,189.45,192.5,172.98,184.08,818092
2022-11-02,184.6,187.65,181.9,185.8,256902
2022-11-03,184.95,202.5,183.1,200.0,3508550
2022-11-04,201.9,207.5,196.0,199.05,2232268
2022-11-07,200.85,209.5,198.18,208.48,2798054
2022-11-09,210.0,219.78,210.0,217.63,2114936
2022-11-10,216.5,224.73,213.08,222.55,1601592
2022-11-11,226.0,229.4,221.3,223.9,1356004
2022-11-14,223.73,227.5,213.15,226.25,916252
2022-11-15,226.3,229.0,220.4,221.9,644138
2022-11-16,220.48,226.23,219.85,222.45,460704
2022-11-17,222.0,223.5,218.05,220.13,485068
2022-11-18,220.95,221.98,202.78,213.45,802328
