Datetime,Open,High,Low,Close,Volume
2026-04-20,41.5,45.65,41.5,45.6,1540016
2026-04-21,46.35,46.4,43.35,43.35,1667132
2026-04-22,41.2,41.95,41.2,41.2,386196
2026-04-23,39.6,43.25,39.25,40.95,1678644
2026-04-24,41.85,41.9,38.95,39.2,803426
2026-04-27,40.0,40.45,37.25,37.65,2088941
2026-04-28,37.05,39.05,37.05,38.05,669029
2026-04-29,38.15,39.2,36.95,37.4,1258056
2026-04-30,38.25,38.25,36.2,36.9,799924
2026-05-04,37.79,37.79,36.25,37.03,675591
2026-05-05,37.68,37.68,36.3,36.58,415877
2026-05-06,36.01,37.13,36.01,36.48,650821
2026-05-07,37.15,37.15,36.1,36.36,654446
2026-05-08,36.19,38.17,36.16,36.79,2083043
2026-05-11,37.98,37.98,34.96,35.31,1477352
2026-05-12,34.76,35.01,33.55,33.55,866356
2026-05-13,34.88,34.88,32.0,32.34,1088963
2026-05-14,32.98,33.0,31.08,31.37,890816
2026-05-15,31.37,32.92,29.81,30.05,2946080
2026-05-18,29.66,29.66,28.58,28.76,1191026
2026-05-19,28.76,30.19,28.76,30.18,1134033
2026-05-20,30.18,31.68,29.19,31.67,2749799
2026-05-21,32.27,33.25,31.81,32.92,5168358
2026-05-22,32.5,33.01,31.28,31.4,1171633
2026-05-25,31.42,32.23,31.24,31.6,1686700
2026-05-26,31.61,32.0,30.6,31.19,526319
2026-05-27,30.99,31.4,30.41,30.84,2244782
2026-05-29,31.0,32.27,30.69,31.42,4153621
2026-06-01,32.19,32.19,30.17,31.02,579774
2026-06-02,30.02,31.44,30.02,30.92,424379
2026-06-03,30.92,31.58,30.61,30.87,390097
2026-06-04,30.3,32.41,29.53,30.0,13433330
2026-06-05,30.39,31.19,28.4,28.96,2040117
2026-06-08,28.96,29.19,26.11,26.79,1626949
2026-06-09,27.27,27.5,26.04,27.01,1920168
2026-06-10,27.54,32.41,26.82,32.19,7529857
2026-06-11,32.7,36.0,28.0,30.11,19465759
2026-06-12,30.64,31.69,29.7,29.99,3319456
2026-06-15,31.0,31.59,29.5,30.01,2320434
2026-06-16,30.74,31.1,29.0,29.93,2581944
2026-06-17,29.93,30.42,28.9,29.1,1151520
2026-06-18,29.11,29.8,28.65,28.92,3316918
2026-06-19,29.0,29.02,28.2,28.51,892818
2026-06-22,28.51,29.43,28.46,28.68,825324
2026-06-23,28.9,29.15,27.93,28.08,978659
2026-06-24,28.25,28.74,27.8,27.99,1619713
2026-06-25,28.35,28.97,27.1,27.46,1167377
2026-06-29,27.46,27.84,27.15,27.22,485485
2026-06-30,27.21,27.34,26.45,26.7,1098180
2026-07-01,26.7,27.18,26.35,26.49,882092
