Datetime,Open,High,Low,Close,Volume
2016-06-02,402.55,417.45,391.5,415.0,72932
2016-06-03,415.0,424.0,410.0,412.48,42244
2016-06-06,415.0,423.0,412.53,420.68,52208
2016-06-07,422.0,425.0,415.65,416.68,36014
2016-06-08,418.0,422.9,416.0,419.95,22856
2016-06-09,425.0,425.5,406.4,412.95,30788
2016-06-10,413.18,416.5,411.1,413.9,13896
2016-06-13,413.5,415.4,407.5,410.18,18430
2016-06-14,412.0,419.25,410.55,417.75,18986
2016-06-15,416.5,432.45,412.88,424.15,51050
2016-06-16,429.65,429.65,412.8,417.5,23762
2016-06-17,417.5,429.5,413.0,423.0,26446
2016-06-20,423.0,423.45,417.5,419.15,14170
2016-06-21,418.5,418.5,410.98,413.18,22234
2016-06-22,414.0,422.5,414.0,417.83,23622
2016-06-23,418.0,422.5,416.58,419.18,22750
2016-06-24,414.0,416.5,390.0,413.28,50512
2016-06-27,412.0,424.85,412.0,418.8,24460
2016-06-28,418.53,425.0,417.55,422.9,33784
2016-06-29,424.03,472.58,424.03,464.1,225544
2016-06-30,463.5,488.0,451.28,480.93,191166
2016-07-01,485.0,489.35,472.05,479.45,51336
2016-07-04,479.25,486.7,477.33,479.73,52588
2016-07-05,478.0,505.0,472.53,491.5,109262
2016-07-07,494.98,503.45,485.03,489.8,59788
2016-07-08,489.0,500.0,477.5,495.0,55114
2016-07-11,495.0,522.4,489.53,518.23,127702
2016-07-12,520.5,533.83,499.2,524.05,90964
2016-07-13,523.98,525.5,501.75,506.93,86154
2016-07-14,506.5,512.5,500.03,508.63,43684
2016-07-15,507.25,516.0,496.0,505.13,38284
2016-07-18,507.48,521.95,498.15,503.65,180564
2016-07-19,503.38,503.4,495.53,497.23,18370
2016-07-20,496.5,504.8,495.0,498.0,27356
2016-07-21,497.5,501.0,495.53,497.65,19070
2016-07-22,496.7,501.0,491.0,494.83,18922
2016-07-25,492.03,509.98,490.78,495.88,21928
2016-07-26,504.83,504.85,489.53,492.93,121566
2016-07-27,488.0,504.03,488.0,498.9,23074
2016-07-28,495.0,524.75,495.0,513.25,64970
2016-07-29,507.5,517.5,504.98,508.0,25874
2016-08-01,512.48,512.48,491.75,498.55,25954
2016-08-02,498.55,501.73,489.0,493.7,42372
2016-08-03,493.0,499.0,486.25,495.75,14686
2016-08-04,495.0,507.0,487.68,491.08,17716
2016-08-05,504.98,505.48,490.0,492.95,18904
2016-08-08,494.98,517.5,492.85,509.38,21644
2016-08-09,509.95,511.5,497.58,498.5,14858
2016-08-10,509.5,509.5,487.05,496.9,10724
2016-08-11,493.53,499.98,488.5,494.9,18494
2016-08-12,497.5,506.0,492.5,496.05,21544
2016-08-16,500.0,508.95,495.0,500.68,80286
2016-08-17,500.03,504.0,496.5,498.25,21324
2016-08-18,502.5,512.5,499.1,510.0,31578
2016-08-19,512.0,539.5,505.03,526.75,79266
2016-08-22,530.2,542.0,517.48,523.0,87964
2016-08-23,524.5,529.5,505.55,518.38,75508
2016-08-24,519.67,524.95,508.08,517.58,16982
2016-08-25,519.03,526.88,508.98,512.85,67814
2016-08-26,516.98,517.53,499.45,500.58,22456
2016-08-29,506.98,507.0,497.85,501.78,21788
2016-08-30,514.0,527.0,500.53,521.33,43840
2016-08-31,517.5,528.98,512.5,525.67,44764
2016-09-01,515.53,532.58,507.68,510.55,25066
2016-09-02,514.0,525.0,512.08,518.4,44152
2016-09-06,534.45,535.0,516.55,529.88,37234
2016-09-07,534.98,547.0,520.5,533.6,37820
2016-09-08,533.78,542.5,524.75,532.1,110934
2016-09-09,540.0,569.0,527.5,552.08,128168
2016-09-12,545.0,571.0,535.0,560.13,107216
2016-09-14,553.0,558.53,543.8,548.4,54722
2016-09-15,548.5,555.0,536.7,540.5,43716
2016-09-16,539.33,543.92,520.6,526.85,60966
2016-09-19,525.5,550.03,514.5,521.73,60090
2016-09-20,534.85,538.5,522.0,531.75,28718
2016-09-21,539.48,541.25,530.05,533.17,48446
2016-09-22,534.98,537.23,518.03,524.48,45910
2016-09-23,520.53,533.15,520.53,527.42,25096
2016-09-26,524.5,535.0,521.0,526.45,37940
2016-09-27,532.45,547.35,527.17,538.33,52370
2016-09-28,539.0,574.75,531.05,565.38,100602
2016-09-29,555.55,577.5,531.05,558.42,85746
2016-09-30,550.0,562.0,531.15,552.85,47740
2016-10-03,564.78,569.75,553.83,564.2,25642
2016-10-04,558.5,601.5,558.5,580.15,56856
2016-10-05,580.15,589.03,572.55,581.92,41372
2016-10-06,589.85,617.35,575.48,605.8,166788
2016-10-07,610.28,630.1,605.8,615.78,37736
2016-10-10,625.0,634.5,602.3,615.73,19658
2016-10-13,615.73,625.0,600.67,608.28,46344
2016-10-14,624.65,625.0,602.0,609.75,29070
2016-10-17,619.92,724.35,610.9,715.15,356650
2016-10-18,721.98,742.13,693.7,736.48,185874
2016-10-19,731.0,755.0,725.68,731.53,80344
