Datetime,Open,High,Low,Close,Volume
2023-12-20,23.26,23.26,21.73,21.89,575154
2023-12-21,21.89,22.24,21.0,22.2,166224
2023-12-22,22.64,22.64,22.0,22.23,364686
2023-12-26,22.7,22.79,22.06,22.13,344894
2023-12-27,22.54,22.54,22.16,22.27,268429
2023-12-28,22.75,22.75,22.24,22.27,213408
2023-12-29,22.27,22.38,22.22,22.33,387717
2024-01-01,22.78,22.78,21.83,22.43,80517
2024-01-02,22.42,22.54,22.26,22.41,325061
2024-01-03,22.71,22.71,22.35,22.47,322418
2024-01-04,23.49,23.49,22.31,22.92,353046
2024-01-05,22.95,23.12,22.66,22.93,576592
2024-01-08,23.25,23.25,22.83,22.91,496014
2024-01-09,23.14,23.14,22.85,22.87,461144
2024-01-10,22.87,22.9,22.63,22.78,168868
2024-01-11,23.08,23.08,22.79,22.88,376693
2024-01-12,22.99,22.99,22.83,22.93,204537
2024-01-15,23.09,23.09,22.86,22.91,240718
2024-01-16,22.94,23.03,22.81,22.87,414058
2024-01-17,22.91,22.91,22.63,22.67,58625
2024-01-18,23.13,23.13,22.1,22.47,428814
2024-01-19,22.95,22.95,22.59,22.81,930721
2024-01-20,23.15,23.15,22.68,22.75,64791
2024-01-23,22.75,22.85,22.0,22.08,513429
2024-01-24,22.29,22.53,21.96,22.48,518519
2024-01-25,22.46,22.63,22.35,22.47,630282
2024-01-29,22.75,22.88,22.44,22.82,42576
2024-01-30,23.03,23.03,22.54,22.56,1048517
2024-01-31,22.84,22.95,22.56,22.83,351642
2024-02-01,22.99,22.99,22.51,22.7,1265772
2024-02-02,22.71,23.03,22.71,22.83,999599
2024-02-05,23.0,23.0,22.5,22.6,232517
2024-02-06,22.61,22.86,22.42,22.69,176482
2024-02-07,22.94,23.19,22.94,23.1,325038
2024-02-08,23.25,23.25,22.89,22.93,62647
2024-02-09,23.23,23.23,22.41,22.66,246507
2024-02-12,22.96,22.96,22.14,22.23,258169
2024-02-13,22.67,22.67,22.11,22.46,299894
2024-02-14,22.44,22.8,22.14,22.58,116726
2024-02-15,22.25,22.99,22.13,22.61,40683
2024-02-16,22.32,22.94,22.16,22.71,130397
2024-02-19,23.08,23.08,22.71,22.82,131849
2024-02-20,23.04,23.04,22.5,22.8,202594
2024-02-21,22.98,22.99,22.51,22.58,86590
2024-02-22,22.89,22.89,22.3,22.67,413802
2024-02-23,22.85,22.98,22.62,22.84,65065
2024-02-26,22.98,23.31,22.73,22.9,79891
2024-02-27,23.23,23.23,22.67,22.78,214573
2024-02-28,23.15,23.15,22.39,22.46,821898
2024-02-29,22.58,22.81,22.35,22.72,159453
2024-03-01,22.89,22.92,22.79,22.83,89580
2024-03-02,22.84,23.09,22.61,22.88,11671
2024-03-04,23.04,23.04,22.62,22.95,43932
2024-03-05,23.04,23.05,22.56,22.6,265781
2024-03-06,22.89,23.0,22.26,22.5,400842
2024-03-07,22.83,22.83,22.51,22.72,28102
2024-03-11,22.72,22.94,22.26,22.78,102672
2024-03-12,22.91,22.91,22.55,22.67,89198
2024-03-13,22.66,22.74,21.84,22.05,168394
2024-03-14,22.06,22.25,21.69,22.15,460561
2024-03-15,22.14,22.4,21.9,22.07,128119
2024-03-18,21.99,22.33,21.93,22.04,120306
2024-03-19,22.1,22.29,21.83,21.85,189000
2024-03-20,21.91,22.11,21.7,21.89,135073
2024-03-21,22.04,22.41,22.0,22.37,158466
2024-03-22,22.5,22.54,22.33,22.47,41283
2024-03-26,22.68,22.85,22.54,22.74,378721
2024-03-27,22.79,22.89,22.7,22.74,57153
2024-03-28,22.76,23.28,22.75,23.08,210626
2024-04-01,23.14,23.44,22.84,23.4,455925
2024-04-02,23.46,23.55,23.35,23.45,172185
2024-04-03,23.44,23.7,23.23,23.69,333712
2024-04-04,23.8,23.87,23.63,23.68,115939
2024-04-05,23.68,23.9,23.63,23.87,149306
2024-04-08,23.82,24.04,23.82,23.94,115189
2024-04-09,24.05,24.16,23.79,23.88,1555663
2024-04-10,23.9,24.1,23.9,23.95,81665
2024-04-12,24.11,24.11,23.73,23.8,154782
2024-04-15,23.7,23.7,23.11,23.29,149524
2024-04-16,23.29,23.33,23.13,23.21,60046
2024-04-18,23.39,23.59,23.15,23.21,73532
2024-04-19,23.0,23.3,22.83,23.23,60573
2024-04-22,23.69,23.69,23.26,23.58,165387
2024-04-23,23.9,23.9,23.58,23.71,860822
2024-04-24,23.71,23.94,23.69,23.77,95063
2024-04-25,24.14,24.14,23.63,23.91,129128
2024-04-26,24.14,24.14,23.44,23.58,659653
2024-04-29,23.6,23.85,23.32,23.49,227454
2024-04-30,23.51,23.99,23.5,23.79,251013
2024-05-02,24.12,24.24,23.94,24.16,267277
2024-05-03,24.32,24.7,24.11,24.16,219374
2024-05-06,24.57,24.57,23.61,23.74,105147
2024-05-07,23.82,24.14,23.3,23.39,273927
2024-05-08,23.79,23.79,23.25,23.38,95971
2024-05-09,23.39,23.45,22.7,22.77,1107603
2024-05-10,23.12,23.46,22.7,23.02,108300
2024-05-13,23.31,23.31,22.61,23.02,117501
2024-05-14,23.32,23.32,23.02,23.11,93392
2024-05-15,23.14,23.35,23.14,23.22,237689
2024-05-16,23.37,23.53,23.24,23.48,528724
2024-05-17,23.51,23.56,23.25,23.54,150575
2024-05-18,23.7,23.7,23.5,23.61,50103
2024-05-21,23.7,23.7,23.41,23.51,323257
2024-05-22,23.4,23.59,23.32,23.38,145683
2024-05-23,23.72,23.72,23.36,23.58,404512
2024-05-24,24.08,24.08,23.06,23.63,210661
2024-05-27,23.64,23.82,23.55,23.69,220306
2024-05-28,23.77,23.86,23.55,23.7,96956
2024-05-29,23.69,23.84,23.31,23.35,431934
2024-05-30,23.59,23.59,22.81,22.98,775244
2024-05-31,23.38,23.38,22.85,23.09,169726
2024-06-03,23.69,23.95,23.32,23.8,610748
2024-06-04,23.51,23.87,22.02,23.11,456761
2024-06-05,23.12,23.34,21.76,22.94,390298
2024-06-06,23.17,23.53,22.81,23.34,154960
2024-06-07,23.46,23.8,23.32,23.75,249437
2024-06-10,23.8,24.0,23.59,23.8,231816
