Datetime,Open,High,Low,Close,Volume
2011-06-01,12.92,12.92,12.53,12.63,22795
2011-06-02,13.29,13.29,12.53,12.59,12755
2011-06-03,12.94,12.94,12.5,12.56,25780
2011-06-06,12.7,12.7,12.32,12.54,31790
2011-06-07,12.8,12.8,12.42,12.5,17810
2011-06-08,12.8,12.8,12.38,12.4,34530
2011-06-09,12.68,12.68,12.33,12.4,16845
2011-06-10,12.6,12.6,12.28,12.39,9045
2011-06-13,12.58,12.58,12.23,12.32,16240
2011-06-14,12.58,12.82,12.57,12.76,35410
2011-06-15,12.8,12.92,12.61,12.65,15475
2011-06-16,12.85,12.85,12.42,12.7,31140
2011-06-17,12.95,12.95,12.47,12.6,11580
2011-06-20,12.52,12.52,11.91,11.97,64365
2011-06-21,12.7,12.7,11.61,12.0,15120
2011-06-22,12.58,12.58,11.82,11.95,10535
2011-06-23,12.0,12.08,11.8,11.96,25505
2011-06-24,12.17,12.17,11.93,12.09,5660
2011-06-27,12.01,12.53,12.01,12.2,45255
2011-06-28,12.5,12.68,12.3,12.51,103050
2011-06-29,12.71,12.8,12.25,12.31,200995
2011-06-30,12.14,12.6,12.14,12.33,39330
2011-07-01,12.5,12.5,12.22,12.4,54805
2011-07-04,12.58,12.6,12.0,12.28,201530
2011-07-05,12.4,12.4,12.02,12.21,57990
2011-07-06,12.32,12.51,12.15,12.35,57960
2011-07-07,12.57,13.1,12.35,12.71,600465
2011-07-08,12.8,12.8,12.4,12.43,20310
2011-07-11,12.46,12.58,12.3,12.53,57320
2011-07-12,12.6,12.6,12.27,12.36,45260
2011-07-13,12.4,12.4,12.2,12.27,53660
2011-07-14,12.4,12.48,12.21,12.42,33530
2011-07-15,12.58,12.58,12.4,12.4,32905
2011-07-18,12.3,12.57,12.24,12.4,27615
2011-07-19,12.4,12.88,12.38,12.71,59710
2011-07-20,12.84,12.87,12.3,12.38,92615
2011-07-21,12.58,12.58,12.25,12.32,51895
2011-07-22,12.52,12.52,12.19,12.27,262390
2011-07-25,12.52,12.56,12.22,12.4,30930
2011-07-26,12.78,12.78,12.26,12.35,19300
2011-07-27,12.4,12.48,12.13,12.24,6780
2011-07-28,12.2,12.35,12.1,12.32,16865
2011-07-29,12.2,12.27,12.06,12.19,27970
2011-08-01,12.2,12.25,12.1,12.17,9105
2011-08-02,12.16,12.16,11.83,11.89,65325
2011-08-03,11.84,12.3,11.83,12.02,20620
2011-08-04,12.8,12.8,11.82,11.89,46390
2011-08-05,11.76,11.8,11.4,11.6,83705
2011-08-08,11.6,11.6,11.1,11.18,69085
2011-08-09,11.0,11.4,10.65,11.22,89010
2011-08-10,11.24,11.59,11.23,11.37,9415
2011-08-11,11.56,11.56,11.27,11.38,20080
2011-08-12,11.57,11.6,11.27,11.36,25250
2011-08-16,11.56,11.56,10.92,10.99,32070
2011-08-17,11.19,11.23,10.86,10.94,54165
2011-08-18,11.13,11.13,10.62,10.72,17800
2011-08-19,10.8,10.8,10.4,10.62,32250
2011-08-22,10.55,10.96,10.54,10.65,84515
2011-08-23,10.85,11.12,10.62,11.1,13485
2011-08-24,11.09,11.3,10.93,11.08,3870
2011-08-25,11.3,11.3,10.98,11.12,8540
2011-08-26,11.2,11.2,10.72,10.75,18155
2011-08-29,11.12,11.12,10.77,10.99,13150
2011-08-30,11.14,11.19,10.8,11.15,18060
2011-09-02,11.19,11.52,11.17,11.45,21650
2011-09-05,11.47,11.49,11.3,11.46,41015
2011-09-06,11.88,11.88,11.31,11.69,41590
2011-09-07,11.9,12.16,11.6,12.06,65785
2011-09-08,11.94,12.2,11.78,11.97,84885
2011-09-09,12.0,12.0,11.74,11.81,53545
2011-09-12,11.96,11.96,11.4,11.65,46410
2011-09-13,11.97,11.97,11.52,11.81,24315
2011-09-14,12.18,12.18,11.71,11.87,37455
2011-09-15,11.67,11.67,11.33,11.37,38100
2011-09-16,11.56,11.56,10.97,11.0,65315
2011-09-19,11.28,11.47,10.93,11.19,33620
2011-09-20,11.12,11.3,11.08,11.08,8550
2011-09-21,11.3,11.3,11.04,11.07,9530
2011-09-22,11.2,11.2,10.9,10.91,23550
2011-09-23,11.11,11.11,10.54,10.67,18895
2011-09-26,10.8,10.8,10.47,10.71,34985
2011-09-27,10.9,10.9,10.72,10.84,70490
2011-09-28,10.9,10.9,10.5,10.67,23485
2011-09-29,10.8,10.8,10.62,10.65,11025
2011-09-30,10.78,10.78,10.56,10.62,21425
2011-10-03,10.67,10.67,10.4,10.5,25545
2011-10-04,10.59,10.7,10.43,10.55,50225
2011-10-05,10.7,10.7,10.39,10.48,287280
2011-10-07,10.6,10.77,10.52,10.52,1285
2011-10-10,10.7,10.7,10.5,10.6,10795
2011-10-11,10.58,10.69,10.57,10.57,19295
2011-10-12,10.99,10.99,10.53,10.62,9750
2011-10-13,10.9,10.9,10.53,10.6,24960
2011-10-14,10.79,10.79,10.72,10.79,9510
2011-10-17,10.68,10.82,10.68,10.71,7375
2011-10-18,10.89,10.89,10.59,10.65,210480
2011-10-19,10.8,10.88,10.71,10.88,1360
2011-10-20,10.62,10.8,10.6,10.71,25880
2011-10-21,10.99,10.99,10.63,10.7,8875
2011-10-24,10.72,10.98,10.52,10.59,20340
2011-10-25,10.6,10.77,10.6,10.77,3010
2011-10-26,11.0,11.0,10.62,10.74,4480
2011-10-28,10.9,10.9,10.7,10.72,8945
2011-10-31,10.8,10.98,10.73,10.97,14900
2011-11-01,11.35,11.35,10.71,10.79,17800
2011-11-02,11.57,11.57,10.4,10.67,4840
2011-11-03,11.8,11.8,10.31,10.44,141140
2011-11-04,10.7,10.74,10.5,10.59,12185
2011-11-08,10.69,10.69,10.35,10.51,52640
2011-11-09,10.79,10.79,10.4,10.53,12910
2011-11-11,10.51,10.6,10.11,10.19,22780
2011-11-14,10.6,10.6,9.92,9.93,29915
2011-11-15,10.32,10.32,9.8,9.85,12870
2011-11-16,10.1,10.1,9.5,10.08,16775
2011-11-17,10.19,10.19,9.32,9.6,64185
2011-11-18,9.7,9.72,9.31,9.6,44015
2011-11-21,9.95,9.95,9.31,9.46,23170
2011-11-22,9.76,9.76,9.41,9.6,62740
2011-11-23,9.9,9.9,9.12,9.33,15625
2011-11-24,9.4,9.57,9.1,9.51,13610
2011-11-25,9.73,9.79,9.51,9.71,7210
2011-11-28,9.9,9.9,9.44,9.45,16550
2011-11-29,9.7,9.7,9.2,9.21,26790
2011-11-30,9.38,9.38,9.22,9.31,12115
2011-12-01,9.57,9.57,9.21,9.25,23640
2011-12-02,9.47,9.53,9.3,9.37,12930
2011-12-05,9.76,9.76,9.43,9.58,4100
2011-12-07,9.8,9.8,9.31,9.72,32000
2011-12-08,9.9,10.96,9.87,10.26,1444835
2011-12-09,10.2,10.2,9.6,9.76,81860
2011-12-12,9.8,9.96,9.65,9.79,68475
2011-12-13,10.0,10.0,9.4,9.52,48385
2011-12-14,9.54,9.8,9.34,9.59,29855
2011-12-15,9.4,9.89,9.2,9.41,18970
2011-12-16,9.7,9.79,9.11,9.2,33435
2011-12-19,9.2,9.26,9.05,9.15,28170
2011-12-20,9.1,9.47,8.54,9.27,29475
2011-12-21,9.79,9.79,9.02,9.02,25635
2011-12-22,9.47,9.47,8.96,9.16,26105
2011-12-23,9.38,9.38,9.04,9.15,10005
2011-12-26,9.6,9.6,9.16,9.31,11260
2011-12-27,9.7,9.7,9.3,9.52,1775
2011-12-28,9.56,9.66,9.19,9.48,11365
2011-12-29,9.3,9.58,8.9,9.12,10940
2011-12-30,9.0,9.42,9.0,9.1,2980
2012-01-02,9.35,9.35,8.9,8.95,15915
2012-01-03,9.11,9.31,8.99,9.14,24570
2012-01-04,9.38,9.4,9.1,9.2,12915
2012-01-05,9.18,9.36,9.1,9.13,16020
2012-01-06,9.02,9.4,9.02,9.23,20340
2012-01-07,9.3,9.3,9.2,9.2,2775
2012-01-09,9.4,9.58,9.27,9.56,3730
2012-01-10,9.59,9.9,9.45,9.89,21130
2012-01-11,9.94,10.9,9.8,10.78,195305
2012-01-12,10.85,10.85,10.34,10.37,24275
2012-01-13,10.58,10.6,10.08,10.27,25435
2012-01-16,10.26,10.26,10.07,10.09,17495
2012-01-17,10.19,10.6,10.09,10.38,27990
2012-01-18,10.58,10.58,10.37,10.5,5855
2012-01-19,10.43,10.54,10.3,10.38,14390
2012-01-20,10.2,10.5,10.03,10.38,14685
2012-01-23,10.5,10.5,10.21,10.23,2200
2012-01-24,10.39,10.47,10.2,10.35,28375
2012-01-25,10.46,10.5,10.29,10.34,27210
2012-01-27,10.57,10.57,10.2,10.45,30215
2012-01-30,10.51,10.6,10.35,10.37,32445
2012-01-31,10.35,10.76,10.2,10.6,31330
2012-02-01,10.5,10.75,10.45,10.69,25045
2012-02-02,10.84,10.84,10.54,10.61,53270
2012-02-03,10.8,10.8,10.53,10.59,38990
