Datetime,Open,High,Low,Close,Volume
2011-06-01,233.0,239.0,221.05,223.3,149569
2011-06-02,217.0,226.05,217.0,220.0,126188
2011-06-03,218.0,233.4,218.0,227.7,116529
2011-06-06,227.85,234.0,226.1,232.0,27605
2011-06-07,230.0,236.0,230.0,233.9,62680
2011-06-08,232.8,241.35,232.8,239.7,37285
2011-06-09,240.5,245.0,239.4,244.0,43418
2011-06-10,244.05,244.9,235.05,244.0,39243
2011-06-13,233.0,241.95,233.0,240.6,18890
2011-06-14,241.0,245.95,241.0,244.3,32770
2011-06-15,244.5,245.0,238.0,238.85,18347
2011-06-16,237.0,239.85,226.15,228.3,21886
2011-06-17,232.9,234.9,217.0,222.95,19230
2011-06-20,222.0,222.0,200.1,215.6,51302
2011-06-21,219.0,222.8,213.85,216.85,76700
2011-06-22,217.0,222.4,214.0,214.35,88734
2011-06-23,211.55,229.8,211.0,227.9,38919
2011-06-24,222.1,245.0,222.1,241.15,60562
2011-06-27,239.0,246.85,237.0,244.05,27556
2011-06-28,246.95,249.05,233.8,246.3,55032
2011-06-29,246.0,256.0,243.0,254.35,58811
2011-06-30,252.0,259.95,248.0,257.6,105992
2011-07-01,253.05,264.95,253.0,260.55,34876
2011-07-04,262.5,263.5,258.55,261.25,30373
2011-07-05,257.1,263.5,253.05,259.25,33533
2011-07-06,260.5,262.05,258.0,260.85,39934
2011-07-07,261.65,268.0,261.0,264.3,41885
2011-07-08,266.5,287.0,264.25,281.4,121707
2011-07-11,285.0,288.9,265.1,270.5,46326
2011-07-12,263.0,272.0,263.0,269.25,35188
2011-07-13,274.5,274.9,265.2,267.5,26417
2011-07-14,265.8,276.9,262.0,270.2,33646
2011-07-15,270.0,284.35,266.3,271.2,37166
2011-07-18,272.0,276.0,265.1,272.35,33448
2011-07-19,273.0,279.7,269.75,270.15,36574
2011-07-20,269.9,272.85,251.75,267.55,30127
2011-07-21,269.0,270.05,264.0,268.3,28806
2011-07-22,268.0,272.0,268.0,270.25,32230
2011-07-25,270.0,271.8,266.05,269.0,38400
2011-07-26,269.1,272.0,256.7,261.55,32797
2011-07-27,263.0,272.5,257.0,269.55,39505
2011-07-28,268.5,269.0,256.15,260.5,34922
2011-07-29,263.1,265.6,252.2,258.25,29264
2011-08-01,261.0,264.7,255.0,261.55,33047
2011-08-02,262.0,267.45,255.05,259.05,35176
2011-08-03,252.15,260.0,251.85,254.15,33413
2011-08-04,260.0,264.95,249.95,260.65,37586
2011-08-05,250.0,257.4,243.0,248.65,40210
2011-08-08,243.0,244.85,230.0,238.85,4712
2011-08-09,251.0,251.0,231.0,241.2,5297
2011-08-10,265.25,265.25,236.2,239.5,15350
2011-08-11,246.95,246.95,236.0,238.2,1019
2011-08-12,237.0,241.95,231.2,233.5,20716
2011-08-16,230.0,236.95,222.0,232.15,11361
2011-08-17,230.0,237.0,221.5,228.0,17727
2011-08-18,226.0,227.0,211.0,217.75,17082
2011-08-19,216.0,216.0,206.9,210.85,3611
2011-08-22,201.25,220.0,201.25,213.6,1030
2011-08-23,204.1,217.9,204.1,215.9,9599
2011-08-24,241.0,241.0,208.0,209.35,1423
2011-08-25,210.0,210.0,207.0,209.95,2395
2011-08-26,214.85,214.85,195.55,199.0,1520
2011-08-29,199.8,209.95,197.05,199.95,17650
2011-08-30,200.0,209.0,195.35,206.2,14804
2011-09-02,206.2,214.85,199.0,199.15,1313
2011-09-05,197.0,200.95,195.35,197.85,4512
2011-09-06,195.05,195.15,190.0,194.1,2466
2011-09-07,208.5,232.3,196.35,224.9,56554
2011-09-08,228.0,228.95,220.0,222.75,11425
2011-09-09,219.5,226.95,216.25,220.75,10669
2011-09-12,224.0,224.0,205.6,209.4,1286
2011-09-13,209.0,212.25,200.0,202.7,2671
2011-09-14,209.6,210.0,205.65,206.8,1628
2011-09-15,205.0,209.8,205.0,207.75,1231
2011-09-16,210.0,223.4,201.15,219.9,12799
2011-09-19,227.75,227.75,214.1,215.5,395
2011-09-20,217.0,221.0,210.1,216.75,756
2011-09-21,220.0,220.95,216.2,218.95,1443
2011-09-22,215.0,215.0,205.0,207.35,1151
2011-09-23,214.7,214.7,205.3,208.8,12173
2011-09-26,205.0,205.0,199.05,201.05,3286
2011-09-27,207.0,216.5,197.0,214.9,22153
2011-09-28,220.0,220.0,207.55,207.95,902
2011-09-29,212.0,217.4,202.05,204.05,598
2011-09-30,200.0,204.0,195.0,201.15,1071
2011-10-03,191.15,204.0,191.15,199.2,503
2011-10-04,197.35,203.95,196.6,198.45,573
2011-10-05,198.0,201.75,197.05,199.25,282
2011-10-07,201.05,208.95,196.05,197.6,765
2011-10-10,194.0,204.0,194.0,200.1,828
2011-10-11,222.0,222.0,196.05,196.3,1132
2011-10-12,194.0,203.65,191.0,200.85,2301
2011-10-13,193.0,201.0,193.0,200.8,1298
2011-10-14,192.6,199.65,192.6,195.45,2233
2011-10-17,198.0,198.95,193.05,196.9,3795
2011-10-18,196.0,197.95,192.55,193.2,3075
2011-10-19,194.0,199.9,194.0,198.6,5190
2011-10-20,196.75,200.0,196.75,198.0,344
2011-10-21,205.0,205.0,196.5,197.4,950
2011-10-24,198.0,219.95,193.55,194.5,1274
2011-10-25,191.5,197.1,190.55,192.05,8947
2011-10-26,199.0,199.0,191.1,193.9,311
2011-10-28,197.0,198.65,195.2,198.55,219
2011-10-31,195.0,198.9,193.55,196.9,11756
2011-11-01,196.0,197.95,193.25,194.2,296
2011-11-02,192.55,197.0,192.55,194.0,3260
2011-11-03,196.95,197.0,190.55,191.7,462
2011-11-04,190.55,196.95,190.55,193.0,1334
2011-11-08,203.0,203.0,191.1,195.0,12964
2011-11-09,195.0,199.65,189.0,191.1,2021
2011-11-11,191.0,192.0,167.55,181.35,8190
2011-11-14,189.0,195.0,175.6,180.2,2907
2011-11-15,182.95,183.45,171.0,173.3,1044
2011-11-16,170.05,176.95,165.45,172.35,3932
2011-11-17,169.0,169.0,161.0,162.35,1776
2011-11-18,160.2,163.9,148.05,152.95,5243
2011-11-21,156.0,159.6,147.0,151.65,2562
2011-11-22,145.6,152.7,138.0,139.5,13093
2011-11-23,138.5,143.65,138.05,138.3,5852
2011-11-24,152.95,152.95,138.0,140.35,3314
2011-11-25,140.0,144.15,136.0,139.05,1122
2011-11-28,142.0,145.95,138.0,142.15,2603
2011-11-29,141.25,143.85,138.05,139.85,11311
2011-11-30,139.5,149.5,139.5,142.2,558
2011-12-01,142.75,159.8,142.75,151.25,2099
2011-12-02,151.0,151.0,144.4,147.45,886
2011-12-05,149.0,151.7,147.6,149.3,203
2011-12-07,153.95,154.0,149.0,150.6,1412
2011-12-08,152.0,154.4,148.5,148.95,1064
2011-12-09,150.5,150.5,141.15,145.85,1548
2011-12-12,146.4,146.55,138.25,140.85,2121
2011-12-13,138.0,140.0,130.3,138.0,2248
2011-12-14,144.0,144.0,138.0,142.0,432
2011-12-15,142.45,144.95,133.45,138.15,8155
2011-12-16,137.05,145.0,134.1,138.75,2604
2011-12-19,137.0,142.5,126.1,130.65,2136
2011-12-20,132.0,149.5,112.1,123.35,7821
2011-12-21,139.9,139.9,120.05,122.3,2257
2011-12-22,131.85,131.85,124.5,128.6,618
2011-12-23,134.95,139.7,130.0,133.05,997
2011-12-26,140.0,140.0,131.75,133.6,251
2011-12-27,137.0,140.0,132.0,135.4,1014
2011-12-28,132.05,138.0,130.35,133.65,142
2011-12-29,149.85,149.85,128.3,129.5,433
2011-12-30,127.0,140.95,123.15,124.9,838
2012-01-02,124.9,129.5,120.1,123.65,1234
2012-01-03,130.5,133.0,120.0,131.45,2179
2012-01-04,133.5,134.9,124.0,126.95,494
2012-01-05,125.0,131.0,121.9,128.5,1038
2012-01-06,128.5,130.5,123.05,127.45,333
2012-01-07,126.0,132.5,122.0,132.5,10
2012-01-09,130.0,132.0,124.3,128.45,1810
2012-01-10,133.0,135.7,128.35,134.15,1173
2012-01-11,132.0,139.0,131.6,135.45,702
2012-01-12,140.95,141.95,136.0,139.9,1124
2012-01-13,142.0,155.0,142.0,148.65,3335
2012-01-16,156.95,159.0,153.1,155.6,1154
2012-01-17,168.0,168.0,155.05,158.15,516
2012-01-18,155.1,157.75,151.0,156.8,875
2012-01-19,155.0,155.0,148.0,149.7,1064
2012-01-20,148.0,151.95,144.65,147.6,397
2012-01-23,145.0,155.95,142.0,144.0,984
2012-01-24,142.0,142.0,136.55,138.1,3406
2012-01-25,137.2,144.7,136.0,137.7,1965
2012-01-27,138.9,140.0,136.95,137.9,1705
2012-01-30,136.25,136.25,133.0,134.05,65
2012-01-31,135.0,140.0,133.0,137.3,1811
2012-02-01,139.9,142.9,136.6,138.8,3250
2012-02-02,137.2,144.95,136.1,137.3,1933
2012-02-03,141.9,141.9,135.0,138.45,4871
2012-02-06,139.95,145.0,138.2,141.7,7881
2012-02-07,140.0,142.0,139.05,140.15,453
2012-02-08,143.9,143.9,135.55,141.3,989
2012-02-09,143.9,143.9,137.6,143.65,641
2012-02-10,143.85,146.95,140.55,142.75,1209
2012-02-13,142.5,150.0,137.0,147.65,740
2012-02-14,145.0,148.0,142.7,146.25,436
2012-02-15,143.0,151.95,126.0,137.85,19754
2012-02-16,138.7,142.15,136.25,137.15,624
2012-02-17,136.15,139.3,134.15,137.4,2577
2012-02-21,137.4,140.0,135.6,137.3,1610
2012-02-22,137.4,138.55,133.5,136.0,1815
2012-02-23,135.0,138.85,135.0,136.35,1414
2012-02-24,139.9,139.9,131.0,133.15,2543
2012-02-27,133.0,138.45,126.65,131.35,3754
2012-02-28,130.0,137.25,129.5,131.5,1200
2012-02-29,133.0,139.0,133.0,137.25,1813
2012-03-01,139.45,139.45,135.25,135.75,372
2012-03-02,135.5,138.0,135.5,138.0,650
2012-03-03,137.0,137.0,135.1,135.1,7
2012-03-05,135.0,135.7,130.4,131.8,2354
2012-03-06,125.0,135.0,125.0,131.85,1813
2012-03-07,130.0,154.0,130.0,133.55,2094
2012-03-09,135.0,135.0,131.1,131.1,12
2012-03-12,131.0,136.4,131.0,131.75,287
2012-03-13,131.1,134.7,130.0,130.45,1712
2012-03-14,133.95,134.0,127.5,131.0,6688
2012-03-15,132.9,133.0,131.15,132.3,50
2012-03-16,134.0,134.0,131.0,131.2,352
2012-03-19,131.0,134.5,130.0,131.05,2567
2012-03-20,133.9,134.0,130.15,130.85,2800
2012-03-21,133.85,133.9,130.0,132.85,403
2012-03-22,131.0,131.05,130.1,130.95,1757
2012-03-23,130.0,134.85,130.0,131.9,827
2012-03-26,130.0,132.25,122.0,128.4,7777
2012-03-27,127.05,132.3,127.0,129.4,1443
2012-03-28,129.95,138.95,126.0,127.9,4629
2012-03-29,128.0,129.95,126.0,127.3,936
2012-03-30,129.8,132.5,125.5,130.55,661
2012-04-02,130.0,131.8,128.0,130.6,1179
2012-04-03,129.05,133.0,129.05,130.5,35
2012-04-04,131.0,139.95,131.0,138.8,1815
2012-04-09,141.5,149.0,137.2,147.3,1486
2012-04-10,145.0,153.0,143.5,150.15,2283
2012-04-11,152.0,160.0,152.0,154.7,3062
2012-04-12,160.0,166.0,158.0,160.3,2507
2012-04-13,158.5,192.35,158.5,192.35,24269
2012-04-16,200.0,220.5,200.0,207.15,168271
2012-04-17,205.05,207.0,195.25,199.05,23739
2012-04-18,202.65,202.8,190.9,195.7,4507
2012-04-19,196.95,205.0,190.0,200.0,12529
2012-04-20,200.5,201.5,192.5,194.35,2216
2012-04-23,199.0,202.5,187.05,190.2,2017
2012-04-24,185.0,193.0,185.0,188.8,2135
2012-04-25,187.0,190.0,187.0,188.0,1254
2012-04-26,195.0,195.0,184.95,185.0,3588
2012-04-27,185.0,193.0,181.3,184.2,3029
2012-04-28,182.5,183.0,182.5,182.5,40
2012-04-30,182.4,191.0,182.4,190.0,1132
2012-05-02,185.2,189.95,180.6,183.3,1626
2012-05-03,183.0,187.3,176.25,185.5,26748
2012-05-04,188.0,192.5,185.3,188.75,31930
2012-05-07,184.5,190.0,180.0,188.85,32771
2012-05-08,210.0,210.0,183.85,185.4,32149
2012-05-09,186.0,187.55,180.25,182.7,33421
2012-05-10,185.0,193.7,183.5,187.7,37360
2012-05-11,188.0,189.3,182.95,186.6,32404
2012-05-14,187.5,193.0,178.5,180.2,32835
2012-05-15,182.0,183.0,175.5,179.85,31430
2012-05-16,156.0,180.05,156.0,177.65,36174
2012-05-17,180.0,180.2,174.05,177.65,35115
2012-05-18,173.0,186.0,170.35,176.25,34825
2012-05-21,177.0,179.0,173.1,177.95,31410
2012-05-22,176.1,180.45,175.3,178.25,33877
2012-05-23,177.0,182.25,168.0,171.05,30231
2012-05-24,172.0,176.15,165.0,167.45,30077
2012-05-25,170.0,170.0,160.05,164.35,21381
2012-05-28,164.0,189.7,161.5,181.3,35578
2012-05-29,188.75,188.75,175.0,177.9,28735
2012-05-30,178.4,189.75,164.3,166.85,36082
2012-05-31,165.1,171.8,160.0,164.65,31711
2012-06-01,164.45,166.2,162.5,164.25,31573
2012-06-04,165.0,169.9,164.5,167.15,16756
2012-06-05,168.0,168.1,161.1,165.8,27269
2012-06-06,166.25,175.9,161.1,166.7,29534
2012-06-07,167.0,200.0,162.0,187.2,118983
2012-06-08,186.0,193.0,181.8,191.65,72410
2012-06-11,195.0,196.1,187.05,188.2,35566
2012-06-12,188.8,197.45,188.0,190.9,44947
2012-06-13,191.0,196.9,185.25,189.95,50887
2012-06-14,188.1,193.85,188.1,191.75,35469
2012-06-15,190.25,195.9,186.8,195.05,39026
2012-06-18,193.0,220.45,190.1,208.55,90548
2012-06-19,210.4,215.4,209.5,213.95,64118
2012-06-20,216.0,230.95,215.05,224.05,60228
2012-06-21,227.0,229.0,218.15,225.45,40670
2012-06-22,222.0,231.35,221.0,228.1,70751
2012-06-25,229.8,232.5,220.1,224.0,42902
2012-06-26,223.0,225.0,213.45,216.2,43516
2012-06-27,217.5,220.05,210.9,214.05,47372
2012-06-28,215.0,220.0,211.3,213.75,45605
2012-06-29,210.55,218.95,206.25,210.85,42453
2012-07-02,212.5,223.9,211.3,222.4,44668
2012-07-03,222.0,228.5,211.5,213.1,64417
2012-07-04,212.2,223.9,212.2,222.65,42826
2012-07-05,224.95,254.0,221.25,227.8,73097
2012-07-06,222.55,230.5,222.55,224.2,48684
2012-07-09,223.0,229.45,219.05,222.6,46823
2012-07-10,226.0,227.0,219.2,222.75,41018
2012-07-11,226.0,228.9,221.1,223.25,36557
2012-07-12,223.9,224.7,216.55,218.2,38871
2012-07-13,217.5,222.9,214.35,216.1,38717
2012-07-16,205.15,227.0,205.0,217.5,43879
2012-07-17,218.0,224.6,214.0,215.45,40547
2012-07-18,214.05,223.9,214.05,222.4,41263
2012-07-19,217.5,224.9,217.5,220.45,36135
2012-07-20,220.0,223.0,215.35,217.2,36938
2012-07-23,219.0,220.9,211.05,216.75,32604
2012-07-24,213.65,222.9,213.1,216.8,44067
2012-07-25,219.0,219.0,210.7,212.55,38165
2012-07-26,217.45,217.45,192.0,205.75,30574
2012-07-27,198.05,212.65,198.05,203.05,38295
2012-07-30,201.0,209.4,198.15,200.8,33666
2012-07-31,199.5,208.9,196.0,201.45,35521
2012-08-01,199.0,208.75,196.8,199.8,38783
2012-08-02,205.0,205.0,191.55,193.2,40995
2012-08-03,190.05,193.9,186.2,189.35,38366
2012-08-06,186.05,200.0,186.05,196.25,38451
2012-08-07,198.5,219.0,198.5,206.2,45830
2012-08-08,209.95,209.95,202.65,203.8,41020
2012-08-09,207.0,209.9,201.05,206.05,36859
2012-08-10,207.85,209.0,201.1,202.2,35304
2012-08-13,195.2,207.4,193.65,196.7,38240
2012-08-14,202.5,202.8,190.1,191.95,38719
2012-08-16,190.05,195.9,189.05,191.7,41632
2012-08-17,192.95,193.0,189.0,190.9,39355
2012-08-21,191.0,195.2,190.1,191.6,39694
2012-08-22,190.0,220.9,187.6,211.9,719255
2012-08-23,213.0,214.25,196.25,200.0,66756
2012-08-24,200.1,203.7,194.4,198.6,50719
2012-08-27,195.25,203.8,191.05,192.25,35852
