Datetime,Open,High,Low,Close,Volume
2016-06-02,341.5,343.5,337.53,338.65,60061
2016-06-03,339.0,346.0,335.03,342.35,16355
2016-06-06,342.5,344.95,338.1,338.75,10272
2016-06-07,339.88,342.0,336.75,338.75,5164
2016-06-08,337.53,342.5,337.5,339.7,7289
2016-06-09,340.05,342.1,337.58,338.68,5845
2016-06-10,338.18,339.95,336.53,337.4,8611
2016-06-13,333.15,339.43,333.13,338.98,2306
2016-06-14,341.5,341.98,337.0,338.93,7970
2016-06-15,342.35,342.35,337.53,339.5,6478
2016-06-16,342.5,342.5,337.5,338.45,25981
2016-06-17,337.58,340.68,337.58,339.95,4807
2016-06-20,337.55,342.5,335.03,339.88,5359
2016-06-21,342.5,342.5,337.5,338.33,9736
2016-06-22,338.53,340.0,330.05,330.58,23501
2016-06-23,334.5,337.5,332.45,336.65,9080
2016-06-24,334.98,337.5,330.0,337.2,6657
2016-06-27,339.98,341.63,336.2,337.38,25674
2016-06-28,340.0,340.18,336.33,337.55,36381
2016-06-29,339.95,353.5,338.05,348.7,43307
2016-06-30,353.43,372.5,353.43,368.15,63846
2016-07-01,371.0,376.95,368.63,375.18,14211
2016-07-04,376.5,382.0,372.5,375.23,23618
2016-07-05,377.5,385.0,373.13,374.18,13863
2016-07-07,378.5,378.5,366.0,367.8,18812
2016-07-08,369.03,375.0,366.03,367.13,16473
2016-07-11,372.5,377.0,362.5,365.63,26080
2016-07-12,369.0,369.95,363.0,364.63,49983
2016-07-13,365.5,365.5,360.03,362.13,30752
2016-07-14,360.1,362.9,344.0,350.25,48811
2016-07-15,360.0,360.0,348.1,353.65,16208
2016-07-18,352.0,355.0,346.1,350.3,5715
2016-07-19,349.95,351.45,344.0,345.15,38747
2016-07-20,343.05,349.0,340.5,343.7,3719
2016-07-21,344.0,348.45,339.0,340.05,4504
2016-07-22,341.05,347.0,338.0,342.0,13898
2016-07-25,345.0,347.0,342.0,346.1,5248
2016-07-26,343.0,351.0,342.05,348.7,12045
2016-07-27,354.85,356.0,344.95,354.2,10426
2016-07-28,354.2,359.9,340.4,345.3,87477
2016-07-29,347.95,347.95,331.35,341.25,68987
2016-08-01,345.0,345.0,335.0,336.45,11284
2016-08-02,336.5,340.0,334.0,334.0,222168
2016-08-03,335.0,338.65,331.35,334.95,6872
2016-08-04,338.0,342.0,323.5,334.65,8447
2016-08-05,332.05,339.0,331.95,336.2,7725
2016-08-08,338.95,342.0,334.5,337.45,8117
2016-08-09,335.05,340.95,333.65,336.6,4463
