Datetime,Open,High,Low,Close,Volume
2026-08-20,27.5,27.5,27.13,27.2,73
2026-08-21,27.13,27.13,26.9,26.9,13
2026-08-24,26.9,26.9,26.85,26.86,262
2026-08-25,26.93,26.93,26.91,26.91,31
2026-08-26,26.9,26.9,26.9,26.9,29
2026-08-27,26.82,26.82,26.82,26.82,1650000
2026-08-28,26.66,26.89,26.66,26.89,11
2026-08-31,26.83,26.83,26.51,26.51,1245
2026-09-01,26.64,26.64,26.49,26.49,185
2026-09-02,26.49,26.49,26.49,26.49,0
2026-09-03,26.49,26.49,26.49,26.49,0
2026-09-04,26.79,26.79,26.48,26.79,42
2026-09-07,26.79,26.81,26.75,26.81,11
2026-09-08,26.81,26.83,26.47,26.83,520
2026-09-09,26.8,26.8,26.8,26.8,6
2026-09-10,26.48,26.83,26.48,26.83,377
2026-09-11,26.46,27.85,26.46,27.0,4
2026-09-15,27.0,27.0,24.32,26.3,519
2026-09-16,26.3,26.3,26.3,26.3,0
2026-09-17,26.3,26.3,26.3,26.3,0
