Datetime,Open,High,Low,Close,Volume
2023-07-31,13.29,13.29,13.04,13.04,70620
2023-08-01,12.79,13.29,12.79,12.79,116345
2023-08-02,12.54,12.59,12.54,12.54,34910
2023-08-03,12.3,12.79,12.3,12.79,211166
2023-08-04,12.79,13.04,12.59,13.04,53527
2023-08-07,13.29,13.29,13.29,13.29,36119
2023-08-08,13.53,13.53,13.53,13.53,42457
2023-08-09,13.78,13.78,13.78,13.78,60621
2023-08-10,14.03,14.03,14.03,14.03,56228
2023-08-11,14.27,14.27,14.27,14.27,36631
2023-08-14,14.52,14.52,14.03,14.17,555341
2023-08-16,14.42,14.42,14.17,14.42,18605
2023-08-17,14.67,14.67,14.67,14.67,42787
2023-08-18,14.92,14.92,14.92,14.92,49216
2023-08-21,15.21,15.21,14.62,15.21,119972
2023-08-22,15.51,15.51,15.21,15.46,519508
2023-08-23,15.75,15.75,15.41,15.75,38533
2023-08-24,16.05,16.05,16.0,16.05,54136
2023-08-25,16.35,16.35,16.3,16.35,118472
2023-08-28,16.64,16.64,16.59,16.64,365660
2023-08-29,16.94,16.94,16.89,16.94,136884
2023-08-30,16.94,17.24,16.94,17.24,56275
2023-08-31,17.53,17.53,17.43,17.53,136491
2023-09-01,17.88,17.88,17.63,17.83,208928
2023-09-04,17.48,17.48,17.48,17.48,19319
2023-09-05,17.14,17.14,17.14,17.14,482164
2023-09-06,16.79,16.79,16.79,16.79,95974
2023-09-07,16.5,16.5,16.5,16.5,3247
2023-09-08,16.2,16.2,16.2,16.2,5170
2023-09-11,15.9,15.9,15.9,15.9,6336
2023-09-12,15.61,15.61,15.61,15.61,2020
2023-09-13,15.31,15.31,15.31,15.31,658
2023-09-14,15.01,15.01,15.01,15.01,5497
2023-09-15,14.72,14.72,14.72,14.72,16265
2023-09-18,14.42,14.42,14.42,14.42,15725
2023-09-20,14.13,14.13,14.13,14.13,21360
2023-09-21,13.88,13.88,13.88,13.88,5244
2023-09-22,13.63,13.63,13.63,13.63,9901
2023-09-25,13.38,13.38,13.38,13.38,13132
2023-09-26,13.14,13.14,13.14,13.14,6086
2023-09-27,12.89,12.89,12.89,12.89,10376
2023-09-28,12.64,12.64,12.64,12.64,10650
2023-09-29,12.64,12.74,12.4,12.45,145338
2023-10-03,12.45,12.45,12.35,12.4,37047
2023-10-04,12.45,12.64,12.35,12.64,51581
2023-10-05,12.89,12.89,12.89,12.89,44699
2023-10-06,13.14,13.14,12.89,12.89,28829
2023-10-09,12.64,13.14,12.64,13.14,167930
2023-10-10,13.33,13.38,13.29,13.38,122994
2023-10-11,13.38,13.63,13.38,13.63,140476
2023-10-12,13.88,13.88,13.53,13.88,113272
2023-10-13,13.78,14.13,13.78,14.13,119168
2023-10-16,14.32,14.37,14.13,14.37,78138
2023-10-17,14.62,14.62,14.08,14.42,97208
2023-10-18,14.62,14.62,14.13,14.22,201574
2023-10-19,14.47,14.47,13.98,14.08,67797
2023-10-20,13.83,14.32,13.83,13.83,34559
2023-10-23,13.83,14.08,13.58,13.73,56453
2023-10-25,13.98,13.98,13.53,13.58,60639
2023-10-26,13.58,13.83,13.33,13.53,26627
2023-10-27,13.53,13.78,13.29,13.68,27980
2023-10-30,13.73,13.73,13.43,13.43,47404
2023-10-31,13.19,13.68,13.19,13.19,35091
2023-11-01,12.94,13.38,12.94,13.04,91209
2023-11-02,12.79,13.29,12.79,12.79,42897
2023-11-03,12.54,12.89,12.54,12.54,20063
2023-11-06,12.74,12.74,12.3,12.3,82650
2023-11-07,12.3,12.5,12.05,12.1,104899
2023-11-08,12.1,12.3,11.85,11.85,170753
2023-11-09,11.85,11.85,11.66,11.66,29068
2023-11-10,11.46,11.46,11.46,11.46,21035
2023-11-12,11.26,11.41,11.26,11.26,29454
2023-11-13,11.21,11.21,11.06,11.06,53981
2023-11-15,11.06,11.26,10.87,11.26,64571
2023-11-16,11.46,11.46,11.06,11.36,150941
2023-11-17,11.51,11.56,11.16,11.16,134092
2023-11-20,10.96,11.36,10.96,10.96,85446
2023-11-21,10.77,11.16,10.77,10.77,79462
2023-11-22,10.57,10.96,10.57,10.57,214731
2023-11-23,10.37,10.77,10.37,10.37,80163
2023-11-24,10.17,10.52,10.17,10.27,48364
2023-11-28,10.17,10.47,10.08,10.22,198837
2023-11-29,10.22,10.42,10.03,10.03,101156
2023-11-30,9.88,10.22,9.83,10.08,73188
2023-12-01,9.93,10.27,9.88,9.98,117451
2023-12-04,10.17,10.17,9.78,9.93,110492
2023-12-05,9.93,10.12,9.73,9.98,89244
2023-12-06,10.17,10.17,10.17,10.17,74599
2023-12-07,10.37,10.37,9.98,10.08,240007
2023-12-08,10.08,10.27,9.98,10.27,106961
2023-12-11,10.42,10.47,10.08,10.22,169969
2023-12-12,10.22,10.42,10.03,10.12,200147
2023-12-13,10.12,10.27,9.98,10.03,96092
2023-12-14,9.83,10.22,9.83,10.17,172100
2023-12-15,10.37,10.37,9.98,10.03,90290
2023-12-18,10.03,10.22,9.83,10.03,183685
2023-12-19,10.17,10.22,9.83,10.03,135521
2023-12-20,10.17,10.22,9.88,10.03,162215
2023-12-21,10.03,10.22,9.83,10.22,703176
2023-12-22,10.42,10.42,10.22,10.32,748779
2023-12-26,10.32,10.47,10.27,10.37,346490
2023-12-27,10.47,10.57,10.17,10.57,163873
2023-12-28,10.77,10.77,10.37,10.72,220568
2023-12-29,10.82,10.91,10.57,10.72,123382
2024-01-01,10.87,10.91,10.57,10.91,169968
2024-01-02,10.96,11.11,10.96,11.11,79786
2024-01-03,11.31,11.31,11.31,11.31,114805
2024-01-04,11.51,11.51,11.51,11.51,67844
2024-01-05,11.71,11.71,11.71,11.71,174685
2024-01-08,11.9,11.9,11.71,11.9,636767
2024-01-09,12.1,12.1,12.1,12.1,122835
2024-01-10,12.3,12.3,12.3,12.3,97516
2024-01-11,12.5,12.5,12.5,12.5,154449
2024-01-12,12.74,12.74,12.74,12.74,91259
2024-01-15,12.99,12.99,12.99,12.99,80433
2024-01-16,13.24,13.24,13.24,13.24,511893
2024-01-17,13.43,13.48,12.99,13.48,933642
2024-01-18,13.48,13.68,13.48,13.63,159584
2024-01-19,13.63,13.63,13.43,13.43,103207
2024-01-20,13.29,13.29,13.19,13.19,51959
2024-01-23,12.94,12.94,12.94,12.94,118596
2024-01-24,12.69,12.69,12.69,12.69,146101
2024-01-25,12.45,12.45,12.45,12.45,41179
2024-01-29,12.2,12.2,12.2,12.2,230415
2024-01-30,11.95,11.95,11.95,11.95,259341
2024-01-31,11.71,11.71,11.71,11.71,178762
2024-02-01,11.51,11.75,11.51,11.75,160493
2024-02-02,11.95,11.95,11.95,11.95,50867
2024-02-05,12.15,12.15,12.15,12.15,79505
2024-02-06,12.35,12.35,12.35,12.35,47120
2024-02-07,12.59,12.59,12.59,12.59,21118
2024-02-08,12.84,12.84,12.84,12.84,27729
2024-02-09,13.09,13.09,13.09,13.09,42714
2024-02-12,13.33,13.33,12.84,12.84,115569
2024-02-13,12.59,12.59,12.59,12.59,28256
2024-02-14,12.4,12.84,12.4,12.84,114442
2024-02-15,12.59,12.69,12.59,12.69,33844
2024-02-16,12.79,12.79,12.59,12.59,38733
2024-02-19,12.69,12.84,12.69,12.84,93724
2024-02-20,13.09,13.09,13.09,13.09,96141
2024-02-21,13.09,13.09,12.89,12.94,49488
2024-02-22,12.89,12.94,12.89,12.94,102608
2024-02-23,12.94,12.94,12.74,12.94,36855
2024-02-26,12.74,12.74,12.69,12.69,41222
2024-02-27,12.45,12.45,12.45,12.45,28868
2024-02-28,12.2,12.2,12.2,12.2,11154
2024-02-29,11.95,12.4,11.95,12.15,391999
2024-03-01,12.25,12.35,12.25,12.35,49546
2024-03-02,12.5,12.59,12.2,12.54,14457
2024-03-04,12.45,12.79,12.3,12.59,164992
2024-03-05,12.79,12.79,12.35,12.54,96373
2024-03-06,12.54,12.74,12.3,12.3,68903
2024-03-07,12.3,12.5,12.05,12.1,106506
2024-03-11,12.3,12.3,11.85,11.85,49719
2024-03-12,11.9,12.0,11.66,11.66,76197
2024-03-13,11.66,11.8,11.46,11.46,16322
2024-03-14,11.41,11.41,11.26,11.36,40609
2024-03-15,11.36,11.56,11.16,11.16,39999
2024-03-18,10.96,11.36,10.96,11.16,110220
2024-03-19,11.31,11.36,10.96,11.11,41395
2024-03-20,10.96,11.21,10.91,11.06,30767
2024-03-21,11.06,11.26,10.91,11.26,40235
2024-03-26,11.16,11.36,10.96,10.96,62632
2024-03-27,10.96,11.11,10.77,10.82,212825
2024-03-28,10.96,10.96,10.62,10.62,57957
2024-04-01,10.82,10.82,10.42,10.72,127838
2024-04-02,10.77,10.91,10.67,10.87,56439
2024-04-03,10.87,11.06,10.87,11.06,38191
2024-04-04,11.26,11.26,11.21,11.26,37650
2024-04-05,11.51,11.8,11.51,11.75,201678
2024-04-08,11.75,12.25,11.21,12.2,213788
2024-04-09,12.74,12.79,12.35,12.74,180967
2024-04-10,13.14,13.14,12.64,12.89,156275
2024-04-12,13.33,13.43,12.89,13.04,168557
2024-04-15,12.79,13.24,12.4,12.74,145764
2024-04-16,13.04,13.04,12.1,12.59,66306
2024-04-18,12.84,13.14,12.45,12.64,95911
2024-04-19,12.94,12.94,12.05,12.64,78707
2024-04-22,13.04,13.04,12.25,12.4,79445
2024-04-23,12.64,12.94,12.45,12.64,84552
2024-04-24,12.89,12.94,12.05,12.25,155459
2024-04-25,12.84,12.84,11.66,12.05,191371
2024-04-26,12.25,12.25,11.95,12.0,51513
2024-04-29,12.25,12.25,11.85,11.9,70217
2024-04-30,12.05,12.15,11.36,11.61,167641
2024-05-02,11.95,11.95,11.56,11.61,122992
2024-05-03,11.61,11.85,11.16,11.31,96707
2024-05-06,11.51,11.61,11.06,11.06,86235
2024-05-07,11.06,11.61,10.87,11.56,121505
2024-05-08,12.05,12.05,11.06,11.31,177701
2024-05-09,11.56,11.56,10.77,10.77,123496
2024-05-10,10.77,11.26,10.22,10.67,179131
2024-05-13,10.91,11.06,10.57,10.82,168320
2024-05-14,11.06,11.06,10.62,10.72,100667
2024-05-15,10.87,10.91,10.62,10.82,74603
2024-05-16,10.57,10.91,10.27,10.72,141364
2024-05-17,10.77,10.91,10.47,10.62,106882
2024-05-18,10.52,11.11,10.52,11.06,102643
2024-05-21,11.46,11.46,10.72,10.87,234538
2024-05-22,10.87,11.41,10.77,11.11,175983
2024-05-23,11.16,11.16,10.72,10.77,226463
2024-05-24,11.06,11.26,10.77,11.26,344052
2024-05-27,11.66,11.8,11.21,11.8,733548
2024-05-28,12.35,12.35,12.0,12.35,676558
2024-05-29,12.5,12.94,12.0,12.94,673302
2024-05-30,13.58,13.58,13.58,13.58,930869
2024-05-31,14.22,14.22,14.22,14.22,127632
2024-06-03,14.92,14.92,14.92,14.92,214539
2024-06-04,15.66,15.66,14.17,14.27,2853257
2024-06-05,14.47,14.96,14.47,14.96,697425
2024-06-06,15.71,15.71,15.71,15.71,44501
2024-06-10,16.23,16.23,14.68,14.71,329589
2024-06-11,14.03,14.69,13.97,14.01,167088
2024-06-12,13.32,14.7,13.32,14.16,405973
2024-06-13,14.41,14.79,13.64,13.94,227196
2024-06-14,14.08,14.27,13.48,13.79,152334
2024-06-18,14.03,14.03,13.51,13.65,86539
2024-06-19,14.02,14.02,13.24,13.55,82397
2024-06-20,13.29,13.81,13.29,13.53,59385
2024-06-21,13.29,13.71,13.27,13.36,145316
2024-06-24,13.7,13.7,13.13,13.4,79898
2024-06-25,13.52,13.52,13.0,13.39,75740
2024-06-26,13.39,13.43,13.04,13.32,35913
2024-06-27,13.06,13.62,13.06,13.41,54699
2024-07-01,14.03,14.08,13.04,13.42,94178
2024-07-02,13.05,13.81,13.05,13.62,91790
2024-07-03,13.98,13.98,13.14,13.59,134157
2024-07-04,13.73,13.73,13.53,13.55,54606
2024-07-05,13.68,13.8,12.9,13.34,251827
2024-07-08,13.48,13.5,13.19,13.26,90631
2024-07-09,13.38,13.43,13.04,13.05,44852
2024-07-10,13.16,13.43,12.84,12.86,68276
2024-07-11,12.99,12.99,12.21,12.57,69126
2024-07-12,12.59,12.84,12.08,12.48,101436
2024-07-15,12.57,13.1,12.56,13.1,113789
2024-07-16,13.68,13.75,13.37,13.75,149647
2024-07-18,14.41,14.43,13.83,14.43,377059
2024-07-19,14.82,14.82,13.7,13.85,259666
2024-07-22,13.35,14.52,13.32,13.82,240492
2024-07-23,14.41,14.41,13.32,13.91,149262
2024-07-24,14.31,14.31,13.38,13.73,112247
2024-07-25,13.93,13.93,13.33,13.4,51520
2024-07-26,13.4,13.93,13.1,13.56,72474
2024-07-29,13.92,13.92,13.64,13.8,70131
2024-07-30,14.03,14.3,13.61,13.81,183723
2024-07-31,13.83,14.22,13.8,14.0,133732
2024-08-01,14.37,14.37,13.63,13.7,99847
2024-08-02,13.33,14.03,13.07,13.7,123920
2024-08-05,13.33,13.69,13.01,13.01,103401
2024-08-06,12.96,12.97,12.36,12.52,169578
2024-08-07,12.79,13.04,12.39,12.71,98138
2024-08-08,12.93,12.94,12.71,12.82,66202
2024-08-09,13.38,13.42,12.83,12.88,52309
2024-08-12,12.74,13.06,12.73,12.77,80444
2024-08-13,12.66,13.03,12.4,12.63,58126
2024-08-14,12.63,12.63,12.07,12.2,56600
2024-08-16,12.78,12.78,11.68,12.02,87052
2024-08-19,12.02,12.61,12.0,12.61,35431
2024-08-20,13.21,13.24,12.79,13.14,105814
2024-08-21,12.67,13.58,12.67,13.17,90947
2024-08-22,13.43,13.53,12.7,12.86,78215
2024-08-23,13.03,13.5,12.64,12.84,93724
2024-08-26,12.7,13.43,12.7,13.25,87926
2024-08-27,13.25,13.43,12.75,13.02,113416
2024-08-28,13.32,13.42,12.87,12.99,36696
2024-08-29,13.13,13.13,12.34,12.42,100298
2024-08-30,12.6,12.6,11.79,12.25,54861
2024-09-02,12.59,12.78,12.35,12.66,62727
2024-09-03,13.09,13.09,12.64,12.67,34566
2024-09-04,12.46,12.79,12.26,12.42,37409
2024-09-05,12.3,12.45,12.27,12.29,68369
2024-09-06,12.3,12.51,12.19,12.21,27925
2024-09-09,12.49,12.49,11.6,11.92,42820
2024-09-10,11.91,12.32,11.91,11.98,47063
2024-09-11,12.22,12.24,11.85,11.89,38900
2024-09-12,12.04,12.21,11.9,12.07,41526
2024-09-13,12.07,12.35,12.03,12.23,32964
2024-09-16,12.45,12.83,12.4,12.83,79476
