Datetime,Open,High,Low,Close,Volume
2026-08-17,60.79,63.0,55.05,62.99,878
2026-08-18,59.0,62.99,58.0,60.94,2387
2026-08-19,60.5,62.9,59.75,60.0,894
2026-08-20,61.79,62.0,60.05,61.92,1183
2026-08-21,62.0,63.99,61.15,61.71,3660
2026-08-24,63.35,63.35,61.5,62.0,226
2026-08-25,62.7,62.7,60.66,60.74,250
2026-08-26,48.6,63.49,48.6,58.31,1311
2026-08-27,62.89,62.89,59.1,59.5,662
2026-08-28,61.99,61.99,56.45,61.79,479
2026-08-31,63.8,65.0,60.0,60.46,1196
2026-09-01,58.91,61.5,58.91,59.99,1424
2026-09-02,59.99,60.0,58.05,59.99,515
2026-09-03,60.0,60.0,59.25,59.66,1673
2026-09-04,59.66,60.0,58.26,58.38,115
2026-09-07,58.62,61.1,58.5,60.46,726
2026-09-08,60.5,62.0,57.03,61.79,232
2026-09-09,58.56,61.5,58.56,59.37,928
2026-09-10,62.8,62.8,58.6,58.9,533
2026-09-11,58.7,60.05,58.5,59.99,664
2026-09-15,62.8,62.8,59.6,59.99,1364
2026-09-16,65.0,65.0,59.0,62.3,1402
2026-09-17,64.75,64.75,60.21,61.49,2226
2026-09-18,61.5,62.93,60.68,61.0,788
2026-09-21,60.5,63.48,60.5,61.79,139
2026-09-22,61.5,62.1,55.01,61.99,204
