Datetime,Open,High,Low,Close,Volume
2011-06-01,24.58,24.66,24.24,24.54,2165020
2011-06-02,24.17,24.51,23.86,24.24,2118802
2011-06-03,24.62,24.7,23.41,23.49,2041400
2011-06-06,23.71,23.71,23.11,23.37,2014217
2011-06-07,23.37,25.19,23.22,24.85,6294901
2011-06-08,24.73,25.53,24.58,24.73,4785873
2011-06-09,25.0,25.22,24.32,24.66,1696268
2011-06-10,24.66,26.7,24.39,25.79,17423298
2011-06-13,25.26,25.94,24.73,25.71,5307913
2011-06-14,25.37,25.6,24.96,25.3,2486456
2011-06-15,25.3,25.98,24.96,25.15,3545085
2011-06-16,24.7,24.92,24.51,24.58,1764937
2011-06-17,24.54,24.85,24.02,24.17,2036810
2011-06-20,24.17,24.43,21.33,22.01,4587543
2011-06-21,22.47,23.11,21.79,21.9,3282697
2011-06-22,22.09,22.43,21.45,21.56,2287826
2011-06-23,21.56,21.86,21.22,21.6,2014521
2011-06-24,21.71,22.58,21.56,22.39,2534476
2011-06-27,22.05,23.11,22.05,22.81,1808371
2011-06-28,22.96,23.18,22.66,23.07,1943205
2011-06-29,23.15,24.54,23.03,24.09,4881685
2011-06-30,24.32,24.51,23.9,24.09,3626189
2011-07-01,24.32,24.7,24.09,24.47,2033825
2011-07-04,24.85,25.53,24.62,25.34,2305960
2011-07-05,25.6,25.68,24.92,25.07,2310934
2011-07-06,24.54,25.37,24.43,24.96,1707402
2011-07-07,25.22,25.34,24.85,25.19,1348692
2011-07-08,25.19,26.28,24.77,25.71,3884589
2011-07-11,25.75,25.94,24.85,24.96,1693307
2011-07-12,24.92,26.13,24.54,25.37,6578802
2011-07-13,25.68,26.02,24.92,25.15,3858283
2011-07-14,25.15,25.68,24.77,25.41,2160301
2011-07-15,25.22,25.68,25.19,25.26,1241644
2011-07-18,25.37,25.49,25.11,25.19,968989
2011-07-19,25.19,26.36,25.03,26.05,2550157
2011-07-20,26.36,26.36,25.37,25.64,3144892
2011-07-21,25.56,25.68,24.96,25.11,1278393
2011-07-22,25.53,25.68,25.19,25.34,1233580
2011-07-25,25.41,25.83,25.15,25.6,1703088
2011-07-26,25.45,25.83,24.85,24.96,2240480
2011-07-27,25.0,25.07,24.2,24.58,2162172
2011-07-28,24.39,24.43,22.96,23.3,9677701
2011-07-29,23.3,23.64,22.77,23.03,2175534
2011-08-01,23.3,23.9,22.84,23.15,1585641
2011-08-02,23.03,23.18,22.28,22.62,2020620
2011-08-03,22.54,23.75,22.05,23.34,2978702
2011-08-04,23.49,23.9,22.66,22.77,1890521
2011-08-05,21.9,22.2,21.22,21.9,2824047
2011-08-08,21.18,21.9,20.47,21.15,2416217
2011-08-09,20.47,21.94,20.28,21.41,3762543
2011-08-10,21.79,22.54,21.71,22.05,1499959
2011-08-11,22.05,22.35,21.67,22.05,1520976
2011-08-12,22.28,22.35,21.83,21.9,1115041
2011-08-16,22.62,22.62,20.47,20.92,2524750
2011-08-17,20.77,21.03,19.37,20.13,4069654
2011-08-18,20.35,20.5,19.79,20.09,2589434
2011-08-19,19.94,20.2,19.18,19.97,2105075
2011-08-22,20.13,21.03,19.79,20.84,1777810
2011-08-23,20.99,21.18,20.31,21.03,1025009
2011-08-24,20.77,21.79,20.65,21.49,2519289
2011-08-25,21.75,21.75,20.39,20.73,2506680
2011-08-26,20.47,20.81,19.94,20.13,1657290
2011-08-29,20.16,21.07,19.9,20.88,1736887
2011-08-30,21.15,21.56,20.77,21.37,1244441
