Datetime,Open,High,Low,Close,Volume
2011-06-01,103.88,109.59,103.43,105.62,304751
2011-06-02,104.23,105.86,103.33,105.22,44048
2011-06-03,105.22,106.21,104.42,104.72,131302
2011-06-06,104.23,105.17,102.94,103.73,95948
2011-06-07,104.62,104.62,103.23,103.98,20866
2011-06-08,103.63,104.23,103.28,103.98,41960
2011-06-09,94.3,98.82,90.63,98.12,1961983
2011-06-10,97.33,99.21,96.28,96.48,299010
2011-06-13,97.08,98.07,94.3,94.4,182759
2011-06-14,95.59,95.79,94.3,94.35,99682
2011-06-15,94.4,94.94,92.31,92.81,103851
2011-06-16,92.07,92.66,90.73,91.07,78384
2011-06-17,91.07,92.17,90.23,91.52,108777
2011-06-20,91.82,91.82,87.45,89.44,74922
2011-06-21,91.32,91.32,88.49,89.24,56222
2011-06-22,90.33,90.33,85.86,86.21,71321
2011-06-23,86.31,87.35,85.02,86.21,43059
2011-06-24,86.36,88.79,86.26,87.7,135591
2011-06-27,88.34,88.34,87.5,88.0,64514
2011-06-28,88.34,88.59,87.75,88.34,39485
2011-06-29,88.29,88.84,87.85,88.14,90557
2011-06-30,88.59,89.24,87.7,88.0,42990
2011-07-01,87.35,89.34,87.35,88.34,37554
2011-07-04,87.45,90.18,87.45,89.29,42261
2011-07-05,89.88,90.18,89.09,89.34,81620
2011-07-06,89.09,89.73,87.35,89.24,84241
2011-07-07,91.57,92.61,89.93,90.28,94372
2011-07-08,90.43,91.12,89.83,90.23,40461
2011-07-11,90.33,90.33,88.74,89.29,57825
2011-07-12,97.08,97.08,87.5,88.94,108726
2011-07-13,89.34,89.98,88.44,88.84,36079
2011-07-14,88.94,89.34,87.9,88.34,54640
2011-07-15,88.74,89.24,88.05,88.24,30719
2011-07-18,88.14,88.34,86.9,87.15,64486
2011-07-19,87.15,87.85,86.46,87.25,27003
2011-07-20,87.35,88.54,87.0,87.4,86214
2011-07-21,87.15,87.65,87.0,87.3,19788
2011-07-22,87.3,88.24,86.61,87.05,33915
2011-07-25,88.0,88.0,86.51,86.71,25043
2011-07-26,86.76,87.1,86.01,86.26,51520
2011-07-27,86.66,87.25,85.66,86.31,87166
2011-07-28,87.2,87.2,84.47,85.07,55518
2011-07-29,85.37,85.71,83.88,84.47,60032
2011-08-01,86.01,86.01,83.93,84.32,45447
2011-08-02,84.37,84.37,82.19,82.54,57879
2011-08-03,81.84,82.09,79.41,81.4,84020
2011-08-04,82.19,82.39,80.95,81.25,96363
