Datetime,Open,High,Low,Close,Volume
2011-06-01,46.79,47.18,46.22,46.56,58450
2011-06-02,46.54,46.54,46.0,46.24,48935
2011-06-03,46.0,46.79,46.0,46.4,62750
2011-06-06,46.73,46.77,46.24,46.57,20100
2011-06-07,46.95,46.95,46.31,46.61,27655
2011-06-08,46.2,46.88,46.2,46.58,40035
2011-06-09,46.6,48.8,46.6,48.07,1179960
2011-06-10,48.82,50.29,48.62,49.48,1457975
2011-06-13,49.6,50.2,49.23,49.67,200720
2011-06-14,50.36,51.75,49.86,50.78,1707690
2011-06-15,50.9,52.59,50.0,50.23,1220965
2011-06-16,49.6,49.93,48.66,49.02,129875
2011-06-17,49.0,51.27,49.0,49.56,877250
2011-06-20,49.8,49.8,47.02,47.68,178755
2011-06-21,48.0,48.28,46.4,47.53,89240
2011-06-22,47.01,48.38,47.01,47.72,103540
2011-06-23,46.65,47.52,46.4,47.1,68895
2011-06-24,47.4,47.6,46.68,47.22,53480
2011-06-27,47.0,47.44,46.2,46.57,47160
2011-06-28,46.42,46.8,46.2,46.54,32255
2011-06-29,46.6,47.32,46.54,46.82,28420
2011-06-30,46.62,47.3,46.6,47.12,30600
2011-07-01,46.6,47.46,46.6,46.81,46630
2011-07-04,47.32,47.36,46.82,46.95,49585
2011-07-05,47.0,48.41,46.91,47.88,98055
2011-07-06,48.94,48.94,47.2,47.43,20980
2011-07-07,47.41,48.27,47.2,47.94,22005
2011-07-08,47.81,47.81,47.03,47.2,31160
2011-07-11,47.2,47.6,47.0,47.08,61360
2011-07-12,47.0,47.8,46.8,47.0,152800
2011-07-13,47.0,47.73,46.61,47.4,24115
2011-07-14,47.02,47.74,47.02,47.37,29980
2011-07-15,47.4,48.4,47.3,47.85,40810
2011-07-18,47.86,49.76,47.2,48.56,136530
2011-07-19,48.6,49.09,47.4,47.57,58370
2011-07-20,47.6,48.38,47.5,47.54,45200
2011-07-21,47.4,48.0,47.4,47.6,71960
2011-07-22,47.46,48.2,47.46,47.67,33755
2011-07-25,47.46,47.99,47.02,47.74,26695
2011-07-26,47.82,48.4,47.33,47.4,93945
2011-07-27,47.4,47.89,47.35,47.4,73575
2011-07-28,47.39,47.8,47.3,47.41,53605
2011-07-29,47.44,48.41,46.43,47.22,303470
2011-08-01,47.26,47.34,46.6,46.68,65775
2011-08-02,46.43,47.2,45.61,46.03,144875
2011-08-03,45.4,45.44,44.91,45.05,76250
2011-08-04,48.0,51.76,45.0,45.45,46290
2011-08-05,44.0,45.01,42.21,44.62,102665
2011-08-08,43.0,44.4,42.31,44.01,112420
2011-08-09,43.19,44.2,43.19,43.53,124935
2011-08-10,43.7,44.6,43.7,44.21,94940
2011-08-11,43.63,45.2,43.62,45.01,36040
2011-08-12,45.01,45.8,44.7,45.33,17750
2011-08-16,45.6,45.6,45.06,45.16,31815
2011-08-17,45.6,45.6,44.88,44.97,182870
2011-08-18,45.0,45.3,43.85,44.75,384370
2011-08-19,42.74,44.6,42.74,44.05,214030
2011-08-22,45.19,45.19,44.0,44.37,99275
2011-08-23,44.4,44.89,44.21,44.68,251985
2011-08-24,44.55,45.18,44.41,44.63,1132520
2011-08-25,45.44,45.44,44.02,44.9,348170
2011-08-26,44.0,44.98,43.02,43.98,81790
2011-08-29,44.09,44.4,43.06,43.27,48625
2011-08-30,43.61,44.38,43.61,44.18,51735
2011-09-02,43.92,44.15,42.63,43.95,66735
2011-09-05,43.21,44.2,43.1,43.89,80170
2011-09-06,43.03,44.42,43.03,44.3,67540
2011-09-07,43.92,45.13,43.92,44.88,71070
2011-09-08,44.61,45.4,44.61,45.13,48300
2011-09-09,44.6,45.15,43.81,44.08,22605
2011-09-12,44.38,44.38,43.6,43.63,16900
2011-09-13,44.59,44.69,43.8,44.05,26530
2011-09-14,44.36,44.36,43.84,44.0,26240
2011-09-15,44.01,44.48,44.01,44.35,287235
2011-09-16,45.56,45.56,42.4,43.1,271420
2011-09-19,42.32,43.9,42.32,43.2,27485
2011-09-20,42.4,44.2,42.4,43.9,63050
2011-09-21,44.2,44.37,43.61,44.1,411055
2011-09-22,43.8,44.38,43.44,43.69,146580
2011-09-23,43.6,43.6,43.0,43.36,159070
2011-09-26,43.0,43.6,43.0,43.44,36940
2011-09-27,43.5,44.63,43.29,44.54,150690
2011-09-28,44.6,44.79,44.28,44.43,110030
2011-09-29,44.05,44.3,43.52,43.62,57355
2011-09-30,43.46,43.97,43.03,43.1,43745
2011-10-03,42.8,43.25,42.7,42.83,17120
2011-10-04,43.0,43.2,41.8,42.09,113495
2011-10-05,41.6,42.5,40.62,40.97,66315
2011-10-07,41.4,42.19,41.2,41.39,33775
2011-10-10,41.82,41.99,41.4,41.62,16455
2011-10-11,42.8,42.8,41.5,41.6,18355
2011-10-12,41.65,42.15,41.62,41.81,26310
2011-10-13,42.4,42.4,41.6,41.78,49815
2011-10-14,41.53,42.2,41.53,41.84,18960
2011-10-17,42.0,42.58,41.61,41.88,985400
2011-10-18,41.7,41.7,41.4,41.57,47725
2011-10-19,41.56,42.14,41.56,41.71,45495
2011-10-20,41.96,41.96,41.2,41.39,71190
2011-10-21,40.9,41.58,40.3,40.86,94865
2011-10-24,40.86,41.22,40.72,40.82,43675
2011-10-25,40.92,40.92,40.55,40.62,66600
2011-10-26,41.02,41.4,40.2,41.08,10035
2011-10-28,42.38,42.38,41.2,41.35,44395
2011-10-31,41.6,41.78,41.3,41.39,57415
2011-11-01,41.4,41.96,41.2,41.37,38665
2011-11-02,40.41,43.76,40.41,43.41,132745
2011-11-03,45.8,45.8,42.4,42.83,321055
2011-11-04,42.98,43.2,41.8,41.93,61885
2011-11-08,41.4,42.0,40.5,41.7,102190
2011-11-09,41.4,41.72,40.7,40.79,123620
2011-11-11,40.6,41.08,40.0,40.15,106275
2011-11-14,40.01,40.55,38.4,39.08,78750
2011-11-15,38.8,38.8,37.82,37.99,62085
2011-11-16,37.8,38.35,36.42,36.57,83465
2011-11-17,36.4,37.38,36.22,36.39,72390
2011-11-18,38.0,38.0,35.43,35.75,58420
2011-11-21,33.6,35.77,33.6,35.19,80025
2011-11-22,34.8,35.12,34.52,34.63,44435
2011-11-23,34.4,34.79,33.4,33.43,317605
2011-11-24,34.39,34.39,32.62,33.76,125725
2011-11-25,32.8,34.2,32.8,33.74,28630
2011-11-28,33.76,34.0,33.4,33.55,55190
2011-11-29,33.62,33.98,33.02,33.12,95150
2011-11-30,33.0,33.1,32.52,32.61,64355
2011-12-01,34.0,34.0,32.61,32.86,57590
2011-12-02,32.82,33.8,32.82,33.48,41200
2011-12-05,33.21,33.69,33.21,33.65,35555
2011-12-07,33.69,34.17,33.63,33.79,59380
2011-12-08,33.64,34.4,33.63,34.05,74110
2011-12-09,34.1,34.25,33.44,34.02,32535
2011-12-12,33.8,34.44,33.72,33.72,36395
2011-12-13,33.0,33.7,32.51,33.44,29885
2011-12-14,33.4,34.0,33.0,33.21,30560
2011-12-15,33.21,33.21,32.43,32.82,44685
2011-12-16,33.6,34.0,32.6,32.95,63810
2011-12-19,33.2,33.2,31.4,31.9,123205
2011-12-20,32.19,32.19,30.81,31.06,33385
2011-12-21,31.2,31.79,29.94,30.07,99790
2011-12-22,29.8,29.8,28.4,28.87,253295
2011-12-23,28.82,30.69,28.08,29.93,55410
2011-12-26,29.92,31.8,29.92,30.82,25020
2011-12-27,31.0,31.39,30.4,31.17,20885
2011-12-28,31.89,31.89,30.22,30.98,10980
2011-12-29,30.6,31.19,30.6,30.95,11830
2011-12-30,31.64,31.89,29.6,30.96,29360
2012-01-02,30.4,31.62,30.06,31.23,16755
2012-01-03,30.66,31.92,30.66,31.76,24675
2012-01-04,32.4,33.0,32.2,32.6,32010
2012-01-05,33.3,33.74,31.8,33.04,31155
2012-01-06,32.8,33.46,32.43,33.21,18665
2012-01-07,33.6,33.69,33.12,33.25,4225
2012-01-09,33.4,34.4,32.4,34.07,31725
2012-01-10,33.62,35.55,33.62,34.95,36395
2012-01-11,34.5,41.8,34.5,40.35,1373965
2012-01-12,40.77,41.2,37.6,37.99,363445
2012-01-13,38.75,38.75,37.01,37.36,119400
2012-01-16,36.42,37.68,36.4,36.67,35745
2012-01-17,37.0,37.9,37.0,37.31,34530
2012-01-18,36.67,37.7,35.52,35.78,49545
2012-01-19,36.04,37.2,36.02,36.83,33390
2012-01-20,37.88,39.38,37.41,37.86,220810
2012-01-23,38.0,38.47,37.22,37.25,19155
2012-01-24,37.3,37.84,37.22,37.53,37655
2012-01-25,37.08,37.96,37.08,37.71,15775
2012-01-27,37.6,38.8,37.3,38.28,50400
2012-01-30,38.2,38.55,37.61,37.71,29440
2012-01-31,37.36,38.78,37.36,38.32,22615
2012-02-01,38.4,38.8,37.92,38.6,21945
2012-02-02,39.16,39.96,38.53,39.23,224385
2012-02-03,39.6,41.6,38.65,39.98,246015
2012-02-06,40.64,41.8,40.44,40.92,155900
2012-02-07,41.0,41.6,40.62,40.77,68885
2012-02-08,40.8,42.2,40.7,41.01,95655
2012-02-09,40.5,46.53,40.5,44.39,1892020
2012-02-10,44.78,44.78,42.2,42.82,150620
2012-02-13,43.2,43.72,43.0,43.3,69995
2012-02-14,43.2,45.36,43.0,43.76,248035
2012-02-15,44.02,44.8,43.71,43.97,154740
2012-02-16,43.66,45.35,43.0,44.69,178665
2012-02-17,44.72,45.0,44.16,44.31,83945
2012-02-21,45.0,46.96,44.82,46.57,558590
2012-02-22,47.0,47.99,46.4,46.64,311525
2012-02-23,47.6,50.6,47.2,49.48,546215
2012-02-24,49.6,51.47,49.4,49.62,396390
2012-02-27,49.66,49.66,46.51,47.2,121925
2012-02-28,47.4,48.67,46.52,48.22,88860
2012-02-29,49.74,57.86,47.5,48.18,80615
2012-03-01,48.0,48.7,47.18,48.28,81485
2012-03-02,48.0,48.77,47.66,48.02,58915
2012-03-03,48.01,48.18,47.8,47.9,10215
2012-03-05,47.41,49.8,47.4,47.89,82590
2012-03-06,48.2,48.7,47.0,47.16,81980
2012-03-07,46.6,47.2,46.2,46.7,74190
2012-03-09,47.35,48.96,47.12,47.92,104905
2012-03-12,47.7,48.4,47.3,47.72,41750
2012-03-13,47.8,48.76,47.21,48.66,66320
2012-03-14,48.59,48.6,47.76,47.83,63835
2012-03-15,47.6,48.14,46.6,46.69,85760
2012-03-16,47.4,47.4,45.05,45.66,123775
2012-03-19,46.0,46.0,43.42,43.67,135505
2012-03-20,44.35,44.66,43.61,44.22,51200
2012-03-21,45.0,45.2,43.98,44.99,55555
2012-03-22,45.59,45.59,43.8,43.99,40360
2012-03-23,44.93,44.93,43.16,43.3,42440
2012-03-26,43.98,44.74,43.4,43.73,35140
2012-03-27,44.96,44.96,43.45,43.52,59970
2012-03-28,42.62,43.67,42.48,42.71,120825
2012-03-29,42.21,43.54,42.21,42.92,25835
2012-03-30,43.49,43.59,42.51,42.85,46255
2012-04-02,42.8,47.0,42.8,46.69,146290
2012-04-03,49.0,49.0,45.63,46.22,514935
2012-04-04,47.22,47.22,44.9,44.99,59415
2012-04-09,45.0,45.0,44.22,44.28,17990
2012-04-10,44.2,44.39,43.69,44.18,72660
2012-04-11,43.8,44.71,43.4,44.39,47900
2012-04-12,44.6,45.0,44.06,44.59,33930
2012-04-13,44.8,46.56,43.68,44.17,51890
2012-04-16,44.0,44.78,44.0,44.04,12245
2012-04-17,44.0,45.38,43.62,44.81,50135
2012-04-18,44.41,45.68,44.41,45.39,23495
2012-04-19,44.8,47.18,44.24,46.21,82175
2012-04-20,46.59,47.97,45.91,46.94,115595
2012-04-23,46.41,47.2,45.8,46.84,80750
2012-04-24,47.18,47.18,46.43,46.82,51670
2012-04-25,46.99,47.56,46.0,46.47,44840
2012-04-26,46.11,46.69,45.72,46.01,17010
2012-04-27,46.88,46.88,45.06,45.33,24735
2012-04-28,45.41,45.78,45.02,45.33,2070
2012-04-30,46.18,46.18,44.9,45.16,20755
2012-05-02,45.16,45.8,44.5,45.09,19155
2012-05-03,44.84,45.37,44.4,44.55,16680
2012-05-04,44.4,44.53,43.82,43.86,30585
2012-05-07,44.58,45.42,43.51,44.57,28395
2012-05-08,45.6,45.9,44.8,45.01,45020
2012-05-09,44.63,45.7,44.6,44.77,25365
2012-05-10,46.0,46.0,44.1,44.49,16375
2012-05-11,43.42,44.02,42.25,42.99,187235
2012-05-14,43.2,43.3,42.24,42.84,25580
2012-05-15,42.99,43.35,42.02,42.9,25955
2012-05-16,42.8,43.09,41.65,42.02,40020
2012-05-17,43.2,43.2,42.4,42.64,45660
2012-05-18,42.24,42.5,41.23,41.82,147960
2012-05-21,41.35,42.36,41.35,41.78,24715
2012-05-22,41.98,42.38,41.64,41.64,11225
2012-05-23,41.2,41.98,41.2,41.32,17885
2012-05-24,41.74,43.0,41.03,41.78,38600
2012-05-25,42.54,42.54,41.21,41.49,25230
2012-05-28,41.0,42.16,41.0,42.0,18970
2012-05-29,34.13,42.42,34.13,41.93,16410
2012-05-30,40.4,42.13,40.4,41.73,22980
2012-05-31,40.8,41.37,38.22,39.16,216180
2012-06-01,38.4,39.8,38.2,39.53,31280
2012-06-04,39.2,39.75,38.42,39.58,27635
2012-06-05,39.6,40.19,39.41,39.79,18240
2012-06-06,39.32,40.77,39.32,40.29,21360
2012-06-07,41.2,41.5,40.21,41.0,28925
2012-06-08,40.45,41.58,40.42,41.01,15375
2012-06-11,41.79,41.79,40.6,40.84,34195
2012-06-12,40.44,41.58,40.44,41.07,10680
2012-06-13,40.52,41.48,40.52,40.99,12750
2012-06-14,40.87,41.36,40.6,40.86,9440
2012-06-15,40.44,41.2,40.43,40.63,18320
2012-06-18,40.4,41.27,40.4,40.58,17575
2012-06-19,40.59,40.96,40.14,40.65,19195
2012-06-20,40.24,41.2,40.21,40.56,39180
2012-06-21,41.19,41.19,40.44,40.62,8755
2012-06-22,40.62,41.2,40.45,40.66,21190
2012-06-25,41.39,41.39,40.5,40.51,25370
2012-06-26,40.2,40.99,40.01,40.69,12705
2012-06-27,40.6,41.2,40.41,40.79,17185
2012-06-28,40.85,41.23,40.8,41.19,39270
2012-06-29,42.4,42.6,41.3,41.64,15505
2012-07-02,41.41,43.37,41.4,42.77,42310
2012-07-03,43.59,44.35,43.02,43.04,61810
2012-07-04,42.5,43.99,42.5,42.98,20710
2012-07-05,43.93,43.93,43.0,43.79,22445
2012-07-06,44.0,44.0,42.85,42.98,47435
2012-07-09,42.6,43.8,42.6,42.84,16545
2012-07-10,42.8,43.2,42.67,43.01,34200
2012-07-11,43.2,43.34,42.66,43.0,67180
2012-07-12,42.6,43.33,42.4,42.8,86795
2012-07-13,42.2,43.39,42.13,42.38,61355
2012-07-16,42.08,42.35,41.31,41.56,58015
2012-07-17,41.6,42.39,40.6,40.76,53600
2012-07-18,41.34,42.3,40.8,41.82,30895
2012-07-19,40.8,42.0,40.8,41.68,15700
2012-07-20,42.66,42.66,41.05,41.81,8260
2012-07-23,41.01,42.0,41.0,41.64,26605
2012-07-24,41.6,42.0,41.42,41.91,66305
2012-07-25,41.99,42.2,41.61,41.99,53345
