Datetime,Open,High,Low,Close,Volume
2026-06-12,48.25,50.66,48.1,50.66,11379734
2026-06-15,53.19,53.19,53.19,53.19,691949
2026-06-16,52.14,55.44,50.54,54.16,9169014
2026-06-17,51.75,53.9,51.6,51.98,1470704
2026-06-18,51.98,52.0,49.39,50.93,1656556
2026-06-19,51.1,53.0,50.5,52.6,1306148
2026-06-22,53.6,54.0,51.5,53.0,972340
2026-06-23,53.0,53.7,51.65,52.16,942353
2026-06-24,52.5,54.76,50.67,54.76,1275507
2026-06-25,57.49,57.49,57.49,57.49,321307
2026-06-29,60.36,67.9,59.0,65.56,8748631
2026-06-30,66.5,66.9,61.4,63.41,3794018
2026-07-01,65.0,65.0,58.61,60.0,2716984
2026-07-02,60.09,72.0,59.27,72.0,11354569
2026-07-03,74.0,76.9,70.31,73.39,8283484
