Datetime,Open,High,Low,Close,Volume
2011-06-01,60.86,61.4,60.61,60.75,576
2011-06-02,60.6,62.39,60.6,62.09,548
2011-06-03,60.8,62.53,59.3,60.7,563
2011-06-06,59.6,60.88,58.72,60.73,4384
2011-06-07,59.34,61.46,59.3,61.24,4826
2011-06-08,61.1,61.9,60.05,61.26,1021
2011-06-09,61.0,62.75,60.5,61.78,705
2011-06-10,60.7,62.2,60.0,61.85,6689
2011-06-13,60.07,61.0,60.01,60.39,640
2011-06-14,59.24,61.0,59.12,59.63,2751
2011-06-15,58.65,61.98,58.65,60.68,2867
2011-06-16,60.42,61.7,60.0,60.02,501
2011-06-17,60.03,61.78,58.8,61.36,2511
2011-06-20,61.8,61.8,58.81,59.38,940
2011-06-21,58.61,60.2,58.61,59.36,540
2011-06-22,59.2,59.2,57.61,58.18,614
2011-06-23,58.0,58.98,56.65,57.99,1395
2011-06-24,58.6,59.57,54.05,55.65,23061
2011-06-27,55.4,57.86,55.0,57.56,2784
2011-06-28,56.22,58.2,56.22,57.83,572
2011-06-29,57.73,58.6,57.29,57.5,326
2011-06-30,59.0,59.0,56.4,58.13,2342
2011-07-01,58.98,59.2,58.44,58.8,1479
2011-07-04,57.83,60.0,57.83,58.81,388
2011-07-05,58.7,58.7,57.63,57.88,221
2011-07-06,57.4,59.6,57.4,58.93,1377
2011-07-07,57.8,59.39,57.8,58.89,1308
2011-07-08,58.75,59.98,58.75,59.03,447
2011-07-11,59.38,59.38,58.48,59.14,132
2011-07-12,59.39,60.4,57.42,59.74,871
2011-07-13,59.8,59.98,58.61,58.82,813
2011-07-14,59.6,60.8,58.42,59.89,1912
2011-07-15,58.43,61.99,58.4,61.37,832
2011-07-18,60.81,62.9,60.81,62.33,1983
2011-07-19,61.0,63.59,61.0,62.35,1717
2011-07-20,62.2,62.79,61.4,61.67,684
2011-07-21,65.2,65.2,61.0,61.26,379
2011-07-22,61.92,62.9,61.83,61.97,184
2011-07-25,61.04,62.0,60.6,60.98,500
2011-07-26,60.81,61.95,60.81,61.91,350
2011-07-27,61.01,64.6,61.01,64.34,6155
2011-07-28,64.2,67.2,63.62,64.03,5062
2011-07-29,63.64,63.66,60.73,61.11,3210
2011-08-01,61.24,62.0,60.2,60.54,315
2011-08-02,60.4,60.8,58.23,58.81,2652
2011-08-03,59.6,61.96,59.0,61.18,997
2011-08-04,59.6,64.2,59.4,59.82,538
2011-08-05,57.2,58.96,57.2,58.19,1344
2011-08-08,56.4,58.0,56.22,56.5,1001
2011-08-09,60.0,61.58,54.44,57.61,3893
2011-08-10,58.6,61.4,58.22,58.65,3503
2011-08-11,69.6,69.6,57.0,57.24,2054
2011-08-12,60.0,60.0,57.0,57.39,1435
2011-08-16,57.62,60.8,57.62,58.3,1552
2011-08-17,57.5,65.98,55.63,56.52,21530
2011-08-18,59.8,59.8,56.05,56.49,1779
2011-08-19,58.02,58.02,53.3,54.19,2013
2011-08-22,55.2,56.36,54.23,55.07,1061
2011-08-23,57.58,57.58,54.8,55.16,717
2011-08-24,56.0,57.4,54.43,56.09,1641
2011-08-25,56.0,56.4,55.6,56.39,366
2011-08-26,56.38,56.39,55.64,56.03,741
2011-08-29,56.4,57.18,55.0,55.21,649
2011-08-30,56.4,56.78,55.21,55.34,1676
2011-09-02,55.73,58.0,55.4,55.79,785
2011-09-05,56.41,58.4,55.6,55.95,3206
2011-09-06,57.65,57.65,55.99,56.19,1350
2011-09-07,57.37,57.38,55.67,56.0,1660
2011-09-08,56.56,57.2,55.63,55.77,1449
2011-09-09,56.5,56.6,55.4,55.55,913
2011-09-12,55.5,56.8,54.9,55.56,960
2011-09-13,59.79,59.79,54.22,54.73,2225
2011-09-14,55.34,56.59,54.81,55.81,511
2011-09-15,55.7,55.7,54.8,55.21,871
2011-09-16,57.87,57.87,55.2,55.25,306
2011-09-19,55.2,55.7,55.0,55.24,620
2011-09-20,56.24,56.59,55.11,55.98,8264
2011-09-21,56.0,56.4,55.56,55.85,645
2011-09-22,55.11,55.96,54.47,55.1,1558
2011-09-23,54.02,54.75,53.6,53.85,1956
2011-09-26,54.44,54.97,52.69,53.21,766
2011-09-27,53.83,54.68,53.6,54.01,1157
2011-09-28,54.38,56.8,54.0,54.99,1072
2011-09-29,54.8,54.8,54.2,54.78,21
2011-09-30,55.2,56.37,53.64,55.15,1055
