Datetime,Open,High,Low,Close,Volume
2011-06-01,236.45,236.78,226.05,236.48,814
2011-06-02,245.0,245.0,236.55,236.63,660
2011-06-03,235.0,237.0,234.0,236.5,582
2011-06-06,232.5,238.0,226.0,226.0,368
2011-06-07,236.0,237.3,236.0,237.3,316
2011-06-08,242.5,249.18,242.5,249.18,722
2011-06-09,261.65,261.65,260.5,261.65,732
2011-06-10,272.0,272.0,251.0,257.38,1192
2011-06-13,245.5,257.5,245.5,255.05,224
2011-06-14,262.5,262.5,250.0,257.5,854
2011-06-15,245.03,256.5,244.63,248.5,1654
2011-06-16,238.05,251.88,238.05,238.83,392
2011-06-17,241.0,247.98,234.65,234.65,194
2011-06-20,246.33,246.33,223.0,225.35,1984
2011-06-21,227.5,228.5,220.55,220.55,402
2011-06-22,220.0,228.8,212.5,219.83,882
2011-06-23,219.48,224.98,210.55,217.2,682
2011-06-24,225.0,228.08,225.0,228.05,208
2011-06-27,225.0,235.5,225.0,228.0,176
2011-06-28,225.0,235.0,222.5,230.5,946
2011-06-29,239.0,242.03,230.0,242.03,1084
2011-06-30,239.0,250.0,239.0,247.5,3820
2011-07-01,240.55,249.5,237.5,238.25,1592
2011-07-04,247.48,247.48,230.5,230.5,1912
2011-07-05,234.5,234.5,226.53,227.95,1804
2011-07-06,232.5,234.0,226.55,228.4,10846
2011-07-07,227.58,239.83,226.0,239.78,8456
2011-07-08,235.0,239.5,233.0,234.5,1374
2011-07-11,231.0,235.68,231.0,235.5,412
2011-07-12,230.5,236.5,230.0,230.05,1536
2011-07-13,228.15,237.5,228.15,230.88,262
2011-07-14,237.48,241.5,233.0,238.78,472
2011-07-15,230.68,242.0,230.55,242.0,146
2011-07-18,235.0,240.0,230.5,234.9,424
2011-07-19,235.0,240.5,230.6,232.03,1642
2011-07-20,235.0,239.5,231.53,233.53,898
2011-07-21,239.95,239.95,233.13,236.6,338
2011-07-22,239.0,239.0,231.05,233.2,356
2011-07-25,237.0,237.0,230.13,233.48,94
2011-07-26,237.0,241.95,233.0,233.0,502
2011-07-27,230.0,234.93,223.03,232.5,874
2011-07-28,240.5,241.7,224.5,225.55,248
2011-07-29,220.0,228.98,220.0,223.6,1168
2011-08-01,213.5,223.0,213.5,216.55,564
2011-08-02,215.0,219.95,208.03,210.53,2206
2011-08-03,210.53,215.0,205.0,213.43,378
2011-08-04,211.5,217.5,210.5,210.95,1278
