Datetime,Open,High,Low,Close,Volume
2016-06-02,78.05,80.0,77.05,77.75,43704
2016-06-03,79.7,81.85,78.4,78.9,136004
2016-06-06,77.35,79.95,77.35,78.1,21279
2016-06-07,78.6,79.5,78.35,79.1,18616
2016-06-08,79.15,87.0,78.4,84.95,348031
2016-06-09,87.4,93.5,86.9,89.15,1174044
2016-06-10,89.0,90.1,85.8,87.0,166046
2016-06-13,86.5,102.5,85.25,99.3,2743352
2016-06-14,100.0,103.5,98.35,99.85,1386768
2016-06-15,100.0,102.4,91.6,94.95,584467
2016-06-16,94.6,96.75,91.45,92.95,310903
2016-06-17,93.1,97.7,92.6,93.3,517545
2016-06-20,92.8,95.25,92.25,93.2,251159
2016-06-21,93.9,94.8,91.45,92.0,117359
2016-06-22,92.35,97.3,91.5,95.25,809729
2016-06-23,95.0,95.75,92.05,92.6,144499
2016-06-24,88.9,92.0,86.1,88.95,170036
2016-06-27,88.9,93.35,88.9,91.6,224920
2016-06-28,91.05,95.5,91.05,92.55,256090
2016-06-29,93.15,95.5,93.1,93.55,213275
2016-06-30,94.35,95.6,92.4,93.6,169877
2016-07-01,94.0,111.6,93.55,108.05,3434734
2016-07-04,109.0,109.5,104.0,104.7,1238542
2016-07-05,104.9,108.7,102.6,103.75,882157
2016-07-07,104.65,111.25,102.55,107.55,1676834
2016-07-08,107.95,108.45,104.8,105.65,363514
2016-07-11,107.1,108.9,105.75,106.8,306690
2016-07-12,107.0,114.5,106.3,111.6,1279101
2016-07-13,112.6,113.0,107.3,108.35,308645
2016-07-14,109.4,113.6,108.5,111.8,366868
2016-07-15,112.85,113.4,107.8,108.4,204550
2016-07-18,108.85,112.5,108.0,108.75,209467
2016-07-19,109.5,112.35,107.5,110.0,414945
2016-07-20,110.85,115.6,110.35,112.5,568494
2016-07-21,113.0,117.2,112.05,113.2,767535
2016-07-22,113.1,115.45,113.0,114.05,200617
2016-07-25,115.0,121.35,113.3,118.55,1087549
2016-07-26,119.15,119.45,112.8,113.6,295085
2016-07-27,113.3,117.8,112.0,116.65,409121
2016-07-28,118.05,119.6,115.55,116.7,373245
2016-07-29,116.85,117.2,113.05,114.25,283131
2016-08-01,115.15,116.95,110.8,112.05,186119
2016-08-02,113.0,113.8,109.5,110.35,140804
2016-08-03,110.5,110.5,105.1,106.0,176394
2016-08-04,107.0,111.0,105.2,108.45,336549
2016-08-05,109.0,116.0,108.25,110.05,1223430
2016-08-08,111.05,113.45,108.5,109.3,268032
2016-08-09,109.75,109.75,105.5,106.1,162847
2016-08-10,106.9,106.9,103.0,103.7,119014
2016-08-11,105.0,106.4,103.0,104.05,142021
2016-08-12,104.85,105.3,101.55,101.95,129338
2016-08-16,101.95,102.45,99.05,100.5,105484
2016-08-17,100.75,103.45,99.1,99.95,159430
2016-08-18,100.55,108.4,100.55,105.0,573705
2016-08-19,105.4,110.35,104.5,109.05,400874
2016-08-22,108.5,108.65,106.1,107.25,107996
2016-08-23,106.0,111.55,106.0,108.7,352592
2016-08-24,109.0,112.0,108.1,110.9,214800
2016-08-25,111.0,113.2,107.8,108.65,148274
2016-08-26,108.75,109.65,105.75,106.55,108926
2016-08-29,106.05,109.65,105.45,106.85,91505
2016-08-30,107.65,109.6,106.8,107.15,91753
2016-08-31,107.1,109.8,107.0,107.7,88956
2016-09-01,108.5,109.6,106.3,106.85,93185
2016-09-02,107.5,107.85,105.35,105.95,49777
2016-09-06,107.3,109.1,104.35,105.8,122819
2016-09-07,106.4,111.0,105.2,107.4,419811
2016-09-08,107.9,109.75,106.7,107.15,131095
2016-09-09,107.65,107.7,105.75,106.1,99252
2016-09-12,104.0,104.9,101.25,101.85,83176
2016-09-14,102.5,104.7,101.2,103.45,78556
2016-09-15,104.0,105.9,103.3,105.05,53255
2016-09-16,106.0,108.0,105.0,105.3,95548
2016-09-19,106.5,107.0,102.75,103.2,99316
2016-09-20,103.95,109.6,102.35,105.35,744079
2016-09-21,104.6,106.2,103.2,103.6,113435
2016-09-22,104.9,106.45,103.5,104.85,88415
2016-09-23,105.1,108.5,104.1,104.5,342849
2016-09-26,105.0,106.5,103.3,103.9,83131
2016-09-27,104.5,104.8,102.5,103.15,111266
2016-09-28,104.0,105.0,103.5,104.1,120394
2016-09-29,106.55,107.8,96.55,97.5,336190
2016-09-30,96.2,101.3,96.2,100.3,88341
2016-10-03,102.4,103.75,101.0,103.4,94866
2016-10-04,102.8,104.3,101.25,102.65,72872
2016-10-05,103.4,108.2,102.95,106.7,435412
2016-10-06,107.5,111.5,106.05,107.85,706299
2016-10-07,108.55,109.7,106.5,107.0,202711
2016-10-10,107.3,107.9,106.1,106.65,59255
2016-10-13,105.6,105.6,102.0,103.1,81820
2016-10-14,103.65,106.8,102.35,104.95,210438
2016-10-17,104.2,106.35,102.35,103.05,121592
2016-10-18,104.3,104.8,103.0,104.1,71612
2016-10-19,104.85,106.65,103.5,105.55,168345
2016-10-20,106.1,106.8,104.65,105.15,53938
2016-10-21,105.45,105.9,104.1,104.6,51840
2016-10-24,105.1,106.0,103.4,104.0,67222
2016-10-25,104.3,104.85,103.3,104.1,36593
2016-10-26,104.1,111.0,103.05,105.0,395199
2016-10-27,104.9,108.0,104.0,105.55,106908
2016-10-28,106.3,107.9,105.05,105.75,46734
2016-10-30,106.5,106.7,106.0,106.25,16300
2016-11-01,104.35,110.4,104.35,107.9,312421
2016-11-02,106.6,106.95,104.75,105.2,91806
2016-11-03,105.3,106.9,103.6,103.95,77039
2016-11-04,104.8,105.4,98.8,99.85,85393
2016-11-07,102.0,105.75,101.2,102.6,90953
2016-11-08,102.05,103.5,101.25,102.4,60727
2016-11-09,95.0,99.25,87.4,98.25,130874
2016-11-10,103.7,105.6,100.6,101.15,288491
2016-11-11,101.15,102.5,98.15,98.9,70365
2016-11-15,98.9,100.8,92.0,94.1,64408
2016-11-16,96.4,100.0,90.1,92.3,65199
2016-11-17,93.85,95.1,89.0,90.5,50581
2016-11-18,90.65,92.7,88.1,89.2,82071
2016-11-21,89.2,90.6,85.4,86.35,44147
2016-11-22,86.1,89.75,85.1,88.3,74667
2016-11-23,89.0,93.7,88.25,89.1,46604
2016-11-24,90.1,95.7,90.1,93.25,303547
2016-11-25,94.0,95.7,92.65,93.35,73687
2016-11-28,93.9,95.7,92.55,93.9,39569
2016-11-29,94.95,97.65,94.2,96.4,114313
2016-11-30,95.5,97.0,95.2,96.0,33884
2016-12-01,95.2,97.5,94.15,94.65,37067
2016-12-02,94.6,94.95,91.95,92.45,35534
2016-12-05,92.8,93.6,89.7,91.2,25922
2016-12-06,92.15,93.25,91.55,91.9,25051
2016-12-07,91.55,94.0,91.55,92.65,30088
2016-12-08,93.95,95.5,93.7,94.25,36641
2016-12-09,94.4,97.4,93.3,95.5,66033
2016-12-12,95.45,97.25,93.55,94.05,39078
2016-12-13,94.55,100.9,94.0,95.8,202042
2016-12-14,97.0,98.5,95.4,96.3,85390
2016-12-15,96.95,98.5,96.05,96.8,66457
2016-12-16,97.15,97.9,94.5,95.15,24306
2016-12-19,94.2,98.3,94.2,96.7,85561
2016-12-20,97.6,97.8,93.25,93.8,73730
2016-12-21,94.35,95.0,93.55,93.95,20546
2016-12-22,93.75,93.8,92.5,92.95,18253
2016-12-23,92.1,94.65,90.7,92.8,21557
2016-12-26,92.45,92.5,90.0,90.35,19947
2016-12-27,89.4,93.1,89.4,92.65,24996
2016-12-28,95.65,97.5,94.0,94.75,159352
2016-12-29,94.55,95.8,92.6,94.15,33660
2016-12-30,94.35,97.9,94.3,96.5,132295
2017-01-02,97.8,100.5,95.05,99.5,220621
2017-01-03,99.85,101.3,98.45,98.9,45409
2017-01-04,99.6,101.0,98.0,98.75,62520
2017-01-05,99.8,105.5,99.1,104.4,369246
2017-01-06,105.95,113.45,105.7,109.1,1058862
2017-01-09,109.2,110.0,106.5,108.15,164504
2017-01-10,108.95,110.6,107.15,108.7,207949
2017-01-11,108.55,111.9,107.4,110.75,267857
2017-01-12,111.55,111.75,107.7,108.65,98009
2017-01-13,108.65,111.7,108.0,109.1,337714
2017-01-16,107.6,112.5,107.6,109.9,128786
2017-01-17,109.55,112.95,109.2,110.85,155802
2017-01-18,111.05,111.1,108.75,109.35,156759
2017-01-19,109.5,110.5,109.0,109.65,47323
2017-01-20,110.05,113.0,106.4,112.4,353056
2017-01-23,114.0,115.5,112.85,113.85,774568
2017-01-24,113.1,115.0,112.6,113.2,154882
2017-01-25,113.5,113.9,110.8,111.25,93434
2017-01-27,112.15,112.2,108.35,108.85,96494
2017-01-30,108.35,112.5,106.7,110.5,155162
2017-01-31,110.95,111.0,105.15,106.5,99283
2017-02-01,106.35,109.4,105.7,108.25,92638
2017-02-02,108.0,111.9,107.35,110.7,124047
2017-02-03,111.0,113.8,109.45,112.6,739861
2017-02-06,112.6,115.0,112.1,112.6,104946
2017-02-07,113.15,113.45,109.0,109.95,82411
2017-02-08,110.2,117.8,108.55,112.0,1283309
2017-02-09,111.5,112.85,106.3,106.8,226805
2017-02-10,108.0,111.4,107.25,107.65,272798
