Datetime,Open,High,Low,Close,Volume
2016-12-06,7.25,7.25,7.25,7.25,236600
2016-12-07,8.61,8.7,8.61,8.7,337155
2016-12-08,10.02,10.44,9.09,10.44,283921
2016-12-09,11.18,11.18,10.17,10.36,65066
2016-12-12,11.4,11.4,11.4,11.4,76895
2016-12-13,12.2,12.2,11.23,11.49,82810
2016-12-14,11.55,11.87,11.18,11.24,35490
2016-12-15,11.12,12.18,10.36,12.18,76895
2016-12-16,12.26,12.31,11.18,11.18,29575
2016-12-19,11.66,11.66,10.69,10.74,29575
2016-12-20,10.58,10.58,10.58,10.58,11829
2016-12-21,10.36,10.36,10.04,10.2,11829
2016-12-22,9.82,9.93,9.2,9.24,29575
2016-12-23,9.2,9.69,9.2,9.69,17745
2016-12-26,10.1,10.1,10.1,10.1,5915
2016-12-27,9.82,9.82,9.82,9.82,5915
2016-12-28,10.09,10.31,10.09,10.31,35490
2016-12-29,10.82,10.82,10.82,10.82,5915
2016-12-30,11.36,11.36,11.36,11.36,5915
2017-01-02,11.92,11.92,11.92,11.92,17745
2017-01-03,12.51,12.51,12.39,12.41,100555
2017-01-04,12.2,12.95,12.2,12.31,70981
2017-01-09,11.87,11.87,11.69,11.69,29575
2017-01-10,11.23,11.23,11.23,11.23,5915
2017-01-11,10.79,11.33,10.79,11.06,11829
2017-01-12,11.33,11.33,11.33,11.33,5915
2017-01-13,11.01,11.01,11.01,11.01,5915
2017-01-16,10.58,10.82,10.58,10.82,17745
2017-01-18,10.32,11.36,10.32,11.36,41405
2017-01-19,11.92,11.92,11.36,11.36,23660
2017-01-20,10.81,10.81,10.79,10.79,11829
2017-01-24,10.79,10.79,10.79,10.79,11829
2017-01-25,11.33,11.33,11.33,11.33,23660
2017-01-27,11.85,11.9,11.44,11.9,59149
2017-01-30,12.49,12.49,12.49,12.49,17745
2017-01-31,13.01,13.1,13.01,13.1,29575
2017-02-01,12.63,13.75,12.63,13.28,76895
2017-02-02,13.92,13.94,13.92,13.94,17745
2017-02-03,13.24,13.28,13.24,13.28,23660
2017-02-06,13.8,13.8,13.8,13.8,5915
2017-02-07,14.03,14.48,14.03,14.25,23660
2017-02-08,13.82,13.82,13.82,13.82,5915
2017-02-09,13.13,14.03,13.13,14.03,23660
2017-02-10,14.66,14.73,14.66,14.73,11829
2017-02-14,15.33,15.33,15.33,15.33,5915
2017-02-15,15.53,16.09,15.33,16.08,47319
2017-02-16,16.82,16.88,16.82,16.88,17745
2017-02-17,16.84,17.23,16.84,17.23,11829
2017-02-20,17.92,18.07,17.31,17.31,17745
2017-02-23,17.36,17.36,17.06,17.06,11829
2017-02-28,17.49,17.49,17.49,17.49,5915
2017-03-01,16.62,16.62,16.62,16.62,5915
2017-03-02,15.8,15.8,15.8,15.8,11829
2017-03-07,15.67,15.67,15.67,15.67,5915
2017-03-09,16.41,16.41,15.54,15.54,11829
2017-03-10,15.11,15.11,14.77,14.83,17745
2017-03-14,14.1,14.1,14.1,14.1,5915
2017-03-15,14.8,14.8,14.8,14.8,5915
2017-03-16,14.08,14.08,14.08,14.08,5915
2017-03-17,13.39,14.68,13.39,14.68,11829
2017-03-20,13.97,13.97,13.95,13.95,23660
2017-03-21,13.26,13.26,13.26,13.26,35490
2017-03-22,13.1,13.28,12.61,13.28,23660
2017-03-23,13.8,13.94,13.8,13.94,11829
2017-03-27,14.57,14.63,14.57,14.63,23660
2017-03-29,13.9,13.9,13.9,13.9,5915
2017-04-10,14.59,14.59,14.36,14.59,23660
2017-04-12,14.36,14.36,14.36,14.36,5915
2017-04-13,14.46,14.46,14.46,14.46,5915
2017-04-18,13.74,13.74,13.74,13.74,5915
