Datetime,Open,High,Low,Close,Volume
2016-06-02,86.95,87.95,86.5,87.2,482360
2016-06-03,87.8,88.2,85.7,86.1,444072
2016-06-06,84.1,87.2,84.1,85.8,343016
2016-06-07,85.85,88.35,85.0,87.95,878132
2016-06-08,87.5,92.0,87.5,91.15,1763267
2016-06-09,91.6,94.1,90.1,91.95,1963572
2016-06-10,92.0,93.4,90.15,90.55,853357
2016-06-13,90.1,90.1,88.6,89.55,454949
2016-06-14,90.0,92.0,88.75,91.1,917212
2016-06-15,91.9,92.9,90.45,90.95,690088
2016-06-16,90.8,90.8,88.45,88.85,503824
2016-06-17,89.95,89.95,87.35,87.95,564390
2016-06-20,87.0,90.1,86.5,88.9,677054
2016-06-21,89.7,89.7,88.0,88.35,297271
2016-06-22,88.1,88.8,86.55,86.95,301847
2016-06-23,87.0,87.4,86.0,86.4,245403
2016-06-24,85.55,85.55,82.35,84.6,641959
2016-06-27,84.5,86.6,84.2,85.65,350865
2016-06-28,85.9,87.4,85.5,87.1,554382
2016-06-29,87.25,91.2,87.25,89.8,1693508
2016-06-30,90.5,90.7,89.25,89.85,647009
2016-07-01,90.0,91.2,89.65,90.05,662999
2016-07-04,90.5,92.75,90.25,91.75,1315312
2016-07-05,93.0,94.05,92.2,92.7,1485282
2016-07-07,92.75,94.6,91.4,92.85,899353
2016-07-08,92.8,93.5,91.5,91.65,446358
2016-07-11,92.8,93.75,91.85,92.15,548870
2016-07-12,92.35,92.65,90.2,90.75,1258352
2016-07-13,90.9,91.5,89.05,89.25,586407
2016-07-14,89.8,90.95,89.1,90.05,541525
2016-07-15,90.7,91.35,90.0,90.15,399673
2016-07-18,90.3,91.7,89.5,89.75,834889
2016-07-19,90.4,90.4,89.05,89.15,397300
2016-07-20,89.7,89.9,89.2,89.7,318787
2016-07-21,90.4,90.8,89.15,89.4,390387
2016-07-22,89.3,90.75,89.3,90.15,647652
2016-07-25,90.0,93.4,89.6,92.25,1298687
2016-07-26,92.25,93.35,90.6,91.1,784803
2016-07-27,91.2,92.35,90.6,91.0,418118
2016-07-28,91.65,92.05,91.0,91.8,415630
2016-07-29,91.4,91.65,89.8,90.15,484914
