Datetime,Open,High,Low,Close,Volume
2021-06-04,4.26,4.6,4.26,4.26,26377
2021-06-07,4.04,4.47,4.04,4.04,36861
2021-06-08,4.21,4.21,3.87,4.17,54001
2021-06-09,4.34,4.34,4.0,4.3,57576
2021-06-10,4.3,4.51,4.17,4.51,61550
2021-06-11,4.47,4.73,4.38,4.73,156750
2021-06-14,4.85,4.94,4.64,4.94,132777
2021-06-15,5.11,5.15,5.11,5.15,113884
2021-06-16,5.15,5.41,4.9,5.24,402298
2021-06-17,5.36,5.45,4.98,4.98,82832
2021-06-18,5.02,5.02,4.77,4.77,70179
2021-06-21,4.9,4.98,4.56,4.98,79166
2021-06-22,5.19,5.19,4.94,5.19,118751
2021-06-23,5.36,5.45,5.36,5.45,23467
2021-06-24,5.62,5.7,5.62,5.7,18325
2021-06-25,5.96,5.96,5.96,5.96,24194
2021-06-28,6.26,6.26,6.26,6.26,20117
2021-06-29,6.56,6.56,6.56,6.56,17274
2021-06-30,6.85,6.85,6.85,6.85,26183
2021-07-01,7.19,7.19,7.19,7.19,23898
2021-07-02,7.54,7.54,7.54,7.54,226014
2021-07-05,7.88,7.88,7.88,7.88,21615
2021-07-06,8.26,8.26,7.49,7.66,663329
2021-07-07,7.58,8.05,7.28,8.05,377149
2021-07-08,8.43,8.43,8.43,8.43,54145
2021-07-09,8.81,8.81,8.81,8.81,54405
2021-07-12,9.24,9.24,8.39,8.51,690849
2021-07-13,8.51,8.94,8.09,8.26,211380
2021-07-14,8.26,8.51,7.88,7.88,134175
2021-07-15,7.54,8.09,7.49,7.49,93696
2021-07-16,7.15,7.15,7.15,7.15,234713
2021-07-19,7.37,7.49,6.81,7.49,130889
2021-07-20,7.24,7.83,7.24,7.83,167785
2021-07-22,8.09,8.22,7.88,8.22,193433
2021-07-23,8.6,8.6,8.6,8.6,217666
2021-07-26,9.03,9.03,8.94,9.03,574810
2021-07-27,9.45,9.45,9.32,9.45,354761
2021-07-28,9.92,9.92,9.92,9.92,272923
2021-07-29,10.39,10.39,10.39,10.39,135696
2021-07-30,10.9,10.9,10.9,10.9,172159
2021-08-02,11.41,11.41,11.41,11.41,174064
2021-08-03,11.96,11.96,11.96,11.96,103286
2021-08-04,12.56,12.56,12.56,12.56,72201
2021-08-05,13.15,13.15,11.96,12.43,1129689
2021-08-06,12.73,12.77,11.84,11.84,70488
2021-08-09,11.28,11.28,11.28,11.28,37855
2021-08-10,10.73,10.73,10.73,10.73,9504
2021-08-11,10.22,10.22,10.22,10.22,5145
2021-08-12,9.71,10.73,9.71,10.73,661485
2021-08-13,11.11,11.24,10.22,10.22,421025
2021-08-16,9.75,10.73,9.71,10.13,266437
2021-08-17,9.79,10.56,9.66,9.66,90303
2021-08-18,9.2,10.09,9.2,9.2,144337
2021-08-20,8.81,9.15,8.77,8.77,206187
2021-08-23,8.34,8.77,8.34,8.34,110164
2021-08-24,7.96,8.73,7.96,8.13,325017
2021-08-25,8.34,8.51,8.34,8.51,25995
2021-08-26,8.94,8.94,8.94,8.94,32460
2021-08-27,9.37,9.37,9.37,9.37,22834
2021-08-30,9.83,9.83,9.83,9.83,17247
2021-08-31,10.3,10.3,10.3,10.3,48124
2021-09-01,10.81,10.81,10.81,10.81,113886
2021-09-02,11.32,11.32,10.3,10.98,253550
2021-09-03,11.45,11.45,10.52,10.64,116654
2021-09-06,10.94,10.98,10.13,10.13,118434
2021-09-07,10.13,10.6,9.83,10.39,182101
2021-09-08,10.39,10.9,10.39,10.9,215198
2021-09-09,11.41,11.41,11.41,11.41,271612
2021-09-13,11.96,11.96,11.96,11.96,206314
2021-09-14,12.56,12.56,12.56,12.56,343350
2021-09-15,13.15,13.15,13.15,13.15,333302
2021-09-16,13.79,13.79,12.64,13.67,1170624
2021-09-17,13.67,13.67,12.98,12.98,537573
2021-09-20,13.62,13.62,12.77,13.58,415178
2021-09-21,14.22,14.22,12.94,13.54,345290
2021-09-22,13.37,13.71,13.2,13.28,139213
2021-09-23,13.92,13.92,12.86,13.15,184725
2021-09-24,13.45,13.45,12.94,13.11,91238
2021-09-27,12.77,13.71,12.77,13.28,125241
2021-09-28,13.62,13.62,12.77,13.28,155685
2021-09-29,12.94,13.2,12.64,12.9,95808
2021-09-30,13.15,13.33,12.6,12.73,61244
2021-10-01,12.77,13.11,12.52,13.03,70175
2021-10-04,12.47,13.62,12.47,13.15,135438
2021-10-05,13.58,13.58,12.86,12.94,104707
2021-10-06,13.03,13.58,12.52,12.94,97142
2021-10-07,13.41,13.5,12.9,13.28,104100
2021-10-08,13.58,13.62,13.2,13.2,70018
2021-10-11,13.79,13.84,13.5,13.84,287419
2021-10-12,14.3,14.52,14.3,14.52,201717
2021-10-13,15.24,15.24,14.9,15.16,381784
2021-10-14,15.33,15.88,15.16,15.88,363425
2021-10-18,16.6,16.65,16.26,16.65,70090
2021-10-19,17.45,17.45,16.69,17.24,448438
2021-10-20,18.09,18.09,16.39,17.75,615679
2021-10-21,17.88,18.39,16.9,16.99,221758
2021-10-22,17.03,17.75,16.18,16.18,194770
2021-10-25,16.82,16.82,15.37,15.37,92303
2021-10-26,14.69,15.75,14.6,15.24,200345
2021-10-27,15.58,15.88,14.9,15.54,61196
2021-10-28,15.58,16.31,15.58,16.31,172630
2021-10-29,16.65,17.11,16.52,17.11,92813
2021-11-01,17.71,17.97,17.2,17.45,92565
2021-11-02,18.26,18.31,16.82,17.03,92007
2021-11-03,17.71,17.88,16.69,16.82,30757
2021-11-04,17.63,17.63,16.48,17.11,34653
2021-11-08,17.11,17.8,16.26,16.39,92426
2021-11-09,16.69,17.2,16.31,16.6,44866
2021-11-10,16.86,17.41,16.77,17.11,205901
2021-11-11,17.37,17.37,16.39,16.9,59100
2021-11-12,17.54,17.54,16.6,16.65,142827
2021-11-15,16.31,17.33,15.92,16.05,88461
2021-11-16,15.75,16.05,15.33,15.37,76444
2021-11-17,15.88,15.88,14.9,15.2,44927
2021-11-18,15.92,15.92,14.47,14.47,201882
2021-11-22,14.47,14.47,13.75,13.75,100885
2021-11-23,13.62,14.43,13.07,14.18,101032
2021-11-24,14.39,14.69,13.54,13.62,98657
2021-11-25,13.67,14.05,13.5,13.62,64081
2021-11-26,14.18,14.18,12.94,13.54,155006
2021-11-29,12.94,13.54,12.9,13.11,94808
2021-11-30,13.2,13.75,12.47,13.75,137724
2021-12-01,14.05,14.43,13.2,13.96,82757
2021-12-02,13.62,14.64,13.62,14.64,67425
2021-12-03,15.28,15.37,14.69,15.37,52569
2021-12-06,16.09,16.14,15.16,16.09,187154
2021-12-07,16.77,16.86,15.45,16.01,76304
2021-12-08,16.09,16.52,15.24,15.79,73241
2021-12-09,15.75,16.56,15.75,16.43,156675
2021-12-10,17.11,17.24,16.18,16.73,92088
2021-12-13,17.03,17.03,15.92,16.14,98730
2021-12-14,16.14,16.6,15.41,15.84,51115
2021-12-15,15.37,16.09,15.37,15.41,141836
2021-12-16,15.75,15.84,15.33,15.75,78676
2021-12-17,15.75,15.92,14.99,15.16,129993
2021-12-20,15.67,15.67,14.43,14.77,136669
2021-12-21,14.47,15.16,14.05,14.3,73541
2021-12-22,14.6,14.64,13.79,14.22,75264
2021-12-23,14.52,14.82,13.62,14.47,126875
2021-12-24,14.47,15.16,14.47,14.73,47497
2021-12-27,14.9,15.45,14.47,15.33,41973
2021-12-28,15.71,15.71,14.69,15.54,101638
2021-12-29,15.79,15.79,14.99,15.03,75207
2021-12-30,15.07,15.58,14.73,15.16,32585
2021-12-31,14.43,15.58,14.43,15.03,69796
2022-01-03,15.33,15.5,14.52,14.9,75266
2022-01-04,15.24,15.24,14.18,14.3,123264
2022-01-05,14.69,14.99,14.69,14.99,35327
2022-01-06,15.71,15.71,15.71,15.71,73117
2022-01-07,16.48,16.48,16.48,16.48,69635
2022-01-10,17.28,17.28,17.28,17.28,92906
2022-01-11,18.14,18.14,18.14,18.14,63360
2022-01-12,19.03,19.03,19.03,19.03,90956
2022-01-13,19.97,19.97,18.09,19.88,953738
2022-01-14,20.43,20.86,19.41,20.01,396384
