Datetime,Open,High,Low,Close,Volume
2021-06-04,161.0,161.0,157.0,158.85,33515
2021-06-07,159.85,162.95,158.4,161.15,66064
2021-06-08,162.8,172.4,161.25,168.2,337453
2021-06-09,169.6,172.2,162.95,165.45,127701
2021-06-10,167.0,198.5,166.0,198.5,1779888
2021-06-11,209.9,213.7,192.45,196.5,816454
2021-06-14,196.5,199.9,175.0,196.95,260127
2021-06-15,198.9,198.9,191.2,195.0,124972
2021-06-16,195.0,195.0,188.25,189.55,78673
2021-06-17,189.0,197.5,188.9,194.05,212072
2021-06-18,204.0,225.0,201.0,211.75,1968357
2021-06-21,210.1,244.0,204.1,238.05,1387043
2021-06-22,245.0,247.4,233.2,241.75,519296
2021-06-23,242.5,290.1,241.95,288.65,1986049
2021-06-24,298.7,314.45,280.05,289.55,1750820
2021-06-25,290.0,311.0,273.35,301.05,846657
2021-06-28,304.05,307.0,291.95,304.55,297588
2021-06-29,304.0,321.05,298.0,314.7,496934
2021-06-30,317.1,346.15,317.1,345.5,675098
2021-07-01,354.95,358.0,327.0,333.45,444431
2021-07-02,335.7,343.8,330.1,333.3,154084
2021-07-05,338.35,341.0,323.45,327.35,133258
2021-07-06,327.35,334.4,318.0,319.6,195812
2021-07-07,320.0,327.4,318.15,319.5,65905
2021-07-08,321.9,327.0,312.0,314.2,51994
2021-07-09,313.7,317.6,300.0,304.5,98003
2021-07-12,302.0,319.6,302.0,313.7,118181
2021-07-13,318.0,318.0,305.0,307.55,67684
2021-07-14,309.6,315.0,304.55,306.35,79760
2021-07-15,306.35,309.6,300.0,301.95,53894
2021-07-16,308.0,315.0,301.0,305.6,118758
2021-07-19,304.5,304.5,288.2,295.1,99520
2021-07-20,295.1,300.0,283.0,285.15,75611
2021-07-22,295.05,298.2,282.05,289.0,68740
2021-07-23,289.0,300.9,287.0,290.05,109423
2021-07-26,292.0,296.0,288.1,291.7,57865
2021-07-27,291.7,295.7,280.8,286.6,48692
2021-07-28,286.6,287.9,275.0,277.75,60313
2021-07-29,283.8,287.25,277.6,280.9,31990
2021-07-30,284.0,304.0,283.0,293.7,100087
2021-08-02,298.0,305.0,291.5,293.45,63274
2021-08-03,298.0,303.4,288.65,289.55,81262
2021-08-04,292.0,296.0,282.0,283.8,62731
2021-08-05,285.1,289.35,278.45,280.65,28519
2021-08-06,280.65,284.95,277.0,279.15,27209
2021-08-09,276.0,284.3,265.35,269.75,31668
2021-08-10,269.5,273.2,252.0,255.2,59321
2021-08-11,255.2,262.35,235.0,257.1,71354
2021-08-12,250.0,270.0,245.0,265.85,70872
2021-08-13,263.0,290.0,261.55,269.2,52599
2021-08-16,265.8,270.4,258.05,260.6,23646
2021-08-17,261.0,261.95,253.25,255.2,23552
2021-08-18,255.0,257.75,236.7,243.0,51193
2021-08-20,243.0,244.75,225.0,229.0,44378
2021-08-23,230.9,233.45,207.55,215.85,70411
2021-08-24,209.2,225.9,209.2,223.75,30915
2021-08-25,228.0,234.9,220.2,234.9,35610
2021-08-26,239.95,246.6,237.05,246.6,19466
2021-08-27,257.0,258.9,250.1,253.05,100732
2021-08-30,254.2,265.0,254.05,259.9,32684
2021-08-31,264.0,265.5,251.1,253.05,27645
2021-09-01,258.0,258.55,248.1,250.05,41543
2021-09-02,254.0,262.55,240.25,255.95,65711
2021-09-03,253.0,262.8,253.0,254.45,17738
2021-09-06,259.0,266.4,250.05,254.0,248033
2021-09-07,254.0,256.95,248.0,250.5,33387
2021-09-08,250.0,256.8,247.35,249.9,28091
2021-09-09,250.0,254.95,249.9,250.4,17309
2021-09-13,250.0,253.95,245.25,248.2,20983
2021-09-14,252.0,252.0,244.15,246.25,30525
2021-09-15,246.9,250.3,245.0,245.95,35391
2021-09-16,247.0,249.95,241.05,242.7,35177
2021-09-17,243.0,246.3,235.6,238.8,28369
2021-09-20,237.9,250.7,234.55,235.9,103256
2021-09-21,235.9,239.75,230.25,233.55,23686
2021-09-22,234.25,234.35,230.9,231.6,42431
2021-09-23,233.0,238.9,230.85,231.9,58989
2021-09-24,232.45,233.75,227.8,229.65,30966
2021-09-27,226.7,232.7,225.0,226.35,35118
2021-09-28,226.4,235.95,225.3,230.25,50952
2021-09-29,230.25,234.8,222.3,224.3,79057
2021-09-30,226.0,227.1,221.0,222.2,52565
2021-10-01,222.2,233.3,219.7,227.55,185389
2021-10-04,235.0,235.0,226.0,226.7,104331
2021-10-05,227.8,230.0,224.0,225.3,42667
2021-10-06,225.3,227.7,220.8,224.0,88826
2021-10-07,225.6,246.4,223.3,231.85,453407
2021-10-08,235.9,245.95,228.3,233.7,248031
2021-10-11,236.5,244.0,231.15,232.55,253161
