Datetime,Open,High,Low,Close,Volume
2026-05-08,190.0,227.4,190.0,208.63,64104155
2026-05-11,206.42,222.69,203.33,210.5,17274814
2026-05-12,209.8,213.39,198.35,199.72,4899070
2026-05-13,200.0,211.99,197.3,204.69,5055194
2026-05-14,206.0,209.62,201.4,203.33,4082318
2026-05-15,204.9,211.5,194.34,196.07,3918707
2026-05-18,195.0,208.1,194.75,206.85,3342814
2026-05-19,208.05,232.0,205.0,226.88,11899056
2026-05-20,227.02,257.7,223.01,247.41,15221215
2026-05-21,249.0,259.5,241.12,244.52,5785648
2026-05-22,245.7,248.0,229.05,231.74,3750157
2026-05-25,236.1,254.5,234.1,252.52,5055633
2026-05-26,253.6,273.69,251.4,264.26,6754962
2026-05-27,266.8,272.9,254.0,261.98,3134833
2026-05-29,273.0,281.59,267.14,272.46,5366954
2026-06-01,273.95,275.0,258.05,261.7,1919328
2026-06-02,259.9,285.9,257.5,275.55,4493557
2026-06-03,277.3,279.85,263.0,264.75,2986730
2026-06-04,265.0,270.9,260.1,269.1,2309945
2026-06-05,267.95,273.2,252.5,269.85,4984495
2026-06-08,265.1,282.7,265.1,270.35,4858758
2026-06-09,273.0,288.8,273.0,284.1,5475316
2026-06-10,283.4,283.4,265.0,269.65,3265045
2026-06-11,269.0,272.35,257.0,259.7,2441150
2026-06-12,263.95,274.85,261.15,270.55,1997112
2026-06-15,274.5,281.9,268.2,270.85,1743352
2026-06-16,271.0,277.8,267.3,268.95,1281109
2026-06-17,269.1,281.25,266.7,277.15,2501613
2026-06-18,275.85,278.85,270.0,271.9,918892
2026-06-19,271.15,298.9,271.05,295.7,6019506
2026-06-22,299.6,302.5,291.55,295.6,2656768
2026-06-23,295.0,295.0,280.0,285.3,1864673
2026-06-24,285.0,291.9,275.0,279.05,2036005
2026-06-25,281.9,290.8,272.8,275.1,1982473
2026-06-29,276.4,277.0,267.05,274.2,1528066
2026-06-30,274.2,282.95,273.6,279.5,1366352
