Datetime,Open,High,Low,Close,Volume
2012-09-25,14.95,15.95,14.75,14.9,250488
2012-09-26,16.65,16.65,14.3,14.8,154056
2012-09-27,15.15,15.2,14.4,14.55,105423
2012-09-28,14.3,14.7,13.85,14.25,47715
2012-10-01,14.5,15.35,13.1,14.0,89007
2012-10-03,14.5,14.5,13.65,14.05,63249
2012-10-04,13.6,14.75,13.55,14.6,267612
2012-10-05,15.25,15.7,14.6,15.45,306675
2012-10-08,15.35,15.55,15.35,15.45,68586
2012-10-09,15.1,16.65,15.1,16.2,424914
2012-10-10,16.4,16.45,15.75,15.95,23628
2012-10-11,15.4,16.05,15.25,15.45,28128
2012-10-12,15.5,15.95,15.15,15.25,39063
2012-10-15,15.25,15.35,14.75,14.8,43767
2012-10-16,15.45,15.45,14.75,15.0,31839
2012-10-17,15.2,15.2,14.55,14.7,15207
2012-10-18,14.3,14.9,14.3,14.6,9642
2012-10-19,14.6,15.2,14.3,15.0,18876
2012-10-22,14.45,15.2,14.3,14.95,44415
2012-10-23,14.6,15.25,14.6,14.9,49023
2012-10-25,14.8,15.1,14.55,14.6,95994
2012-10-26,15.25,15.25,14.55,15.1,54600
2012-10-29,15.25,15.25,14.65,14.75,59481
2012-10-30,14.7,15.0,14.1,14.6,49977
2012-10-31,14.65,14.65,14.0,14.1,20148
2012-11-01,14.95,14.95,13.6,13.85,21747
2012-11-02,14.25,15.35,14.05,15.1,71085
2012-11-05,14.35,16.2,14.35,15.45,40176
2012-11-06,15.5,15.5,14.8,14.95,13776
2012-11-07,14.95,15.25,14.9,14.9,4191
2012-11-08,15.5,15.5,14.4,14.9,27489
2012-11-09,14.65,15.0,14.55,14.75,5073
2012-11-12,15.2,15.25,14.7,14.95,10689
2012-11-13,15.35,15.35,14.45,14.7,22677
2012-11-15,14.4,15.2,14.4,14.8,6444
2012-11-16,15.15,15.35,14.65,14.75,17007
2012-11-19,14.55,14.55,11.9,14.2,223275
2012-11-20,14.65,14.8,14.2,14.2,16641
2012-11-21,14.2,14.7,14.2,14.3,14661
2012-11-22,14.5,14.5,14.25,14.25,4356
2012-11-23,14.2,14.5,14.2,14.3,7479
2012-11-26,14.5,14.5,14.15,14.5,17013
2012-11-27,15.1,15.2,14.3,14.75,14973
2012-11-29,15.2,15.2,13.55,14.55,25725
