Datetime,Open,High,Low,Close,Volume
2026-08-17,56.83,59.0,51.01,58.85,1308
2026-08-18,62.85,62.85,56.21,61.99,3500
2026-08-19,61.99,61.99,55.35,55.35,322
2026-08-20,66.35,66.42,61.9,66.42,3326
2026-08-21,79.7,79.7,79.7,79.7,3747
2026-08-24,82.0,84.5,71.73,71.73,19958
2026-08-25,64.56,77.0,64.56,71.97,13899
2026-08-26,66.25,73.8,66.25,73.78,6283
2026-08-27,72.95,72.95,66.41,69.11,7457
2026-08-28,64.6,72.46,64.6,66.97,1211
2026-08-31,66.97,69.65,66.1,66.1,270
2026-09-01,66.1,68.9,63.63,64.1,638
2026-09-02,64.1,67.0,64.1,64.37,615
2026-09-03,63.1,67.38,62.1,66.46,562
2026-09-04,66.79,68.0,63.14,63.14,2504
2026-09-07,63.14,65.88,60.23,61.84,5578
2026-09-08,61.84,64.89,61.54,62.54,1447
2026-09-09,62.5,63.97,62.0,62.64,285
2026-09-10,62.0,63.95,60.22,61.58,1795
2026-09-11,61.58,62.5,60.03,60.51,1605
2026-09-15,60.51,62.94,60.51,60.95,214
2026-09-16,60.5,62.77,60.5,62.57,670
2026-09-17,63.99,63.99,60.5,61.02,593
2026-09-18,62.0,63.49,60.51,63.2,620
2026-09-21,63.2,65.0,60.58,64.97,935
2026-09-22,61.73,64.0,61.73,61.8,352
2026-09-23,61.8,61.8,58.71,61.5,2220
