Datetime,Open,High,Low,Close,Volume
2021-06-04,124.5,127.0,122.0,122.55,16874
2021-06-07,122.7,132.85,122.7,126.6,71784
2021-06-08,127.9,129.2,124.1,125.35,25530
2021-06-09,125.4,127.9,115.95,118.7,41080
2021-06-10,124.0,126.0,120.45,124.25,22322
2021-06-11,125.45,129.0,120.6,124.25,43142
2021-06-14,124.0,125.0,121.0,123.9,14478
2021-06-15,122.7,127.0,122.7,125.05,9482
2021-06-16,125.85,125.85,122.5,123.5,11519
2021-06-17,123.0,125.4,120.2,121.8,16041
2021-06-18,124.25,124.25,118.2,119.15,13190
2021-06-21,120.2,122.8,118.05,121.95,12032
2021-06-22,122.85,124.55,120.8,121.45,15323
2021-06-23,121.05,123.0,119.0,119.3,25142
2021-06-24,120.0,120.7,113.65,116.25,15149
2021-06-25,117.0,119.7,115.2,115.95,17372
2021-06-28,116.0,118.75,116.0,117.4,9475
2021-06-29,118.9,120.2,117.3,118.5,12238
2021-06-30,116.65,120.5,116.65,117.8,11947
2021-07-01,117.95,117.95,112.5,113.0,26464
2021-07-02,116.0,124.0,113.9,121.15,35709
2021-07-05,125.9,126.0,116.3,118.65,41669
2021-07-06,122.0,122.55,114.7,116.6,24947
2021-07-07,116.95,119.45,115.25,116.1,27743
2021-07-08,116.95,121.0,113.8,114.5,32731
2021-07-09,115.85,117.55,114.85,116.5,9241
2021-07-12,116.55,118.0,114.1,115.75,16335
2021-07-13,116.85,117.5,114.95,115.3,16856
2021-07-14,115.3,116.0,114.0,114.25,19624
2021-07-15,115.8,117.0,113.4,114.45,19377
2021-07-16,116.0,117.4,114.1,114.45,27652
2021-07-19,114.1,116.0,112.5,115.45,13919
2021-07-20,116.0,116.0,111.7,113.6,12609
2021-07-22,113.05,115.8,112.8,114.25,10878
2021-07-23,115.9,117.05,114.0,114.45,14749
2021-07-26,116.5,125.85,113.6,123.35,185301
2021-07-27,125.9,133.9,125.0,126.6,177110
2021-07-28,129.0,130.3,122.1,124.5,39250
2021-07-29,123.0,136.0,122.45,133.8,135328
2021-07-30,136.4,136.4,125.4,130.8,49437
2021-08-02,127.3,130.75,123.1,129.65,79506
2021-08-03,130.0,130.9,120.0,122.1,63308
2021-08-04,126.0,126.0,118.35,120.8,38302
2021-08-05,123.45,124.0,117.1,119.7,15149
2021-08-06,123.0,139.0,120.15,127.35,258426
2021-08-09,131.0,136.0,127.0,128.95,154845
2021-08-10,130.9,132.0,121.05,124.55,59945
2021-08-11,123.15,132.7,114.85,130.9,115592
2021-08-12,130.5,139.5,130.0,133.6,245613
2021-08-13,133.55,160.15,133.55,149.75,1319247
2021-08-16,158.0,166.9,154.3,159.25,798626
2021-08-17,159.25,164.9,151.0,156.35,626724
2021-08-18,158.0,161.65,153.5,156.65,241375
2021-08-20,152.55,156.75,146.3,148.75,91279
2021-08-23,152.0,152.0,132.1,134.1,160506
2021-08-24,132.0,142.4,132.0,139.5,102686
2021-08-25,137.0,144.0,134.25,135.35,50057
2021-08-26,138.0,144.0,135.25,141.2,45647
2021-08-27,141.0,150.0,141.0,148.55,84912
2021-08-30,148.55,156.9,146.2,154.55,109138
2021-08-31,157.95,164.8,153.6,158.3,280311
2021-09-01,159.0,159.0,148.55,150.75,76924
2021-09-02,152.0,162.85,150.55,159.85,81521
2021-09-03,160.05,164.7,156.6,158.5,82027
2021-09-06,160.7,163.65,152.7,155.25,59209
2021-09-07,155.0,159.0,151.05,152.35,39133
2021-09-08,152.35,155.35,151.1,152.55,25128
2021-09-09,152.55,154.5,146.0,146.5,58647
2021-09-13,146.1,161.0,146.0,158.45,122070
2021-09-14,161.0,162.0,156.05,156.6,109951
2021-09-15,156.6,161.0,156.5,159.3,82154
2021-09-16,158.05,191.1,157.05,178.65,1755904
2021-09-17,178.5,178.5,162.2,172.25,305920
2021-09-20,180.0,203.0,177.05,184.05,1193384
2021-09-21,186.85,199.5,176.1,196.4,519607
2021-09-22,200.0,207.0,192.5,195.0,352415
2021-09-23,194.5,198.9,185.15,187.6,156942
2021-09-24,189.7,192.45,181.15,183.75,86864
2021-09-27,186.4,189.9,178.05,181.8,85848
2021-09-28,183.7,186.95,178.15,179.45,59140
2021-09-29,176.65,182.3,175.0,177.45,53794
2021-09-30,178.85,180.75,171.1,173.0,64543
2021-10-01,172.45,178.4,170.3,175.3,65001
2021-10-04,180.0,180.0,175.2,176.65,20791
2021-10-05,179.8,195.0,174.1,187.7,162661
2021-10-06,188.0,189.85,177.3,179.35,40155
2021-10-07,183.4,187.9,179.35,184.05,32010
2021-10-08,186.4,186.4,176.0,177.5,65773
2021-10-11,179.7,181.2,173.05,175.2,38367
2021-10-12,177.0,177.0,167.35,169.55,82255
2021-10-13,169.75,174.6,165.05,167.0,39870
2021-10-14,167.4,174.9,167.2,168.25,35070
2021-10-18,174.0,174.0,162.85,171.2,49741
2021-10-19,171.2,171.2,161.15,163.55,25932
2021-10-20,163.55,165.9,158.0,158.9,29759
2021-10-21,163.3,166.1,158.45,159.15,27073
2021-10-22,162.7,165.95,158.65,164.2,37433
2021-10-25,161.0,170.0,160.0,164.2,22577
2021-10-26,164.7,168.0,164.0,165.1,11770
2021-10-27,166.05,170.0,162.65,167.8,25290
2021-10-28,166.05,167.5,151.8,155.9,35032
2021-10-29,155.6,162.5,155.6,157.7,24477
2021-11-01,159.1,166.75,159.1,165.65,38387
2021-11-02,165.65,170.95,165.0,167.5,19633
2021-11-03,168.0,171.85,164.0,166.15,21104
2021-11-04,169.0,179.0,169.0,175.4,60337
2021-11-08,176.0,178.9,170.25,173.35,26443
2021-11-09,173.05,176.2,164.9,171.0,67629
2021-11-10,170.2,172.9,167.0,168.45,19546
2021-11-11,171.95,172.0,163.3,166.0,15109
2021-11-12,164.2,172.7,164.15,168.8,23094
2021-11-15,166.2,172.5,166.2,168.15,40973
2021-11-16,166.65,171.5,166.0,166.5,15627
2021-11-17,166.1,175.0,165.05,173.15,32194
2021-11-18,175.7,175.7,161.0,163.85,32579
2021-11-22,163.85,163.85,152.0,154.45,28155
2021-11-23,153.0,164.0,149.05,162.4,15520
2021-11-24,165.0,178.8,165.0,171.15,106916
2021-11-25,171.8,177.05,170.15,172.05,17036
2021-11-26,170.5,173.95,167.55,170.7,37192
2021-11-29,170.35,172.65,163.55,165.85,14442
2021-11-30,166.2,171.8,163.0,166.1,11611
2021-12-01,165.0,167.8,164.1,166.2,6929
2021-12-02,167.0,168.95,164.35,165.5,8242
2021-12-03,166.25,172.0,162.0,169.8,37669
2021-12-06,175.0,176.0,159.95,162.3,24154
2021-12-07,165.0,171.9,163.0,170.05,26222
2021-12-08,172.25,175.0,164.5,165.5,26132
2021-12-09,165.25,168.1,162.8,164.4,21464
2021-12-10,167.55,172.95,166.5,169.25,70211
2021-12-13,174.0,174.0,164.6,168.8,33861
2021-12-14,168.45,170.95,163.5,165.55,16066
2021-12-15,166.35,173.05,166.35,170.15,27789
2021-12-16,173.9,173.9,163.0,164.4,37291
2021-12-17,164.75,170.8,163.3,165.25,30441
2021-12-20,163.05,166.95,160.7,164.75,34209
2021-12-21,167.6,167.75,161.35,163.0,11230
2021-12-22,163.15,165.7,161.9,162.35,10974
2021-12-23,163.8,164.95,158.5,161.8,25900
2021-12-24,164.4,164.4,159.0,159.75,10462
2021-12-27,159.75,161.9,158.05,161.5,8627
2021-12-28,161.5,162.95,158.7,160.15,21601
2021-12-29,159.85,165.0,159.85,161.55,15882
2021-12-30,159.45,193.85,159.0,193.85,297062
2021-12-31,207.0,227.9,198.55,201.35,1315380
2022-01-03,200.0,219.7,195.75,213.05,361679
2022-01-04,214.75,221.65,200.0,201.75,117174
2022-01-05,203.0,210.8,200.15,201.0,87364
2022-01-06,200.8,207.0,195.45,198.9,50958
2022-01-07,196.7,207.0,190.0,195.75,93220
2022-01-10,192.6,205.0,192.6,200.9,59761
2022-01-11,201.0,202.55,194.0,194.75,40649
2022-01-12,196.4,197.95,188.0,189.45,41939
2022-01-13,191.0,194.1,188.1,190.1,27125
2022-01-14,191.0,202.95,190.5,199.9,78112
