Datetime,Open,High,Low,Close,Volume
2023-01-05,59.0,60.0,59.0,59.15,20800
2023-05-10,59.0,59.0,56.5,56.5,4800
2023-05-11,56.5,58.25,56.5,58.25,14400
2023-05-15,56.0,57.0,56.0,56.15,8000
2023-05-16,55.0,55.0,53.0,54.1,24000
2023-05-17,54.1,54.1,54.1,54.1,1600
2023-05-18,55.8,55.8,53.55,53.9,6400
2023-05-19,54.0,54.0,53.0,53.0,3200
2023-05-22,53.0,56.0,53.0,53.85,16000
2023-05-23,53.15,54.1,53.15,54.05,6400
2023-05-24,54.0,55.8,54.0,55.05,12800
2023-05-25,54.1,54.1,54.0,54.0,8000
2023-05-26,53.1,53.55,53.1,53.55,4800
2023-05-29,52.0,54.9,52.0,54.9,4800
2023-05-30,46.5,52.0,45.1,50.0,64000
2023-05-31,49.0,49.05,47.2,48.15,33600
2023-06-01,50.0,50.0,46.4,46.9,24000
2023-06-02,46.0,47.0,45.5,46.7,11200
2023-06-05,46.1,47.0,44.0,45.8,35200
2023-06-06,45.0,46.0,42.6,43.6,86400
2023-06-07,43.6,44.4,39.9,41.5,115200
2023-06-08,42.0,44.8,42.0,43.6,27200
2023-06-09,44.5,44.85,44.2,44.2,14400
2023-06-12,47.2,47.2,45.3,45.65,9600
2023-06-13,47.7,47.85,46.9,47.05,12800
2023-06-14,47.05,47.55,44.0,45.1,22400
2023-06-15,45.0,45.4,44.3,44.85,9600
2023-06-16,44.5,44.5,44.5,44.5,3200
2023-06-21,44.5,44.5,43.2,43.5,6400
2023-06-22,43.05,43.05,41.5,43.05,6400
2023-06-23,40.95,45.7,40.95,43.05,16000
2023-06-26,44.2,46.5,44.2,46.1,12800
2023-06-27,46.0,46.0,44.0,44.0,17600
2023-06-28,44.0,44.0,42.25,42.75,43200
2023-06-30,44.65,45.45,44.0,44.95,22400
2023-07-03,44.15,44.15,42.55,43.25,33600
2023-07-04,43.15,43.2,41.55,42.0,33600
2023-07-05,42.35,42.8,42.35,42.8,4800
2023-07-06,42.8,44.2,41.8,43.85,57600
2023-07-07,44.0,52.6,44.0,50.8,108800
2023-07-10,51.0,53.9,49.25,50.5,64000
2023-07-11,54.0,54.0,47.0,50.5,19200
2023-07-12,50.5,51.0,50.0,51.0,12800
2023-07-13,51.0,51.0,49.0,49.0,9600
2023-07-14,49.0,49.0,48.0,48.0,4800
2023-07-17,48.0,50.5,47.9,49.2,9600
2023-07-18,47.9,50.2,46.7,48.45,6400
2023-07-21,53.0,53.0,47.0,47.15,33600
2023-07-24,47.0,47.0,46.55,47.0,4800
2023-07-25,44.85,48.85,44.85,47.0,9600
2023-07-26,46.8,49.5,45.75,49.5,8000
2023-07-27,46.85,47.0,46.1,46.1,11200
2023-07-28,48.15,48.15,48.15,48.15,1600
2023-07-31,47.0,47.25,45.6,47.25,9600
2023-08-01,46.1,46.1,45.0,46.0,19200
2023-08-02,46.0,48.55,46.0,47.15,12800
2023-08-03,48.45,48.95,46.0,47.0,38400
2023-08-04,45.4,47.2,45.1,47.2,16000
2023-08-07,45.1,47.0,45.1,46.75,57600
2023-08-08,45.15,47.75,45.15,47.35,33600
2023-08-09,46.25,47.9,46.25,47.7,33600
2023-08-10,47.5,48.9,47.5,48.15,24000
2023-08-11,47.0,47.5,47.0,47.5,4800
2023-08-16,46.1,46.2,45.95,46.0,6400
2023-08-17,45.5,45.5,45.5,45.5,1600
2023-08-18,45.5,45.5,45.5,45.5,1600
2023-08-21,49.8,49.9,48.0,49.05,32000
2023-08-22,50.65,57.65,49.0,56.5,136000
2023-08-23,58.8,60.4,56.15,57.45,88000
2023-08-24,57.0,58.0,55.15,55.2,12800
2023-08-25,55.25,55.25,54.25,54.5,8000
2023-08-28,52.5,52.95,52.5,52.95,3200
2023-08-29,52.9,54.85,52.0,53.3,59200
2023-08-30,56.0,58.95,54.5,57.0,107200
2023-08-31,57.8,58.3,55.15,55.15,17600
2023-09-01,55.15,55.3,54.15,55.0,6400
2023-09-04,55.05,55.05,54.8,54.8,6400
2023-09-05,53.0,53.55,51.0,51.6,96000
2023-09-06,52.0,52.9,52.0,52.9,9600
2023-09-07,55.4,55.4,53.0,53.0,11200
2023-09-08,52.4,53.5,52.0,53.5,4800
2023-09-11,54.5,54.5,51.5,51.75,9600
2023-09-12,50.25,52.0,50.0,50.0,27200
2023-09-13,49.2,49.4,49.2,49.4,4800
2023-09-14,49.55,50.0,49.55,50.0,3200
2023-09-15,50.0,50.9,50.0,50.2,8000
2023-09-18,50.0,50.0,48.0,49.3,12800
2023-09-20,54.7,54.7,52.3,52.3,4800
2023-09-21,49.2,49.5,49.2,49.4,4800
2023-09-22,48.55,48.55,48.55,48.55,1600
2023-09-25,48.55,48.55,47.8,48.25,4800
2023-09-26,48.0,48.0,47.5,48.0,4800
2023-09-27,47.1,49.0,47.1,49.0,8000
2023-09-28,48.0,48.2,47.0,47.2,14400
2023-09-29,47.5,47.5,47.2,47.2,4800
2023-10-03,45.5,45.95,44.0,44.8,40000
2023-10-04,45.75,46.0,44.3,46.0,6400
2023-10-05,46.0,46.0,45.0,45.0,6400
2023-10-06,45.0,47.8,45.0,46.5,14400
2023-10-09,45.15,46.45,45.1,46.45,11200
2023-10-10,47.0,47.0,45.55,46.1,41600
2023-10-11,46.1,48.2,46.1,46.85,6400
2023-10-12,46.5,48.5,46.5,48.5,11200
2023-10-13,50.5,50.5,47.0,49.0,17600
2023-10-16,52.0,52.0,49.0,49.0,4800
2023-10-18,46.05,47.0,46.0,46.8,9600
2023-10-19,48.95,48.95,47.0,48.0,9600
2023-10-20,47.9,47.9,46.0,46.9,11200
2023-10-23,46.1,46.1,43.05,44.1,28800
2023-10-25,45.7,45.7,45.7,45.7,1600
2023-10-26,43.6,45.05,43.5,45.05,6400
2023-10-27,45.9,46.0,43.5,45.0,12800
2023-10-30,43.35,45.95,43.35,44.3,14400
2023-10-31,46.0,46.0,46.0,46.0,6400
2023-11-01,46.0,46.0,46.0,46.0,3200
2023-11-03,45.1,45.1,45.1,45.1,1600
2023-11-06,48.0,48.55,48.0,48.5,8000
2023-11-07,48.5,48.5,45.5,47.8,9600
2023-11-08,48.0,48.0,46.05,46.05,3200
2023-11-09,48.4,49.0,46.55,46.55,9600
2023-11-10,47.8,47.85,47.0,47.0,4800
2023-11-12,44.75,44.75,44.75,44.75,1600
2023-11-13,45.05,47.8,45.05,47.8,12800
2023-11-15,47.8,48.35,45.8,47.0,17600
2023-11-16,45.8,45.8,45.15,45.15,3200
2023-11-17,47.35,47.9,47.35,47.9,4800
2023-11-21,47.5,47.5,46.1,46.1,8000
2023-11-22,48.0,48.0,47.25,47.25,4800
2023-11-23,46.0,46.0,44.1,45.55,8000
2023-11-24,46.1,46.5,46.0,46.5,4800
2023-11-28,48.4,48.4,48.4,48.4,3200
2023-11-29,47.95,47.95,47.5,47.5,3200
2023-11-30,44.6,48.85,44.25,48.0,14400
2023-12-01,47.75,47.75,47.7,47.75,6400
2023-12-04,46.8,47.45,45.85,46.2,19200
2023-12-05,46.2,46.2,45.0,45.0,9600
2023-12-06,44.9,45.9,44.9,45.9,32000
2023-12-07,45.0,45.0,43.9,45.0,19200
2023-12-08,44.55,44.55,44.5,44.5,3200
2023-12-11,44.5,45.15,44.5,45.15,4800
2023-12-12,44.0,44.0,44.0,44.0,1600
2023-12-13,44.0,44.0,44.0,44.0,1600
2023-12-14,41.8,44.0,40.55,44.0,33600
2023-12-15,44.0,44.0,42.35,42.35,3200
2023-12-18,42.7,43.2,42.7,43.2,6400
2023-12-19,43.05,46.0,43.05,46.0,17600
2023-12-20,46.95,46.95,42.5,43.45,19200
2023-12-21,43.95,43.95,43.95,43.95,1600
2023-12-26,44.0,44.0,42.35,42.6,6400
2023-12-27,42.8,43.0,41.65,41.9,24000
2023-12-28,42.3,42.6,42.3,42.6,24000
2023-12-29,42.6,42.6,42.0,42.0,3200
2024-01-01,44.35,44.35,41.25,42.5,8000
2024-01-02,41.55,42.0,41.5,42.0,14400
2024-01-03,41.0,43.8,41.0,43.8,28800
2024-01-04,42.0,42.95,42.0,42.0,6400
2024-01-05,42.0,45.0,42.0,44.8,43200
2024-01-08,45.0,45.0,42.75,42.85,8000
2024-01-09,42.2,42.95,41.5,41.9,35200
2024-01-10,42.0,44.2,42.0,44.1,24000
2024-01-11,44.85,45.0,43.15,43.15,14400
2024-01-12,44.45,44.45,43.05,43.95,9600
2024-01-15,44.0,44.0,42.8,42.8,3200
2024-01-16,45.0,45.0,42.0,42.0,12800
2024-01-17,41.6,42.5,41.6,41.8,14400
2024-01-18,41.65,41.65,41.65,41.65,1600
2024-01-19,42.5,42.5,42.5,42.5,3200
2024-01-20,44.5,44.5,42.0,42.0,33600
2024-01-23,41.5,42.9,41.0,41.25,36800
2024-01-24,41.3,42.0,41.05,41.55,20800
2024-01-25,41.0,47.5,41.0,46.7,214400
2024-01-29,49.75,49.75,46.75,48.95,113600
2024-01-30,49.75,54.0,48.05,51.15,212800
2024-01-31,52.7,52.7,50.3,50.95,38400
2024-02-01,52.35,52.75,50.0,51.75,54400
2024-02-02,52.15,55.0,50.35,54.4,203200
2024-02-05,56.5,59.8,54.2,57.7,292800
2024-02-06,58.0,58.25,56.1,57.3,60800
2024-02-07,58.5,60.0,56.75,58.4,51200
2024-02-08,57.8,59.5,55.0,58.45,379200
2024-02-09,61.0,61.0,56.05,58.75,68800
2024-02-12,57.15,60.0,56.0,56.4,76800
2024-02-13,57.9,59.5,56.15,59.0,67200
2024-02-14,58.9,58.9,56.8,56.8,20800
2024-02-15,58.5,58.5,55.6,55.95,38400
2024-02-16,56.25,57.65,55.0,57.2,59200
2024-02-19,57.8,63.7,57.0,60.25,126400
2024-02-20,60.1,61.15,59.1,59.65,116800
2024-02-21,61.3,61.3,58.6,59.1,62400
2024-02-22,60.7,60.7,56.75,59.05,51200
2024-02-23,60.45,60.75,59.3,60.4,49600
2024-02-26,61.4,61.4,58.35,59.15,41600
2024-02-27,59.9,59.9,57.9,57.9,19200
2024-02-28,58.5,58.9,57.0,57.5,36800
2024-02-29,61.9,61.9,56.5,56.5,28800
2024-03-01,59.85,59.85,56.15,58.05,65600
2024-03-02,57.05,57.8,56.25,57.05,20800
2024-03-04,58.8,61.3,55.55,60.2,128000
2024-03-05,60.0,60.0,57.0,58.45,70400
2024-03-06,59.35,59.35,55.7,59.0,64000
2024-03-07,57.5,60.9,57.15,60.05,134400
2024-03-11,58.0,58.0,55.65,56.4,28800
2024-03-12,55.65,57.0,55.2,55.65,188800
2024-03-13,56.25,60.75,54.0,59.4,300800
