Datetime,Open,High,Low,Close,Volume
2021-06-04,1005.0,1018.0,999.99,999.99,54713
2021-06-07,999.5,1000.0,999.5,1000.0,28788
2021-06-08,1000.0,1000.0,999.99,999.99,36714
2021-06-09,1000.0,1000.0,999.99,999.99,40505
2021-06-10,1000.0,1000.0,999.99,999.99,107625
2021-06-11,1000.0,1000.0,999.99,999.99,32138
2021-06-14,1000.0,1002.0,999.5,1000.0,6544
2021-06-15,1005.0,1018.0,999.99,999.99,122105
2021-06-16,1000.0,1005.0,999.5,999.99,4169
2021-06-17,1000.0,1002.01,999.5,999.99,38656
2021-06-18,999.95,1002.82,999.95,1000.0,25234
2021-06-21,1005.0,1005.0,999.45,1000.0,21391
2021-06-22,1000.0,1002.8,999.99,999.99,20906
2021-06-23,1000.05,1005.0,999.5,1000.0,30391
2021-06-24,1000.0,1000.0,999.99,999.99,18021
2021-06-25,999.99,1002.0,999.99,999.99,16860
2021-06-28,1000.0,1000.0,999.99,999.99,7872
2021-06-29,999.95,1000.0,999.95,1000.0,29087
2021-06-30,1000.0,1000.0,999.99,1000.0,63747
2021-07-01,1000.0,1002.0,999.5,999.99,55387
2021-07-02,999.95,1000.0,999.5,999.99,13878
2021-07-05,1005.0,1005.0,999.95,999.99,6750
2021-07-06,999.5,1000.0,999.5,1000.0,88232
2021-07-07,1000.0,1000.0,999.99,999.99,18674
2021-07-08,1000.0,1000.0,999.99,1000.0,10613
2021-07-09,1000.0,1000.01,999.99,1000.0,45208
2021-07-12,1000.0,1000.0,999.99,1000.0,33022
2021-07-13,1000.0,1000.0,999.99,999.99,215599
2021-07-14,1000.0,1000.0,999.99,999.99,10543
2021-07-15,1000.0,1000.0,999.99,999.99,36189
2021-07-16,999.5,1000.0,999.5,999.99,16483
2021-07-19,1000.0,1010.0,999.5,999.99,12441
2021-07-20,1000.0,1000.0,999.45,999.99,10738
2021-07-22,999.95,1000.0,999.95,999.99,7247
2021-07-23,1004.03,1004.9,999.01,999.99,48178
2021-07-26,1000.0,1000.0,999.5,999.99,24860
2021-07-27,999.95,1000.0,999.95,999.99,15826
2021-07-28,999.5,1000.0,999.45,1000.0,20379
2021-07-29,1000.0,1000.0,999.5,999.99,1220
2021-07-30,1000.0,1000.0,999.99,999.99,14943
2021-08-02,1004.9,1010.0,999.5,999.99,8567
2021-08-03,1000.0,1000.05,999.0,999.97,63603
2021-08-04,999.5,1000.01,991.1,1000.0,27573
2021-08-05,1004.9,1010.0,999.0,999.99,27809
2021-08-06,1000.0,1000.0,999.99,1000.0,75777
2021-08-09,1004.5,1004.5,999.6,999.99,26878
2021-08-10,1000.0,1000.02,997.16,999.99,2795
2021-08-11,1000.0,1008.0,999.0,999.99,162007
2021-08-12,999.95,1000.0,999.95,999.99,163953
2021-08-13,1000.0,1000.0,999.5,999.99,84965
2021-08-16,1000.0,1000.0,999.99,999.99,5727
2021-08-17,1008.0,1008.0,999.5,999.99,27340
2021-08-18,999.99,1000.0,999.99,1000.0,18904
2021-08-20,1000.0,1000.01,999.99,999.99,65223
2021-08-23,999.99,1000.0,999.99,999.99,95040
2021-08-24,1000.0,1000.0,999.99,1000.0,12419
2021-08-25,1000.0,1000.01,999.99,1000.0,11429
2021-08-26,999.99,1000.0,999.99,1000.0,35851
2021-08-27,1000.0,1000.0,999.99,999.99,16677
2021-08-30,999.9,1000.0,999.0,1000.0,239346
2021-08-31,1000.0,1000.0,999.99,999.99,20460
2021-09-01,1000.0,1000.0,999.5,999.99,31545
2021-09-02,999.99,1000.0,990.0,999.99,14616
2021-09-03,999.5,1000.0,990.0,999.99,126231
2021-09-06,1000.0,1000.0,999.99,999.99,6366
2021-09-07,999.99,1000.0,999.99,1000.0,4222
2021-09-08,1005.0,1008.95,999.99,999.99,2696
2021-09-09,1000.0,1000.0,998.0,1000.0,331976
2021-09-13,1000.0,1000.01,999.99,999.99,387233
2021-09-14,1005.0,1008.9,999.01,999.99,22000
2021-09-15,999.0,1000.01,998.8,999.99,82770
2021-09-16,1000.0,1001.0,999.0,999.99,50296
2021-09-17,1000.0,1000.0,999.99,1000.0,5720
