Datetime,Open,High,Low,Close,Volume
2021-06-04,146.95,149.9,142.7,148.3,201129
2021-06-07,151.0,154.55,150.0,152.65,210785
2021-06-08,152.65,155.7,150.3,153.1,155252
2021-06-09,153.8,154.9,147.0,149.15,110243
2021-06-10,151.5,159.0,150.95,156.0,536871
2021-06-11,158.9,164.5,156.3,163.2,719756
2021-06-14,161.5,161.5,153.8,157.5,528790
2021-06-15,160.8,160.8,153.1,154.2,215226
2021-06-16,155.8,157.5,145.25,149.15,481847
2021-06-17,148.85,154.95,147.15,152.6,221499
2021-06-18,154.95,156.5,146.8,152.0,216583
2021-06-21,149.0,151.65,148.0,148.95,152351
2021-06-22,151.2,154.0,150.5,150.9,109208
2021-06-23,154.0,154.0,148.7,149.25,113738
2021-06-24,149.7,150.85,149.0,150.25,69000
2021-06-25,151.65,151.65,148.1,148.5,54180
2021-06-28,151.95,154.75,150.0,152.25,215964
2021-06-29,155.0,157.2,154.3,155.45,190069
2021-06-30,156.25,156.8,152.05,152.35,109315
2021-07-01,155.4,155.75,152.1,153.15,73576
2021-07-02,154.95,154.95,153.2,154.2,47410
2021-07-05,159.0,161.35,155.75,156.65,324923
2021-07-06,158.5,160.7,152.0,152.95,245463
2021-07-07,155.0,159.0,154.95,158.4,238349
2021-07-08,159.5,164.0,158.0,159.5,395003
2021-07-09,159.5,168.35,159.4,163.6,570027
2021-07-12,168.4,171.0,163.25,165.3,326616
2021-07-13,167.45,167.45,160.55,161.9,129889
2021-07-14,162.9,166.9,162.0,164.7,288342
2021-07-15,166.25,166.7,160.0,161.25,119985
2021-07-16,163.8,171.9,159.05,171.0,1416268
2021-07-19,169.5,181.0,169.0,179.55,1128778
2021-07-20,180.9,180.9,144.0,171.55,481680
2021-07-22,172.95,181.9,171.05,172.25,195775
2021-07-23,173.7,174.4,168.0,168.55,108319
2021-07-26,168.0,168.55,162.7,163.85,172637
2021-07-27,164.8,171.0,163.1,164.4,167517
2021-07-28,165.5,166.2,160.2,163.9,109219
2021-07-29,167.0,169.9,162.2,167.1,119708
2021-07-30,166.0,172.3,165.0,167.95,128791
2021-08-02,168.0,172.8,166.0,167.85,128358
2021-08-03,168.0,169.45,163.1,164.55,65483
2021-08-04,167.0,169.3,162.6,163.45,76483
2021-08-05,166.2,166.4,157.2,160.8,117759
2021-08-06,162.0,171.0,161.45,167.0,226145
2021-08-09,168.0,169.45,161.45,164.75,102098
2021-08-10,167.4,167.4,149.6,155.8,156650
2021-08-11,156.05,159.8,145.65,156.25,481284
2021-08-12,155.45,158.4,154.45,156.0,73016
2021-08-13,156.7,163.7,155.2,156.2,154183
2021-08-16,156.2,157.75,152.05,153.7,65853
2021-08-17,155.95,155.95,148.0,149.4,87761
2021-08-18,151.0,151.65,147.0,147.45,79669
2021-08-20,144.95,147.1,139.0,140.5,93450
2021-08-23,143.0,143.35,131.45,133.55,142596
2021-08-24,134.0,139.85,134.0,138.95,55027
2021-08-25,143.0,145.55,139.3,140.25,162871
2021-08-26,142.65,143.5,140.7,141.85,61690
2021-08-27,142.0,144.0,138.0,139.05,74849
2021-08-30,140.3,145.35,140.3,144.45,81881
2021-08-31,146.0,147.0,142.25,142.7,65850
2021-09-01,145.0,146.75,140.0,140.65,113326
2021-09-02,141.7,142.55,139.0,139.9,62195
2021-09-03,141.55,145.0,141.4,142.45,64520
2021-09-06,143.95,144.25,139.0,139.65,66408
2021-09-07,142.9,142.9,139.5,139.95,29401
2021-09-08,143.0,143.0,137.0,138.55,54330
2021-09-09,142.0,142.0,136.15,137.7,93777
2021-09-13,141.0,141.0,137.9,138.35,61574
2021-09-14,141.0,142.35,140.0,141.4,63253
2021-09-15,144.0,144.0,136.1,142.55,235230
2021-09-16,143.0,144.85,140.5,141.1,58386
2021-09-17,142.0,142.65,138.0,139.35,79957
2021-09-20,136.7,141.4,135.4,136.0,77997
2021-09-21,136.0,136.85,130.2,134.9,125197
2021-09-22,136.75,137.95,135.6,136.45,55590
2021-09-23,138.4,139.9,137.5,137.75,46920
2021-09-24,137.75,140.5,135.5,136.55,62453
2021-09-27,136.5,145.0,136.0,142.5,252009
2021-09-28,143.5,143.75,139.1,140.2,66900
