Datetime,Open,High,Low,Close,Volume
2026-04-20,690.0,690.0,676.0,676.0,26
2026-04-21,710.0,710.0,685.0,685.0,6
2026-04-22,690.0,690.0,670.0,679.25,66
2026-04-23,690.0,690.0,670.0,673.75,64
2026-04-24,687.95,690.0,687.95,690.0,221
2026-04-27,740.0,740.0,660.0,689.6,254
2026-04-28,689.95,690.0,625.05,678.35,34
2026-04-29,690.0,690.0,685.0,685.0,6
2026-04-30,730.0,730.0,654.3,682.35,75
2026-05-04,779.95,779.95,665.05,685.1,37
2026-05-05,690.0,690.0,665.0,685.0,17
2026-05-06,690.0,690.0,675.0,690.0,239
2026-05-07,690.0,690.0,689.9,690.0,158
2026-05-08,690.0,690.0,630.0,687.65,421
2026-05-11,700.0,709.25,635.0,669.75,308
2026-05-12,690.0,690.0,640.0,680.0,256
2026-05-13,680.0,680.0,649.4,674.5,216
2026-05-14,679.1,690.0,677.0,681.35,201
2026-05-15,700.0,700.0,591.0,673.1,178
2026-05-18,642.8,688.8,642.8,670.95,588
2026-05-19,690.0,690.0,672.0,672.0,38
2026-05-20,689.8,689.8,620.0,663.7,536
2026-05-21,710.0,710.0,655.0,670.25,85
2026-05-22,687.0,687.0,640.1,678.35,57
2026-05-25,702.1,702.1,647.8,676.75,108
2026-05-26,690.0,709.0,673.0,702.05,679
2026-05-27,710.0,710.0,685.1,695.7,1434
2026-05-29,725.0,725.0,653.95,682.05,349
2026-06-01,715.0,715.0,675.0,691.3,142
2026-06-02,705.0,705.0,656.0,681.5,48
2026-06-03,710.0,710.0,650.05,690.2,90
2026-06-04,719.5,719.5,654.95,682.45,224
2026-06-05,705.0,705.0,680.0,700.0,25
2026-06-08,703.5,703.5,660.05,678.55,199
2026-06-09,702.0,702.0,580.0,690.95,360
2026-06-10,714.9,714.9,662.05,690.1,104
2026-06-11,697.95,697.95,697.95,697.95,10
2026-06-12,718.0,718.0,670.0,680.15,63
2026-06-15,676.75,704.0,665.0,669.1,182
2026-06-16,692.5,692.5,660.0,690.0,22
2026-06-17,666.0,700.0,666.0,688.45,29
2026-06-18,705.0,705.0,670.0,690.0,19
2026-06-19,705.0,705.0,705.0,705.0,1
2026-06-22,685.0,699.0,670.0,692.6,61
2026-06-23,719.4,719.5,672.0,698.2,1318
2026-06-24,698.2,698.2,680.0,697.95,40
2026-06-25,666.5,719.3,640.0,700.7,688
2026-06-29,715.0,715.0,670.0,690.0,113
2026-06-30,714.2,725.0,580.0,703.1,516
2026-07-01,724.45,724.45,680.0,705.0,58
2026-07-02,724.0,724.0,708.95,716.45,106
2026-07-03,730.0,730.0,715.0,716.0,13
2026-07-06,714.95,714.95,714.9,714.9,5
2026-07-07,739.85,739.85,683.0,699.85,39
2026-07-08,685.0,724.3,660.0,699.35,181
2026-07-09,723.8,723.8,709.0,709.0,447
