Datetime,Open,High,Low,Close,Volume
2021-06-04,312.0,316.4,310.09,315.05,733355
2021-06-07,317.6,327.25,315.51,322.06,1340830
2021-06-08,324.0,325.76,318.2,324.05,662940
2021-06-09,325.0,325.38,313.0,314.17,2306150
2021-06-10,315.58,317.42,313.27,316.54,301165
2021-06-11,317.0,319.76,312.37,313.6,530645
2021-06-14,314.8,315.0,309.53,310.95,534005
2021-06-15,312.98,313.24,308.55,309.23,564860
2021-06-16,309.24,311.69,307.04,307.55,335495
2021-06-17,307.55,307.55,297.0,298.49,1527975
2021-06-18,299.94,300.95,294.4,298.75,809015
2021-06-21,296.98,301.95,294.26,298.48,1348755
2021-06-22,302.0,304.97,298.51,299.2,962970
2021-06-23,301.6,302.1,295.75,297.76,438220
2021-06-24,298.38,305.26,297.8,302.77,873905
2021-06-25,303.32,305.4,299.6,303.97,508755
2021-06-28,304.0,305.96,300.75,302.24,503145
2021-06-29,302.33,305.2,299.61,301.58,413435
2021-06-30,306.2,307.22,302.61,304.31,397775
2021-07-01,304.4,304.78,301.0,302.47,516735
2021-07-02,303.02,304.2,301.6,303.06,302480
2021-07-05,304.0,315.26,302.0,307.72,1463305
2021-07-06,308.03,309.97,303.2,303.85,618540
2021-07-07,303.8,306.8,300.01,301.0,1039905
2021-07-08,302.04,305.8,299.08,303.9,725050
2021-07-09,303.0,303.0,297.0,300.22,630740
2021-07-12,302.0,303.01,296.0,296.58,1148875
2021-07-13,298.0,323.0,296.6,320.02,9410755
2021-07-14,322.02,330.0,315.6,321.29,7966140
2021-07-15,323.8,342.0,317.72,339.74,9571165
2021-07-16,341.41,349.58,334.27,343.5,6104105
2021-07-19,338.4,369.58,336.25,355.54,13823370
2021-07-20,356.0,359.0,340.45,342.54,3450605
2021-07-22,345.2,347.14,333.08,335.52,1914345
2021-07-23,336.6,338.2,327.6,328.72,1306490
2021-07-26,323.59,344.8,319.28,339.05,5383075
2021-07-27,340.74,346.0,331.6,334.83,2754635
2021-07-28,336.0,336.06,322.2,327.02,2008050
2021-07-29,327.0,330.0,320.92,322.05,1120335
2021-07-30,323.0,326.8,319.0,320.65,1064670
2021-08-02,322.53,323.28,317.38,318.39,1163420
2021-08-03,319.0,321.53,315.2,316.1,911395
2021-08-04,318.4,319.03,309.37,314.17,1257320
2021-08-05,315.75,324.8,308.2,322.33,1844230
2021-08-06,322.4,326.76,319.25,321.39,1358000
2021-08-09,323.96,324.01,313.2,314.24,717290
2021-08-10,316.8,320.98,304.64,306.08,2264790
2021-08-11,307.6,308.43,297.84,304.1,1253145
2021-08-12,305.6,307.0,300.62,301.99,1583965
2021-08-13,303.54,305.31,298.4,300.59,1550315
2021-08-16,300.83,302.56,295.9,298.65,2221725
2021-08-17,299.18,300.0,295.6,296.57,1139825
2021-08-18,296.8,308.75,296.6,300.9,2865850
2021-08-20,297.8,300.98,296.0,298.77,1213470
2021-08-23,300.4,302.79,293.02,295.74,719720
2021-08-24,295.82,298.38,290.0,292.53,1802220
2021-08-25,294.78,298.4,292.01,293.35,1975150
2021-08-26,293.03,304.8,293.03,299.72,4468650
2021-08-27,301.6,305.0,297.1,298.25,4313070
2021-08-30,299.8,312.6,299.79,304.06,6459550
2021-08-31,307.2,310.4,300.6,303.51,3230510
2021-09-01,304.88,305.42,298.2,300.21,2360770
2021-09-02,301.3,311.4,300.41,308.98,3365335
2021-09-03,311.9,325.0,311.0,318.58,10662555
2021-09-06,321.4,336.0,317.01,328.74,10887215
2021-09-07,329.21,335.94,321.7,327.78,5481010
2021-09-08,329.6,333.38,323.4,325.56,2912825
2021-09-09,326.2,333.8,325.0,332.3,4162350
2021-09-13,332.8,333.46,324.66,325.86,2302250
2021-09-14,326.4,328.4,322.2,322.7,2502210
2021-09-15,322.4,325.72,319.0,321.87,1947975
2021-09-16,320.42,334.8,320.42,328.05,6370275
2021-09-17,330.58,331.01,316.44,319.23,3070540
2021-09-20,317.57,323.2,315.03,318.71,4614055
2021-09-21,317.0,328.6,315.61,327.49,3956025
2021-09-22,327.4,328.96,322.8,323.78,1352960
2021-09-23,324.1,331.87,322.32,325.91,2689600
2021-09-24,326.0,338.54,323.56,331.86,7647325
2021-09-27,335.78,346.0,332.21,343.65,7405485
2021-09-28,347.4,348.87,331.35,335.82,5024795
2021-09-29,331.2,336.46,329.59,333.15,1470005
2021-09-30,333.4,340.57,329.11,331.73,2961305
2021-10-01,330.2,335.6,329.4,334.37,1597345
2021-10-04,336.18,341.83,334.81,337.67,1919250
2021-10-05,337.4,344.98,336.4,337.56,2626185
2021-10-06,337.4,353.57,335.5,343.98,7846195
2021-10-07,348.4,377.6,344.0,363.98,11279180
2021-10-08,381.78,396.8,367.36,384.51,23342075
2021-10-11,392.0,417.52,388.24,406.54,16651215
2021-10-12,409.2,424.8,400.2,411.19,12498065
2021-10-13,412.19,416.0,403.66,405.27,3393950
2021-10-14,405.27,427.0,403.0,413.55,7308565
2021-10-18,404.01,413.4,385.13,395.65,9661665
2021-10-19,400.78,411.95,385.4,388.64,5469060
2021-10-20,387.01,393.3,379.0,385.58,2999335
2021-10-21,388.1,390.78,372.4,375.88,2732995
2021-10-22,378.0,384.57,356.59,358.75,4250375
2021-10-25,340.2,348.31,331.39,334.52,6315765
2021-10-26,333.0,345.42,328.08,342.4,6204910
2021-10-27,346.0,346.6,335.21,339.24,2908400
2021-10-28,340.96,340.96,329.01,330.51,2851220
2021-10-29,327.4,344.45,326.44,340.75,3334455
2021-11-01,340.99,350.59,340.09,344.45,2912155
2021-11-02,345.13,354.0,344.8,350.63,1932005
2021-11-03,350.23,358.61,350.05,352.1,2990175
2021-11-04,353.0,357.76,352.61,355.23,476025
2021-11-08,355.54,367.08,352.1,365.72,3001015
2021-11-09,366.56,369.22,362.27,367.75,1188110
2021-11-10,366.2,396.0,365.25,386.91,10423280
2021-11-11,388.4,393.11,380.6,390.56,2186130
2021-11-12,391.0,393.97,385.0,389.73,1579205
2021-11-15,390.26,402.0,390.26,394.0,4367340
2021-11-16,400.97,404.39,385.6,387.3,5094530
2021-11-17,385.96,387.2,372.28,374.38,2239225
2021-11-18,373.81,376.17,357.82,362.41,2599810
2021-11-22,363.2,366.0,343.61,345.16,2872830
2021-11-23,344.99,353.69,341.2,349.0,2420295
2021-11-24,350.0,352.85,341.0,342.6,1993295
2021-11-25,342.01,345.06,338.4,344.07,2339150
2021-11-26,340.2,343.9,332.04,333.04,1449535
2021-11-29,333.2,335.4,321.51,326.26,2056205
2021-11-30,329.0,338.0,316.0,319.81,2524910
2021-12-01,324.0,324.29,315.52,317.34,2361030
2021-12-02,318.4,332.0,310.42,328.57,6462945
2021-12-03,332.0,333.36,323.0,324.07,3957015
2021-12-06,325.8,332.4,317.7,319.4,4371000
2021-12-07,323.6,327.49,320.03,324.65,1592300
2021-12-08,328.0,351.18,326.2,340.78,12369115
2021-12-09,343.2,351.6,340.21,349.31,4742790
2021-12-10,349.4,355.96,346.05,347.18,4207895
2021-12-13,350.0,354.28,344.51,346.86,3288770
2021-12-14,345.0,361.77,343.05,357.53,5123175
2021-12-15,360.8,366.79,350.07,351.71,8171310
2021-12-16,352.85,355.94,337.41,341.85,3434555
2021-12-17,341.8,341.8,327.0,328.01,2922700
2021-12-20,320.81,321.99,299.72,310.79,4653540
2021-12-21,313.0,319.2,308.01,310.88,2348070
2021-12-22,318.2,326.5,312.53,321.79,3529160
2021-12-23,323.2,325.13,318.11,318.93,1587035
2021-12-24,320.0,322.93,315.0,316.35,1243505
2021-12-27,315.59,321.6,312.02,318.21,1121210
2021-12-28,323.0,328.4,321.0,324.69,2450365
2021-12-29,325.6,326.81,320.0,320.48,1059370
2021-12-30,321.95,321.95,312.8,313.73,1727215
2021-12-31,314.0,319.2,314.0,316.56,1382975
2022-01-03,317.2,324.6,317.2,323.54,2091060
2022-01-04,324.0,328.88,321.03,325.19,2169180
2022-01-05,324.0,326.61,319.73,321.84,1821385
2022-01-06,318.8,325.73,318.04,323.11,1766975
