Datetime,Open,High,Low,Close,Volume
2021-06-04,154.97,156.0,153.75,155.1,529
2021-06-07,153.75,156.0,153.75,155.62,2824
2021-06-08,156.05,158.0,154.55,155.23,1260
2021-06-09,156.0,156.3,154.05,154.05,1129
2021-06-10,152.2,156.0,152.2,155.0,2215
2021-06-11,156.0,156.62,155.2,155.51,3644
2021-06-14,155.45,158.85,154.0,156.78,4777
2021-06-15,159.05,159.05,156.13,157.18,2551
2021-06-16,156.0,156.95,151.47,155.82,2355
2021-06-17,162.1,168.8,154.5,155.36,2780
2021-06-18,156.0,156.5,153.0,155.82,865
2021-06-21,157.75,157.75,153.52,155.17,897
2021-06-22,157.85,157.85,155.75,156.29,1490
2021-06-23,158.75,158.75,154.75,155.51,547
2021-06-24,156.3,157.78,155.56,156.58,2915
2021-06-25,153.54,157.22,153.54,156.4,1022
2021-06-28,153.65,157.27,153.65,157.0,26018
2021-06-29,158.7,158.7,155.25,156.42,2454
2021-06-30,158.84,158.84,155.42,156.0,1039
2021-07-01,158.38,158.38,154.0,154.62,4408
2021-07-02,156.77,157.9,154.47,154.71,1194
2021-07-05,155.0,157.11,155.0,156.89,3657
2021-07-06,154.32,158.45,154.32,156.07,3193
2021-07-07,154.25,157.8,154.25,156.71,1148
2021-07-08,158.0,158.0,154.71,154.97,4495
2021-07-09,157.75,157.75,154.35,155.95,821
2021-07-12,156.07,156.83,154.77,155.26,1176
2021-07-13,158.85,158.85,155.3,156.97,995
2021-07-14,159.95,159.95,155.0,157.53,2018
2021-07-15,156.0,158.0,155.54,157.06,1180
2021-07-16,158.8,158.9,157.1,157.7,307
2021-07-19,160.3,160.3,154.86,156.24,35678
2021-07-20,155.95,155.95,153.95,153.98,1837
2021-07-22,151.25,156.95,151.25,156.03,1033
2021-07-23,156.75,156.99,155.95,156.37,13202
2021-07-26,157.0,157.65,156.27,156.93,448
2021-07-27,158.85,158.85,155.06,156.26,15234
2021-07-28,156.3,156.3,153.33,156.02,448
2021-07-29,157.0,157.47,155.69,156.82,685
2021-07-30,157.2,158.4,155.71,156.63,468
2021-08-02,157.0,157.97,156.32,157.43,1990
2021-08-03,157.75,160.49,157.0,158.98,4090
2021-08-04,158.75,161.63,158.75,160.3,3819
2021-08-05,158.75,162.24,158.75,161.94,1209
2021-08-06,158.5,162.95,158.5,161.11,9059
2021-08-09,161.0,162.4,158.4,160.42,1443
2021-08-10,162.26,162.31,160.11,160.87,1641
2021-08-11,162.92,162.92,159.0,161.01,2552
2021-08-12,162.0,162.5,161.23,162.05,436
2021-08-13,163.0,163.5,162.1,163.22,2269
2021-08-16,164.0,164.0,160.08,164.0,1040
2021-08-17,164.0,165.0,163.0,164.66,826
2021-08-18,165.0,165.87,163.71,164.0,2843
2021-08-20,165.64,165.64,162.31,163.36,1430
2021-08-23,165.55,165.55,162.75,164.02,3101
2021-08-24,163.4,165.35,163.16,164.7,1419
2021-08-25,164.4,170.0,164.4,166.77,1873
2021-08-26,167.35,167.35,165.0,165.4,449
2021-08-27,165.0,166.28,164.95,166.2,1519
2021-08-30,166.2,169.0,166.2,168.15,7759
2021-08-31,169.45,169.45,167.05,168.79,3153
2021-09-01,170.99,171.04,169.0,169.99,821
2021-09-02,170.35,171.5,169.44,170.58,1115
2021-09-03,173.6,173.6,170.21,171.77,1012
2021-09-06,174.7,174.7,171.36,172.76,5053
2021-09-07,174.95,174.95,171.0,171.51,1501
2021-09-08,174.3,174.3,171.0,171.33,438
2021-09-09,194.0,194.0,170.91,172.5,797
2021-09-13,194.0,194.0,170.63,171.95,4932
2021-09-14,172.0,173.48,171.21,171.41,4381
2021-09-15,174.94,174.94,172.0,173.43,2433
2021-09-16,176.3,176.3,172.5,174.41,1287
2021-09-17,172.3,176.0,172.3,174.9,3036
2021-09-20,176.25,176.25,171.61,172.51,1907
2021-09-21,172.51,174.0,172.0,173.99,581
2021-09-22,175.95,175.95,174.0,174.47,2981
2021-09-23,174.47,177.1,174.47,176.44,1303
2021-09-24,179.45,179.45,176.32,176.78,2726
2021-09-27,177.0,179.0,176.25,176.7,505
2021-09-28,179.45,179.45,174.0,174.9,6125
2021-09-29,178.4,178.4,173.71,175.49,2859
2021-09-30,174.9,176.0,172.74,174.9,442
2021-10-01,177.8,177.8,171.3,174.23,3615
2021-10-04,176.3,176.3,174.89,175.16,5893
2021-10-05,176.0,176.9,175.0,176.33,468
2021-10-06,179.45,179.45,173.43,175.19,3067
2021-10-07,177.88,177.95,173.95,176.02,4729
2021-10-08,179.8,179.8,173.43,177.79,1195
2021-10-11,179.9,179.9,177.44,178.49,1652
2021-10-12,173.74,179.8,173.74,178.81,1742
2021-10-13,194.0,194.0,178.3,179.88,2135
2021-10-14,179.88,181.96,179.88,181.5,607
2021-10-18,194.0,194.0,179.95,183.57,1514
2021-10-19,184.98,184.98,181.97,182.45,6759
2021-10-20,179.8,184.99,179.8,181.56,1151
2021-10-21,180.0,184.0,179.0,180.62,630
2021-10-22,180.05,182.89,178.44,179.16,2353
2021-10-25,184.2,184.2,177.75,179.2,3409
2021-10-26,180.98,181.45,179.0,181.39,947
2021-10-27,184.74,184.74,180.37,180.9,1378
2021-10-28,184.64,184.64,177.0,177.81,2777
2021-10-29,182.4,182.4,174.25,175.9,7387
2021-11-01,182.3,182.3,172.4,178.57,2356
2021-11-02,184.85,184.85,175.4,176.77,716
2021-11-03,185.4,185.4,175.62,176.35,3121
2021-11-04,185.25,185.25,176.5,178.08,2110
2021-11-08,194.0,194.0,175.6,179.98,3056
2021-11-09,181.99,181.99,176.4,178.99,873
2021-11-10,180.0,180.0,177.1,179.08,954
2021-11-11,180.99,180.99,177.01,177.75,4223
2021-11-12,178.0,180.41,176.0,179.65,2615
2021-11-15,181.59,181.59,178.25,180.16,947
2021-11-16,179.03,180.98,177.65,178.0,947
2021-11-17,183.8,183.8,176.72,177.68,2239
2021-11-18,179.49,179.49,175.0,176.52,7302
2021-11-22,179.49,180.88,171.2,173.13,5511
2021-11-23,175.49,175.49,169.7,173.78,3312
2021-11-24,175.99,175.99,172.78,173.06,970
2021-11-25,174.99,174.99,171.25,173.95,778
2021-11-26,174.9,174.9,168.22,169.17,5131
2021-11-29,171.99,172.0,166.0,169.6,2097
2021-11-30,171.99,172.29,168.63,169.16,1907
2021-12-01,171.49,171.98,169.16,170.86,906
2021-12-02,172.79,172.79,171.0,172.5,1330
2021-12-03,171.0,173.76,170.0,170.44,2574
2021-12-06,172.99,172.99,167.66,168.35,4798
2021-12-07,170.99,171.25,168.4,170.23,3530
2021-12-08,173.99,173.99,171.0,173.35,1650
2021-12-09,175.99,175.99,172.72,174.47,1322
2021-12-10,176.49,176.49,172.29,173.68,797
2021-12-13,176.99,176.99,171.7,173.12,1018
2021-12-14,174.99,174.99,169.47,172.03,437
2021-12-15,173.99,173.99,170.6,171.12,869
2021-12-16,173.49,173.49,168.5,172.15,7718
2021-12-17,173.99,173.99,168.6,168.79,1565
2021-12-20,171.99,171.99,163.1,165.11,5070
2021-12-21,168.99,168.99,162.9,165.63,1769
2021-12-22,166.1,168.81,165.1,168.69,2387
2021-12-23,171.99,172.75,168.68,172.12,924
2021-12-24,174.99,174.99,167.75,168.8,1989
2021-12-27,170.99,170.99,165.6,169.8,817
2021-12-28,173.4,173.4,170.0,171.61,428
2021-12-29,173.99,173.99,170.33,171.16,11711
2021-12-30,168.16,172.0,168.16,170.29,3868
2021-12-31,171.0,173.07,168.25,172.29,2154
2022-01-03,172.87,175.36,170.8,175.33,2286
2022-01-04,176.98,176.98,174.99,176.46,6912
2022-01-05,178.49,178.49,176.04,178.08,2455
2022-01-06,179.99,180.0,174.25,176.25,4292
2022-01-07,179.5,179.5,175.57,176.7,1772
2022-01-10,179.99,179.99,174.2,178.2,850
2022-01-11,180.85,180.85,177.97,178.64,647
2022-01-12,183.48,183.48,179.02,180.11,2966
2022-01-13,182.98,182.98,180.02,180.68,4349
2022-01-14,182.9,182.9,179.78,180.74,1913
2022-01-17,182.95,182.95,179.02,181.42,1458
2022-01-18,184.8,184.8,179.2,179.66,842
2022-01-19,177.43,181.0,176.5,178.69,1442
2022-01-20,181.18,181.18,175.2,177.59,1940
2022-01-21,179.99,179.99,174.05,174.74,1510
2022-01-24,176.79,176.79,168.15,170.32,4474
2022-01-25,172.0,172.3,168.78,171.21,3197
2022-01-27,173.49,173.49,164.3,169.92,6044
2022-01-28,172.99,172.99,167.2,170.08,1307
2022-01-31,174.98,174.98,171.0,172.07,1089
2022-02-01,176.49,178.48,173.0,177.47,696
2022-02-02,178.7,178.7,173.25,177.09,2921
2022-02-03,179.8,179.8,174.0,174.57,1319
2022-02-04,177.98,177.98,172.65,174.29,1199
2022-02-07,177.66,177.66,170.25,170.52,3454
2022-02-08,175.7,175.7,169.08,172.74,2779
2022-02-09,175.4,175.4,172.5,173.07,978
2022-02-10,171.0,175.6,171.0,174.5,1009
2022-02-11,176.99,176.99,171.0,172.91,1972
2022-02-14,174.49,174.49,167.21,167.8,4376
2022-02-15,171.99,173.17,167.24,172.71,8777
2022-02-16,188.3,194.0,171.48,171.99,15245
2022-02-17,174.5,174.5,171.7,172.54,5869
2022-02-18,175.85,175.85,171.68,172.03,501
2022-02-21,167.8,174.99,167.8,171.51,1083
2022-02-22,175.55,175.55,168.3,170.03,3747
2022-02-23,171.0,173.0,169.5,169.96,1030
2022-02-24,169.99,169.99,161.0,162.39,15099
2022-02-25,164.0,168.9,161.1,166.06,12774
2022-02-28,166.26,167.49,163.45,166.54,1744
2022-03-02,181.5,181.5,164.08,165.4,1579
2022-03-03,168.98,168.98,162.1,164.35,2979
2022-03-04,194.0,194.0,161.0,161.83,5433
2022-03-07,162.99,164.8,157.0,158.95,12711
2022-03-08,160.0,161.8,156.0,159.25,3637
2022-03-09,161.91,164.99,156.8,164.0,1609
2022-03-10,170.0,170.0,163.35,165.38,4519
2022-03-11,169.8,169.8,164.45,165.99,5224
2022-03-14,169.45,169.45,165.42,168.31,3859
2022-03-15,171.72,171.72,164.95,165.12,10110
2022-03-16,171.72,171.72,165.8,169.48,1889
2022-03-17,170.0,173.9,170.0,171.87,4433
2022-03-21,174.98,174.98,170.31,170.33,1586
2022-03-22,171.0,172.8,168.96,171.58,5987
2022-03-23,177.55,177.55,168.2,171.04,604
2022-03-24,170.45,172.13,170.06,171.36,1094
2022-03-25,177.75,177.75,169.5,170.56,1035
2022-03-28,166.7,174.49,166.7,171.45,682
2022-03-29,171.0,173.0,169.3,171.78,5944
2022-03-30,168.1,174.23,168.1,173.29,1872
2022-03-31,174.0,176.95,171.15,173.24,2200
2022-04-01,175.99,176.0,171.0,175.27,919
2022-04-04,172.51,179.57,172.51,178.64,5559
2022-04-05,177.01,180.0,177.01,178.59,1960
2022-04-06,178.59,178.59,177.31,177.78,1133
2022-04-07,175.03,177.98,175.01,176.42,1902
2022-04-08,176.3,177.65,175.5,177.65,690
2022-04-11,175.04,179.15,175.04,176.37,1215
2022-04-12,176.3,176.3,173.3,174.3,1259
2022-04-13,179.1,179.1,173.0,174.4,659
2022-04-18,168.44,174.0,168.44,171.41,8419
2022-04-19,176.75,176.75,167.58,169.18,3429
2022-04-20,165.01,171.39,165.01,169.86,2626
2022-04-21,170.0,173.35,170.0,173.34,1005
2022-04-22,173.0,174.8,170.0,171.31,1530
2022-04-25,186.7,186.7,168.34,169.42,2516
2022-04-26,184.7,184.7,169.0,171.78,1049
2022-04-27,166.45,171.95,166.45,170.25,307
2022-04-28,194.0,194.0,167.95,170.88,2859
2022-04-29,177.7,177.99,169.51,170.66,1458
2022-05-02,173.49,173.49,168.52,170.32,857
2022-05-04,172.0,172.0,165.58,166.7,3716
2022-05-05,170.05,176.0,165.15,166.05,6391
2022-05-06,168.98,168.98,162.5,163.86,4213
2022-05-09,178.6,178.6,160.55,162.65,3532
2022-05-10,162.8,164.5,161.29,161.87,2759
2022-05-11,176.4,176.4,159.0,161.51,5414
2022-05-12,160.95,162.98,156.68,157.9,6318
2022-05-13,172.1,172.1,157.29,157.87,3101
2022-05-16,158.0,159.8,157.02,157.93,1234
2022-05-17,160.0,162.68,158.37,162.57,3995
2022-05-18,162.5,163.9,159.55,161.51,2011
2022-05-19,159.0,160.98,157.55,157.82,4184
2022-05-20,161.7,162.21,158.02,162.0,945
2022-05-23,165.98,165.98,161.11,162.09,1140
2022-05-24,165.24,165.24,159.94,160.75,1434
2022-05-25,162.8,162.8,159.55,160.32,333
2022-05-26,161.0,162.0,159.01,161.85,693
2022-05-27,162.5,163.32,161.46,162.4,270
2022-05-30,164.8,166.96,162.6,166.4,2169
2022-05-31,167.0,167.7,164.95,165.91,4007
2022-06-01,166.5,166.66,164.37,165.39,1088
2022-06-02,165.3,166.96,164.34,166.17,520
2022-06-03,167.5,168.28,165.17,165.68,3383
2022-06-06,168.45,168.45,164.14,166.26,1170
2022-06-07,166.3,166.3,163.0,163.59,781
2022-06-08,164.0,165.42,162.49,163.92,1304
2022-06-09,178.7,178.7,163.5,164.2,235
2022-06-10,163.2,163.35,162.0,162.74,576
2022-06-13,160.0,160.0,157.05,157.85,2424
2022-06-14,157.9,158.54,157.01,157.55,3670
2022-06-15,171.7,171.7,157.0,157.36,774
2022-06-16,158.0,158.79,152.9,154.04,2969
2022-06-17,154.04,154.98,150.46,152.09,15076
2022-06-20,153.0,154.09,150.6,153.64,659
2022-06-21,154.0,157.4,154.0,156.9,679
2022-06-22,156.9,157.4,153.9,154.78,1862
2022-06-23,168.7,168.7,153.0,156.31,854
2022-06-24,155.95,158.0,154.3,157.64,430
2022-06-27,158.3,160.45,157.05,158.87,721
2022-06-28,158.45,159.1,156.95,158.54,239
2022-06-29,157.5,159.0,153.95,158.12,223
2022-06-30,159.0,160.0,157.37,159.22,248
2022-07-01,172.99,172.99,155.71,157.62,1826
2022-07-04,158.6,158.98,156.67,157.92,2940
2022-07-05,158.0,160.69,157.72,158.28,1001
2022-07-06,162.48,162.48,158.0,160.23,658
2022-07-07,162.4,162.4,160.66,161.36,1205
2022-07-08,174.99,174.99,158.02,162.16,1223
2022-07-11,174.99,174.99,155.01,162.48,1839
2022-07-12,162.0,162.14,160.81,161.0,2655
2022-07-13,161.0,161.94,159.51,160.34,373
2022-07-14,160.55,161.2,159.05,159.94,5035
2022-07-15,174.3,174.3,159.0,160.8,2345
2022-07-18,161.5,163.48,159.45,163.47,1116
2022-07-19,164.0,164.84,162.55,163.34,499
2022-07-20,164.37,166.98,164.37,165.6,3667
2022-07-21,165.3,166.45,164.95,166.01,5464
2022-07-22,167.0,169.98,165.02,167.55,1330
2022-07-25,167.55,167.55,165.88,166.75,937
2022-07-26,167.5,167.5,164.8,165.21,1284
2022-07-27,165.95,166.99,164.8,166.63,943
2022-07-28,166.25,169.5,166.25,169.15,6967
2022-07-29,173.98,173.98,170.0,171.94,1613
2022-08-01,173.0,174.0,169.85,173.48,7191
2022-08-02,173.0,173.95,172.21,173.5,5040
2022-08-03,173.95,174.98,172.49,174.67,1461
2022-08-04,175.99,175.99,171.95,173.88,5769
2022-08-05,174.0,175.5,173.89,173.92,1417
2022-08-08,174.5,175.99,174.0,175.59,1514
2022-08-10,175.99,177.0,174.32,175.5,520
2022-08-11,184.99,184.99,173.01,176.81,6433
2022-08-12,184.99,184.99,175.12,177.19,653
2022-08-16,179.0,179.22,177.12,178.97,1579
2022-08-17,184.99,184.99,178.0,179.9,2773
2022-08-18,180.0,180.95,178.87,180.1,2160
2022-08-19,181.5,181.5,177.59,177.74,1391
2022-08-22,177.74,177.74,175.2,176.03,1853
2022-08-23,179.98,179.98,174.48,176.77,861
2022-08-24,184.99,184.99,174.8,177.18,2519
2022-08-25,179.8,179.8,174.89,176.07,746
2022-08-26,179.88,179.88,176.13,176.44,780
2022-08-29,175.5,175.5,169.21,173.97,731
2022-08-30,173.6,178.4,170.01,178.08,2044
2022-09-01,177.0,179.98,172.8,176.18,1140
2022-09-02,176.6,177.95,175.5,176.29,681
2022-09-05,179.0,179.0,176.6,177.18,1839
2022-09-06,178.99,178.99,176.32,177.02,1247
2022-09-07,177.03,177.72,176.11,177.4,1492
2022-09-08,178.0,179.0,177.51,178.85,1896
2022-09-09,176.12,179.97,176.12,178.64,1544
2022-09-12,181.19,181.2,177.16,180.57,4278
2022-09-13,180.99,181.59,180.8,181.11,1259
2022-09-14,179.99,181.49,179.17,180.61,2404
2022-09-15,182.99,182.99,179.03,179.2,1363
2022-09-16,176.2,179.49,175.31,176.23,2269
2022-09-19,179.79,179.79,175.51,176.4,1050
2022-09-20,176.25,179.95,176.25,179.22,3345
2022-09-21,180.89,180.89,177.46,177.62,854
2022-09-22,178.59,178.88,176.0,177.71,1337
2022-09-23,177.45,179.9,173.81,174.86,1506
2022-09-26,174.8,174.8,171.01,171.53,2774
2022-09-27,173.01,173.01,170.8,171.61,2649
2022-09-28,171.29,176.77,168.3,168.95,2100
2022-09-29,171.97,171.97,168.0,168.38,609
2022-09-30,168.0,173.0,167.95,172.11,3427
2022-10-03,172.11,172.11,169.3,170.21,2289
2022-10-04,170.31,172.99,170.31,172.85,861
2022-10-06,173.0,178.91,173.0,177.28,1673
2022-10-07,178.69,178.69,171.03,174.01,1571
2022-10-10,174.47,174.47,170.69,173.86,781
2022-10-11,173.45,173.45,169.93,170.5,605
2022-10-12,173.85,173.85,169.86,172.56,653
2022-10-13,171.95,172.25,169.81,171.17,377
2022-10-14,172.0,174.14,171.3,172.46,2140
2022-10-17,173.15,174.46,171.05,172.88,2030
2022-10-18,173.94,175.99,173.94,175.2,2224
2022-10-19,178.39,178.39,175.1,175.1,295
2022-10-20,175.1,177.26,174.97,176.11,1602
2022-10-21,177.19,177.19,174.13,176.22,783
2022-10-24,178.0,178.0,174.3,176.88,1564
2022-10-25,176.45,179.78,176.45,176.79,3122
2022-10-27,177.0,178.99,177.0,177.79,828
2022-10-28,177.75,180.3,177.46,178.82,1743
2022-10-31,179.0,180.99,178.01,180.53,1233
2022-11-01,182.4,182.99,179.25,182.26,2066
2022-11-02,184.9,184.9,180.8,181.63,298
2022-11-03,182.0,182.0,177.0,180.84,1539
2022-11-04,180.6,182.85,177.35,182.47,5376
2022-11-07,184.8,184.8,181.82,183.0,2405
2022-11-09,183.1,184.04,182.01,182.9,3229
2022-11-10,182.46,182.46,180.35,180.64,982
2022-11-11,182.28,185.3,181.0,184.47,2364
2022-11-14,182.39,184.99,182.39,183.57,1148
2022-11-15,183.81,184.81,183.81,184.54,990
2022-11-16,184.6,184.8,184.22,184.29,289
2022-11-17,184.29,185.0,183.43,184.9,902
2022-11-18,183.02,184.9,182.64,183.82,550
2022-11-21,178.31,183.8,178.31,181.93,3239
2022-11-22,181.92,183.1,181.91,182.62,6915
