Datetime,Open,High,Low,Close,Volume
2026-08-17,138.5,139.3,138.5,139.0,51
2026-08-18,152.0,152.0,135.0,145.0,471
2026-08-19,144.0,147.0,143.39,144.9,341
2026-08-20,144.0,144.0,144.0,144.0,1
2026-08-21,144.0,144.0,141.0,141.0,51
2026-08-24,141.0,160.0,136.77,153.07,564
2026-08-25,151.99,151.99,149.2,149.2,6
2026-08-26,145.0,147.0,141.0,146.91,531
2026-08-27,146.18,147.0,146.18,147.0,47
2026-08-28,147.0,147.0,147.0,147.0,10
2026-08-31,147.73,147.73,135.1,135.1,248
2026-09-01,135.25,138.0,135.25,138.0,21
