Datetime,Open,High,Low,Close,Volume
2011-06-01,58.5,58.98,57.8,58.27,1531
2011-06-02,58.0,58.2,57.6,57.74,1476
2011-06-03,57.72,58.2,57.41,57.54,1321
2011-06-06,57.8,57.87,57.22,57.71,493
2011-06-07,57.41,58.58,57.2,58.01,922
2011-06-08,58.0,59.1,57.98,58.8,2095
2011-06-09,58.8,60.58,58.78,59.32,7368
2011-06-10,59.2,60.2,59.0,59.3,2394
2011-06-13,58.67,59.4,58.6,59.09,3320
2011-06-14,57.66,57.86,56.41,57.27,3867
2011-06-15,57.4,58.57,57.11,58.19,2994
2011-06-16,57.6,58.4,57.54,57.86,2642
2011-06-17,57.25,58.3,56.81,57.07,728
2011-06-20,57.22,57.63,53.81,56.48,3083
2011-06-21,55.01,57.39,55.01,57.02,1837
2011-06-22,56.6,57.0,56.4,56.71,2815
2011-06-23,57.52,57.52,54.3,54.7,1702
2011-06-24,54.6,56.25,54.6,56.01,2022
2011-06-27,55.22,58.29,55.22,56.58,5629
2011-06-28,56.9,58.89,56.83,57.17,10004
2011-06-29,57.54,58.38,57.22,57.93,3096
2011-06-30,57.8,58.2,57.0,57.64,1369
2011-07-01,57.02,58.38,57.02,58.01,1971
2011-07-04,58.4,58.5,57.6,58.44,1160
2011-07-05,59.0,59.9,58.02,59.64,4753
2011-07-06,59.8,61.79,59.8,60.91,10574
2011-07-07,61.6,61.98,59.75,59.92,3523
2011-07-08,60.0,60.8,59.2,59.31,2046
2011-07-11,59.8,60.6,59.2,59.39,1340
2011-07-12,58.13,60.05,58.13,59.76,2377
2011-07-13,60.0,61.4,59.61,60.94,4844
2011-07-14,60.8,63.12,60.21,62.87,10041
2011-07-15,63.05,64.0,62.4,62.6,3238
2011-07-18,62.4,64.4,62.4,64.15,5016
2011-07-19,64.4,66.14,64.21,65.69,8681
2011-07-20,65.4,66.88,65.01,65.2,4598
2011-07-21,65.78,65.8,64.23,64.59,2674
2011-07-22,65.0,66.39,64.44,66.08,8958
2011-07-25,68.0,76.58,68.0,73.84,151084
2011-07-26,73.99,74.98,70.99,71.5,27210
2011-07-27,71.8,75.18,70.32,73.05,28399
2011-07-28,72.06,73.56,71.8,72.19,5974
2011-07-29,72.6,73.0,70.4,70.78,4966
2011-08-01,71.22,72.4,69.81,70.33,4300
2011-08-02,70.0,70.0,67.81,69.0,4540
2011-08-03,68.0,69.57,67.46,68.91,4042
2011-08-04,69.6,70.72,68.0,68.24,2658
2011-08-05,67.0,67.0,63.19,65.76,5506
2011-08-08,63.0,65.8,60.93,65.14,9430
2011-08-09,64.0,65.6,62.6,65.36,5236
2011-08-10,65.89,67.6,65.01,65.82,3563
2011-08-11,65.79,66.0,64.4,65.17,2322
2011-08-12,66.8,66.8,64.68,65.12,1762
2011-08-16,65.99,68.4,64.6,64.9,3336
2011-08-17,64.0,66.8,64.0,64.5,3076
2011-08-18,65.03,65.5,63.72,63.87,2521
2011-08-19,62.59,63.4,62.4,63.02,4265
2011-08-22,64.0,66.8,62.2,66.46,4095
2011-08-23,65.0,67.8,65.0,67.15,4243
2011-08-24,67.6,68.79,66.0,67.32,2618
2011-08-25,68.0,68.0,65.81,66.33,1614
2011-08-26,65.61,66.6,63.8,64.42,2946
2011-08-29,65.98,66.16,65.0,65.49,1231
2011-08-30,66.4,66.45,65.6,66.01,1546
2011-09-02,66.2,67.1,65.4,66.1,2189
2011-09-05,65.0,66.99,65.0,65.6,1997
2011-09-06,64.29,68.0,64.29,67.73,2761
2011-09-07,68.0,71.69,67.98,69.82,8915
2011-09-08,71.48,71.48,69.66,70.45,1936
2011-09-09,70.43,74.4,70.04,73.97,17239
2011-09-12,72.2,77.38,72.2,73.91,16714
2011-09-13,74.8,75.55,72.4,72.74,4735
2011-09-14,73.0,73.6,72.51,72.69,1985
2011-09-15,72.1,73.4,71.82,72.24,1832
2011-09-16,72.4,73.97,71.8,72.17,2413
2011-09-19,72.0,73.96,71.42,72.94,2431
2011-09-20,71.34,74.93,71.34,74.54,3514
2011-09-21,74.61,76.6,74.61,74.82,5556
2011-09-22,73.4,74.5,71.0,72.06,3381
2011-09-23,71.2,71.69,69.6,71.07,2981
2011-09-26,70.41,71.88,70.02,70.82,2379
2011-09-27,71.6,72.8,71.26,71.7,1986
2011-09-28,72.0,72.44,71.02,71.13,429
2011-09-29,70.2,70.79,69.65,70.43,685
2011-09-30,71.18,71.2,69.11,69.64,798
2011-10-03,69.4,72.32,67.4,70.02,2355
2011-10-04,70.0,70.98,69.83,70.08,785
2011-10-05,70.2,70.8,69.8,69.97,1155
2011-10-07,70.22,71.38,69.6,69.84,1428
2011-10-10,72.94,72.94,70.0,71.67,3103
2011-10-11,72.4,75.38,72.19,74.99,5564
2011-10-12,75.96,76.95,74.93,75.46,2270
2011-10-13,76.0,76.6,75.02,75.72,3150
2011-10-14,75.91,77.6,75.2,76.95,4526
2011-10-17,78.0,80.8,77.6,79.61,9683
2011-10-18,81.02,81.02,78.02,80.0,5339
2011-10-19,80.8,81.9,73.2,74.44,14410
2011-10-20,76.8,83.95,76.8,79.9,86663
2011-10-21,80.0,81.8,77.8,78.24,15406
2011-10-24,79.23,80.8,78.27,78.97,3660
2011-10-25,79.2,79.2,77.0,77.36,4950
2011-10-26,77.36,78.6,77.36,77.59,2698
2011-10-28,78.2,79.3,77.4,78.24,5230
