Datetime,Open,High,Low,Close,Volume
2023-09-01,451.1,453.92,450.55,453.92,139
2023-09-04,456.31,458.13,453.89,457.8,3188
2023-09-05,458.02,459.32,456.21,457.41,15616
2023-09-06,458.01,461.0,458.01,459.98,216
2023-09-07,460.2,463.4,460.2,463.39,5979
2023-09-08,464.17,467.25,464.17,467.16,24042
2023-09-11,469.52,471.89,468.0,470.73,487
2023-09-12,471.55,471.78,459.07,459.71,9800
2023-09-13,460.45,462.49,455.79,462.23,1874
2023-09-14,463.89,465.24,463.48,464.54,408
2023-09-15,465.48,466.65,464.74,465.25,2566
2023-09-18,468.18,468.18,464.81,465.25,3346
2023-09-20,465.07,465.07,461.77,462.28,256
2023-09-21,462.16,462.16,456.06,458.12,883
2023-09-22,458.0,459.13,455.05,457.41,71210
2023-09-25,456.63,457.28,453.2,456.64,4189
2023-09-26,456.94,457.99,456.21,456.59,940
2023-09-27,456.88,457.99,454.86,456.94,401
2023-09-28,457.47,458.11,449.23,450.47,112992
2023-09-29,452.72,456.99,451.51,456.26,620
2023-10-03,455.66,456.95,454.65,456.95,756
2023-10-04,452.98,454.01,448.01,449.82,800
2023-10-05,458.82,458.82,450.94,451.15,554
2023-10-06,452.64,455.5,452.64,455.24,1067
2023-10-09,450.0,451.64,447.81,449.54,1029
2023-10-10,450.82,455.83,450.81,455.68,4303
2023-10-11,456.24,458.9,456.23,457.68,554
2023-10-12,457.92,459.95,457.58,457.64,1146
2023-10-13,457.62,458.99,457.47,458.36,7346
2023-10-16,456.74,460.08,456.74,460.05,2735
2023-10-17,460.59,461.9,460.05,460.09,4100
2023-10-18,460.6,461.0,455.41,455.41,9444
2023-10-19,455.0,455.5,452.0,455.12,496
2023-10-20,454.3,454.58,450.03,450.8,1270
2023-10-23,450.3,450.36,441.37,441.93,7688
2023-10-25,443.93,444.83,436.38,439.56,3477
2023-10-26,435.0,436.11,431.0,435.79,1663
2023-10-27,439.43,444.41,439.43,443.88,1152
2023-10-30,441.59,444.88,439.54,444.62,1036
2023-10-31,445.82,446.62,443.58,446.01,477
2023-11-01,446.01,447.45,442.07,442.53,675
2023-11-02,445.17,450.35,445.17,449.99,2743
2023-11-03,452.7,454.59,452.46,453.95,465
2023-11-06,455.5,457.78,455.5,457.71,406
2023-11-07,457.99,462.02,457.71,461.46,1285
2023-11-08,462.1,465.12,462.1,465.0,632
2023-11-09,466.0,466.0,462.43,462.8,332
2023-11-10,460.63,463.5,459.5,461.85,2849
2023-11-12,466.0,466.83,464.25,465.75,666
2023-11-13,463.31,465.45,462.51,464.72,2687
2023-11-15,466.66,470.91,466.66,470.66,5115
2023-11-16,468.75,472.11,468.75,472.0,2318
2023-11-17,472.74,474.74,471.91,473.71,609
2023-11-20,474.04,475.39,471.51,473.63,1092
2023-11-21,473.82,474.05,472.07,472.26,1317
2023-11-22,472.32,474.22,469.08,470.86,2735
2023-11-23,472.32,472.32,470.86,471.82,2732
2023-11-24,472.82,474.52,470.95,471.01,1990
2023-11-28,472.67,478.03,472.67,478.02,1686
2023-11-29,480.01,481.44,479.65,480.9,12867
2023-11-30,481.39,485.94,480.06,485.74,1923
2023-12-01,488.42,491.0,487.36,489.59,975
2023-12-04,498.98,500.27,497.25,499.93,57914
2023-12-05,502.07,504.9,500.77,504.88,14744
2023-12-06,508.5,512.5,508.49,511.99,26612
2023-12-07,513.16,517.0,512.78,516.2,136955
2023-12-08,518.83,518.83,506.21,511.83,496
2023-12-11,514.83,518.11,514.3,517.38,26361
2023-12-12,518.47,519.14,511.86,515.22,10400
2023-12-13,515.22,519.14,513.08,519.12,6882
2023-12-14,523.57,525.33,521.88,525.19,35646
2023-12-15,527.21,528.86,525.09,527.14,24368
2023-12-18,527.14,530.32,527.02,529.95,622
2023-12-19,531.62,531.62,525.95,529.53,10980
2023-12-20,534.25,534.99,512.44,514.52,9005
2023-12-21,510.7,522.86,508.92,522.19,4577
2023-12-22,537.85,537.85,522.73,526.18,5235
2023-12-26,529.28,531.49,527.6,531.41,4765
2023-12-27,533.97,535.43,531.0,533.99,1182
2023-12-28,536.16,536.16,534.13,535.94,20360
2023-12-29,535.66,541.04,535.66,540.88,24888
2024-01-01,542.71,543.16,540.37,540.91,8828
2024-01-02,542.56,542.56,533.38,539.98,4953
2024-01-03,540.43,545.65,539.65,544.01,7073
2024-01-04,546.43,551.49,545.6,550.59,5334
2024-01-05,553.42,553.98,545.23,550.3,14054
2024-01-08,550.83,550.83,543.0,544.79,1708
2024-01-09,547.05,549.99,545.14,547.26,680
2024-01-10,546.4,548.35,541.87,548.01,10090
2024-01-11,550.38,553.43,550.03,553.42,11626
2024-01-12,553.14,555.4,552.51,554.84,4584
2024-01-15,557.31,557.31,553.09,556.68,3011
2024-01-16,556.3,557.7,552.67,555.86,3317
2024-01-17,553.8,555.16,548.5,549.07,3116
2024-01-18,546.0,547.68,535.86,544.83,1698
2024-01-19,549.1,554.71,548.79,554.62,1235
2024-01-20,555.35,555.35,552.71,554.25,253
2024-01-23,556.32,557.72,537.85,540.45,1397
2024-01-24,539.85,549.79,536.0,549.51,5265
2024-01-25,549.49,551.57,545.08,550.59,1093
2024-01-29,553.01,557.0,551.6,556.11,799
2024-01-30,560.1,561.99,555.01,555.37,9316
2024-01-31,555.38,560.88,555.25,560.67,4834
2024-02-01,562.03,565.84,559.2,562.5,1732
2024-02-02,566.03,569.25,565.0,566.45,2734
2024-02-05,570.31,572.8,561.65,562.8,5309
2024-02-06,565.0,572.46,562.8,571.4,600
2024-02-07,574.98,581.99,572.11,580.71,2564
2024-02-08,584.62,586.6,581.0,584.97,745
2024-02-09,595.1,595.1,570.71,582.1,2033
2024-02-12,583.26,584.78,567.16,569.61,7054
2024-02-13,569.61,576.89,565.0,576.88,12942
2024-02-14,572.0,586.12,569.31,585.06,887
2024-02-15,588.53,590.24,586.53,589.68,3101
2024-02-16,592.27,594.6,591.32,593.67,859
2024-02-19,594.05,597.05,593.54,594.83,538
2024-02-20,593.01,595.77,591.52,595.26,5064
2024-02-21,596.53,597.99,589.01,592.96,3677
2024-02-22,593.39,597.85,587.29,597.59,1311
2024-02-23,598.42,600.34,596.59,599.41,4772
2024-02-26,599.39,602.08,598.01,600.41,6209
2024-02-27,601.85,603.99,597.45,600.46,3583
2024-02-28,600.0,601.75,590.14,591.94,1241
2024-02-29,591.83,600.85,587.3,600.09,5991
2024-03-01,602.22,604.27,599.8,603.97,2699
2024-03-02,606.15,606.9,604.41,606.32,182
2024-03-04,605.48,608.8,602.3,608.04,1293
2024-03-05,607.99,610.25,606.2,608.14,61673
2024-03-06,605.5,607.12,596.08,607.02,11616
2024-03-07,609.61,612.99,609.06,611.49,1373
2024-03-11,609.83,617.68,609.82,611.21,18628
2024-03-12,611.21,611.78,600.02,602.08,10166
2024-03-13,602.08,604.17,575.0,579.23,11242
2024-03-14,577.34,594.78,572.68,594.18,6815
2024-03-15,590.83,594.26,580.0,589.16,1878
2024-03-18,588.85,593.96,585.87,592.47,14864
2024-03-19,592.47,592.47,580.21,582.23,6079
2024-03-20,584.64,584.65,575.71,584.07,5849
2024-03-21,593.43,598.16,591.55,597.78,7803
2024-03-22,624.69,624.69,594.05,600.39,5437
2024-03-26,599.13,607.19,599.13,606.04,1396
2024-03-27,607.77,611.76,606.5,608.41,1832
2024-03-28,609.28,617.05,608.85,615.01,1386
2024-04-01,620.3,626.5,620.3,625.18,3820
2024-04-02,627.07,631.68,625.13,631.37,7605
2024-04-03,629.37,633.76,627.72,632.99,12416
2024-04-04,638.12,638.45,629.09,630.82,4151
2024-04-05,630.73,636.39,629.41,634.53,2133
2024-04-08,638.55,640.9,636.68,638.06,1276
2024-04-09,641.05,641.06,634.7,636.98,5935
2024-04-10,640.4,642.99,640.0,641.32,1265
2024-04-12,660.55,660.55,639.0,639.82,3112
