Datetime,Open,High,Low,Close,Volume
2011-06-01,0.6,0.6,0.55,0.6,58080
2011-06-02,0.55,0.6,0.55,0.55,36823
2011-06-03,0.55,0.6,0.55,0.6,13124
2011-06-06,0.55,0.55,0.55,0.55,9510
2011-06-07,0.6,0.6,0.55,0.6,4045
2011-06-08,0.6,0.6,0.55,0.6,61370
2011-06-09,0.6,0.6,0.55,0.55,11937
2011-06-10,0.6,0.6,0.55,0.55,12156
2011-06-13,0.55,0.6,0.55,0.55,5050
2011-06-14,0.6,0.6,0.55,0.55,3807
2011-06-15,0.6,0.6,0.55,0.6,41716
2011-06-16,0.6,0.6,0.55,0.6,20323
2011-06-17,0.6,0.65,0.55,0.6,31645
2011-06-20,0.55,0.6,0.55,0.55,73611
2011-06-21,0.55,0.6,0.55,0.55,16796
2011-06-22,0.55,0.6,0.55,0.55,17929
2011-06-23,0.55,0.6,0.55,0.6,18391
2011-06-24,0.55,0.6,0.55,0.55,17727
2011-06-27,0.6,0.6,0.55,0.55,109816
2011-06-28,0.6,0.6,0.55,0.55,7419
2011-06-29,0.55,0.6,0.55,0.6,31783
2011-06-30,0.55,0.6,0.55,0.6,24098
2011-07-01,0.6,0.6,0.55,0.55,87007
2011-07-04,0.55,0.55,0.55,0.55,4660
2011-07-05,0.6,0.6,0.55,0.6,22413
2011-07-06,0.55,0.6,0.55,0.6,12601
2011-07-07,0.55,0.6,0.55,0.55,53490
2011-07-08,0.55,0.6,0.55,0.55,18035
2011-07-11,0.55,0.55,0.55,0.55,12012
2011-07-12,0.6,0.6,0.55,0.6,25101
2011-07-13,0.6,0.6,0.55,0.55,1968
2011-07-14,0.55,0.6,0.55,0.6,5761
2011-07-15,0.55,0.6,0.55,0.55,8721
2011-07-18,0.55,0.6,0.55,0.55,126228
2011-07-19,0.55,0.6,0.55,0.55,17517
2011-07-20,0.55,0.55,0.55,0.55,5160
2011-07-21,0.55,0.65,0.55,0.6,136615
2011-07-22,0.6,0.6,0.55,0.55,9300
2011-07-25,0.55,0.6,0.55,0.55,10932
2011-07-26,0.55,0.6,0.55,0.55,26485
2011-07-27,0.6,0.6,0.55,0.6,21257
2011-07-28,0.6,0.6,0.55,0.55,1446
2011-07-29,0.5,0.6,0.5,0.55,16108
2011-08-01,0.55,0.6,0.5,0.5,64306
2011-08-02,0.55,0.55,0.5,0.55,18495
2011-08-03,0.55,0.55,0.45,0.5,93111
2011-08-04,0.45,0.55,0.45,0.55,11072
2011-08-05,0.45,0.55,0.45,0.5,22747
2011-08-08,0.55,0.55,0.45,0.45,12840
2011-08-09,0.45,0.5,0.45,0.5,28478
2011-08-10,0.45,0.55,0.45,0.5,26055
2011-08-11,0.5,0.55,0.5,0.5,7837
2011-08-12,0.5,0.55,0.5,0.5,32154
2011-08-16,0.5,0.55,0.5,0.5,12819
2011-08-17,0.5,0.55,0.45,0.55,133364
2011-08-18,0.55,0.55,0.5,0.5,27721
2011-08-19,0.5,0.55,0.4,0.4,22875
2011-08-22,0.5,0.5,0.4,0.45,23176
2011-08-23,0.4,0.55,0.4,0.55,163597
2011-08-24,0.5,0.55,0.5,0.5,32697
2011-08-25,0.5,0.55,0.5,0.5,38547
2011-08-26,0.5,0.55,0.45,0.45,125410
2011-08-29,0.45,0.5,0.45,0.45,6363
2011-08-30,0.45,0.5,0.45,0.45,12197
2011-09-02,0.5,0.5,0.45,0.45,170
2011-09-05,0.45,0.5,0.45,0.5,33268
2011-09-06,0.45,0.55,0.45,0.55,120039
2011-09-07,0.5,0.55,0.5,0.55,64947
2011-09-08,0.5,0.55,0.5,0.5,90690
2011-09-09,0.55,0.55,0.5,0.5,71882
2011-09-12,0.5,0.55,0.45,0.45,11551
2011-09-13,0.45,0.55,0.45,0.55,35317
2011-09-14,0.45,0.5,0.45,0.5,91132
2011-09-15,0.5,0.55,0.45,0.5,28595
2011-09-16,0.45,0.55,0.45,0.5,26829
2011-09-19,0.55,0.55,0.45,0.45,23792
2011-09-20,0.55,0.55,0.5,0.5,50879
2011-09-21,0.5,0.55,0.5,0.55,13081
2011-09-22,0.5,0.55,0.45,0.45,42798
2011-09-23,0.45,0.5,0.45,0.5,5422
2011-09-26,0.45,0.5,0.45,0.45,17364
2011-09-27,0.45,0.5,0.45,0.5,479
2011-09-28,0.5,0.5,0.45,0.45,15920
2011-09-29,0.45,0.5,0.45,0.5,22829
2011-09-30,0.5,0.5,0.45,0.45,21240
2011-10-03,0.45,0.5,0.45,0.45,13061
2011-10-04,0.45,0.5,0.45,0.45,86925
2011-10-05,0.45,0.5,0.45,0.5,14179
2011-10-07,0.45,0.5,0.45,0.45,2525
2011-10-10,0.45,0.5,0.45,0.45,6298
2011-10-11,0.45,0.45,0.45,0.45,14539
2011-10-12,0.45,0.5,0.45,0.5,5473
2011-10-13,0.5,0.5,0.45,0.45,5694
2011-10-14,0.45,0.5,0.45,0.45,258
2011-10-17,0.45,0.5,0.45,0.45,11575
2011-10-18,0.45,0.5,0.45,0.45,5638
2011-10-19,0.5,0.5,0.45,0.45,12905
2011-10-20,0.45,0.5,0.45,0.5,9205
2011-10-21,0.45,0.5,0.45,0.45,30558
2011-10-24,0.45,0.5,0.45,0.45,17642
2011-10-25,0.45,0.5,0.45,0.45,21765
2011-10-26,0.5,0.5,0.45,0.5,14927
2011-10-28,0.45,0.5,0.45,0.5,4927
2011-10-31,0.5,0.5,0.45,0.45,74091
2011-11-01,0.45,0.5,0.45,0.45,16083
2011-11-02,0.45,0.5,0.45,0.45,12175
2011-11-03,0.45,0.5,0.45,0.45,3610
2011-11-04,0.5,0.5,0.45,0.45,4800
2011-11-08,0.5,0.5,0.45,0.45,3392
2011-11-09,0.45,0.5,0.45,0.45,16113
2011-11-11,0.45,0.5,0.45,0.5,29102
