Datetime,Open,High,Low,Close,Volume
2026-08-17,108.03,120.05,108.03,119.65,1206
2026-08-18,120.99,123.0,116.0,122.0,1881
2026-08-19,122.45,122.45,119.5,120.24,526
2026-08-20,120.8,130.0,120.0,122.09,4373
2026-08-21,128.75,129.5,123.8,127.8,190
2026-08-24,115.1,125.0,115.1,123.82,667
2026-08-25,130.0,130.0,122.0,129.8,289
2026-08-26,129.7,129.7,119.2,123.71,1088
2026-08-27,123.41,123.41,123.4,123.41,1460
2026-08-28,124.02,130.0,124.0,128.4,1555
2026-08-31,129.04,138.0,129.0,132.0,3620
2026-09-01,130.0,143.9,130.0,140.78,22887
2026-09-02,143.0,144.9,134.01,137.23,9197
