Datetime,Open,High,Low,Close,Volume
2021-06-04,112.5,113.93,111.55,112.2,1749980
2021-06-07,113.0,122.5,112.25,121.25,13385442
2021-06-08,122.25,123.15,116.4,119.75,5025322
2021-06-09,119.75,120.7,113.25,115.6,3160088
2021-06-10,116.35,119.95,116.0,116.65,3511004
2021-06-11,117.43,117.7,115.25,116.05,2044002
2021-06-14,116.25,116.5,111.28,115.25,2138098
2021-06-15,115.5,120.0,115.5,117.43,2952090
2021-06-16,117.63,118.63,114.55,115.3,1277170
2021-06-17,114.5,117.23,113.05,113.8,1905804
2021-06-18,115.03,116.1,108.6,110.83,2567676
2021-06-21,108.5,113.5,108.5,112.08,2343844
2021-06-22,113.5,117.18,113.5,113.93,3238370
2021-06-23,114.8,115.05,111.33,111.63,1299074
2021-06-24,112.35,114.83,111.85,114.03,1964092
2021-06-25,113.68,114.53,112.13,112.95,1600016
2021-06-28,111.65,113.98,111.65,112.83,1272666
2021-06-29,113.75,114.95,113.05,113.98,1041990
2021-06-30,114.43,117.25,113.65,114.05,2201038
2021-07-01,114.73,114.88,112.28,113.35,1133582
2021-07-02,113.93,118.8,113.18,118.03,5205082
2021-07-05,118.98,119.5,116.3,116.8,1903862
2021-07-06,117.5,120.7,115.8,116.7,3204688
2021-07-07,117.0,122.68,115.6,119.55,9234158
2021-07-08,120.25,123.7,118.53,120.15,5362494
2021-07-09,120.5,120.5,117.88,118.83,1739522
2021-07-12,119.9,121.25,118.6,119.8,1578186
2021-07-13,120.5,125.25,120.08,121.7,9582504
2021-07-14,122.5,123.53,120.35,120.83,2231646
2021-07-15,121.28,122.3,119.0,121.3,2017178
2021-07-16,121.0,121.58,118.25,118.98,2179764
2021-07-19,118.0,120.0,117.6,118.35,1475896
2021-07-20,119.0,119.33,115.0,115.23,1525652
2021-07-22,116.13,119.78,116.0,118.28,1666452
2021-07-23,119.13,119.25,116.25,116.53,1063396
2021-07-26,117.28,129.35,116.95,123.0,23443516
2021-07-27,124.65,129.75,123.0,124.43,10338242
2021-07-28,125.63,137.5,124.5,134.53,28316584
2021-07-29,135.45,135.7,130.13,131.35,5579172
2021-07-30,132.03,138.43,131.75,135.75,8674384
2021-08-02,137.0,138.5,134.32,137.4,3855422
2021-08-03,137.68,137.93,133.53,135.03,2911346
2021-08-04,135.13,135.98,128.7,130.35,3344872
2021-08-05,131.0,131.03,126.55,127.35,2754516
2021-08-06,127.65,131.23,127.0,128.13,3613680
2021-08-09,128.95,129.43,125.75,128.25,1736268
2021-08-10,128.3,128.78,120.5,121.98,2550766
2021-08-11,122.53,124.45,116.53,120.45,2858334
2021-08-12,120.95,127.35,120.95,126.53,3975436
2021-08-13,126.68,127.28,123.6,124.2,1438728
2021-08-16,124.5,124.63,121.35,121.98,1317234
2021-08-17,121.98,122.5,120.0,121.0,1648506
2021-08-18,121.75,121.8,117.9,118.98,1701680
2021-08-20,116.6,118.05,114.6,115.78,1567984
2021-08-23,116.98,117.5,108.53,109.53,1813558
2021-08-24,110.5,121.0,110.23,119.53,4058530
2021-08-25,120.45,121.35,117.0,118.58,2826282
2021-08-26,118.25,122.98,117.33,121.03,2576856
2021-08-27,121.1,122.3,118.23,119.83,2234964
2021-08-30,120.18,124.55,120.0,123.0,2672192
2021-08-31,123.43,123.48,120.63,122.0,1119460
