Datetime,Open,High,Low,Close,Volume
2016-06-02,51.75,54.4,50.45,51.05,47969
2016-06-03,51.3,51.95,51.05,51.4,6870
2016-06-06,51.05,52.0,50.55,50.95,5096
2016-06-07,51.45,51.45,51.0,51.25,13287
2016-06-08,51.8,51.9,51.25,51.75,8027
2016-06-09,51.25,51.7,50.75,50.95,9823
2016-06-10,53.5,53.5,50.1,50.6,12273
2016-06-13,50.5,50.9,49.0,49.85,34233
2016-06-14,50.05,50.7,49.5,50.3,26564
2016-06-15,50.9,53.3,49.4,50.9,43364
2016-06-16,50.5,51.0,50.0,50.15,20745
2016-06-17,50.3,51.0,50.2,50.7,10146
2016-06-20,50.75,50.9,49.9,50.4,15627
2016-06-21,50.05,50.7,49.8,50.2,4520
2016-06-22,50.95,50.95,49.5,49.7,11766
2016-06-23,49.45,50.35,48.6,49.1,32357
2016-06-24,48.5,52.0,45.95,50.15,48845
2016-06-27,51.85,51.85,48.5,49.4,13625
2016-06-28,50.75,51.0,49.0,49.25,12042
2016-06-29,49.25,50.7,48.85,49.25,15609
2016-06-30,49.5,52.0,49.4,51.0,54528
2016-07-01,50.9,51.95,49.6,49.85,9978
2016-07-04,51.5,53.3,49.75,50.1,179650
2016-07-05,50.6,52.8,49.8,51.65,66440
2016-07-07,52.25,60.45,50.2,56.45,974617
2016-07-08,56.9,57.0,53.65,55.5,130386
2016-07-11,57.0,65.5,56.25,63.0,1597291
2016-07-12,64.0,66.25,61.5,62.7,546232
2016-07-13,63.25,64.8,59.5,60.0,379475
2016-07-14,60.9,64.3,60.3,63.05,222851
2016-07-15,63.65,64.3,60.5,61.85,93886
2016-07-18,61.35,66.7,61.35,64.2,423759
2016-07-19,64.2,66.7,64.0,65.3,154089
2016-07-20,65.8,66.6,64.6,65.05,187775
2016-07-21,65.05,65.65,63.75,64.05,42787
2016-07-22,64.5,72.1,62.7,68.5,355415
2016-07-25,71.9,73.1,69.7,71.45,393582
2016-07-26,71.1,72.0,68.25,69.15,147587
2016-07-27,69.0,70.4,67.1,67.7,89006
2016-07-28,68.1,70.0,66.5,66.55,58470
2016-07-29,67.0,69.7,65.45,69.1,90352
2016-08-01,66.8,73.7,66.8,71.0,176501
2016-08-02,71.7,72.0,66.1,68.35,130072
2016-08-03,68.5,68.5,65.6,67.6,49206
2016-08-04,68.9,68.9,64.55,65.95,43105
2016-08-05,65.5,71.7,65.0,70.2,231301
2016-08-08,71.0,72.0,68.7,69.8,60679
2016-08-09,70.0,70.8,68.1,69.3,28665
2016-08-10,69.0,69.9,64.5,66.2,94692
2016-08-11,66.8,67.85,64.55,65.5,90503
2016-08-12,71.1,72.9,67.3,68.2,394693
2016-08-16,69.0,69.8,65.5,67.8,129261
2016-08-17,67.8,68.8,65.8,66.4,38808
2016-08-18,67.0,67.0,64.8,65.05,65559
2016-08-19,64.5,69.4,63.7,68.75,78624
2016-08-22,68.3,68.8,66.0,66.15,32894
2016-08-23,65.9,66.85,65.85,66.05,25156
2016-08-24,65.8,67.45,65.5,66.5,17951
2016-08-25,67.0,68.0,64.6,66.75,90067
2016-08-26,67.4,68.0,62.5,64.35,69609
