Datetime,Open,High,Low,Close,Volume
2011-06-01,32.58,34.75,31.98,33.85,17550
2011-06-02,33.25,40.63,32.78,40.42,588198
2011-06-03,42.05,42.73,37.7,38.73,600304
2011-06-06,38.0,38.67,36.55,38.13,81934
2011-06-07,36.65,39.5,35.67,36.23,117390
2011-06-08,36.25,36.7,34.83,35.08,38434
2011-06-09,35.42,35.5,34.1,34.33,9800
2011-06-10,33.9,34.73,32.75,32.92,14838
2011-06-13,32.5,32.98,31.58,32.8,2212
2011-06-14,33.48,33.48,32.0,32.58,4448
2011-06-15,33.48,33.48,32.55,32.98,1500
2011-06-16,33.28,34.4,32.53,33.53,4604
2011-06-17,32.55,33.3,32.5,32.63,5938
2011-06-20,31.78,32.0,31.0,31.0,8308
2011-06-21,29.6,31.35,29.6,29.88,984
2011-06-22,28.75,29.5,28.4,28.5,5618
2011-06-23,28.0,29.0,27.18,28.18,3622
2011-06-24,29.23,29.5,28.25,29.23,3000
2011-06-27,28.38,29.55,28.38,29.1,2898
2011-06-28,28.0,30.5,28.0,29.23,2640
2011-06-29,28.25,30.7,28.25,30.5,5824
2011-06-30,30.0,30.75,29.2,30.4,2736
2011-07-01,30.05,31.93,30.05,31.93,1192
2011-07-04,33.0,33.0,30.5,32.5,2526
2011-07-05,32.08,34.13,31.75,33.98,5790
2011-07-06,34.45,34.5,33.0,33.0,2180
2011-07-07,34.25,34.65,32.5,34.58,9332
2011-07-08,33.17,35.08,33.13,35.0,4738
2011-07-11,33.4,35.25,33.4,33.5,3364
2011-07-12,32.0,33.0,32.0,32.92,1884
2011-07-13,32.63,34.2,32.1,34.08,4086
2011-07-14,33.38,35.53,33.38,35.5,8898
2011-07-15,34.53,36.2,34.53,35.8,3832
2011-07-18,36.67,36.67,36.1,36.13,4898
2011-07-19,34.58,37.15,34.58,36.88,11964
2011-07-20,36.35,37.0,36.0,36.42,6278
2011-07-21,35.92,35.92,35.58,35.73,4140
2011-07-22,35.88,36.1,35.25,35.35,5922
2011-07-25,33.78,35.25,33.78,34.98,2488
2011-07-26,34.3,35.0,34.3,34.92,1474
2011-07-27,34.95,34.95,34.0,34.0,1052
2011-07-28,33.03,33.28,33.03,33.2,1150
2011-07-29,33.03,34.88,33.03,34.03,2018
2011-08-01,32.83,34.88,32.83,34.25,1946
2011-08-02,33.5,34.85,32.67,34.25,5716
2011-08-03,33.95,35.13,33.25,34.55,8728
2011-08-04,33.13,35.73,33.13,34.75,16030
2011-08-05,33.33,33.5,33.03,33.03,36062
2011-08-08,31.5,31.63,31.38,31.38,6310
2011-08-09,30.13,30.13,29.83,29.83,34610
2011-08-10,28.5,28.78,28.35,28.35,177794
2011-08-11,29.5,29.5,28.08,28.33,34010
2011-08-12,27.8,29.75,27.8,29.1,66384
2011-08-16,30.4,30.58,28.55,29.73,11664
2011-08-17,29.03,29.25,28.28,28.48,7032
2011-08-18,27.4,29.0,27.15,28.48,6628
2011-08-19,27.25,27.5,27.25,27.5,1816
2011-08-22,26.5,28.85,26.25,28.1,10566
2011-08-23,28.48,28.7,28.48,28.6,1832
2011-08-24,28.65,29.5,28.0,29.15,1034
2011-08-25,28.15,29.35,28.0,28.03,1446
2011-08-26,29.35,29.35,27.25,27.43,2024
2011-08-29,27.75,28.8,26.7,28.7,6446
2011-08-30,28.13,29.5,28.13,29.2,5766
2011-09-02,28.13,30.25,28.13,29.98,9130
2011-09-05,28.83,30.5,28.73,30.4,17856
2011-09-06,29.05,31.0,29.03,30.93,5828
2011-09-07,29.65,31.75,29.65,31.33,2794
2011-09-08,31.05,31.48,30.33,30.6,3268
2011-09-09,30.5,30.5,29.7,29.73,890
2011-09-12,28.58,29.7,28.58,29.33,1368
2011-09-13,29.5,31.0,28.5,28.7,3296
2011-09-14,29.93,31.25,28.75,28.88,2460
2011-09-15,29.95,31.25,29.03,30.68,8468
2011-09-16,31.1,31.1,29.58,29.58,2174
2011-09-19,29.58,29.58,29.03,29.2,2094
2011-09-20,29.85,30.43,29.53,29.78,1196
2011-09-21,30.0,30.0,29.55,29.55,1580
2011-09-22,28.8,29.35,28.8,29.0,1386
2011-09-23,28.5,29.0,26.65,28.7,2810
2011-09-26,29.83,29.83,26.18,26.9,14248
2011-09-27,27.25,27.5,27.25,27.3,1742
2011-09-28,27.0,27.63,26.98,27.35,2060
2011-09-29,26.63,26.65,26.05,26.58,4580
2011-09-30,26.25,27.43,26.1,26.33,11530
2011-10-03,25.58,28.0,25.58,26.03,3210
2011-10-04,25.0,27.0,25.0,25.78,1022
2011-10-05,24.5,26.95,24.5,25.2,63522
2011-10-07,26.05,27.48,26.05,26.1,840
2011-10-10,26.5,26.73,25.5,25.75,2694
2011-10-11,26.25,26.98,26.05,26.48,792
2011-10-12,25.5,26.48,25.5,26.03,1134
2011-10-13,25.9,26.83,25.9,26.03,360
2011-10-14,25.6,27.0,25.6,26.83,764
2011-10-17,26.5,26.75,26.0,26.03,1616
2011-10-18,26.5,26.5,26.13,26.15,660
2011-10-19,26.5,26.93,25.58,26.43,5484
2011-10-20,26.73,27.43,26.5,27.1,3196
2011-10-21,24.63,27.5,24.63,27.25,2364
2011-10-24,27.5,28.15,27.05,27.58,742
2011-10-25,27.1,27.1,27.1,27.1,400
2011-10-26,27.15,27.15,26.43,26.9,68
2011-10-28,26.58,28.25,26.58,27.0,3226
2011-10-31,27.0,27.75,27.0,27.75,1142
2011-11-01,26.63,28.25,26.58,26.6,380
2011-11-02,25.75,26.53,25.75,26.23,1710
2011-11-03,26.75,26.75,26.3,26.38,1696
2011-11-04,27.0,28.0,26.2,26.28,1576
2011-11-08,27.0,27.0,26.18,26.3,1964
2011-11-09,26.0,26.25,26.0,26.23,1240
2011-11-11,26.45,26.45,26.23,26.23,2574
2011-11-14,26.25,26.25,25.7,25.7,700
2011-11-15,25.75,27.78,24.03,26.5,4070
2011-11-16,25.5,26.5,24.55,25.5,7750
2011-11-17,26.25,27.0,25.13,26.03,2492
2011-11-18,25.25,25.98,23.63,25.28,4232
2011-11-21,25.0,25.03,24.08,24.68,1412
2011-11-22,25.03,27.7,23.55,25.5,598
2011-11-23,25.0,27.48,24.75,26.55,6038
2011-11-24,25.58,25.58,24.0,24.88,4702
2011-11-25,25.5,27.6,25.5,25.75,2000
2011-11-28,25.75,28.45,25.55,27.25,7466
2011-11-29,26.5,26.9,26.0,26.2,7586
2011-11-30,26.0,26.0,25.43,25.53,976
2011-12-01,25.7,27.25,25.7,27.08,6214
2011-12-02,27.0,28.13,25.83,28.05,10010
2011-12-05,27.5,28.9,27.03,28.18,7556
2011-12-07,28.5,29.25,27.75,29.05,5686
2011-12-08,29.0,29.0,27.25,28.03,9192
2011-12-09,27.5,28.38,27.0,27.28,2046
2011-12-12,27.0,27.5,25.6,27.43,5220
2011-12-13,27.0,29.0,26.78,28.25,12852
2011-12-14,27.13,29.35,27.13,27.83,3224
2011-12-15,27.6,27.6,26.5,26.93,6134
2011-12-16,27.0,27.38,25.08,26.43,1486
2011-12-19,25.55,27.18,25.0,25.75,2048
2011-12-20,25.25,26.18,23.7,24.03,858
2011-12-21,23.5,25.0,23.0,23.95,1482
2011-12-22,23.55,24.23,23.15,24.18,1892
2011-12-23,23.63,23.75,23.55,23.68,560
2011-12-26,23.75,24.75,23.75,23.9,372
2011-12-27,23.5,23.55,23.33,23.55,684
2011-12-28,23.25,24.95,23.1,23.33,662
2011-12-29,23.5,24.0,23.15,23.55,5422
2011-12-30,23.0,24.98,22.5,23.25,1466
2012-01-02,23.28,24.83,23.0,23.73,790
2012-01-03,28.33,28.33,24.0,24.98,1502
2012-01-04,25.1,25.98,24.63,25.5,1818
2012-01-05,25.0,26.5,24.58,25.95,4980
2012-01-06,25.93,25.93,24.55,24.55,102
2012-01-07,25.0,25.13,24.5,24.73,1690
2012-01-09,24.3,25.0,24.0,24.93,3544
2012-01-10,25.0,26.25,24.78,25.75,7266
2012-01-11,25.5,26.85,25.5,26.0,8008
2012-01-12,25.5,27.9,25.05,25.88,14548
2012-01-13,25.98,29.95,25.98,27.08,3912
2012-01-16,26.55,27.48,26.0,26.08,5904
2012-01-17,26.0,26.0,25.05,25.1,8650
2012-01-18,25.08,25.95,24.75,24.98,1620
2012-01-19,24.83,25.0,24.35,24.8,1652
2012-01-20,24.5,26.43,24.33,25.1,7324
2012-01-23,26.0,29.23,25.15,25.3,2546
2012-01-24,25.63,25.75,24.35,25.23,2218
2012-01-25,25.1,25.7,25.0,25.4,2208
2012-01-27,25.15,26.95,25.1,26.43,5430
2012-01-30,25.65,27.35,25.65,26.53,22768
2012-01-31,26.2,27.33,26.18,26.3,9384
2012-02-01,26.15,26.75,26.15,26.63,730
2012-02-02,26.5,26.53,25.88,26.08,3032
2012-02-03,26.75,26.75,25.63,26.05,3182
2012-02-06,25.63,28.2,25.63,27.8,7610
2012-02-07,27.75,28.5,27.3,27.98,7534
2012-02-08,27.5,27.93,27.03,27.75,938
2012-02-09,27.78,28.25,27.03,27.9,3764
2012-02-10,28.25,29.25,27.78,28.15,5676
2012-02-13,27.65,28.4,27.03,28.35,9532
2012-02-14,28.0,30.23,27.25,28.68,25476
2012-02-15,29.0,34.4,28.4,34.4,93558
2012-02-16,34.95,38.9,34.4,36.92,224824
2012-02-17,37.0,44.3,35.45,40.95,520412
2012-02-21,39.05,42.2,38.55,41.03,79300
2012-02-22,41.95,41.95,38.13,38.5,29304
2012-02-23,38.0,41.0,35.75,39.83,41142
2012-02-24,39.25,39.25,36.58,38.5,38220
2012-02-27,39.45,39.45,35.23,35.8,19958
2012-02-28,36.5,38.33,36.03,37.7,9614
2012-02-29,38.2,40.0,37.33,38.45,30954
2012-03-01,38.3,39.9,37.5,39.35,24106
2012-03-02,38.05,40.45,38.0,38.0,4334
2012-03-03,38.88,38.88,37.5,37.92,2552
2012-03-05,38.0,38.0,36.13,36.55,6152
2012-03-06,35.55,38.38,35.53,36.53,18100
2012-03-07,38.0,38.0,36.75,37.13,20418
2012-03-09,37.5,37.5,36.45,37.48,3362
2012-03-12,37.25,38.0,36.0,37.53,19118
2012-03-13,36.5,38.6,36.0,37.65,27490
2012-03-14,38.25,38.8,37.5,38.28,2410
2012-03-15,37.8,38.5,37.8,38.15,7778
2012-03-16,37.38,38.48,37.35,38.45,2158
2012-03-19,37.13,38.13,37.13,38.13,5906
2012-03-20,36.65,37.5,36.58,37.05,1912
2012-03-21,36.03,37.05,36.03,37.05,1912
2012-03-22,36.67,36.8,36.67,36.73,446
2012-03-23,36.5,36.67,36.13,36.65,802
2012-03-26,36.05,36.38,36.0,36.1,12588
2012-03-27,34.85,36.23,34.85,35.35,20720
2012-03-28,34.0,35.5,33.6,35.42,14238
2012-03-29,35.5,36.0,35.08,35.53,3106
2012-03-30,37.0,37.25,33.92,36.55,5856
2012-04-02,36.5,36.53,36.5,36.5,700
2012-04-03,36.5,36.5,36.5,36.5,1220
2012-04-04,36.0,36.25,35.5,35.5,2426
2012-04-09,35.5,37.28,34.17,37.28,9854
2012-04-10,38.88,38.88,36.63,36.67,5820
2012-04-11,35.08,37.2,35.0,36.03,1474
2012-04-12,35.5,36.0,35.25,35.55,802
2012-04-13,36.0,36.15,35.17,35.38,2200
2012-04-16,35.5,37.0,35.5,37.0,27000
2012-04-17,36.08,37.88,36.08,37.4,4836
2012-04-18,37.25,37.5,37.0,37.0,3196
2012-04-19,36.2,37.85,36.2,37.0,740
2012-04-20,36.5,38.78,36.5,38.25,5518
2012-04-23,37.5,38.5,37.5,38.3,6824
2012-04-24,38.0,39.5,38.0,39.33,3746
2012-04-25,39.0,39.5,38.5,38.75,5750
2012-04-26,38.5,39.95,38.5,39.5,4620
2012-04-27,39.5,39.5,39.0,39.05,2092
2012-04-28,39.5,39.7,38.73,39.03,1284
2012-04-30,38.5,40.5,37.5,40.0,3884
2012-05-02,39.6,40.5,38.03,40.05,6620
2012-05-03,39.8,39.92,39.5,39.55,2030
2012-05-04,39.5,39.55,38.53,39.08,3484
2012-05-07,39.3,39.5,38.5,39.0,2218
2012-05-08,39.5,39.5,37.17,38.25,1272
2012-05-09,38.55,38.98,37.0,38.35,16894
2012-05-10,36.63,40.15,36.63,38.4,4328
2012-05-11,38.5,38.5,37.1,37.95,4354
2012-05-14,38.0,38.0,37.5,37.63,3148
2012-05-15,37.8,38.0,37.53,37.65,1834
