Datetime,Open,High,Low,Close,Volume
2021-06-04,441.23,442.45,430.63,438.08,837936
2021-06-07,443.0,444.45,418.98,425.03,420402
2021-06-08,427.45,434.9,427.45,434.0,254678
2021-06-09,434.0,434.95,415.5,420.35,198030
2021-06-10,421.5,429.6,415.83,417.1,170302
2021-06-11,423.5,429.5,415.75,418.03,242388
2021-06-14,421.53,421.98,407.73,409.83,144446
2021-06-15,413.4,416.9,406.75,409.7,214632
2021-06-16,412.5,414.35,400.58,404.8,132586
2021-06-17,404.5,415.0,398.45,406.95,196488
2021-06-18,412.35,412.35,394.5,399.7,168668
2021-06-21,407.98,407.98,398.15,404.9,124422
2021-06-22,404.9,415.08,403.95,410.48,280496
2021-06-23,414.5,421.33,405.95,408.53,236170
2021-06-24,412.0,412.0,400.68,403.23,86982
2021-06-25,401.5,410.7,401.5,406.9,63654
2021-06-28,405.03,411.5,402.48,410.3,73682
2021-06-29,411.3,413.0,404.0,409.4,167346
2021-06-30,407.0,412.7,403.15,407.58,562528
2021-07-01,410.0,424.5,408.1,412.18,1132098
2021-07-02,414.25,421.0,408.5,413.43,273502
2021-07-05,419.0,429.0,414.83,423.23,640848
2021-07-06,424.0,426.5,415.28,418.98,253010
2021-07-07,420.0,425.53,415.53,423.85,127430
2021-07-08,425.9,427.33,418.63,425.5,335078
2021-07-09,425.0,430.0,418.63,424.45,142492
2021-07-12,428.5,436.48,422.7,430.95,309410
2021-07-13,435.0,441.43,430.28,433.68,680032
2021-07-14,433.85,436.78,428.5,429.6,183798
2021-07-15,431.7,434.5,426.45,430.1,607598
2021-07-16,433.45,447.48,430.25,437.93,469536
2021-07-19,437.3,442.45,433.68,437.1,488356
2021-07-20,440.0,440.6,412.75,418.78,527090
2021-07-22,422.85,437.5,422.85,430.75,899776
2021-07-23,431.35,443.48,427.9,439.15,958776
2021-07-26,442.38,444.85,425.95,428.2,161492
2021-07-27,431.23,437.5,413.03,414.95,468878
2021-07-28,418.45,419.35,402.5,407.38,405012
2021-07-29,411.68,423.0,409.08,417.08,549548
2021-07-30,420.0,436.98,417.9,431.83,510648
2021-08-02,435.95,459.23,434.55,448.35,1454190
2021-08-03,452.15,453.35,445.53,448.78,262192
2021-08-04,451.0,457.0,427.6,431.93,660378
2021-08-05,428.18,439.3,416.35,436.93,1340126
2021-08-06,438.3,447.95,434.68,442.05,368106
2021-08-09,440.03,448.5,427.5,433.98,371064
2021-08-10,430.05,439.35,416.0,420.08,409548
2021-08-11,422.45,427.78,411.9,421.18,381580
2021-08-12,427.5,436.58,421.5,430.4,811908
2021-08-13,424.35,446.53,424.0,432.13,325504
2021-08-16,426.9,429.0,421.35,424.38,85792
2021-08-17,421.48,424.48,414.0,419.53,216396
2021-08-18,415.18,420.4,412.5,415.53,117694
2021-08-20,410.03,414.93,402.5,404.6,330808
2021-08-23,403.5,416.68,396.7,401.75,295592
2021-08-24,403.78,417.4,401.75,415.0,314200
2021-08-25,418.45,427.5,416.93,424.9,211794
2021-08-26,427.0,434.98,420.55,430.5,457830
2021-08-27,427.0,433.93,422.5,427.53,224186
2021-08-30,427.5,442.68,427.5,435.25,385174
2021-08-31,435.0,438.5,422.65,431.38,164760
2021-09-01,437.5,462.75,430.0,450.55,827644
2021-09-02,453.5,460.0,442.5,449.33,283470
2021-09-03,450.0,450.08,435.78,438.03,146858
2021-09-06,445.0,445.5,427.53,435.65,397022
2021-09-07,437.5,445.0,428.0,434.9,467824
2021-09-08,434.9,442.0,430.5,435.9,803494
2021-09-09,431.45,439.7,431.45,436.63,51418
2021-09-13,436.63,437.48,423.0,426.65,125090
2021-09-14,428.0,432.15,418.5,421.98,350866
2021-09-15,425.0,435.0,423.78,428.23,616258
2021-09-16,432.85,442.25,429.45,433.3,1190418
2021-09-17,434.95,439.43,424.18,425.5,981622
2021-09-20,422.53,436.98,413.63,421.58,1376328
2021-09-21,422.35,432.78,422.35,427.33,284720
2021-09-22,429.48,459.5,426.53,454.6,2215684
2021-09-23,460.1,479.5,455.0,461.85,3888706
2021-09-24,467.5,477.4,457.0,472.75,2198230
2021-09-27,479.8,515.0,477.75,491.23,3916662
2021-09-28,495.53,501.0,475.8,485.18,780006
2021-09-29,483.13,486.48,467.3,469.25,503648
2021-09-30,472.5,489.28,471.33,479.23,1152118
2021-10-01,477.2,483.28,470.3,480.78,243952
2021-10-04,482.45,491.83,472.78,478.48,370656
2021-10-05,479.5,482.75,473.0,480.28,245412
2021-10-06,482.5,487.4,473.43,477.3,288488
2021-10-07,479.7,499.15,477.23,495.38,908526
2021-10-08,501.0,504.95,482.0,483.48,329908
2021-10-11,488.45,493.25,484.0,489.23,257070
2021-10-12,490.95,492.73,480.98,483.25,252606
2021-10-13,484.85,492.63,480.63,490.15,170590
2021-10-14,490.2,492.88,485.05,488.83,599134
2021-10-18,491.5,496.43,487.5,489.9,239404
2021-10-19,486.5,493.6,472.55,481.18,541338
2021-10-20,480.53,484.35,468.38,470.13,403562
2021-10-21,474.85,477.5,447.55,454.33,289986
2021-10-22,456.35,469.5,445.03,460.4,482990
2021-10-25,468.95,487.0,456.25,479.7,520004
2021-10-26,475.55,487.5,470.13,475.98,148064
2021-10-27,478.38,489.93,471.13,478.75,408968
2021-10-28,482.98,483.28,463.48,476.83,719284
2021-10-29,474.98,484.13,461.88,482.03,236978
2021-11-01,476.85,489.0,470.1,480.7,239304
2021-11-02,490.95,532.5,490.0,505.4,2589188
2021-11-03,512.45,528.48,502.5,509.9,737564
2021-11-04,514.9,517.45,497.3,512.15,67536
2021-11-08,535.0,564.0,519.75,550.3,3073082
2021-11-09,550.0,554.8,537.0,544.75,451320
2021-11-10,541.0,547.38,526.98,534.13,200880
2021-11-11,531.0,555.0,510.83,543.7,288928
2021-11-12,545.98,575.5,536.15,541.4,726236
