Datetime,Open,High,Low,Close,Volume
2023-12-20,24.87,24.87,24.4,24.44,443790
2023-12-21,24.13,24.96,23.95,24.62,295110
2023-12-22,24.9,24.9,24.4,24.46,383860
2023-12-26,24.51,24.61,24.39,24.48,805320
2023-12-27,24.62,24.82,24.52,24.7,497880
2023-12-28,24.78,24.99,24.78,24.91,210180
2023-12-29,24.91,24.91,24.68,24.84,3229030
2024-01-01,24.72,24.96,24.6,24.8,3293940
2024-01-02,24.8,24.81,24.5,24.52,387440
2024-01-03,24.6,24.6,24.34,24.55,289710
2024-01-04,24.65,24.83,24.65,24.75,3119190
2024-01-05,24.81,25.11,24.6,24.78,883860
2024-01-08,24.93,24.93,24.43,24.48,385030
2024-01-09,24.6,24.69,24.33,24.36,353800
2024-01-10,24.31,24.41,24.23,24.38,4873240
2024-01-11,24.48,24.6,24.43,24.47,350520
2024-01-12,24.5,24.72,24.28,24.62,523010
2024-01-15,24.71,24.84,24.65,24.78,175730
2024-01-16,24.78,24.94,24.76,24.83,77560
2024-01-17,24.6,24.7,23.75,23.78,5040120
2024-01-18,24.0,24.0,23.41,23.5,2273670
2024-01-19,23.75,23.8,23.45,23.52,883120
2024-01-20,23.61,23.75,23.49,23.68,629220
2024-01-23,24.39,24.39,23.09,23.13,1218300
2024-01-24,23.13,23.34,22.77,23.01,5422790
2024-01-25,23.39,23.39,22.75,22.9,4130310
2024-01-29,23.35,23.49,23.2,23.4,1255750
2024-01-30,23.61,23.61,23.22,23.29,963770
2024-01-31,23.6,23.71,23.15,23.5,5044730
2024-02-01,23.7,23.7,23.39,23.6,1062440
2024-02-02,23.7,23.87,23.4,23.48,1390710
2024-02-05,23.69,23.69,23.26,23.4,814650
2024-02-06,23.7,23.7,23.19,23.27,1624270
2024-02-07,23.6,24.1,23.18,23.48,2180880
2024-02-08,23.48,23.7,22.61,22.67,6498450
2024-02-09,22.95,22.96,22.65,22.91,1601950
2024-02-12,23.1,23.1,22.38,22.52,2517190
2024-02-13,22.7,22.93,22.49,22.84,999890
2024-02-14,22.85,23.02,22.52,22.97,1660960
2024-02-15,23.1,23.1,22.77,23.02,2673920
2024-02-16,23.02,23.31,23.02,23.22,1388880
2024-02-19,23.34,23.4,23.18,23.27,1872300
2024-02-20,23.26,23.5,23.13,23.48,1196930
2024-02-21,23.34,23.61,23.34,23.39,2596390
2024-02-22,237.39,237.39,231.66,233.63,208876
2024-02-23,23.4,23.56,23.36,23.41,2199380
2024-02-26,23.4,23.47,23.25,23.29,641180
2024-02-27,23.54,23.54,23.15,23.34,830300
2024-02-28,23.54,23.54,22.96,23.0,4750020
2024-02-29,23.33,23.33,22.83,23.14,909030
2024-03-01,23.78,23.78,23.15,23.67,642045
2024-03-02,23.9,24.19,23.33,23.66,186345
2024-03-04,23.85,23.85,23.56,23.68,831542
2024-03-05,23.46,23.79,23.46,23.65,1644971
2024-03-06,23.55,23.96,23.55,23.86,4053752
2024-03-07,23.88,23.95,23.8,23.84,1469621
2024-03-11,23.85,24.06,23.5,23.56,1227848
2024-03-12,23.56,23.79,23.33,23.53,730544
2024-03-13,23.53,23.73,23.33,23.4,426369
2024-03-14,23.41,23.77,23.15,23.29,820051
2024-03-15,23.17,23.51,23.06,23.3,777802
2024-03-18,23.69,23.69,23.0,23.24,907610
2024-03-19,23.23,23.45,23.06,23.14,1578809
2024-03-20,23.47,23.47,22.86,23.08,402002
2024-03-21,23.47,23.47,23.21,23.31,682512
2024-03-22,23.3,23.5,23.24,23.45,1142967
2024-03-26,23.67,23.67,23.23,23.3,3668412
2024-03-27,23.43,23.51,23.27,23.34,5570096
2024-03-28,22.65,23.66,22.65,23.55,521045
2024-04-01,23.65,23.78,23.61,23.71,1032080
2024-04-02,23.8,23.8,23.56,23.72,462777
2024-04-03,23.72,23.86,23.56,23.69,509758
2024-04-04,23.7,24.02,23.7,23.95,1196005
2024-04-05,24.0,24.21,23.67,24.11,1610312
2024-04-08,24.36,24.36,24.0,24.24,622878
2024-04-09,24.28,24.42,24.24,24.28,594425
2024-04-10,24.3,24.49,24.25,24.4,367356
2024-04-12,24.38,24.43,24.26,24.3,528252
2024-04-15,24.2,24.24,23.5,23.88,890797
2024-04-16,23.89,24.82,23.51,23.85,2855519
2024-04-18,24.55,24.55,23.46,23.51,761119
2024-04-19,23.52,23.83,23.21,23.8,1330404
2024-04-22,23.8,24.03,23.78,23.85,344135
2024-04-23,24.0,24.07,23.84,23.88,455725
2024-04-24,23.91,24.27,23.89,24.0,301188
2024-04-25,23.5,24.09,23.3,24.05,487104
2024-04-26,24.07,24.17,23.9,24.0,388783
2024-04-29,24.06,24.47,24.0,24.42,891428
2024-04-30,24.51,24.72,24.41,24.46,1206323
2024-05-02,24.51,24.55,24.34,24.4,368442
2024-05-03,24.5,24.61,24.06,24.26,428742
2024-05-06,24.49,24.5,24.28,24.36,376401
2024-05-07,24.36,24.4,23.96,23.99,302561
2024-05-08,24.19,24.19,23.76,23.8,786544
2024-05-09,23.91,23.93,23.45,23.48,2099786
2024-05-10,23.64,23.81,23.41,23.61,324146
2024-05-13,24.3,24.3,23.28,23.75,1026988
2024-05-14,23.78,23.87,23.56,23.83,517429
2024-05-15,24.4,24.4,23.66,23.75,701914
2024-05-16,23.94,24.0,23.6,23.92,828095
2024-05-17,24.4,24.4,23.73,24.0,2880852
2024-05-18,24.23,24.23,23.63,23.97,247264
2024-05-21,23.94,24.04,23.8,23.84,3510990
2024-05-22,24.15,24.15,23.6,23.79,897799
2024-05-23,24.07,24.23,23.8,24.18,532572
2024-05-24,24.9,24.9,23.96,24.28,404231
2024-05-27,24.32,24.69,24.32,24.4,4833985
2024-05-28,24.66,24.66,24.33,24.39,1401108
2024-05-29,24.39,24.65,24.04,24.07,1720032
2024-05-30,24.8,24.8,24.04,24.18,938837
2024-05-31,24.18,24.75,24.14,24.53,3853045
2024-06-03,24.84,25.49,24.7,24.96,2099692
2024-06-04,25.19,25.19,23.39,23.87,2669092
2024-06-05,24.03,24.55,23.38,24.43,1251463
2024-06-06,25.15,25.15,23.55,24.39,2773094
2024-06-07,24.44,24.83,24.1,24.72,1471647
2024-06-10,24.86,24.97,24.6,24.69,4308480
2024-06-11,24.75,24.79,24.5,24.64,666042
2024-06-12,24.69,24.87,24.63,24.74,627466
2024-06-13,24.84,24.88,24.63,24.72,884963
2024-06-14,24.89,24.89,24.6,24.76,568566
2024-06-18,24.53,25.06,23.95,24.98,7608222
2024-06-19,25.05,25.81,24.72,25.55,2498247
2024-06-20,26.3,26.3,25.55,25.84,2066292
2024-06-21,25.88,26.05,25.61,25.78,1460811
