Datetime,Open,High,Low,Close,Volume
2011-06-01,101.06,101.54,96.86,98.63,10951
2011-06-02,95.48,98.58,94.62,97.82,3168
2011-06-03,99.92,99.92,93.91,94.96,4019
2011-06-06,96.77,99.1,95.53,96.29,4734
2011-06-07,96.05,98.39,95.34,96.39,3781
2011-06-08,95.53,96.91,94.67,95.53,2095
2011-06-09,93.58,95.91,93.58,95.34,1555
2011-06-10,94.86,95.67,93.72,94.77,2552
2011-06-13,93.48,95.15,93.05,94.58,748
2011-06-14,95.34,95.34,92.76,93.67,1897
2011-06-15,94.39,95.34,92.1,93.53,7499
2011-06-16,94.39,97.44,93.53,94.24,16018
2011-06-17,94.43,99.96,92.96,93.77,44121
2011-06-20,94.05,94.05,88.67,91.33,6587
2011-06-21,92.43,93.77,89.0,90.14,10926
2011-06-22,92.96,92.96,89.14,89.9,1719
2011-06-23,89.43,92.62,87.95,88.33,3343
2011-06-24,88.19,91.1,88.19,89.86,2946
2011-06-27,88.67,90.57,87.0,89.57,3794
2011-06-28,90.1,90.57,87.85,88.43,9919
2011-06-29,89.48,91.05,88.19,88.95,16111
2011-06-30,94.39,94.39,88.43,89.48,2523
2011-07-01,91.53,91.53,87.24,87.62,38323
2011-07-04,91.53,91.53,87.57,88.62,7543
2011-07-05,88.67,89.09,87.9,88.57,6883
2011-07-06,89.67,89.67,87.71,88.38,5500
2011-07-07,89.24,89.38,88.09,89.14,4492
2011-07-08,88.71,88.86,87.57,88.0,6147
2011-07-11,90.24,90.24,87.28,88.09,2345
2011-07-12,87.71,87.71,85.33,86.28,7343
2011-07-13,86.81,88.24,86.81,87.57,1601
2011-07-14,89.09,89.09,84.8,84.95,12087
2011-07-15,85.19,87.62,85.19,86.71,2833
2011-07-18,87.28,87.66,85.81,86.33,2629
2011-07-19,86.81,87.62,86.42,86.76,1906
2011-07-20,88.19,90.0,87.9,88.19,30708
2011-07-21,87.76,89.05,87.66,87.71,545
2011-07-22,89.14,89.14,88.19,88.52,2104
2011-07-25,87.66,88.67,87.14,87.24,8990
2011-07-26,88.62,88.62,86.52,87.0,1311
2011-07-27,86.09,86.57,85.33,85.76,7865
2011-07-28,85.81,86.76,84.85,85.33,1827
2011-07-29,84.99,86.33,82.94,83.66,17188
2011-08-01,85.04,85.04,82.37,82.37,2759
2011-08-02,83.37,83.37,77.51,79.66,4514
2011-08-03,78.18,78.18,74.27,75.13,5029
2011-08-04,74.56,77.51,74.51,75.6,1277
2011-08-05,75.6,76.08,71.41,74.89,10660
2011-08-08,71.41,73.46,68.6,70.6,2937
2011-08-09,68.64,70.46,65.83,66.78,18294
2011-08-10,73.41,73.41,65.78,67.12,20161
2011-08-11,67.6,67.6,62.49,64.35,5080
2011-08-12,64.93,70.5,64.35,64.93,2693
2011-08-16,64.93,65.02,63.59,63.64,9018
2011-08-17,62.07,62.97,60.06,61.73,8020
2011-08-18,61.02,61.02,57.49,57.87,1913
2011-08-19,57.68,57.68,51.48,55.2,2695
2011-08-22,58.63,61.97,57.25,60.21,3236
2011-08-23,60.64,62.69,60.06,62.64,6332
2011-08-24,61.97,63.02,60.06,61.26,5479
2011-08-25,59.25,61.02,59.01,59.83,1933
2011-08-26,60.06,60.06,51.67,53.91,4144
2011-08-29,55.39,56.25,54.92,55.92,6611
2011-08-30,56.25,60.83,56.15,59.97,11059
2011-09-02,60.73,63.83,60.16,62.69,11431
2011-09-05,63.78,64.54,61.59,61.97,5365
2011-09-06,61.88,61.97,59.59,59.97,3862
2011-09-07,60.54,61.4,60.06,61.21,2100
2011-09-08,60.49,62.54,60.49,62.11,677
2011-09-09,62.54,62.73,61.3,62.11,7179
2011-09-12,61.78,61.78,60.44,60.97,2764
2011-09-13,62.21,63.88,60.44,60.59,6936
2011-09-14,61.73,63.59,60.64,60.78,994
2011-09-15,61.3,62.16,60.73,61.97,2465
2011-09-16,62.07,62.26,61.02,61.92,2333
2011-09-19,62.16,62.35,60.92,61.35,513
2011-09-20,62.16,62.21,61.11,61.35,5794
2011-09-21,61.3,62.92,61.16,62.73,760
2011-09-22,62.88,62.92,58.44,59.3,2760
2011-09-23,58.16,60.06,56.44,57.49,2034
2011-09-26,61.02,61.02,55.68,55.68,2763
2011-09-27,56.25,64.74,55.82,58.63,6606
2011-09-28,58.16,58.16,55.82,56.77,1079
2011-09-29,56.73,57.2,54.92,56.44,10498
2011-09-30,56.35,57.2,54.34,55.15,1138
2011-10-03,55.15,58.06,53.91,54.2,3696
