Datetime,Open,High,Low,Close,Volume
2021-06-04,1366.67,1377.57,1334.0,1339.37,131472
2021-06-07,1353.3,1366.67,1338.33,1356.93,68771
2021-06-08,1363.73,1366.67,1333.33,1343.87,79295
2021-06-09,1344.67,1357.83,1295.7,1315.73,34478
2021-06-10,1308.0,1344.67,1302.93,1334.63,100361
2021-06-11,1348.67,1359.33,1335.33,1348.1,26492
2021-06-14,1351.33,1363.3,1336.03,1346.87,130812
2021-06-15,1353.33,1360.0,1340.0,1355.27,43406
2021-06-16,1354.67,1354.67,1339.33,1350.53,66077
2021-06-17,1352.53,1360.0,1325.63,1349.5,29385
2021-06-18,1344.0,1363.33,1327.27,1356.83,56850
2021-06-21,1356.83,1431.33,1342.87,1378.63,277059
2021-06-22,1400.0,1419.97,1337.27,1349.97,41021
2021-06-23,1380.0,1380.0,1350.07,1356.37,25191
2021-06-24,1366.63,1371.9,1338.7,1357.87,17778
2021-06-25,1370.63,1370.67,1346.6,1360.0,26279
2021-06-28,1366.67,1373.33,1343.6,1356.83,16875
2021-06-29,1363.2,1363.93,1344.93,1356.1,36116
2021-06-30,1357.33,1378.6,1349.3,1367.17,350534
2021-07-01,1370.0,1383.33,1366.67,1374.5,23637
2021-07-02,1376.67,1376.67,1357.4,1371.3,17984
2021-07-05,1371.33,1390.0,1363.37,1368.1,26846
2021-07-06,1376.0,1388.0,1364.23,1377.03,12197
2021-07-07,1367.53,1386.0,1361.7,1373.3,20910
2021-07-08,1376.67,1379.97,1357.73,1365.87,19587
2021-07-09,1370.67,1378.63,1360.0,1372.07,24381
2021-07-12,1386.03,1399.13,1357.43,1376.03,34040
2021-07-13,1368.0,1382.93,1357.6,1377.57,24879
2021-07-14,1365.33,1393.33,1360.7,1377.37,20555
2021-07-15,1377.37,1382.67,1368.5,1377.23,20136
2021-07-16,1380.0,1383.3,1369.33,1376.6,14934
2021-07-19,1382.57,1386.67,1366.67,1376.17,48998
2021-07-20,1380.0,1380.0,1332.53,1365.07,59453
2021-07-22,1373.33,1377.33,1347.87,1372.5,41567
2021-07-23,1378.63,1379.27,1346.67,1371.37,31137
2021-07-26,1373.13,1386.67,1353.53,1375.2,14823
2021-07-27,1374.67,1398.0,1368.5,1378.77,89450
2021-07-28,1380.67,1393.33,1358.3,1387.03,93866
2021-07-29,1399.93,1411.33,1373.33,1388.47,54885
2021-07-30,1393.33,1478.67,1381.63,1430.93,271779
2021-08-02,1453.33,1498.9,1406.67,1432.87,137055
2021-08-03,1433.33,1451.33,1426.9,1436.53,26282
2021-08-04,1453.33,1453.33,1381.33,1415.17,33897
2021-08-05,1406.0,1490.67,1377.63,1444.57,89690
2021-08-06,1428.0,1496.0,1410.37,1425.5,83543
2021-08-09,1400.67,1409.93,1342.37,1388.17,116049
2021-08-10,1395.13,1446.0,1351.77,1385.77,112940
2021-08-11,1396.67,1443.33,1360.0,1429.5,61941
2021-08-12,1436.67,1444.53,1400.0,1403.27,21026
2021-08-13,1418.73,1440.0,1394.87,1413.67,44075
2021-08-16,1433.23,1433.23,1386.67,1392.93,36462
2021-08-17,1413.27,1416.6,1390.9,1407.9,108837
2021-08-18,1422.0,1422.0,1390.0,1414.23,50244
2021-08-20,1400.0,1431.43,1359.93,1403.73,34134
2021-08-23,1398.0,1401.2,1355.37,1383.97,28458
2021-08-24,1366.67,1398.7,1366.67,1382.4,12768
2021-08-25,1420.0,1420.0,1358.0,1381.33,5567
2021-08-26,1393.33,1423.5,1379.33,1383.93,14129
2021-08-27,1383.93,1473.33,1377.47,1446.57,157398
2021-08-30,1450.0,1460.0,1413.57,1432.77,48293
2021-08-31,1439.93,1465.03,1423.5,1438.63,43643
2021-09-01,1445.83,1446.73,1423.23,1437.07,26520
2021-09-02,1440.0,1440.67,1416.7,1425.1,29808
2021-09-03,1432.23,1452.67,1401.33,1420.03,36312
2021-09-06,1427.17,1436.0,1403.33,1411.8,14051
2021-09-07,1426.0,1426.67,1401.43,1419.97,15684
2021-09-08,1427.07,1433.33,1411.23,1428.33,51159
2021-09-09,1439.7,1441.5,1414.73,1427.03,10920
2021-09-13,1427.67,1472.7,1420.0,1440.03,44237
2021-09-14,1449.97,1449.97,1430.0,1439.73,26672
2021-09-15,1446.67,1446.67,1423.33,1440.03,44001
2021-09-16,1440.03,1446.67,1410.0,1434.6,21528
2021-09-17,1426.67,1474.67,1404.47,1462.6,226461
2021-09-20,1469.93,1469.93,1426.67,1449.3,25715
2021-09-21,1451.33,1451.33,1420.07,1442.37,15462
2021-09-22,1463.33,1463.47,1434.67,1450.23,20919
2021-09-23,1450.0,1461.33,1432.1,1459.3,106119
2021-09-24,1453.3,1468.0,1441.5,1457.87,17328
2021-09-27,1458.0,1466.67,1438.23,1453.13,21791
2021-09-28,1440.33,1478.67,1434.03,1466.33,206439
2021-09-29,1466.33,1480.0,1428.23,1466.27,143328
2021-09-30,1472.0,1486.67,1442.2,1457.57,27822
2021-10-01,1486.6,1488.0,1444.53,1453.6,20511
2021-10-04,1456.67,1460.9,1436.67,1453.43,18912
2021-10-05,1460.17,1485.13,1441.5,1467.73,66197
2021-10-06,1476.67,1476.67,1440.67,1448.47,21027
2021-10-07,1458.67,1470.0,1441.03,1466.7,23679
2021-10-08,1513.27,1533.33,1448.43,1471.43,481785
2021-10-11,1468.83,1496.67,1454.37,1472.4,15290
2021-10-12,1479.07,1484.67,1452.63,1466.63,27516
2021-10-13,1472.67,1480.07,1456.67,1467.2,15230
2021-10-14,1463.33,1476.67,1460.0,1474.23,19331
2021-10-18,1474.23,1484.0,1463.33,1481.33,24863
2021-10-19,1481.33,1486.67,1447.37,1476.0,33768
2021-10-20,1479.87,1483.33,1388.4,1480.27,60363
2021-10-21,1470.67,1532.67,1463.07,1505.33,36519
2021-10-22,1512.87,1531.9,1466.67,1470.97,24147
2021-10-25,1470.0,1486.2,1448.3,1454.53,18869
2021-10-26,1461.83,1476.67,1437.7,1473.03,29649
2021-10-27,1486.23,1490.03,1460.0,1465.73,11760
2021-10-28,1472.0,1480.0,1441.33,1446.93,7940
2021-10-29,1463.33,1476.67,1414.67,1428.37,13950
2021-11-01,1428.37,1457.6,1401.43,1413.37,7055
2021-11-02,1413.37,1454.87,1383.33,1437.8,21507
2021-11-03,1436.67,1450.87,1417.33,1445.4,4965
2021-11-04,1464.67,1465.97,1434.03,1450.9,1929
2021-11-08,1458.17,1466.67,1449.03,1454.83,9711
2021-11-09,1462.13,1462.13,1441.0,1450.77,4890
2021-11-10,1453.33,1458.03,1421.4,1444.53,4983
2021-11-11,1444.0,1473.33,1424.13,1442.97,29126
2021-11-12,1443.33,1521.37,1443.0,1493.9,522204
2021-11-15,1512.67,1520.0,1473.37,1487.83,12572
2021-11-16,1471.0,1532.67,1424.0,1445.77,439950
2021-11-17,1432.67,1466.6,1429.5,1446.9,12179
2021-11-18,1453.3,1453.33,1420.0,1425.7,13133
2021-11-22,1410.0,1440.0,1402.6,1427.63,11240
2021-11-23,1403.33,1463.33,1400.0,1437.97,62354
2021-11-24,1437.97,1486.2,1408.17,1472.87,24041
2021-11-25,1468.0,1472.67,1426.6,1453.43,14471
2021-11-26,1440.0,1447.67,1401.33,1418.7,6584
2021-11-29,1406.67,1418.63,1341.47,1360.07,22410
2021-11-30,1393.33,1536.87,1388.0,1471.3,256838
2021-12-01,1454.7,1470.0,1436.67,1459.13,33878
2021-12-02,1466.67,1466.67,1403.4,1412.13,52376
2021-12-03,1410.67,1410.67,1352.6,1361.37,30677
2021-12-06,1366.67,1373.37,1276.83,1291.6,38408
2021-12-07,1303.33,1310.0,1269.57,1274.47,29310
2021-12-08,1290.0,1332.5,1274.67,1321.0,24360
2021-12-09,1347.67,1351.33,1293.47,1309.93,10329
2021-12-10,1306.0,1350.0,1306.0,1344.83,37632
2021-12-13,1360.67,1360.67,1310.0,1314.7,18405
2021-12-14,1311.33,1321.3,1274.07,1282.13,34836
2021-12-15,1278.67,1288.57,1246.67,1266.93,20516
2021-12-16,1273.3,1291.63,1260.7,1265.5,6233
2021-12-17,1271.83,1298.67,1255.57,1283.17,9062
2021-12-20,1286.67,1305.67,1239.37,1259.37,26348
2021-12-21,1265.67,1348.33,1265.67,1280.07,46907
2021-12-22,1281.07,1287.77,1254.23,1263.53,18336
2021-12-23,1263.53,1289.17,1257.23,1268.1,12063
2021-12-24,1266.67,1274.47,1237.07,1255.87,13902
2021-12-27,1255.83,1316.67,1253.0,1304.27,22496
2021-12-28,1304.27,1309.93,1264.67,1269.0,10695
2021-12-29,1275.37,1296.03,1272.4,1279.33,4899
2021-12-30,1270.6,1302.97,1270.6,1296.6,27816
2021-12-31,1303.1,1303.1,1278.0,1296.3,12326
2022-01-03,1293.33,1296.67,1275.03,1278.3,11937
2022-01-04,1278.67,1303.33,1272.7,1299.93,16334
2022-01-05,1284.37,1299.83,1274.47,1278.53,6470
2022-01-06,1284.93,1303.33,1273.33,1281.03,27917
2022-01-07,1273.67,1332.67,1268.07,1284.67,276260
2022-01-10,1304.0,1348.0,1283.1,1299.77,101609
2022-01-11,1299.2,1311.4,1280.23,1293.67,21971
2022-01-12,1293.67,1313.1,1274.53,1299.37,10008
2022-01-13,1299.37,1299.37,1280.0,1292.33,7436
2022-01-14,1297.97,1309.8,1278.0,1287.7,13601
2022-01-17,1287.7,1303.33,1260.0,1268.73,13980
2022-01-18,1274.0,1287.9,1261.43,1267.07,45248
2022-01-19,1280.0,1283.33,1258.53,1270.13,10220
2022-01-20,1270.13,1282.67,1260.07,1277.67,7776
2022-01-21,1284.07,1290.0,1260.0,1269.97,5573
2022-01-24,1276.33,1279.07,1240.87,1266.67,31056
2022-01-25,1260.0,1280.67,1244.8,1268.07,6480
2022-01-27,1273.33,1280.0,1256.7,1267.03,6735
2022-01-28,1270.3,1300.0,1260.07,1280.0,14762
2022-01-31,1280.0,1283.3,1265.57,1268.93,8712
2022-02-01,1267.33,1326.67,1267.33,1306.13,32945
2022-02-02,1297.27,1329.63,1297.27,1316.67,22500
2022-02-03,1322.67,1332.67,1316.67,1327.37,7083
2022-02-04,1333.33,1366.67,1333.33,1360.47,41274
2022-02-07,1392.67,1478.67,1377.6,1415.07,155273
2022-02-08,1406.67,1467.33,1389.6,1456.63,25721
2022-02-09,1482.67,1493.4,1428.03,1453.03,18947
2022-02-10,1460.3,1508.67,1441.13,1490.27,40374
2022-02-11,1485.33,1485.33,1403.33,1424.0,13701
2022-02-14,1376.67,1430.0,1371.77,1404.43,14337
2022-02-15,1401.87,1449.93,1400.0,1408.7,13530
2022-02-16,1406.67,1460.0,1383.33,1418.73,7994
2022-02-17,1439.33,1442.03,1400.0,1408.83,4704
2022-02-18,1412.3,1485.33,1400.37,1472.23,19664
2022-02-21,1483.33,1483.33,1438.4,1465.43,24168
2022-02-22,1438.0,1479.33,1426.3,1467.0,26016
2022-02-23,1474.37,1498.77,1453.33,1471.73,36194
2022-02-24,1404.73,1480.0,1361.57,1448.33,65496
2022-02-25,1448.33,1488.6,1410.43,1451.3,55557
2022-02-28,1460.0,1496.67,1436.67,1490.8,45680
2022-03-02,1492.0,1556.73,1466.67,1496.17,71058
2022-03-03,1521.33,1533.33,1476.9,1492.67,16460
2022-03-04,1467.7,1515.57,1467.4,1471.13,13466
2022-03-07,1478.5,1488.37,1440.67,1447.2,61847
2022-03-08,1454.47,1493.97,1430.9,1458.4,9638
2022-03-09,1465.7,1492.0,1447.73,1455.53,12915
2022-03-10,1462.83,1498.7,1447.77,1486.17,24270
2022-03-11,1493.6,1493.6,1457.7,1465.8,4911
2022-03-14,1449.23,1468.03,1445.67,1462.4,7265
2022-03-15,1464.0,1469.73,1454.0,1467.57,9389
