Datetime,Open,High,Low,Close,Volume
2011-06-01,4.8,5.6,4.6,5.44,151015
2011-06-02,5.13,5.13,4.96,4.96,1000
2011-06-03,5.4,5.4,4.9,5.01,1045
2011-06-06,5.0,5.0,4.86,4.87,1150
2011-06-07,4.62,5.12,4.6,4.6,805
2011-06-08,5.06,5.06,4.57,4.98,6290
2011-06-09,5.0,5.0,5.0,5.0,120
2011-06-10,5.0,5.0,4.9,4.97,520
2011-06-13,4.62,4.89,4.62,4.89,405
2011-06-14,4.7,5.0,4.7,4.81,4630
2011-06-15,5.28,5.28,5.12,5.12,10
2011-06-16,4.71,5.1,4.71,5.05,35
2011-06-28,4.95,4.96,4.95,4.96,1500
2011-06-29,4.8,4.8,4.8,4.8,435
2011-07-01,4.91,4.91,4.91,4.91,25
2011-07-04,4.89,4.89,4.89,4.89,135
2011-07-06,4.99,4.99,4.65,4.65,1080
2011-07-07,4.51,4.51,4.5,4.5,500
2011-07-08,4.5,4.5,4.4,4.4,500
2011-07-11,4.4,4.6,4.4,4.6,1140
2011-07-12,4.38,4.38,4.38,4.38,200
2011-07-13,4.38,4.38,4.38,4.38,500
2011-07-19,4.6,4.6,4.6,4.6,250
2011-07-26,4.43,4.43,4.43,4.43,1000
2011-08-02,4.64,4.65,4.64,4.65,255
2011-08-03,4.8,4.8,4.8,4.8,250
2011-08-04,4.83,5.04,4.56,4.6,2935
2011-08-05,4.83,4.83,4.83,4.83,500
2011-08-08,5.07,5.08,4.92,4.92,13315
2011-08-09,4.7,4.7,4.69,4.69,750
2011-08-10,4.48,4.92,4.47,4.84,6025
2011-08-11,4.6,4.66,4.6,4.61,2510
2011-08-12,4.61,4.84,4.61,4.84,2250
2011-08-16,4.6,5.0,4.6,4.61,3055
2011-08-17,4.84,4.84,4.6,4.84,14500
2011-08-19,4.6,4.6,4.6,4.6,1250
2011-08-22,4.4,4.4,4.4,4.4,5
2011-08-23,4.6,4.61,4.6,4.61,1500
2011-08-24,4.43,4.6,4.43,4.6,2245
2011-08-25,4.59,4.6,4.59,4.6,1390
2011-08-26,4.41,4.41,4.41,4.41,250
2011-08-29,4.63,4.63,4.63,4.63,1840
2011-09-02,4.44,4.44,4.44,4.44,1025
2011-09-15,5.2,5.2,4.8,4.8,515
2011-09-20,4.56,4.56,4.56,4.56,500
2011-09-26,4.4,4.42,4.4,4.41,22450
2011-09-28,4.32,4.6,4.32,4.33,755
2011-09-29,4.55,4.55,4.55,4.55,5
2011-09-30,4.78,4.78,4.78,4.78,1000
2011-10-05,4.55,4.55,4.55,4.55,250
2011-10-14,4.56,4.56,4.37,4.37,2750
2011-10-17,4.59,4.59,4.59,4.59,500
2011-10-18,4.75,4.75,4.4,4.4,500
2011-10-28,4.62,4.62,4.62,4.62,925
