Datetime,Open,High,Low,Close,Volume
2016-06-02,25.3,25.3,24.41,24.6,18655
2016-06-03,25.37,25.37,24.6,24.62,11590
2016-06-06,24.2,25.18,24.2,24.54,24470
2016-06-07,24.4,25.14,24.4,24.45,34195
2016-06-08,24.45,24.98,24.44,24.75,26100
2016-06-09,24.42,25.0,24.23,24.52,41720
2016-06-10,24.96,24.96,24.34,24.42,16535
2016-06-13,24.8,24.8,23.5,23.77,39120
2016-06-14,24.4,24.4,23.32,23.83,11635
2016-06-15,24.45,24.45,23.43,23.66,22780
2016-06-16,25.0,26.5,24.0,25.1,112970
2016-06-17,26.2,26.3,25.13,25.5,81575
2016-06-20,26.39,26.4,25.3,25.58,97045
2016-06-21,25.8,26.78,25.7,26.08,55785
2016-06-22,26.78,26.78,26.0,26.05,28880
2016-06-23,25.8,26.33,25.34,25.66,46805
2016-06-24,25.25,25.64,24.51,24.82,65970
2016-06-27,25.99,25.99,24.27,25.77,28365
2016-06-28,25.77,27.36,25.45,26.78,83655
2016-06-29,27.27,27.99,27.2,27.48,71225
2016-06-30,28.0,28.0,26.74,26.92,31465
2016-07-01,27.96,27.96,26.23,26.71,27050
2016-07-04,26.6,27.52,26.12,26.28,51230
2016-07-05,27.35,27.35,25.62,25.96,33745
2016-07-07,26.74,26.74,25.25,26.15,22410
2016-07-08,26.98,26.98,25.82,26.43,30800
2016-07-11,27.59,27.59,25.46,26.13,35960
2016-07-12,26.4,26.56,25.7,26.05,7050
2016-07-13,26.2,26.93,25.64,25.82,15005
2016-07-14,26.54,26.54,25.8,25.93,10390
2016-07-15,26.6,26.6,25.29,25.8,23935
2016-07-18,26.4,26.4,25.66,25.68,7990
2016-07-19,26.2,26.2,25.1,25.5,27160
2016-07-20,25.6,25.6,25.04,25.32,25880
2016-07-21,26.0,26.0,25.32,25.58,20825
2016-07-22,26.15,30.69,25.99,29.6,1908860
2016-07-25,29.52,30.78,28.35,28.8,302155
2016-07-26,28.42,29.2,27.61,27.91,147960
2016-07-27,28.0,28.76,27.27,27.87,129055
2016-07-28,27.6,29.8,27.02,27.94,217975
2016-07-29,29.31,29.99,27.32,27.5,219690
2016-08-01,27.6,28.11,26.18,26.99,82855
2016-08-02,27.0,27.42,26.24,26.56,47675
2016-08-03,26.1,26.98,25.14,25.87,127880
2016-08-04,26.19,26.75,25.65,26.14,50395
2016-08-05,26.14,26.6,25.87,26.25,30750
2016-08-08,26.94,26.94,26.42,26.54,38525
2016-08-09,26.25,26.8,26.25,26.5,17000
2016-08-10,26.8,26.8,26.03,26.14,33100
2016-08-11,26.79,26.79,25.76,26.05,46785
2016-08-12,26.8,26.8,25.82,25.88,15175
2016-08-16,26.0,26.56,25.5,26.05,34650
2016-08-17,26.8,26.8,25.95,26.16,12375
2016-08-18,26.78,26.78,26.07,26.33,15150
2016-08-19,26.33,26.78,26.02,26.6,39375
2016-08-22,26.6,26.62,26.11,26.31,49830
2016-08-23,26.2,26.66,26.2,26.59,9500
2016-08-24,26.21,26.49,26.02,26.24,74980
2016-08-25,26.79,26.8,26.23,26.32,21660
2016-08-26,26.8,26.95,26.26,26.34,68960
2016-08-29,26.6,26.77,26.0,26.06,38250
2016-08-30,26.2,26.72,26.12,26.5,44510
2016-08-31,26.75,26.9,26.03,26.57,72805
2016-09-01,26.78,28.2,26.26,27.06,101185
2016-09-02,27.78,28.73,26.6,28.19,146900
2016-09-06,28.75,28.75,27.05,27.29,72570
2016-09-07,26.88,27.2,26.47,26.75,73810
2016-09-08,27.78,27.78,26.7,27.14,45965
2016-09-09,27.96,27.96,26.2,26.65,46715
2016-09-12,25.8,26.6,25.78,26.15,102960
2016-09-14,27.19,28.64,26.21,27.92,84285
2016-09-15,27.7,28.88,27.6,27.98,56230
2016-09-16,28.78,28.78,27.5,27.71,67795
2016-09-19,29.98,29.98,27.98,28.12,87080
2016-09-20,28.5,28.5,27.8,27.97,14600
2016-09-21,28.46,28.78,28.06,28.53,64210
2016-09-22,28.8,28.8,28.07,28.28,31220
2016-09-23,28.4,28.78,27.4,27.68,43680
2016-09-26,28.59,28.76,27.07,27.41,31275
2016-09-27,27.6,28.26,27.12,27.89,92540
2016-09-28,28.46,28.5,27.62,27.78,53335
2016-09-29,28.2,28.36,26.6,26.75,194720
2016-09-30,27.4,27.4,26.26,26.4,167770
2016-10-03,26.3,27.95,26.3,27.12,41765
2016-10-04,26.8,27.78,26.52,27.21,58055
2016-10-05,27.8,28.17,27.22,27.54,68870
2016-10-06,28.0,28.19,27.0,27.09,35555
2016-10-07,27.82,28.18,27.15,28.02,62535
2016-10-10,28.0,32.08,27.24,29.44,1082545
2016-10-13,29.49,29.86,28.2,28.63,136985
2016-10-14,29.18,29.95,28.41,29.6,62440
2016-10-17,30.75,30.75,29.22,29.51,104500
2016-10-18,30.0,30.0,29.21,29.33,96360
2016-10-19,29.8,30.59,29.1,29.32,96995
2016-10-20,30.4,30.6,29.3,29.81,140650
2016-10-21,29.8,30.32,29.4,29.6,45390
2016-10-24,29.65,30.4,29.65,29.81,56300
2016-10-25,31.0,32.4,30.35,31.29,541725
2016-10-26,31.0,31.7,30.04,30.91,154580
2016-10-27,30.6,31.2,30.06,30.28,150765
2016-10-28,30.2,30.75,30.0,30.03,77905
2016-10-30,30.87,30.87,30.0,30.08,48250
2016-11-01,30.02,30.5,29.61,30.22,79020
2016-11-02,30.0,30.22,29.0,29.45,77970
2016-11-03,29.4,32.77,29.2,30.57,375750
2016-11-04,30.42,30.79,28.81,29.31,116735
2016-11-07,29.98,30.21,29.44,29.64,61250
2016-11-08,30.0,30.4,29.2,29.62,63245
2016-11-09,26.05,28.8,24.51,27.9,181390
2016-11-10,28.2,29.29,27.83,28.37,50115
2016-11-11,28.2,28.2,26.81,27.42,119355
2016-11-15,27.0,27.98,25.2,25.31,182615
2016-11-16,26.78,26.8,24.8,25.57,95065
2016-11-17,26.0,26.5,25.41,26.12,56175
2016-11-18,26.3,26.4,25.4,26.12,51470
2016-11-21,26.12,26.57,25.0,25.26,44010
2016-11-22,25.26,25.99,25.0,25.28,18390
2016-11-23,25.6,26.38,25.02,25.57,48460
2016-11-24,25.8,26.39,25.05,25.39,19860
2016-11-25,25.8,26.2,25.23,25.54,27100
2016-11-28,25.3,26.4,25.24,25.75,17925
2016-11-29,25.5,26.5,25.11,25.91,27985
2016-11-30,25.98,26.37,25.46,25.82,10110
2016-12-01,25.5,27.98,25.5,26.12,101930
2016-12-02,25.6,25.99,25.45,25.56,17015
2016-12-05,25.6,26.09,25.11,25.34,19845
2016-12-06,25.7,25.98,25.33,25.52,16255
2016-12-07,25.4,25.9,25.31,25.45,18260
2016-12-08,25.89,25.9,25.3,25.5,15090
2016-12-09,25.79,25.89,25.43,25.64,27400
2016-12-12,25.9,26.39,25.6,26.01,93700
2016-12-13,25.8,26.56,25.4,25.59,51265
2016-12-14,25.8,26.2,25.61,25.69,32435
2016-12-15,25.8,27.55,25.63,26.43,51540
2016-12-16,26.6,26.89,26.06,26.31,19530
2016-12-19,26.78,26.78,25.66,25.8,14890
2016-12-20,25.99,26.2,25.5,25.71,12820
2016-12-21,26.0,26.38,25.6,25.7,16470
2016-12-22,25.6,26.49,25.12,25.47,25880
2016-12-23,26.09,26.09,25.26,25.4,9540
2016-12-26,25.08,25.98,24.85,25.0,23205
2016-12-27,25.0,25.9,25.0,25.03,10260
2016-12-28,25.75,25.75,25.02,25.11,13280
2016-12-29,25.94,25.94,25.0,25.01,15670
2016-12-30,25.6,25.89,25.0,25.07,28150
2017-01-02,25.98,25.98,25.01,25.25,21910
2017-01-03,25.87,25.87,25.2,25.35,23610
2017-01-04,25.79,25.79,25.37,25.57,18130
2017-01-05,25.86,26.2,25.24,25.85,31925
2017-01-06,26.14,26.19,25.42,25.52,16465
2017-01-09,26.12,26.86,25.75,26.61,46905
2017-01-10,26.83,26.83,26.08,26.25,15695
2017-01-11,26.4,26.6,26.0,26.39,34200
2017-01-12,26.98,26.98,26.02,26.26,8770
2017-01-13,26.9,26.9,26.02,26.39,27435
2017-01-16,26.6,27.0,26.16,26.61,42490
2017-01-17,26.6,26.98,26.06,26.22,16565
2017-01-18,26.56,26.76,26.1,26.38,17265
2017-01-19,26.25,26.56,26.13,26.14,6970
2017-01-20,26.79,26.79,25.8,25.93,6960
2017-01-23,26.38,26.9,25.93,26.77,35710
2017-01-24,26.86,27.79,26.86,27.29,50360
2017-01-25,27.4,27.6,26.8,27.24,23850
2017-01-27,27.48,27.48,26.82,26.96,6650
2017-01-30,27.0,27.78,26.62,26.94,16330
2017-01-31,27.58,27.58,26.6,26.94,25455
2017-02-01,26.81,27.53,26.2,26.41,37860
2017-02-02,26.8,27.2,26.13,26.38,27735
2017-02-03,26.79,27.14,26.2,26.74,21830
2017-02-06,27.01,27.01,26.32,26.43,18600
2017-02-07,26.6,27.18,26.33,26.99,32030
2017-02-08,27.0,27.98,27.0,27.57,47585
2017-02-09,27.6,28.58,27.41,27.85,101335
2017-02-10,27.9,28.43,27.44,28.03,63740
2017-02-13,32.36,33.6,31.29,31.91,2265715
2017-02-14,32.16,32.7,30.3,30.66,343015
2017-02-15,30.97,31.18,29.4,29.69,127245
2017-02-16,29.82,31.0,29.82,30.54,85575
2017-02-17,30.72,31.0,29.8,30.19,52730
2017-02-20,30.74,30.79,30.2,30.39,43635
2017-02-21,30.8,30.9,30.0,30.3,61075
2017-02-22,30.77,30.9,30.0,30.49,47645
2017-02-23,30.69,30.69,30.01,30.43,37520
2017-02-27,30.72,31.4,29.91,30.07,62280
2017-02-28,30.46,30.46,29.7,29.86,41725
2017-03-01,29.8,30.08,29.02,29.45,104860
2017-03-02,29.59,29.6,28.88,29.0,188555
2017-03-03,29.06,29.5,28.8,29.2,35155
2017-03-06,29.8,30.11,29.6,29.67,31690
2017-03-07,30.0,31.62,29.63,30.27,189985
2017-03-08,30.2,30.71,29.8,29.89,22615
2017-03-09,30.39,30.39,29.62,30.09,26625
2017-03-10,31.2,31.2,29.58,29.66,38770
2017-03-14,30.4,30.4,29.29,29.58,36260
2017-03-15,29.88,29.88,29.27,29.36,22595
2017-03-16,29.05,30.2,29.05,29.86,40805
2017-03-17,30.17,30.18,28.64,29.2,71415
2017-03-20,29.78,29.85,29.07,29.52,31815
2017-03-21,29.8,30.0,29.42,29.65,72880
2017-03-22,29.56,29.78,29.04,29.28,26855
2017-03-23,29.3,29.5,29.07,29.18,27705
2017-03-24,29.22,29.6,29.18,29.26,15575
2017-03-27,29.79,29.8,29.1,29.34,21915
2017-03-28,29.78,29.8,29.04,29.16,32925
2017-03-29,29.55,29.55,28.39,28.5,56745
2017-03-30,28.4,29.16,28.4,28.59,45375
2017-03-31,28.8,29.0,27.48,27.91,139705
2017-04-03,28.0,28.78,27.8,28.51,74315
2017-04-05,28.88,30.8,28.52,30.59,214060
2017-04-06,30.8,31.4,30.02,30.63,59830
2017-04-07,30.4,30.88,30.0,30.55,65105
2017-04-10,31.4,31.8,30.8,31.38,162125
2017-04-11,31.41,33.38,31.4,32.83,570945
2017-04-12,33.38,33.6,31.5,32.14,214785
2017-04-13,32.32,32.78,31.03,31.36,126720
2017-04-17,31.78,32.4,30.6,31.7,270955
2017-04-18,32.0,32.54,31.2,31.42,102730
2017-04-19,31.42,32.0,31.01,31.61,86230
2017-04-20,32.05,32.2,31.3,31.43,67350
2017-04-21,32.18,32.19,30.9,31.13,143005
2017-04-24,31.8,31.8,30.5,30.77,77720
2017-04-25,31.2,31.76,30.84,30.99,142255
2017-04-26,31.3,31.5,30.44,31.05,76330
2017-04-27,30.9,32.49,30.46,31.89,218225
2017-04-28,32.48,32.48,31.46,31.96,109125
2017-05-02,32.6,32.6,31.83,31.97,69850
2017-05-03,32.4,32.4,31.05,31.64,74670
2017-05-04,31.64,32.6,31.51,32.17,99165
2017-05-05,32.46,32.46,30.24,31.63,89380
2017-05-08,31.63,32.2,31.09,32.07,33405
2017-05-09,32.3,32.95,31.61,32.55,62665
2017-05-10,33.0,33.0,32.0,32.06,38615
2017-05-11,32.03,32.6,31.81,32.08,39180
2017-05-12,32.2,32.6,31.45,31.67,31710
2017-05-15,31.71,32.2,31.61,32.01,46695
2017-05-16,31.97,32.38,31.65,31.92,29995
2017-05-17,32.02,32.06,31.61,31.9,49790
2017-05-18,31.98,33.59,31.6,32.44,288165
2017-05-19,32.8,33.2,31.7,32.49,91625
2017-05-22,32.99,33.4,32.0,32.55,131780
2017-05-23,32.02,32.59,31.0,31.49,73595
2017-05-24,31.0,31.99,28.66,30.99,145825
2017-05-25,31.01,32.3,30.71,31.99,52920
2017-05-26,32.38,34.58,32.38,33.59,805965
2017-05-29,34.0,34.96,32.44,34.71,464110
2017-05-30,34.94,35.9,33.81,35.16,276910
