Datetime,Open,High,Low,Close,Volume
2011-06-01,57.25,58.0,55.55,56.23,34082
2011-06-02,56.13,56.93,56.0,56.38,9528
2011-06-03,56.9,58.1,56.0,56.5,35242
2011-06-06,56.98,56.98,55.8,56.08,3214
2011-06-07,56.55,57.7,56.0,57.23,7070
2011-06-08,56.2,59.25,56.2,58.95,14458
2011-06-09,59.0,59.88,58.58,59.15,13604
2011-06-10,59.0,59.5,57.13,57.53,10728
2011-06-13,57.5,58.25,57.25,58.0,6692
2011-06-14,58.98,60.48,57.83,59.98,136738
2011-06-15,61.2,64.9,61.2,62.5,201280
2011-06-16,62.5,62.5,60.15,60.33,18856
2011-06-17,60.03,61.3,58.58,59.13,14822
2011-06-20,59.5,59.5,56.53,58.0,4300
2011-06-21,57.18,59.2,57.03,57.2,6208
2011-06-22,58.25,59.25,57.5,57.78,3682
2011-06-23,58.35,59.5,54.65,57.55,27482
2011-06-24,59.0,62.55,57.63,59.73,174746
2011-06-27,58.58,60.98,58.5,60.25,11348
2011-06-28,61.0,61.0,58.63,59.08,18120
2011-06-29,58.03,59.48,58.03,59.15,6728
2011-06-30,59.5,62.75,58.03,58.45,29904
2011-07-01,59.75,59.75,58.55,59.4,14106
2011-07-04,59.0,61.0,58.83,60.43,11088
2011-07-05,60.15,60.98,58.5,59.85,17822
2011-07-06,60.0,61.98,59.63,61.8,19146
2011-07-07,60.78,62.18,58.15,61.93,71064
2011-07-08,62.0,62.73,60.03,62.13,15134
2011-07-11,61.28,62.5,60.03,62.23,12824
2011-07-12,62.2,62.2,59.2,59.65,10710
2011-07-13,60.0,60.45,59.03,59.2,14736
2011-07-14,59.0,61.48,59.0,60.08,7928
2011-07-15,59.23,60.85,59.23,59.85,3648
2011-07-18,60.5,60.85,59.6,60.0,9948
2011-07-19,59.75,60.75,59.5,60.35,15406
2011-07-20,61.23,61.23,60.13,60.28,11092
2011-07-21,59.5,60.45,59.5,60.03,7672
2011-07-22,60.0,64.2,60.0,62.55,49134
2011-07-25,62.5,65.2,62.5,64.28,30772
2011-07-26,65.47,65.47,61.5,61.83,25628
2011-07-27,61.75,62.5,61.03,61.8,7732
2011-07-28,62.5,62.5,61.25,62.08,10866
2011-07-29,61.53,62.25,60.73,61.65,21508
2011-08-01,61.2,62.0,59.25,59.65,36710
2011-08-02,60.85,61.25,58.65,61.0,6386
2011-08-03,60.0,60.0,59.15,59.35,14070
2011-08-04,59.5,60.5,57.6,57.95,13746
2011-08-05,57.25,61.9,55.68,60.23,28818
2011-08-08,59.0,63.5,59.0,62.08,34220
2011-08-09,60.13,62.43,58.63,61.63,24616
2011-08-10,62.3,67.5,61.2,62.3,105660
2011-08-11,64.25,65.0,63.03,64.47,31374
2011-08-12,64.72,65.88,61.58,62.5,52966
2011-08-16,65.0,65.5,61.88,62.33,19468
2011-08-17,62.95,63.95,60.5,60.73,17972
2011-08-18,59.03,62.25,58.53,60.28,28614
2011-08-19,58.75,59.85,58.08,59.43,24156
2011-08-22,59.0,61.5,57.5,60.48,16878
2011-08-23,60.0,62.0,59.25,59.78,20932
2011-08-24,61.4,62.0,60.05,61.4,3830
2011-08-25,62.38,62.38,60.5,60.58,15246
2011-08-26,60.5,62.0,60.38,60.78,9948
2011-08-29,59.25,61.7,59.25,60.93,6676
2011-08-30,62.48,62.48,60.8,61.73,19042
2011-09-02,64.0,64.0,60.75,61.8,17850
2011-09-05,62.43,62.5,60.78,62.18,12046
2011-09-06,64.0,64.0,61.5,62.15,5090
2011-09-07,62.55,63.25,61.55,62.23,22792
2011-09-08,62.5,62.75,61.05,61.75,10258
2011-09-09,61.55,62.73,59.6,60.25,24026
2011-09-12,60.3,62.45,60.3,60.98,5392
2011-09-13,61.95,62.5,61.0,61.2,6032
2011-09-14,61.05,62.0,59.75,61.03,5556
2011-09-15,61.25,63.6,60.5,62.83,15214
2011-09-16,62.5,62.98,61.53,62.5,13326
2011-09-19,61.98,62.75,61.63,62.08,47594
2011-09-20,63.5,63.5,61.23,61.65,7996
2011-09-21,62.75,64.7,62.45,64.35,21194
2011-09-22,63.75,64.95,60.75,62.88,37988
2011-09-23,63.0,63.48,60.0,62.58,49712
2011-09-26,62.0,62.5,59.0,61.88,8768
2011-09-27,62.03,63.0,61.0,61.68,4988
2011-09-28,62.98,62.98,60.75,61.5,2994
2011-09-29,61.0,61.5,59.53,59.85,18592
2011-09-30,61.15,61.15,59.25,59.33,5224
2011-10-03,61.0,61.48,58.83,59.5,24508
2011-10-04,59.28,60.0,59.0,59.18,7634
2011-10-05,59.95,59.95,58.5,58.63,11534
2011-10-07,59.5,59.95,58.5,58.5,17536
2011-10-10,58.5,59.0,58.08,58.55,8030
2011-10-11,59.23,62.25,58.65,61.03,6378
2011-10-12,60.5,60.7,59.93,60.05,822
2011-10-13,60.28,62.25,59.68,60.15,27794
2011-10-14,61.38,61.38,59.5,59.75,12340
2011-10-17,59.9,59.9,58.0,58.75,16188
2011-10-18,58.55,58.73,58.0,58.05,9112
2011-10-19,58.3,61.0,58.3,59.33,11736
2011-10-20,59.0,61.48,58.75,60.05,3976
2011-10-21,61.0,61.0,59.15,59.98,3546
2011-10-24,59.53,60.5,58.53,58.88,11392
2011-10-25,59.5,59.5,58.28,58.38,6782
2011-10-26,59.0,59.3,58.08,58.85,2220
2011-10-28,60.0,60.95,58.75,59.25,18846
2011-10-31,59.98,63.25,59.53,60.5,39798
2011-11-01,61.43,61.45,60.3,60.75,4644
2011-11-02,60.5,61.45,60.5,61.25,3310
2011-11-03,61.0,61.0,60.28,60.88,1770
2011-11-04,61.0,62.53,60.53,62.05,4464
2011-11-08,62.75,62.75,61.13,61.43,3050
2011-11-09,61.0,61.98,60.85,61.03,5878
2011-11-11,62.5,62.5,59.25,59.83,7752
2011-11-14,61.5,61.5,55.53,57.78,20498
2011-11-15,57.5,58.0,54.63,54.78,29166
2011-11-16,54.25,57.0,52.05,56.0,11166
2011-11-17,55.3,57.73,54.95,57.03,10584
2011-11-18,57.5,57.5,54.5,54.9,29274
2011-11-21,55.5,55.95,53.13,53.53,29718
2011-11-22,54.98,54.98,52.7,52.78,43006
2011-11-23,52.75,53.0,51.0,51.8,10562
2011-11-24,51.95,52.5,51.23,52.45,5394
2011-11-25,53.0,54.0,52.7,53.83,2366
2011-11-28,54.5,54.5,52.6,53.18,9530
2011-11-29,52.65,52.65,51.0,51.1,21516
2011-11-30,52.0,52.83,49.5,50.4,29772
2011-12-01,52.0,52.0,50.15,50.3,7132
2011-12-02,50.38,52.38,50.0,50.68,22684
2011-12-05,51.25,54.0,50.1,53.93,438336
2011-12-07,53.25,55.73,51.3,52.0,459788
2011-12-08,45.63,52.5,45.63,52.43,58144
2011-12-09,53.93,54.25,51.53,51.58,406532
2011-12-12,53.0,53.0,49.03,49.6,12126
2011-12-13,49.03,49.25,48.25,48.45,21930
2011-12-14,49.0,49.0,47.3,47.88,524152
2011-12-15,47.5,49.5,45.68,46.38,361990
2011-12-16,48.85,48.85,46.33,46.68,23048
2011-12-19,46.5,46.5,43.15,44.73,115496
2011-12-20,44.28,45.0,44.28,44.65,16660
2011-12-21,45.2,45.2,43.53,44.48,17352
2011-12-22,44.03,44.45,42.75,43.05,60882
2011-12-23,42.68,45.5,42.5,44.75,54050
2011-12-26,47.5,47.53,44.25,44.83,5600
2011-12-27,44.33,45.5,43.35,44.25,14702
2011-12-28,44.5,45.0,43.03,43.78,1304
2011-12-29,45.0,46.35,43.25,45.75,4860
2011-12-30,45.25,45.25,43.05,43.6,4756
2012-01-02,45.0,45.0,41.75,42.13,33404
2012-01-03,43.5,44.5,42.55,43.3,20430
